<doc id="bv_doc_id__19" attrs="word lemma type">
Entwurf	bv_doc_id__19_d9e308
Republik	bv_doc_id__19_d9e562
<g/>
;	
alle	bv_doc_id__19_d9e567
Gewalt	bv_doc_id__19_d9e569
im	bv_doc_id__19_d9e571
Staate	bv_doc_id__19_d9e573
geht	bv_doc_id__19_d9e575
vom	bv_doc_id__19_d9e578
Volke	bv_doc_id__19_d9e580
aus	bv_doc_id__19_d9e582
<g/>
.	
Jeder	bv_doc_id__19_d9e586
Staatsbürger	bv_doc_id__19_d9e588
hat	bv_doc_id__19_d9e591
Anteil	bv_doc_id__19_d9e593
an	bv_doc_id__19_d9e595
der	bv_doc_id__19_d9e597
wirtschaftlichen	bv_doc_id__19_d9e599
und	bv_doc_id__19_d9e601
politischen	bv_doc_id__19_d9e604
Macht	bv_doc_id__19_d9e606
der	bv_doc_id__19_d9e608
Gesamtheit	bv_doc_id__19_d9e610
<g/>
.	
Sicherung	bv_doc_id__19_d9e614
und	bv_doc_id__19_d9e617
Förderung	bv_doc_id__19_d9e619
der	bv_doc_id__19_d9e621
Gesamtheit	bv_doc_id__19_d9e623
und	bv_doc_id__19_d9e625
des	bv_doc_id__19_d9e627
einzelnen	bv_doc_id__19_d9e630
ist	bv_doc_id__19_d9e632
der	bv_doc_id__19_d9e634
Zweck	bv_doc_id__19_d9e636
des	bv_doc_id__19_d9e638
Staates	bv_doc_id__19_d9e640
<g/>
.	
Art.	bv_doc_id__19_d9e651
2.	bv_doc_id__19_d9e653
Bundesstaat	bv_doc_id__19_d9e658
<g/>
.	
Österreich	bv_doc_id__19_d9e665
ist	bv_doc_id__19_d9e667
ein	bv_doc_id__19_d9e669
Bundesstaat	bv_doc_id__19_d9e671
<g/>
,	
gebildet	bv_doc_id__19_d9e676
aus	bv_doc_id__19_d9e678
den	bv_doc_id__19_d9e680
selbständigen	bv_doc_id__19_d9e682
Ländern	bv_doc_id__19_d9e684
Niederösterreich	bv_doc_id__19_d9e686
<g/>
,	
Oberösterveich	bv_doc_id__19_d9e691
<g/>
,	
Salzburg	bv_doc_id__19_d9e695
<g/>
,	
Steiermark	bv_doc_id__19_d9e699
<g/>
,	
Kärnten	bv_doc_id__19_d9e704
<g/>
,	
Tirol	bv_doc_id__19_d9e708
und	bv_doc_id__19_d9e710
Vorarlberg	bv_doc_id__19_d9e712
<g/>
.	
Wenn	bv_doc_id__19_d9e717
die	bv_doc_id__19_d9e719
Stadt	bv_doc_id__19_d9e721
Wien	bv_doc_id__19_d9e723
aus	bv_doc_id__19_d9e725
dem	bv_doc_id__19_d9e728
Verbande	bv_doc_id__19_d9e730
des	bv_doc_id__19_d9e732
Landes	bv_doc_id__19_d9e734
Niederösterreich	bv_doc_id__19_d9e736
ausscheidet	bv_doc_id__19_d9e738
und	bv_doc_id__19_d9e741
zu	bv_doc_id__19_d9e743
einem	bv_doc_id__19_d9e745
selbständigen	bv_doc_id__19_d9e747
Gebiet	bv_doc_id__19_d9e749
wird	bv_doc_id__19_d9e751
<g/>
,	
und	bv_doc_id__19_d9e756
sobald	bv_doc_id__19_d9e758
das	bv_doc_id__19_d9e760
Heinzenland	bv_doc_id__19_d9e762
sich	bv_doc_id__19_d9e764
als	bv_doc_id__19_d9e767
selbständiges	bv_doc_id__19_d9e769
Land	bv_doc_id__19_d9e771
bildet	bv_doc_id__19_d9e773
<g/>
,	
werden	bv_doc_id__19_d9e777
Wien	bv_doc_id__19_d9e780
und	bv_doc_id__19_d9e782
Heinzenland	bv_doc_id__19_d9e784
selbständige	bv_doc_id__19_d9e786
und	bv_doc_id__19_d9e788
gleichberechtigte	bv_doc_id__19_d9e790
Glieder	bv_doc_id__19_d9e793
des	bv_doc_id__19_d9e795
Bundesstaates	bv_doc_id__19_d9e797
<g/>
.	
Art.	bv_doc_id__19_d9e807
3.	bv_doc_id__19_d9e809
Bundesgebiete	bv_doc_id__19_d9e814
<g/>
.	
Der	bv_doc_id__19_d9e821
Bundesstaat	bv_doc_id__19_d9e823
umfaßt	bv_doc_id__19_d9e825
das	bv_doc_id__19_d9e827
Gebiet	bv_doc_id__19_d9e829
der	bv_doc_id__19_d9e832
Länder	bv_doc_id__19_d9e834
in	bv_doc_id__19_d9e836
ihrem	bv_doc_id__19_d9e838
geschichtlich	bv_doc_id__19_d9e840
gewordenen	bv_doc_id__19_d9e842
Umfang	bv_doc_id__19_d9e845
<g/>
,	
soweit	bv_doc_id__19_d9e849
er	bv_doc_id__19_d9e851
nicht	bv_doc_id__19_d9e853
durch	bv_doc_id__19_d9e855
den	bv_doc_id__19_d9e858
Vertrag	bv_doc_id__19_d9e860
von	bv_doc_id__19_d9e862
St	bv_doc_id__19_d9e864
<g/>
.	
Germain	bv_doc_id__19_d9e868
geändert	bv_doc_id__19_d9e871
worden	bv_doc_id__19_d9e873
ist	bv_doc_id__19_d9e875
<g/>
.	
Die	bv_doc_id__19_d9e882
Aufnahme	bv_doc_id__19_d9e884
deutschen	bv_doc_id__19_d9e886
Gebietes	bv_doc_id__19_d9e888
<g/>
,	
das	bv_doc_id__19_d9e893
außerhalb	bv_doc_id__19_d9e895
der	bv_doc_id__19_d9e897
Grenzen	bv_doc_id__19_d9e899
liegt	bv_doc_id__19_d9e901
<g/>
,	
in	bv_doc_id__19_d9e906
eines	bv_doc_id__19_d9e908
der	bv_doc_id__19_d9e910
Länder	bv_doc_id__19_d9e912
erfolgt	bv_doc_id__19_d9e914
durch	bv_doc_id__19_d9e916
übereinstimmende	bv_doc_id__19_d9e919
Gesetze	bv_doc_id__19_d9e921
des	bv_doc_id__19_d9e923
Bundes	bv_doc_id__19_d9e925
und	bv_doc_id__19_d9e927
des	bv_doc_id__19_d9e929
betreffenden	bv_doc_id__19_d9e932
Landes	bv_doc_id__19_d9e934
<g/>
.	
Die	bv_doc_id__19_d9e938
Änderung	bv_doc_id__19_d9e940
der	bv_doc_id__19_d9e942
Grenzen	bv_doc_id__19_d9e945
zweier	bv_doc_id__19_d9e947
Länder	bv_doc_id__19_d9e949
<g/>
,	
die	bv_doc_id__19_d9e953
Teilung	bv_doc_id__19_d9e955
eines	bv_doc_id__19_d9e958
Landes	bv_doc_id__19_d9e960
<g/>
,	
die	bv_doc_id__19_d9e964
Zusammenlegung	bv_doc_id__19_d9e966
mehrerer	bv_doc_id__19_d9e968
Länder	bv_doc_id__19_d9e971
erfolgt	bv_doc_id__19_d9e973
durch	bv_doc_id__19_d9e975
übereinstimmende	bv_doc_id__19_d9e977
Gesetze	bv_doc_id__19_d9e979
des	bv_doc_id__19_d9e981
Bundes	bv_doc_id__19_d9e984
und	bv_doc_id__19_d9e986
der	bv_doc_id__19_d9e988
beteiligten	bv_doc_id__19_d9e990
Länder	bv_doc_id__19_d9e992
<g/>
.	
Art.	bv_doc_id__19_d9e1005
4.	bv_doc_id__19_d9e1007
Staatshoheit	bv_doc_id__19_d9e1012
<g/>
.	
Die	bv_doc_id__19_d9e1019
Länder	bv_doc_id__19_d9e1021
sind	bv_doc_id__19_d9e1023
selbständig	bv_doc_id__19_d9e1025
<g/>
,	
soweit	bv_doc_id__19_d9e1030
ihre	bv_doc_id__19_d9e1032
Selbständigkeit	bv_doc_id__19_d9e1034
nicht	bv_doc_id__19_d9e1036
durch	bv_doc_id__19_d9e1038
die	bv_doc_id__19_d9e1040
Verfassung	bv_doc_id__19_d9e1043
zugunsten	bv_doc_id__19_d9e1045
des	bv_doc_id__19_d9e1047
Bundesstaates	bv_doc_id__19_d9e1049
beschränkt	bv_doc_id__19_d9e1051
ist	bv_doc_id__19_d9e1053
<g/>
.	
Den	bv_doc_id__19_d9e1061
Ländern	bv_doc_id__19_d9e1063
stehen	bv_doc_id__19_d9e1065
alle	bv_doc_id__19_d9e1067
staatlichen	bv_doc_id__19_d9e1069
Hoheitsrechte	bv_doc_id__19_d9e1072
zu	bv_doc_id__19_d9e1074
<g/>
,	
soweit	bv_doc_id__19_d9e1078
sie	bv_doc_id__19_d9e1080
nicht	bv_doc_id__19_d9e1082
durch	bv_doc_id__19_d9e1085
die	bv_doc_id__19_d9e1087
Verfassung	bv_doc_id__19_d9e1089
dem	bv_doc_id__19_d9e1091
Bund	bv_doc_id__19_d9e1093
übertragen	bv_doc_id__19_d9e1095
sind	bv_doc_id__19_d9e1098
<g/>
.	
Die	bv_doc_id__19_d9e1106
Länder	bv_doc_id__19_d9e1108
sind	bv_doc_id__19_d9e1110
untereinander	bv_doc_id__19_d9e1112
gleichberechtigt	bv_doc_id__19_d9e1114
<g/>
.	
Die	bv_doc_id__19_d9e1122
deutsche	bv_doc_id__19_d9e1124
Sprache	bv_doc_id__19_d9e1126
ist	bv_doc_id__19_d9e1128
Staatssprache	bv_doc_id__19_d9e1130
<g/>
.	
Art.	bv_doc_id__19_d9e1141
5.	bv_doc_id__19_d9e1143
Die	bv_doc_id__19_d9e1148
Machtverteilung	bv_doc_id__19_d9e1150
zwischen	bv_doc_id__19_d9e1152
dem	bv_doc_id__19_d9e1154
Bund	bv_doc_id__19_d9e1156
und	bv_doc_id__19_d9e1159
den	bv_doc_id__19_d9e1161
Ländern	bv_doc_id__19_d9e1163
<g/>
.	
Soweit	bv_doc_id__19_d9e1170
die	bv_doc_id__19_d9e1172
Länder	bv_doc_id__19_d9e1174
durch	bv_doc_id__19_d9e1176
diese	bv_doc_id__19_d9e1178
Verfassung	bv_doc_id__19_d9e1181
ihre	bv_doc_id__19_d9e1183
Hoheitsrechte	bv_doc_id__19_d9e1185
dem	bv_doc_id__19_d9e1187
Bunde	bv_doc_id__19_d9e1189
übetragen	bv_doc_id__19_d9e1191
<g/>
,	
kommt	bv_doc_id__19_d9e1196
diesem	bv_doc_id__19_d9e1198
in	bv_doc_id__19_d9e1200
den	bv_doc_id__19_d9e1202
übertragenen	bv_doc_id__19_d9e1204
Angelegenheiten	bv_doc_id__19_d9e1207
entweder	bv_doc_id__19_d9e1209
1.	bv_doc_id__19_d9e1215
die	bv_doc_id__19_d9e1220
ausschließliche	bv_doc_id__19_d9e1222
Gesetzgebung	bv_doc_id__19_d9e1224
und	bv_doc_id__19_d9e1226
Verwaltung	bv_doc_id__19_d9e1228
zu	bv_doc_id__19_d9e1231
<g/>
(	
ausschließlicher	bv_doc_id__19_d9e1235
Wirkungskreis	bv_doc_id__19_d9e1237
<g/>
)	
oder	bv_doc_id__19_d9e1241
2.	bv_doc_id__19_d9e1246
nur	bv_doc_id__19_d9e1251
die	bv_doc_id__19_d9e1253
Gesetzgebung	bv_doc_id__19_d9e1255
und	bv_doc_id__19_d9e1257
die	bv_doc_id__19_d9e1259
Aufsicht	bv_doc_id__19_d9e1262
über	bv_doc_id__19_d9e1264
die	bv_doc_id__19_d9e1266
Verwaltung	bv_doc_id__19_d9e1268
zu	bv_doc_id__19_d9e1270
<g/>
,	
die	bv_doc_id__19_d9e1275
den	bv_doc_id__19_d9e1277
Ländern	bv_doc_id__19_d9e1279
oder	bv_doc_id__19_d9e1281
autonomen	bv_doc_id__19_d9e1283
Körperschaften	bv_doc_id__19_d9e1285
verbleibt	bv_doc_id__19_d9e1288
<g/>
(	
grundlegender	bv_doc_id__19_d9e1292
Wirkungskreis	bv_doc_id__19_d9e1294
<g/>
)	
oder	bv_doc_id__19_d9e1298
3.	bv_doc_id__19_d9e1303
nur	bv_doc_id__19_d9e1309
die	bv_doc_id__19_d9e1311
gesetzliche	bv_doc_id__19_d9e1313
Festlegung	bv_doc_id__19_d9e1315
der	bv_doc_id__19_d9e1317
Grundsätze	bv_doc_id__19_d9e1320
zu	bv_doc_id__19_d9e1322
<g/>
,	
während	bv_doc_id__19_d9e1326
den	bv_doc_id__19_d9e1328
Ländern	bv_doc_id__19_d9e1330
die	bv_doc_id__19_d9e1333
nähere	bv_doc_id__19_d9e1335
gesetzliche	bv_doc_id__19_d9e1337
Regelung	bv_doc_id__19_d9e1339
und	bv_doc_id__19_d9e1341
die	bv_doc_id__19_d9e1343
Verwaltung	bv_doc_id__19_d9e1346
obliegt	bv_doc_id__19_d9e1348
<g/>
(	
grundsätzlicher	bv_doc_id__19_d9e1352
Wirkungskreis	bv_doc_id__19_d9e1354
<g/>
).	
Soweit	bv_doc_id__19_d9e1359
verfassungsgemäß	bv_doc_id__19_d9e1361
Bundesgesetze	bv_doc_id__19_d9e1363
vorliegen	bv_doc_id__19_d9e1365
<g/>
,	
sind	bv_doc_id__19_d9e1369
sie	bv_doc_id__19_d9e1372
für	bv_doc_id__19_d9e1374
die	bv_doc_id__19_d9e1376
Länder	bv_doc_id__19_d9e1378
bindend	bv_doc_id__19_d9e1380
<g/>
.	
Soweit	bv_doc_id__19_d9e1385
eine	bv_doc_id__19_d9e1387
Übertragung	bv_doc_id__19_d9e1389
an	bv_doc_id__19_d9e1391
den	bv_doc_id__19_d9e1393
Bund	bv_doc_id__19_d9e1395
nicht	bv_doc_id__19_d9e1398
vorliegt	bv_doc_id__19_d9e1400
<g/>
,	
steht	bv_doc_id__19_d9e1404
den	bv_doc_id__19_d9e1406
Ländern	bv_doc_id__19_d9e1408
Gesetzgebung	bv_doc_id__19_d9e1411
und	bv_doc_id__19_d9e1413
Verwaltung	bv_doc_id__19_d9e1415
zu	bv_doc_id__19_d9e1417
<g/>
.	
Erläßt	bv_doc_id__19_d9e1421
der	bv_doc_id__19_d9e1424
Bund	bv_doc_id__19_d9e1426
ein	bv_doc_id__19_d9e1428
grundsätzliches	bv_doc_id__19_d9e1430
Gesetz	bv_doc_id__19_d9e1432
<g/>
(	
3	bv_doc_id__19_d9e1437
<g/>
),	
so	bv_doc_id__19_d9e1441
kann	bv_doc_id__19_d9e1443
er	bv_doc_id__19_d9e1445
eine	bv_doc_id__19_d9e1447
Frist	bv_doc_id__19_d9e1450
bestimmen	bv_doc_id__19_d9e1452
<g/>
,	
innerhalb	bv_doc_id__19_d9e1456
deren	bv_doc_id__19_d9e1458
das	bv_doc_id__19_d9e1460
Land	bv_doc_id__19_d9e1463
das	bv_doc_id__19_d9e1465
Ausführungsgesetz	bv_doc_id__19_d9e1467
zu	bv_doc_id__19_d9e1469
schaffen	bv_doc_id__19_d9e1471
hat	bv_doc_id__19_d9e1473
<g/>
.	
Bei	bv_doc_id__19_d9e1478
fruchtlosem	bv_doc_id__19_d9e1480
Ablauf	bv_doc_id__19_d9e1482
der	bv_doc_id__19_d9e1484
Frist	bv_doc_id__19_d9e1486
ist	bv_doc_id__19_d9e1489
der	bv_doc_id__19_d9e1491
Bund	bv_doc_id__19_d9e1493
berechtigt	bv_doc_id__19_d9e1495
<g/>
,	
das	bv_doc_id__19_d9e1499
Ausführungsgesetz	bv_doc_id__19_d9e1502
selbst	bv_doc_id__19_d9e1504
zu	bv_doc_id__19_d9e1506
erlassen	bv_doc_id__19_d9e1508
<g/>
.	
Macht	bv_doc_id__19_d9e1512
der	bv_doc_id__19_d9e1515
Bund	bv_doc_id__19_d9e1517
von	bv_doc_id__19_d9e1519
seinem	bv_doc_id__19_d9e1521
Gesetzgebungsrecht	bv_doc_id__19_d9e1523
in	bv_doc_id__19_d9e1525
Angelegenheiten	bv_doc_id__19_d9e1528
<g/>
,	
die	bv_doc_id__19_d9e1532
nicht	bv_doc_id__19_d9e1534
zum	bv_doc_id__19_d9e1536
ausschließlichen	bv_doc_id__19_d9e1538
Wirkungskreis	bv_doc_id__19_d9e1541
gehören	bv_doc_id__19_d9e1543
<g/>
,	
keinen	bv_doc_id__19_d9e1547
Gebrauch	bv_doc_id__19_d9e1549
<g/>
,	
so	bv_doc_id__19_d9e1554
können	bv_doc_id__19_d9e1556
die	bv_doc_id__19_d9e1558
Länder	bv_doc_id__19_d9e1560
auch	bv_doc_id__19_d9e1562
auf	bv_doc_id__19_d9e1564
diesem	bv_doc_id__19_d9e1567
Gebiete	bv_doc_id__19_d9e1569
Gesetze	bv_doc_id__19_d9e1571
erlassen	bv_doc_id__19_d9e1573
<g/>
,	
die	bv_doc_id__19_d9e1577
aber	bv_doc_id__19_d9e1580
einem	bv_doc_id__19_d9e1582
späteren	bv_doc_id__19_d9e1584
Bundesgesetz	bv_doc_id__19_d9e1586
weichen	bv_doc_id__19_d9e1588
<g/>
.	
Über	bv_doc_id__19_d9e1597
Verfassungsstreitigkeiten	bv_doc_id__19_d9e1599
zwischen	bv_doc_id__19_d9e1601
den	bv_doc_id__19_d9e1603
Ländern	bv_doc_id__19_d9e1605
oder	bv_doc_id__19_d9e1608
zwischen	bv_doc_id__19_d9e1610
dem	bv_doc_id__19_d9e1612
Bund	bv_doc_id__19_d9e1614
und	bv_doc_id__19_d9e1616
einzelnen	bv_doc_id__19_d9e1618
Ländern	bv_doc_id__19_d9e1621
entscheidet	bv_doc_id__19_d9e1623
das	bv_doc_id__19_d9e1625
Bundesverfassungsgericht	bv_doc_id__19_d9e1627
<g/>
.	
Art.	bv_doc_id__19_d9e1637
6.	bv_doc_id__19_d9e1639
Ausschließlicher	bv_doc_id__19_d9e1644
Wirkungskreis	bv_doc_id__19_d9e1646
des	bv_doc_id__19_d9e1648
Bundes	bv_doc_id__19_d9e1650
<g/>
.	
Der	bv_doc_id__19_d9e1657
Bund	bv_doc_id__19_d9e1659
hat	bv_doc_id__19_d9e1661
Gesetzgebung	bv_doc_id__19_d9e1663
und	bv_doc_id__19_d9e1665
Verwaltung	bv_doc_id__19_d9e1668
über	bv_doc_id__19_d9e1670
folgende	bv_doc_id__19_d9e1672
Angelegenheiten	bv_doc_id__19_d9e1674
<g/>
:	
1.	bv_doc_id__19_d9e1682
Die	bv_doc_id__19_d9e1687
Bundesverfassung	bv_doc_id__19_d9e1689
<g/>
,	
die	bv_doc_id__19_d9e1693
Verlautbarung	bv_doc_id__19_d9e1695
der	bv_doc_id__19_d9e1698
Bundesgesetze	bv_doc_id__19_d9e1700
<g/>
,	
die	bv_doc_id__19_d9e1704
Organisation	bv_doc_id__19_d9e1706
der	bv_doc_id__19_d9e1708
Bundesbehörden	bv_doc_id__19_d9e1711
<g/>
.	
2.	bv_doc_id__19_d9e1718
Die	bv_doc_id__19_d9e1723
Beziehungen	bv_doc_id__19_d9e1725
zum	bv_doc_id__19_d9e1727
Ausland	bv_doc_id__19_d9e1729
<g/>
,	
die	bv_doc_id__19_d9e1734
diplomatische	bv_doc_id__19_d9e1736
und	bv_doc_id__19_d9e1738
kommerzielle	bv_doc_id__19_d9e1740
Vertretung	bv_doc_id__19_d9e1742
<g/>
,	
die	bv_doc_id__19_d9e1747
Kriegserklärung	bv_doc_id__19_d9e1749
<g/>
,	
den	bv_doc_id__19_d9e1753
Friedensschluß	bv_doc_id__19_d9e1755
<g/>
,	
die	bv_doc_id__19_d9e1760
Staatsverträge	bv_doc_id__19_d9e1762
<g/>
,	
die	bv_doc_id__19_d9e1766
Handelsverträage	bv_doc_id__19_d9e1768
<g/>
,	
die	bv_doc_id__19_d9e1773
Regelung	bv_doc_id__19_d9e1775
des	bv_doc_id__19_d9e1777
Zollwesens	bv_doc_id__19_d9e1779
und	bv_doc_id__19_d9e1781
die	bv_doc_id__19_d9e1783
Regelung	bv_doc_id__19_d9e1786
des	bv_doc_id__19_d9e1788
Verkehrs	bv_doc_id__19_d9e1790
zwischen	bv_doc_id__19_d9e1792
den	bv_doc_id__19_d9e1794
einzelnen	bv_doc_id__19_d9e1796
Bundesländern	bv_doc_id__19_d9e1799
<g/>
.	
3.	bv_doc_id__19_d9e1806
Das	bv_doc_id__19_d9e1812
Bundesheer	bv_doc_id__19_d9e1814
und	bv_doc_id__19_d9e1816
die	bv_doc_id__19_d9e1818
Sicherheitswehr	bv_doc_id__19_d9e1820
in	bv_doc_id__19_d9e1823
Wien	bv_doc_id__19_d9e1825
<g/>
,	
Verkehr	bv_doc_id__19_d9e1829
mit	bv_doc_id__19_d9e1831
Schießpulver	bv_doc_id__19_d9e1833
und	bv_doc_id__19_d9e1836
Sprengstoffen	bv_doc_id__19_d9e1838
<g/>
.	
4.	bv_doc_id__19_d9e1845
Die	bv_doc_id__19_d9e1850
Erhebung	bv_doc_id__19_d9e1852
der	bv_doc_id__19_d9e1854
Anklage	bv_doc_id__19_d9e1856
gegen	bv_doc_id__19_d9e1858
den	bv_doc_id__19_d9e1861
Bundespräsidenten	bv_doc_id__19_d9e1863
<g/>
,	
den	bv_doc_id__19_d9e1867
Bundeskanzler	bv_doc_id__19_d9e1869
und	bv_doc_id__19_d9e1871
die	bv_doc_id__19_d9e1874
Mitglieder	bv_doc_id__19_d9e1876
der	bv_doc_id__19_d9e1878
Bundesregierung	bv_doc_id__19_d9e1880
wegen	bv_doc_id__19_d9e1882
Verletzung	bv_doc_id__19_d9e1884
der	bv_doc_id__19_d9e1887
Verfassung	bv_doc_id__19_d9e1889
<g/>
.	
5.	bv_doc_id__19_d9e1896
Die	bv_doc_id__19_d9e1901
Regelung	bv_doc_id__19_d9e1903
der	bv_doc_id__19_d9e1905
Ein-	bv_doc_id__19_d9e1907
und	bv_doc_id__19_d9e1909
Auswanderung	bv_doc_id__19_d9e1912
<g/>
,	
der	bv_doc_id__19_d9e1916
Auslieferung	bv_doc_id__19_d9e1918
<g/>
,	
des	bv_doc_id__19_d9e1922
Paßzwanges	bv_doc_id__19_d9e1925
<g/>
,	
der	bv_doc_id__19_d9e1929
Bevölkerungspolitik	bv_doc_id__19_d9e1931
<g/>
,	
der	bv_doc_id__19_d9e1935
Statistik	bv_doc_id__19_d9e1938
des	bv_doc_id__19_d9e1940
Gesundheits-	bv_doc_id__19_d9e1942
und	bv_doc_id__19_d9e1944
Veterinärwesens	bv_doc_id__19_d9e1946
<g/>
.	
6.	bv_doc_id__19_d9e1953
Das	bv_doc_id__19_d9e1959
Münzwesen	bv_doc_id__19_d9e1961
<g/>
,	
das	bv_doc_id__19_d9e1965
Währungsweisen	bv_doc_id__19_d9e1967
<g/>
,	
Banken	bv_doc_id__19_d9e1972
und	bv_doc_id__19_d9e1974
Börsen	bv_doc_id__19_d9e1976
<g/>
,	
mit	bv_doc_id__19_d9e1980
Ausnahme	bv_doc_id__19_d9e1983
der	bv_doc_id__19_d9e1985
Länderbanken	bv_doc_id__19_d9e1987
<g/>
,	
Agrarbanken	bv_doc_id__19_d9e1991
und	bv_doc_id__19_d9e1993
gewerblichen	bv_doc_id__19_d9e1996
Kreditanstalten	bv_doc_id__19_d9e1998
<g/>
,	
Handel	bv_doc_id__19_d9e2002
und	bv_doc_id__19_d9e2004
Gewerbewesen	bv_doc_id__19_d9e2006
<g/>
,	
Bekämpfung	bv_doc_id__19_d9e2011
des	bv_doc_id__19_d9e2013
unlauteren	bv_doc_id__19_d9e2015
Wettbewerbes	bv_doc_id__19_d9e2017
<g/>
.	
7.	bv_doc_id__19_d9e2024
Maße	bv_doc_id__19_d9e2029
und	bv_doc_id__19_d9e2031
Gewichte	bv_doc_id__19_d9e2033
<g/>
,	
Marken	bv_doc_id__19_d9e2037
<g/>
,	
Muster	bv_doc_id__19_d9e2042
<g/>
,	
Patente	bv_doc_id__19_d9e2046
<g/>
,	
Urheberrechte	bv_doc_id__19_d9e2050
<g/>
,	
Punzierungswesen	bv_doc_id__19_d9e2055
<g/>
.	
8.	bv_doc_id__19_d9e2062
Das	bv_doc_id__19_d9e2067
Bundesverkehrswesen	bv_doc_id__19_d9e2069
<g/>
:	
Post	bv_doc_id__19_d9e2073
<g/>
,	
Telegraph	bv_doc_id__19_d9e2078
<g/>
,	
Fernsprecher	bv_doc_id__19_d9e2082
<g/>
,	
Schiffahrt	bv_doc_id__19_d9e2086
<g/>
,	
außer	bv_doc_id__19_d9e2091
auf	bv_doc_id__19_d9e2093
einem	bv_doc_id__19_d9e2095
See	bv_doc_id__19_d9e2097
<g/>
,	
der	bv_doc_id__19_d9e2101
nur	bv_doc_id__19_d9e2104
zu	bv_doc_id__19_d9e2106
einem	bv_doc_id__19_d9e2108
Lande	bv_doc_id__19_d9e2110
gehört	bv_doc_id__19_d9e2112
<g/>
,	
Luft=	bv_doc_id__19_d9e2117
und	bv_doc_id__19_d9e2119
