<doc id="bv_doc_id__41" attrs="word lemma type">
e	bv_doc_id__41_d31e281
stärksten	bv_doc_id__41_d31e5085
fartei	bv_doc_id__41_d31e5088
Präsident	bv_doc_id__41_d31e5090
wird	bv_doc_id__41_d31e5092
<g/>
,	
dieser	bv_doc_id__41_d31e5096
einerseits	bv_doc_id__41_d31e5098
seiner	bv_doc_id__41_d31e5101
Parter	bv_doc_id__41_d31e5103
entzegen	bv_doc_id__41_d31e5105
<g/>
,	
andererseits	bv_doc_id__41_d31e5109
durch	bv_doc_id__41_d31e5111
seine	bv_doc_id__41_d31e5114
parter	bv_doc_id__41_d31e5116
<g/>
,	
olitische	bv_doc_id__41_d31e5120
Tätigkeit	bv_doc_id__41_d31e5122
überaus	bv_doc_id__41_d31e5124
stark	bv_doc_id__41_d31e5127
belastet	bv_doc_id__41_d31e5129
wird	bv_doc_id__41_d31e5131
<g/>
.	
Nach	bv_doc_id__41_d31e5135
der	bv_doc_id__41_d31e5137
Verstellung	bv_doc_id__41_d31e5140
unserer	bv_doc_id__41_d31e5142
Bevolherune	bv_doc_id__41_d31e5144
sollte	bv_doc_id__41_d31e5146
der	bv_doc_id__41_d31e5148
Präsident	bv_doc_id__41_d31e5150
dem	bv_doc_id__41_d31e5153
Parteigetriebe	bv_doc_id__41_d31e5155
entzexen	bv_doc_id__41_d31e5157
sein	bv_doc_id__41_d31e5159
<g/>
.	
Schon	bv_doc_id__41_d31e5163
die	bv_doc_id__41_d31e5166
Fuhrung	bv_doc_id__41_d31e5168
der	bv_doc_id__41_d31e5170
fermalen	bv_doc_id__41_d31e5172
Geschäfte	bv_doc_id__41_d31e5174
im	bv_doc_id__41_d31e5176
Hause	bv_doc_id__41_d31e5179
der	bv_doc_id__41_d31e5181
Naticaalversammlung	bv_doc_id__41_d31e5183
und	bv_doc_id__41_d31e5185
die	bv_doc_id__41_d31e5187
Funktica	bv_doc_id__41_d31e5189
als	bv_doc_id__41_d31e5192
Ordner	bv_doc_id__41_d31e5194
bei	bv_doc_id__41_d31e5196
den	bv_doc_id__41_d31e5198
Sitzunken	bv_doc_id__41_d31e5200
widerspricht	bv_doc_id__41_d31e5202
der	bv_doc_id__41_d31e5205
Wurde	bv_doc_id__41_d31e5207
eines	bv_doc_id__41_d31e5209
Präsidenten	bv_doc_id__41_d31e5211
<g/>
.	
Die	bv_doc_id__41_d31e5215
Wahl	bv_doc_id__41_d31e5218
musste	bv_doc_id__41_d31e5220
ganz	bv_doc_id__41_d31e5222
anders	bv_doc_id__41_d31e5224
durchgeführt	bv_doc_id__41_d31e5226
werden	bv_doc_id__41_d31e5228
als	bv_doc_id__41_d31e5231
sensties	bv_doc_id__41_d31e5233
Rehlen	bv_doc_id__41_d31e5235
<g/>
.	
Abe	bv_doc_id__41_d31e5239
<g/>
.	
Leutaer	bv_doc_id__41_d31e5244
hält	bv_doc_id__41_d31e5246
eine	bv_doc_id__41_d31e5248
bescadege	bv_doc_id__41_d31e5250
Hehl	bv_doc_id__41_d31e5252
fur	bv_doc_id__41_d31e5254
Geterr	bv_doc_id__41_d31e5257
121	bv_doc_id__41_d31e5262
10-	bv_doc_id__41_d31e5266
den	bv_doc_id__41_d31e5268
schlechtesten	bv_doc_id__41_d31e5270
kex	bv_doc_id__41_d31e5273
um	bv_doc_id__41_d31e5275
eine	bv_doc_id__41_d31e5277
Persca	bv_doc_id__41_d31e5279
zu	bv_doc_id__41_d31e5281
suchen	bv_doc_id__41_d31e5283
<g/>
,	
die	bv_doc_id__41_d31e5288
nicht	bv_doc_id__41_d31e5290
im	bv_doc_id__41_d31e5292
politischen	bv_doc_id__41_d31e5294
Leben	bv_doc_id__41_d31e5296
sicht	bv_doc_id__41_d31e5299
<g/>
.	
Der	bv_doc_id__41_d31e5303
Unterausschuss	bv_doc_id__41_d31e5305
entscheidet	bv_doc_id__41_d31e5307
sich	bv_doc_id__41_d31e5309
auf	bv_doc_id__41_d31e5312
Grund	bv_doc_id__41_d31e5314
prinzipzeller	bv_doc_id__41_d31e5316
Abstianung	bv_doc_id__41_d31e5318
dafur	bv_doc_id__41_d31e5320
<g/>
,	
das	bv_doc_id__41_d31e5325
<g/>
:	
ein	bv_doc_id__41_d31e5329
besanderer	bv_doc_id__41_d31e5331
Bundeepräsident	bv_doc_id__41_d31e5333
gewanlt	bv_doc_id__41_d31e5335
werden	bv_doc_id__41_d31e5338
sel	bv_doc_id__41_d31e5340
<g/>
)	
Der	bv_doc_id__41_d31e5344
Varsitzende	bv_doc_id__41_d31e5346
warnt	bv_doc_id__41_d31e5348
nochmals	bv_doc_id__41_d31e5351
unr	bv_doc_id__41_d31e5353
Einfuhrung	bv_doc_id__41_d31e5355
der	bv_doc_id__41_d31e5357
Volkswehl	bv_doc_id__41_d31e5359
und	bv_doc_id__41_d31e5361
kundigt	bv_doc_id__41_d31e5364
im	bv_doc_id__41_d31e5366
Namen	bv_doc_id__41_d31e5368
seiner	bv_doc_id__41_d31e5370
Partei	bv_doc_id__41_d31e5372
beschränkende	bv_doc_id__41_d31e5374
Bestimmungen	bv_doc_id__41_d31e5377
hinsichtlich	bv_doc_id__41_d31e5379
des	bv_doc_id__41_d31e5381
passiven	bv_doc_id__41_d31e5383
Mahlrechtes	bv_doc_id__41_d31e5385
eines	bv_doc_id__41_d31e5387
vom	bv_doc_id__41_d31e5390
Volke	bv_doc_id__41_d31e5392
gerählten	bv_doc_id__41_d31e5394
Präsidenten	bv_doc_id__41_d31e5396
an	bv_doc_id__41_d31e5398
<g/>
,	
so	bv_doc_id__41_d31e5403
müsste	bv_doc_id__41_d31e5405
die	bv_doc_id__41_d31e5407
Familie	bv_doc_id__41_d31e5409
Habsburk	bv_doc_id__41_d31e5411
<g/>
,	
mussten	bv_doc_id__41_d31e5416
Generale	bv_doc_id__41_d31e5418
und	bv_doc_id__41_d31e5420
Offiziere	bv_doc_id__41_d31e5422
von	bv_doc_id__41_d31e5424
der	bv_doc_id__41_d31e5426
Wählberkeit	bv_doc_id__41_d31e5429
ausgeschlossen	bv_doc_id__41_d31e5431
sein	bv_doc_id__41_d31e5433
<g/>
.	
Da	bv_doc_id__41_d31e5437
er	bv_doc_id__41_d31e5439
nochmals	bv_doc_id__41_d31e5442
darauf	bv_doc_id__41_d31e5444
aufmerksan	bv_doc_id__41_d31e5446
nacht	bv_doc_id__41_d31e5448
<g/>
,	
dass	bv_doc_id__41_d31e5452
die	bv_doc_id__41_d31e5455
jetzike	bv_doc_id__41_d31e5457
Kempetenz	bv_doc_id__41_d31e5459
zu	bv_doc_id__41_d31e5461
gerink	bv_doc_id__41_d31e5463
sei	bv_doc_id__41_d31e5465
<g/>
,	
für	bv_doc_id__41_d31e5470
eine	bv_doc_id__41_d31e5472
mit	bv_doc_id__41_d31e5474
so	bv_doc_id__41_d31e5476
grossem	bv_doc_id__41_d31e5478
Apparat	bv_doc_id__41_d31e5481
gewählte	bv_doc_id__41_d31e5483
Personlichkert	bv_doc_id__41_d31e5485
<g/>
,	
wird	bv_doc_id__41_d31e5489
über	bv_doc_id__41_d31e5491
Antraf	bv_doc_id__41_d31e5494
des	bv_doc_id__41_d31e5496
Abx	bv_doc_id__41_d31e5498
<g/>
.	
Fi	bv_doc_id__41_d31e5502
n	bv_doc_id__41_d31e5504
k	bv_doc_id__41_d31e5507
zuerst	bv_doc_id__41_d31e5509
der	bv_doc_id__41_d31e5511
Wirkungsheis	bv_doc_id__41_d31e5513
des	bv_doc_id__41_d31e5515
Bundesprasidenten	bv_doc_id__41_d31e5517
besprochen	bv_doc_id__41_d31e5520
<g/>
.	
AbR	bv_doc_id__41_d31e5524
<g/>
.	
Dr	bv_doc_id__41_d31e5528
<g/>
.	
Daaneberg	bv_doc_id__41_d31e5533
referiert	bv_doc_id__41_d31e5535
hierauf	bv_doc_id__41_d31e5537
über	bv_doc_id__41_d31e5539
die	bv_doc_id__41_d31e5541
einschlägigen	bv_doc_id__41_d31e5543
Artikel	bv_doc_id__41_d31e5546
des	bv_doc_id__41_d31e5548
Linzer	bv_doc_id__41_d31e5550
Entwirfes	bv_doc_id__41_d31e5552
und	bv_doc_id__41_d31e5554
berücksichtigt	bv_doc_id__41_d31e5556
hieber	bv_doc_id__41_d31e5559
auch	bv_doc_id__41_d31e5561
die	bv_doc_id__41_d31e5563
Forderungen	bv_doc_id__41_d31e5565
der	bv_doc_id__41_d31e5567
anderen	bv_doc_id__41_d31e5569
Partezen	bv_doc_id__41_d31e5572
<g/>
.	
Die	bv_doc_id__41_d31e5576
Bestimmungen	bv_doc_id__41_d31e5578
des	bv_doc_id__41_d31e5580
grossdeutschen	bv_doc_id__41_d31e5582
Entwurfes	bv_doc_id__41_d31e5585
<g/>
,	
nach	bv_doc_id__41_d31e5589
denen	bv_doc_id__41_d31e5591
der	bv_doc_id__41_d31e5593
Bundespräsident	bv_doc_id__41_d31e5595
den	bv_doc_id__41_d31e5598
Oberbefehl	bv_doc_id__41_d31e5600
zu	bv_doc_id__41_d31e5602
fuhren	bv_doc_id__41_d31e5604
hätte	bv_doc_id__41_d31e5606
<g/>
,	
mit	bv_doc_id__41_d31e5611
Zustimmunk	bv_doc_id__41_d31e5613
des	bv_doc_id__41_d31e5615
Bundestages	bv_doc_id__41_d31e5617
den	bv_doc_id__41_d31e5619
Kriex	bv_doc_id__41_d31e5621
zu	bv_doc_id__41_d31e5624
erklären	bv_doc_id__41_d31e5626
und	bv_doc_id__41_d31e5628
auf	bv_doc_id__41_d31e5630
Grund	bv_doc_id__41_d31e5632
eines	bv_doc_id__41_d31e5634
Kelksentscheides	bv_doc_id__41_d31e5637
Frieden	bv_doc_id__41_d31e5639
zu	bv_doc_id__41_d31e5641
schliessen	bv_doc_id__41_d31e5643
hätte	bv_doc_id__41_d31e5645
<g/>
,	
werden	bv_doc_id__41_d31e5650
ebense	bv_doc_id__41_d31e5652
abgelehnt	bv_doc_id__41_d31e5654
wie	bv_doc_id__41_d31e5656
Artikel	bv_doc_id__41_d31e5658
63	bv_doc_id__41_d31e5660
des	bv_doc_id__41_d31e5663
gressdeutschen	bv_doc_id__41_d31e5665
Entwurfs	bv_doc_id__41_d31e5667
<g/>
,	
sodass	bv_doc_id__41_d31e5671
der	bv_doc_id__41_d31e5673
Unterausschuss	bv_doc_id__41_d31e5676
die	bv_doc_id__41_d31e5678
übereinstimmenden	bv_doc_id__41_d31e5680
Anträke	bv_doc_id__41_d31e5682
der	bv_doc_id__41_d31e5684
christlichsozielen	bv_doc_id__41_d31e5686
und	bv_doc_id__41_d31e5689
sczialdemokratischen	bv_doc_id__41_d31e5691
Entwürke	bv_doc_id__41_d31e5693
in	bv_doc_id__41_d31e5695
Beratung	bv_doc_id__41_d31e5697
zieht	bv_doc_id__41_d31e5699
<g/>
.	
Art.54	bv_doc_id__41_d31e5704
des	bv_doc_id__41_d31e5706
Linzer	bv_doc_id__41_d31e5708
Patwurfes	bv_doc_id__41_d31e5710
werd	bv_doc_id__41_d31e5712
hierauf	bv_doc_id__41_d31e5715
absalzweise	bv_doc_id__41_d31e5717
besprechen	bv_doc_id__41_d31e5719
und	bv_doc_id__41_d31e5721
zur	bv_doc_id__41_d31e5723
Abstimmung	bv_doc_id__41_d31e5725
gebracht	bv_doc_id__41_d31e5728
<g/>
:	
Abs	bv_doc_id__41_d31e5732
<g/>
.	
1	bv_doc_id__41_d31e5736
wird	bv_doc_id__41_d31e5738
unverändert	bv_doc_id__41_d31e5741
angenommen	bv_doc_id__41_d31e5743
<g/>
:	
Zu	bv_doc_id__41_d31e5747
Abs	bv_doc_id__41_d31e5749
<g/>
.	
2	bv_doc_id__41_d31e5754
bemerkt	bv_doc_id__41_d31e5756
Mzn	bv_doc_id__41_d31e5758
<g/>
.	
Rat	bv_doc_id__41_d31e5762
Dr	bv_doc_id__41_d31e5764
<g/>
.	
Frrenlich	bv_doc_id__41_d31e5769
erläuternt	bv_doc_id__41_d31e5771
<g/>
,	
dass	bv_doc_id__41_d31e5775
unter	bv_doc_id__41_d31e5777
»Bundesfuaktioaären	bv_doc_id__41_d31e5780
<g/>
,	
der	bv_doc_id__41_d31e5784
Präsident	bv_doc_id__41_d31e5786
des	bv_doc_id__41_d31e5788
Patentantes	bv_doc_id__41_d31e5790
<g/>
.	
stastliche	bv_doc_id__41_d31e5795
Kommssäre	bv_doc_id__41_d31e5797
<g/>
,	
ein	bv_doc_id__41_d31e5801
etwaiger	bv_doc_id__41_d31e5803
Präsident	bv_doc_id__41_d31e5806
der	bv_doc_id__41_d31e5808
Akademie	bv_doc_id__41_d31e5810
der	bv_doc_id__41_d31e5812
Wissenschaften	bv_doc_id__41_d31e5814
oder	bv_doc_id__41_d31e5816
einer	bv_doc_id__41_d31e5819
staatlichen	bv_doc_id__41_d31e5821
Bank	bv_doc_id__41_d31e5823
zu	bv_doc_id__41_d31e5825
verstehen	bv_doc_id__41_d31e5827
wären	bv_doc_id__41_d31e5829
<g/>
.	
11	bv_doc_id__41_d31e5836
Präsident	bv_doc_id__41_d31e5842
Seitz	bv_doc_id__41_d31e5844
stellt	bv_doc_id__41_d31e5846
mer	bv_doc_id__41_d31e5848
bereits	bv_doc_id__41_d31e5850
einen	bv_doc_id__41_d31e5853
Unterschied	bv_doc_id__41_d31e5855
fest	bv_doc_id__41_d31e5857
<g/>
.	
da	bv_doc_id__41_d31e5861
noch	bv_doc_id__41_d31e5863
der	bv_doc_id__41_d31e5866
neutigen	bv_doc_id__41_d31e5868
Textierung	bv_doc_id__41_d31e5870
der	bv_doc_id__41_d31e5872
Präsident	bv_doc_id__41_d31e5874
nicht	bv_doc_id__41_d31e5876
alle	bv_doc_id__41_d31e5879
Bundesangestellten	bv_doc_id__41_d31e5881
<g/>
,	
soidern	bv_doc_id__41_d31e5885
nur	bv_doc_id__41_d31e5887
die	bv_doc_id__41_d31e5889
von	bv_doc_id__41_d31e5892
der	bv_doc_id__41_d31e5894
VI	bv_doc_id__41_d31e5896
<g/>
.	
Rangsklasse	bv_doc_id__41_d31e5900
aufwärts	bv_doc_id__41_d31e5902
eruenst	bv_doc_id__41_d31e5905
<g/>
.	
Dach	bv_doc_id__41_d31e5909
den	bv_doc_id__41_d31e5911
dortlaute	bv_doc_id__41_d31e5913
des	bv_doc_id__41_d31e5915
Linzer	bv_doc_id__41_d31e5918
Entwurfes	bv_doc_id__41_d31e5920
wäre	bv_doc_id__41_d31e5922
es	bv_doc_id__41_d31e5924
angezeigt	bv_doc_id__41_d31e5926
<g/>
,	
dass	bv_doc_id__41_d31e5931
der	bv_doc_id__41_d31e5933
Präsident	bv_doc_id__41_d31e5935
genäss	bv_doc_id__41_d31e5937
Art.	bv_doc_id__41_d31e5939
bo	bv_doc_id__41_d31e5941
das	bv_doc_id__41_d31e5944
Ernennungsrecht	bv_doc_id__41_d31e5946
für	bv_doc_id__41_d31e5948
die	bv_doc_id__41_d31e5950
niedrigen	bv_doc_id__41_d31e5952
Beenten	bv_doc_id__41_d31e5954
überträgt	bv_doc_id__41_d31e5957
<g/>
,	
doch	bv_doc_id__41_d31e5961
kann	bv_doc_id__41_d31e5963
er	bv_doc_id__41_d31e5965
es	bv_doc_id__41_d31e5967
<g/>
,	
wenn	bv_doc_id__41_d31e5972
er	bv_doc_id__41_d31e5974
will	bv_doc_id__41_d31e5976
<g/>
.	
auch	bv_doc_id__41_d31e5980
selbst	bv_doc_id__41_d31e5983
ausühen	bv_doc_id__41_d31e5985
<g/>
.	
Eine	bv_doc_id__41_d31e5989
schwierige	bv_doc_id__41_d31e5991
Interpretatienskrage	bv_doc_id__41_d31e5993
ergibt	bv_doc_id__41_d31e5996
sich	bv_doc_id__41_d31e5998
auch	bv_doc_id__41_d31e6000
sis	bv_doc_id__41_d31e6002
der	bv_doc_id__41_d31e6004
Erfugnis	bv_doc_id__41_d31e6006
zur	bv_doc_id__41_d31e6009
Schaftung	bv_doc_id__41_d31e6011
von	bv_doc_id__41_d31e6013
Ants-	bv_doc_id__41_d31e6015
und	bv_doc_id__41_d31e6017
Ferufstiteln	bv_doc_id__41_d31e6019
<g/>
.	
Aut	bv_doc_id__41_d31e6024
diesem	bv_doc_id__41_d31e6026
Gebiete	bv_doc_id__41_d31e6028
stellen	bv_doc_id__41_d31e6030
die	bv_doc_id__41_d31e6032
Stastsanter	bv_doc_id__41_d31e6035
kanz	bv_doc_id__41_d31e6037
besondere	bv_doc_id__41_d31e6039
Forderungen	bv_doc_id__41_d31e6041
nach	bv_doc_id__41_d31e6043
Schaffung	bv_doc_id__41_d31e6045
neuer	bv_doc_id__41_d31e6048
Iitel	bv_doc_id__41_d31e6050
<g/>
.	
z	bv_doc_id__41_d31e6054
<g/>
.	
B	bv_doc_id__41_d31e6058
<g/>
.	
Gestutsrat	bv_doc_id__41_d31e6063
<g/>
.	
Übergestutsret	bv_doc_id__41_d31e6067
<g/>
.	
Obermagszissur	bv_doc_id__41_d31e6071
u.8.	bv_doc_id__41_d31e6074
Der	bv_doc_id__41_d31e6076
derzeitige	bv_doc_id__41_d31e6078
Präsident	bv_doc_id__41_d31e6080
habe	bv_doc_id__41_d31e6082
die	bv_doc_id__41_d31e6084
Schaffung	bv_doc_id__41_d31e6087
des	bv_doc_id__41_d31e6089
Titels	bv_doc_id__41_d31e6091
dem	bv_doc_id__41_d31e6093
Stestsante	bv_doc_id__41_d31e6095
überlassen	bv_doc_id__41_d31e6097
und	bv_doc_id__41_d31e6100
den	bv_doc_id__41_d31e6102
zum	bv_doc_id__41_d31e6104
Gestutsrat	bv_doc_id__41_d31e6106
Vorgeschlaxenen	bv_doc_id__41_d31e6108
nur	bv_doc_id__41_d31e6110
zum	bv_doc_id__41_d31e6113
Bearten	bv_doc_id__41_d31e6115
der	bv_doc_id__41_d31e6117
VI	bv_doc_id__41_d31e6119
<g/>
.	
Kangsklasse	bv_doc_id__41_d31e6123
ernanst	bv_doc_id__41_d31e6126
<g/>
.	
Stastssetetär	bv_doc_id__41_d31e6130
Dr	bv_doc_id__41_d31e6132
<g/>
.	
Kayr	bv_doc_id__41_d31e6136
fände	bv_doc_id__41_d31e6139
es	bv_doc_id__41_d31e6141
gut	bv_doc_id__41_d31e6143
<g/>
.	
wenn	bv_doc_id__41_d31e6147
diese	bv_doc_id__41_d31e6149
Azenden	bv_doc_id__41_d31e6152
konzentriert	bv_doc_id__41_d31e6154
wiren	bv_doc_id__41_d31e6156
<g/>
.	
Bei	bv_doc_id__41_d31e6160
krorterung	bv_doc_id__41_d31e6162
des	bv_doc_id__41_d31e6165
Ergnadigungsrechtes	bv_doc_id__41_d31e6167
hett	bv_doc_id__41_d31e6169
Präsident	bv_doc_id__41_d31e6171
Se	bv_doc_id__41_d31e6173
it	bv_doc_id__41_d31e6175
z	bv_doc_id__41_d31e6178
die	bv_doc_id__41_d31e6180
Artwendigkert	bv_doc_id__41_d31e6182
herver	bv_doc_id__41_d31e6184
<g/>
,	
auch	bv_doc_id__41_d31e6188
die	bv_doc_id__41_d31e6191
Begnaligung	bv_doc_id__41_d31e6193
in	bv_doc_id__41_d31e6195
Sachen	bv_doc_id__41_d31e6197
des	bv_doc_id__41_d31e6199
Dieziflinerstrafverfahrens	bv_doc_id__41_d31e6201
zu	bv_doc_id__41_d31e6204
regeln	bv_doc_id__41_d31e6206
<g/>
.	
Kin	bv_doc_id__41_d31e6210
<g/>
.	
Rst	bv_doc_id__41_d31e6214
dr	bv_doc_id__41_d31e6217
<g/>
.	
fr	bv_doc_id__41_d31e6221
cehlich	bv_doc_id__41_d31e6223
findet	bv_doc_id__41_d31e6225
dieses	bv_doc_id__41_d31e6227
Recht	bv_doc_id__41_d31e6230
drch	bv_doc_id__41_d31e6232
die	bv_doc_id__41_d31e6234
Bestimmung	bv_doc_id__41_d31e6236
des	bv_doc_id__41_d31e6238
Abs	bv_doc_id__41_d31e6240
<g/>
.	
5	bv_doc_id__41_d31e6245
-genstige	bv_doc_id__41_d31e6247
Befugnisse	bv_doc_id__41_d31e6249
in	bv_doc_id__41_d31e6251
Verscnalengelegenhertenn	bv_doc_id__41_d31e6253
gedecht	bv_doc_id__41_d31e6256
<g/>
,	
man	bv_doc_id__41_d31e6260
müsse	bv_doc_id__41_d31e6262
wegen	bv_doc_id__41_d31e6264
der	bv_doc_id__41_d31e6266
Schnierigkert	bv_doc_id__41_d31e6269
einer	bv_doc_id__41_d31e6271
tanstiven	bv_doc_id__41_d31e6273
Aufzählung	bv_doc_id__41_d31e6275
solche	bv_doc_id__41_d31e6277
Frexen	bv_doc_id__41_d31e6279
durch	bv_doc_id__41_d31e6282
Sondergesetzgebung	bv_doc_id__41_d31e6284
regeln	bv_doc_id__41_d31e6286
<g/>
.	
Auch	bv_doc_id__41_d31e6290
Prof	bv_doc_id__41_d31e6292
<g/>
.	
Kel	bv_doc_id__41_d31e6297
s	bv_doc_id__41_d31e6299
en	bv_doc_id__41_d31e6301
ist	bv_doc_id__41_d31e6303
der	bv_doc_id__41_d31e6305
Inschauung	bv_doc_id__41_d31e6308
<g/>
,	
dass	bv_doc_id__41_d31e6312
dies	bv_doc_id__41_d31e6314
in	bv_doc_id__41_d31e6316
den	bv_doc_id__41_d31e6318
so	bv_doc_id__41_d31e6321
dringend	bv_doc_id__41_d31e6323
notixen	bv_doc_id__41_d31e6325
folizerstrefverfahrasgesetze	bv_doc_id__41_d31e6327
zu	bv_doc_id__41_d31e6329
regeln	bv_doc_id__41_d31e6331
wäre	bv_doc_id__41_d31e6334
<g/>
.	
Es	bv_doc_id__41_d31e6338
xehe	bv_doc_id__41_d31e6340
nicht	bv_doc_id__41_d31e6342
en	bv_doc_id__41_d31e6344
<g/>
,	
den	bv_doc_id__41_d31e6349
trasidenten	bv_doc_id__41_d31e6351
mit	bv_doc_id__41_d31e6353
solchen	bv_doc_id__41_d31e6355
geringfugigen	bv_doc_id__41_d31e6357
Fallen	bv_doc_id__41_d31e6360
zu	bv_doc_id__41_d31e6362
belasten	bv_doc_id__41_d31e6364
<g/>
;	
das	bv_doc_id__41_d31e6368
Begnadigungsrecht	bv_doc_id__41_d31e6370
könne	bv_doc_id__41_d31e6373
ebense	bv_doc_id__41_d31e6375
aut	bv_doc_id__41_d31e6377
von	bv_doc_id__41_d31e6379
der	bv_doc_id__41_d31e6381
odersten	bv_doc_id__41_d31e6383
ressertnässigen	bv_doc_id__41_d31e6386
Stelle	bv_doc_id__41_d31e6388
zusgeubt	bv_doc_id__41_d31e6390
verden	bv_doc_id__41_d31e6392
<g/>
.	
22	bv_doc_id__41_d31e6399
In	bv_doc_id__41_d31e6401
Abs	bv_doc_id__41_d31e6403
<g/>
.	
4	bv_doc_id__41_d31e6407
beanständen	bv_doc_id__41_d31e6409
die	bv_doc_id__41_d31e6412
sozialdenekrstischen	bv_doc_id__41_d31e6414
Vertreter	bv_doc_id__41_d31e6416
die	bv_doc_id__41_d31e6418
Fiedereinführung	bv_doc_id__41_d31e6420
des	bv_doc_id__41_d31e6422
Titels	bv_doc_id__41_d31e6425
Minister-	bv_doc_id__41_d31e6427
und	bv_doc_id__41_d31e6429
sprechen	bv_doc_id__41_d31e6431
sich	bv_doc_id__41_d31e6433
für	bv_doc_id__41_d31e6435
Eerbenattung	bv_doc_id__41_d31e6438
der	bv_doc_id__41_d31e6440
Bereichtung	bv_doc_id__41_d31e6442
-Startssekretär-	bv_doc_id__41_d31e6444
sus	bv_doc_id__41_d31e6446
<g/>
.	
Träsident	bv_doc_id__41_d31e6451
S	bv_doc_id__41_d31e6453
e	bv_doc_id__41_d31e6455
it	bv_doc_id__41_d31e6457
z	bv_doc_id__41_d31e6459
nacht	bv_doc_id__41_d31e6461
auch	bv_doc_id__41_d31e6464
auf	bv_doc_id__41_d31e6466
die	bv_doc_id__41_d31e6468
Frege	bv_doc_id__41_d31e6470
dd	bv_doc_id__41_d31e6472
der	bv_doc_id__41_d31e6474
Urlautserteilung	bv_doc_id__41_d31e6477
an	bv_doc_id__41_d31e6479
die	bv_doc_id__41_d31e6481
Fräsrlenten	bv_doc_id__41_d31e6483
der	bv_doc_id__41_d31e6485
höcsten	bv_doc_id__41_d31e6487
Gerichte	bv_doc_id__41_d31e6490
und	bv_doc_id__41_d31e6492
des	bv_doc_id__41_d31e6494
Stestsrechnungshofes	bv_doc_id__41_d31e6496
aufnerksan	bv_doc_id__41_d31e6498
<g/>
,	
da	bv_doc_id__41_d31e6503
diese	bv_doc_id__41_d31e6505
Funktjrnäre	bv_doc_id__41_d31e6507
Nert	bv_doc_id__41_d31e6509
daraut	bv_doc_id__41_d31e6511
legen	bv_doc_id__41_d31e6513
<g/>
,	
ihre	bv_doc_id__41_d31e6518
Unarhängigkeit	bv_doc_id__41_d31e6520
von	bv_doc_id__41_d31e6522
der	bv_doc_id__41_d31e6524
Rexierung	bv_doc_id__41_d31e6526
zu	bv_doc_id__41_d31e6529
denen	bv_doc_id__41_d31e6531
<g/>
.	
Kin	bv_doc_id__41_d31e6535
<g/>
.	
Ret	bv_doc_id__41_d31e6539
dr	bv_doc_id__41_d31e6542
<g/>
.	
Freehlich	bv_doc_id__41_d31e6546
meint	bv_doc_id__41_d31e6548
<g/>
.	
das	bv_doc_id__41_d31e6552
derlei	bv_doc_id__41_d31e6555
ebenfalls	bv_doc_id__41_d31e6557
unter	bv_doc_id__41_d31e6559
»Hefugnisse	bv_doc_id__41_d31e6561
in	bv_doc_id__41_d31e6563
Personalangelegenheiten«	bv_doc_id__41_d31e6565
zu	bv_doc_id__41_d31e6568
verstehen	bv_doc_id__41_d31e6570
asi	bv_doc_id__41_d31e6572
<g/>
,	
da	bv_doc_id__41_d31e6576
ausfürrlichere	bv_doc_id__41_d31e6578
Einzelbestimmungen	bv_doc_id__41_d31e6581
die	bv_doc_id__41_d31e6583
Verfassung	bv_doc_id__41_d31e6585
zu	bv_doc_id__41_d31e6587
sehr	bv_doc_id__41_d31e6589
telseten	bv_doc_id__41_d31e6591
wurden	bv_doc_id__41_d31e6594
<g/>
.	
der	bv_doc_id__41_d31e6598
Unteratsschuss	bv_doc_id__41_d31e6600
ninnt	bv_doc_id__41_d31e6602
nierauf	bv_doc_id__41_d31e6604
die	bv_doc_id__41_d31e6607
Artikel	bv_doc_id__41_d31e6609
64.	bv_doc_id__41_d31e6611
60	bv_doc_id__41_d31e6613
<g/>
,	
56.	bv_doc_id__41_d31e6617
57	bv_doc_id__41_d31e6620
im	bv_doc_id__41_d31e6622
Werkleute	bv_doc_id__41_d31e6624
des	bv_doc_id__41_d31e6626
Linzer	bv_doc_id__41_d31e6628
Entnurtes	bv_doc_id__41_d31e6630
an	bv_doc_id__41_d31e6633
<g/>
.	
Desgleichen	bv_doc_id__41_d31e6637
wird	bv_doc_id__41_d31e6639
Artikel	bv_doc_id__41_d31e6641
53	bv_doc_id__41_d31e6643
chne	bv_doc_id__41_d31e6646
ferderung	bv_doc_id__41_d31e6648
angenomnen	bv_doc_id__41_d31e6650
<g/>
.	
In	bv_doc_id__41_d31e6654
Art.	bv_doc_id__41_d31e6656
bl	bv_doc_id__41_d31e6659
ist	bv_doc_id__41_d31e6661
im	bv_doc_id__41_d31e6663
ersten	bv_doc_id__41_d31e6665
Aosetze	bv_doc_id__41_d31e6667
anstatt	bv_doc_id__41_d31e6669
»Fundestagen	bv_doc_id__41_d31e6672
allstirnalreten	bv_doc_id__41_d31e6674
zu	bv_doc_id__41_d31e6676
setzen	bv_doc_id__41_d31e6678
<g/>
:	
zu	bv_doc_id__41_d31e6682
übrigen	bv_doc_id__41_d31e6685
wird	bv_doc_id__41_d31e6687
der	bv_doc_id__41_d31e6689
Artikel	bv_doc_id__41_d31e6691
unter	bv_doc_id__41_d31e6693
Streichung	bv_doc_id__41_d31e6695
des	bv_doc_id__41_d31e6698
Wortes	bv_doc_id__41_d31e6700
