<doc id="bv_doc_id__30" attrs="word lemma type">
II	bv_doc_id__30_d21e395
Artikel	bv_doc_id__30_d21e725
2.	bv_doc_id__30_d21e727
<g/>
(	
1	bv_doc_id__30_d21e736
<g/>
)	
Das	bv_doc_id__30_d21e741
Bundesgebiet	bv_doc_id__30_d21e743
umfaßt	bv_doc_id__30_d21e745
die	bv_doc_id__30_d21e747
Gebiete	bv_doc_id__30_d21e750
der	bv_doc_id__30_d21e752
selbständigen	bv_doc_id__30_d21e754
Länder	bv_doc_id__30_d21e756
Burgenland	bv_doc_id__30_d21e758
<g/>
,	
Kärnten	bv_doc_id__30_d21e763
<g/>
,	
Niederöstereich	bv_doc_id__30_d21e767
<g/>
,	
Oberösterreich	bv_doc_id__30_d21e771
<g/>
,	
Salzburg	bv_doc_id__30_d21e776
<g/>
,	
Steiermark	bv_doc_id__30_d21e780
<g/>
,	
Tirol	bv_doc_id__30_d21e784
<g/>
,	
Vorarlberg	bv_doc_id__30_d21e789
und	bv_doc_id__30_d21e791
der	bv_doc_id__30_d21e793
Bundeshauptstadt	bv_doc_id__30_d21e795
Wien	bv_doc_id__30_d21e797
<g/>
,	
welche	bv_doc_id__30_d21e802
die	bv_doc_id__30_d21e804
Stellung	bv_doc_id__30_d21e806
eines	bv_doc_id__30_d21e808
selbständigen	bv_doc_id__30_d21e810
Landes	bv_doc_id__30_d21e812
hat	bv_doc_id__30_d21e815
<g/>
.	
<g/>
(	
2	bv_doc_id__30_d21e826
<g/>
)	
Das	bv_doc_id__30_d21e831
Bundesgebiet	bv_doc_id__30_d21e833
bildet	bv_doc_id__30_d21e835
ein	bv_doc_id__30_d21e837
einheitliches	bv_doc_id__30_d21e840
Währungs=	bv_doc_id__30_d21e842
<g/>
,	
Wirtschafts=	bv_doc_id__30_d21e846
und	bv_doc_id__30_d21e848
Zollgebiet	bv_doc_id__30_d21e850
<g/>
.	
Artikel	bv_doc_id__30_d21e861
3.	bv_doc_id__30_d21e863
<g/>
(	
1	bv_doc_id__30_d21e872
<g/>
)	
Das	bv_doc_id__30_d21e877
gesamte	bv_doc_id__30_d21e879
Bundesgebiet	bv_doc_id__30_d21e881
steht	bv_doc_id__30_d21e883
im	bv_doc_id__30_d21e886
Verhältnis	bv_doc_id__30_d21e888
nach	bv_doc_id__30_d21e890
außen	bv_doc_id__30_d21e892
und	bv_doc_id__30_d21e894
im	bv_doc_id__30_d21e896
Verhaltnis	bv_doc_id__30_d21e899
der	bv_doc_id__30_d21e901
Länder	bv_doc_id__30_d21e903
zueinander	bv_doc_id__30_d21e905
unter	bv_doc_id__30_d21e907
dem	bv_doc_id__30_d21e909
Schutze	bv_doc_id__30_d21e912
des	bv_doc_id__30_d21e914
Bundes	bv_doc_id__30_d21e916
<g/>
.	
1	bv_doc_id__30_d21e923
2	bv_doc_id__30_d21e927
<g/>
(	
2	bv_doc_id__30_d21e936
<g/>
)	
Eine	bv_doc_id__30_d21e941
Änderung	bv_doc_id__30_d21e943
des	bv_doc_id__30_d21e945
Bundesgebietes	bv_doc_id__30_d21e947
<g/>
,	
die	bv_doc_id__30_d21e952
zu	bv_doc_id__30_d21e954
gleich	bv_doc_id__30_d21e956
eine	bv_doc_id__30_d21e958
Änderung	bv_doc_id__30_d21e960
eines	bv_doc_id__30_d21e963
Landesgebietes	bv_doc_id__30_d21e965
ist	bv_doc_id__30_d21e967
<g/>
,	
ebenso	bv_doc_id__30_d21e971
die	bv_doc_id__30_d21e973
Änderung	bv_doc_id__30_d21e976
einer	bv_doc_id__30_d21e978
Landesgrenze	bv_doc_id__30_d21e980
innerhalb	bv_doc_id__30_d21e982
des	bv_doc_id__30_d21e984
Bundesgebietes	bv_doc_id__30_d21e986
kann	bv_doc_id__30_d21e989
—	bv_doc_id__30_d21e991
abgesehen	bv_doc_id__30_d21e993
von	bv_doc_id__30_d21e995
Friedensverträgen	bv_doc_id__30_d21e997
<g/>
-	
nur	bv_doc_id__30_d21e1002
durch	bv_doc_id__30_d21e1004
übereinstimmende	bv_doc_id__30_d21e1006
Verfassungsgesetze	bv_doc_id__30_d21e1008
des	bv_doc_id__30_d21e1010
Bundes	bv_doc_id__30_d21e1012
und	bv_doc_id__30_d21e1015
jenes	bv_doc_id__30_d21e1017
Landes	bv_doc_id__30_d21e1019
erfolgen	bv_doc_id__30_d21e1021
<g/>
,	
dessen	bv_doc_id__30_d21e1025
Gebiet	bv_doc_id__30_d21e1028
eine	bv_doc_id__30_d21e1030
Änderung	bv_doc_id__30_d21e1032
erfährt	bv_doc_id__30_d21e1034
<g/>
.	
Artikel	bv_doc_id__30_d21e1044
4.	bv_doc_id__30_d21e1046
<g/>
(	
1	bv_doc_id__30_d21e1055
<g/>
)	
Jeder	bv_doc_id__30_d21e1060
Landesbürger	bv_doc_id__30_d21e1062
ist	bv_doc_id__30_d21e1064
Angehöriger	bv_doc_id__30_d21e1066
des	bv_doc_id__30_d21e1069
Bundes	bv_doc_id__30_d21e1071
<g/>
.	
<g/>
(	
2	bv_doc_id__30_d21e1082
<g/>
)	
Die	bv_doc_id__30_d21e1087
Landesbürgerschaft	bv_doc_id__30_d21e1089
ist	bv_doc_id__30_d21e1091
an	bv_doc_id__30_d21e1093
die	bv_doc_id__30_d21e1096
Heimatberechtigung	bv_doc_id__30_d21e1098
in	bv_doc_id__30_d21e1100
der	bv_doc_id__30_d21e1102
Gemeinde	bv_doc_id__30_d21e1104
eines	bv_doc_id__30_d21e1106
Landes	bv_doc_id__30_d21e1109
gebunden	bv_doc_id__30_d21e1111
<g/>
.	
Artikel	bv_doc_id__30_d21e1122
5.	bv_doc_id__30_d21e1124
Jeder	bv_doc_id__30_d21e1129
Bundesangehörige	bv_doc_id__30_d21e1131
hat	bv_doc_id__30_d21e1133
in	bv_doc_id__30_d21e1135
jedem	bv_doc_id__30_d21e1137
Lande	bv_doc_id__30_d21e1140
des	bv_doc_id__30_d21e1142
Bundes	bv_doc_id__30_d21e1144
die	bv_doc_id__30_d21e1146
gleichen	bv_doc_id__30_d21e1148
Rechte	bv_doc_id__30_d21e1150
und	bv_doc_id__30_d21e1153
Pflichten	bv_doc_id__30_d21e1155
wie	bv_doc_id__30_d21e1157
die	bv_doc_id__30_d21e1159
Bürger	bv_doc_id__30_d21e1161
des	bv_doc_id__30_d21e1163
Landes	bv_doc_id__30_d21e1166
selbst	bv_doc_id__30_d21e1168
<g/>
.	
Artikel	bv_doc_id__30_d21e1178
6.	bv_doc_id__30_d21e1180
Die	bv_doc_id__30_d21e1185
deutsche	bv_doc_id__30_d21e1187
Sprache	bv_doc_id__30_d21e1189
ist	bv_doc_id__30_d21e1191
<g/>
,	
unbeschadet	bv_doc_id__30_d21e1196
der	bv_doc_id__30_d21e1198
den	bv_doc_id__30_d21e1200
sprachlichen	bv_doc_id__30_d21e1202
Minderheiten	bv_doc_id__30_d21e1204
gesetzlich	bv_doc_id__30_d21e1206
eingeräumten	bv_doc_id__30_d21e1209
Rechte	bv_doc_id__30_d21e1211
<g/>
,	
die	bv_doc_id__30_d21e1215
Staatssprache	bv_doc_id__30_d21e1217
der	bv_doc_id__30_d21e1219
Republik	bv_doc_id__30_d21e1222
<g/>
.	
Artikel	bv_doc_id__30_d21e1232
7.	bv_doc_id__30_d21e1234
Die	bv_doc_id__30_d21e1239
Flagge	bv_doc_id__30_d21e1241
der	bv_doc_id__30_d21e1243
Republik	bv_doc_id__30_d21e1245
besteht	bv_doc_id__30_d21e1247
aus	bv_doc_id__30_d21e1250
drei	bv_doc_id__30_d21e1252
gleichbreiten	bv_doc_id__30_d21e1254
wagrechten	bv_doc_id__30_d21e1256
Streifen	bv_doc_id__30_d21e1258
<g/>
,	
von	bv_doc_id__30_d21e1263
denen	bv_doc_id__30_d21e1265
der	bv_doc_id__30_d21e1267
mittlere	bv_doc_id__30_d21e1269
weiß	bv_doc_id__30_d21e1271
<g/>
,	
der	bv_doc_id__30_d21e1276
obere	bv_doc_id__30_d21e1278
und	bv_doc_id__30_d21e1280
untere	bv_doc_id__30_d21e1282
rot	bv_doc_id__30_d21e1284
ist	bv_doc_id__30_d21e1286
<g/>
.	
Artikel	bv_doc_id__30_d21e1297
8.	bv_doc_id__30_d21e1299
*	bv_doc_id__30_d21e1304
kommen	bv_doc_id__30_d21e1306
zu	bv_doc_id__30_d21e1308
<g/>
:	
<g/>
(	
1	bv_doc_id__30_d21e1319
<g/>
)	
Das	bv_doc_id__30_d21e1324
Staatswappen	bv_doc_id__30_d21e1326
der	bv_doc_id__30_d21e1328
Republik	bv_doc_id__30_d21e1330
stellt	bv_doc_id__30_d21e1333
einen	bv_doc_id__30_d21e1335
freischwebenden	bv_doc_id__30_d21e1337
<g/>
,	
einköpfigen	bv_doc_id__30_d21e1341
<g/>
,	
schwarzen	bv_doc_id__30_d21e1346
<g/>
,	
golden	bv_doc_id__30_d21e1350
gewaffneten	bv_doc_id__30_d21e1352
und	bv_doc_id__30_d21e1354
rot	bv_doc_id__30_d21e1356
bezungten	bv_doc_id__30_d21e1359
Adler	bv_doc_id__30_d21e1361
dar	bv_doc_id__30_d21e1363
<g/>
,	
dessen	bv_doc_id__30_d21e1367
Brust	bv_doc_id__30_d21e1369
mit	bv_doc_id__30_d21e1372
einem	bv_doc_id__30_d21e1374
roten	bv_doc_id__30_d21e1376
<g/>
,	
von	bv_doc_id__30_d21e1380
einem	bv_doc_id__30_d21e1382
silbernen	bv_doc_id__30_d21e1385
Overbalken	bv_doc_id__30_d21e1387
durchzogenen	bv_doc_id__30_d21e1389
Schildchen	bv_doc_id__30_d21e1391
belegt	bv_doc_id__30_d21e1393
ist	bv_doc_id__30_d21e1395
<g/>
.	
Der	bv_doc_id__30_d21e1400
Adler	bv_doc_id__30_d21e1402
trägt	bv_doc_id__30_d21e1404
auf	bv_doc_id__30_d21e1406
dem	bv_doc_id__30_d21e1408
Haupte	bv_doc_id__30_d21e1411
eine	bv_doc_id__30_d21e1413
goldene	bv_doc_id__30_d21e1415
Mauerkrone	bv_doc_id__30_d21e1417
mit	bv_doc_id__30_d21e1419
drei	bv_doc_id__30_d21e1421
sichtbaren	bv_doc_id__30_d21e1424
Zinnen	bv_doc_id__30_d21e1426
<g/>
,	
im	bv_doc_id__30_d21e1430
rechten	bv_doc_id__30_d21e1432
Fange	bv_doc_id__30_d21e1434
eine	bv_doc_id__30_d21e1437
goldene	bv_doc_id__30_d21e1439
Sichel	bv_doc_id__30_d21e1441
mit	bv_doc_id__30_d21e1443
einwärts	bv_doc_id__30_d21e1445
gekehrter	bv_doc_id__30_d21e1447
Schneide	bv_doc_id__30_d21e1450
<g/>
,	
im	bv_doc_id__30_d21e1454
linken	bv_doc_id__30_d21e1456
Fange	bv_doc_id__30_d21e1458
einen	bv_doc_id__30_d21e1460
goldenen	bv_doc_id__30_d21e1463
Hammer	bv_doc_id__30_d21e1465
<g/>
.	
<g/>
(	
2	bv_doc_id__30_d21e1476
<g/>
)	
Das	bv_doc_id__30_d21e1481
Staatssiegel	bv_doc_id__30_d21e1483
weist	bv_doc_id__30_d21e1485
das	bv_doc_id__30_d21e1487
Staatswappen	bv_doc_id__30_d21e1490
mit	bv_doc_id__30_d21e1492
der	bv_doc_id__30_d21e1494
Umschrift	bv_doc_id__30_d21e1496
<g/>
:	
„Republik	bv_doc_id__30_d21e1500
Österreich"	bv_doc_id__30_d21e1503
auf	bv_doc_id__30_d21e1505
<g/>
.	
Artikel	bv_doc_id__30_d21e1515
9.	bv_doc_id__30_d21e1517
Alle	bv_doc_id__30_d21e1522
Behörden	bv_doc_id__30_d21e1524
und	bv_doc_id__30_d21e1526
Ämter	bv_doc_id__30_d21e1528
im	bv_doc_id__30_d21e1530
Bundesgebiete	bv_doc_id__30_d21e1533
sind	bv_doc_id__30_d21e1535
im	bv_doc_id__30_d21e1537
Rahmen	bv_doc_id__30_d21e1539
ihres	bv_doc_id__30_d21e1541
gesetzmäßigen	bv_doc_id__30_d21e1543
Wirkungskreises	bv_doc_id__30_d21e1546
zur	bv_doc_id__30_d21e1548
wechselseitigen	bv_doc_id__30_d21e1550
Hilfeleistung	bv_doc_id__30_d21e1552
verpflichtet	bv_doc_id__30_d21e1554
<g/>
.	
Artikel	bv_doc_id__30_d21e1564
10.	bv_doc_id__30_d21e1566
<g/>
(	
1	bv_doc_id__30_d21e1573
<g/>
)	
Die	bv_doc_id__30_d21e1579
Länder	bv_doc_id__30_d21e1581
übertragen	bv_doc_id__30_d21e1583
*	bv_doc_id__30_d21e1585
der	bv_doc_id__30_d21e1588
Gesetzgebung	bv_doc_id__30_d21e1591
und	bv_doc_id__30_d21e1593
Vollziehung	bv_doc_id__30_d21e1595
des	bv_doc_id__30_d21e1597
Bundes	bv_doc_id__30_d21e1599
<g/>
:	
1.	bv_doc_id__30_d21e1608
die	bv_doc_id__30_d21e1611
auswärtigen	bv_doc_id__30_d21e1613
Angelegenheiten	bv_doc_id__30_d21e1615
mit	bv_doc_id__30_d21e1617
Einschluß	bv_doc_id__30_d21e1620
der	bv_doc_id__30_d21e1622
politischen	bv_doc_id__30_d21e1624
und	bv_doc_id__30_d21e1626
wirtschaftlichen	bv_doc_id__30_d21e1628
Vertretung	bv_doc_id__30_d21e1630
gegenüber	bv_doc_id__30_d21e1635
dem	bv_doc_id__30_d21e1637
Auslande	bv_doc_id__30_d21e1639
<g/>
;	
die	bv_doc_id__30_d21e1643
Grenzvermarkung	bv_doc_id__30_d21e1646
<g/>
;	
Regelung	bv_doc_id__30_d21e1650
des	bv_doc_id__30_d21e1652
Waren=	bv_doc_id__30_d21e1654
und	bv_doc_id__30_d21e1656
Viehverkehrs	bv_doc_id__30_d21e1659
mit	bv_doc_id__30_d21e1661
dem	bv_doc_id__30_d21e1663
Auslande	bv_doc_id__30_d21e1665
<g/>
;	
das	bv_doc_id__30_d21e1669
Zollwesen	bv_doc_id__30_d21e1672
<g/>
;	
2.	bv_doc_id__30_d21e1681
die	bv_doc_id__30_d21e1684
Regelung	bv_doc_id__30_d21e1686
und	bv_doc_id__30_d21e1688
Überwachung	bv_doc_id__30_d21e1690
des	bv_doc_id__30_d21e1693
Eintrittes	bv_doc_id__30_d21e1695
in	bv_doc_id__30_d21e1697
das	bv_doc_id__30_d21e1699
Bundesgebiet	bv_doc_id__30_d21e1701
und	bv_doc_id__30_d21e1703
des	bv_doc_id__30_d21e1706
Austrittes	bv_doc_id__30_d21e1708
aus	bv_doc_id__30_d21e1710
diesem	bv_doc_id__30_d21e1712
<g/>
;	
das	bv_doc_id__30_d21e1716
Ein=	bv_doc_id__30_d21e1719
und	bv_doc_id__30_d21e1721
Auswanderungswesen	bv_doc_id__30_d21e1723
<g/>
;	
die	bv_doc_id__30_d21e1727
Abschiebung	bv_doc_id__30_d21e1729
<g/>
,	
Abschaffung	bv_doc_id__30_d21e1734
<g/>
,	
Ausweisung	bv_doc_id__30_d21e1738
und	bv_doc_id__30_d21e1740
Auslieferung	bv_doc_id__30_d21e1742
aus	bv_doc_id__30_d21e1745
dem	bv_doc_id__30_d21e1747
Bundesgebiet	bv_doc_id__30_d21e1749
sowie	bv_doc_id__30_d21e1751
die	bv_doc_id__30_d21e1753
Durchlieferung	bv_doc_id__30_d21e1755
<g/>
;	
3.	bv_doc_id__30_d21e1765
die	bv_doc_id__30_d21e1768
Wahlen	bv_doc_id__30_d21e1770
zum	bv_doc_id__30_d21e1772
Bundestag	bv_doc_id__30_d21e1774
und	bv_doc_id__30_d21e1777
die	bv_doc_id__30_d21e1779
Wahl	bv_doc_id__30_d21e1781
des	bv_doc_id__30_d21e1783
Bundespräsidenten	bv_doc_id__30_d21e1785
<g/>
,	
die	bv_doc_id__30_d21e1790
Durchführung	bv_doc_id__30_d21e1792
von	bv_doc_id__30_d21e1794
Volksabstimmungen	bv_doc_id__30_d21e1796
im	bv_doc_id__30_d21e1798
ganzen	bv_doc_id__30_d21e1800
Bundesgebiete	bv_doc_id__30_d21e1803
sowie	bv_doc_id__30_d21e1807
die	bv_doc_id__30_d21e1809
Einrichtung	bv_doc_id__30_d21e1814
und	bv_doc_id__30_d21e1816
Führung	bv_doc_id__30_d21e1818
der	bv_doc_id__30_d21e1820
Bürgerlisten	bv_doc_id__30_d21e1822
<g/>
:	
<g/>
/:	
Nähere	bv_doc_id__30_d21e1833
Stellungnahme	bv_doc_id__30_d21e1835
vorbehalten	bv_doc_id__30_d21e1837
<g/>
:/	
4.	bv_doc_id__30_d21e1846
die	bv_doc_id__30_d21e1849
Bundessinanzen	bv_doc_id__30_d21e1851
<g/>
,	
insbesondere	bv_doc_id__30_d21e1855
die	bv_doc_id__30_d21e1858
öffentlichen	bv_doc_id__30_d21e1860
Abgaben	bv_doc_id__30_d21e1862
<g/>
,	
die	bv_doc_id__30_d21e1866
ausschließlich	bv_doc_id__30_d21e1868
oder	bv_doc_id__30_d21e1871
teilweise	bv_doc_id__30_d21e1873
für	bv_doc_id__30_d21e1875
den	bv_doc_id__30_d21e1877
Bund	bv_doc_id__30_d21e1879
einzuheben	bv_doc_id__30_d21e1881
sind	bv_doc_id__30_d21e1884
<g/>
;	
das	bv_doc_id__30_d21e1888
Monopolwesen	bv_doc_id__30_d21e1890
<g/>
;	
die	bv_doc_id__30_d21e1894
Regelung	bv_doc_id__30_d21e1897
<g/>
,	
welche	bv_doc_id__30_d21e1901
Abgaben	bv_doc_id__30_d21e1903
dem	bv_doc_id__30_d21e1905
Bunde	bv_doc_id__30_d21e1907
und	bv_doc_id__30_d21e1910
den	bv_doc_id__30_d21e1912
Ländern	bv_doc_id__30_d21e1914
zustehen	bv_doc_id__30_d21e1916
<g/>
;	
die	bv_doc_id__30_d21e1920
Regelung	bv_doc_id__30_d21e1923
der	bv_doc_id__30_d21e1925
Anteilnahme	bv_doc_id__30_d21e1927
der	bv_doc_id__30_d21e1929
Länder	bv_doc_id__30_d21e1931
an	bv_doc_id__30_d21e1933
den	bv_doc_id__30_d21e1936
Einnahmen	bv_doc_id__30_d21e1938
des	bv_doc_id__30_d21e1940
Bundes	bv_doc_id__30_d21e1942
und	bv_doc_id__30_d21e1944
die	bv_doc_id__30_d21e1946
Regelung	bv_doc_id__30_d21e1949
der	bv_doc_id__30_d21e1951
Beiträge	bv_doc_id__30_d21e1953
und	bv_doc_id__30_d21e1955
Zuschüsse	bv_doc_id__30_d21e1957
aus	bv_doc_id__30_d21e1959
Bundesmitteln	bv_doc_id__30_d21e1962
zu	bv_doc_id__30_d21e1964
den	bv_doc_id__30_d21e1966
Ausgaben	bv_doc_id__30_d21e1968
der	bv_doc_id__30_d21e1970
Länder	bv_doc_id__30_d21e1972
<g/>
;	
5.	bv_doc_id__30_d21e1982
das	bv_doc_id__30_d21e1985
Geld=	bv_doc_id__30_d21e1987
<g/>
,	
Kredit=	bv_doc_id__30_d21e1991
<g/>
,	
Börse=	bv_doc_id__30_d21e1996
und	bv_doc_id__30_d21e1998
Bankwesen	bv_doc_id__30_d21e2000
<g/>
;	
das	bv_doc_id__30_d21e2004
Maß=	bv_doc_id__30_d21e2007
<g/>
,	
Gewichts=	bv_doc_id__30_d21e2011
<g/>
,	
Normen=	bv_doc_id__30_d21e2015
und	bv_doc_id__30_d21e2017
Punzierungswesen	bv_doc_id__30_d21e2020
<g/>
;	
6.	bv_doc_id__30_d21e2029
das	bv_doc_id__30_d21e2032
Zivil=	bv_doc_id__30_d21e2034
und	bv_doc_id__30_d21e2036
Strafrechtswesen	bv_doc_id__30_d21e2038
einschließlich	bv_doc_id__30_d21e2041
des	bv_doc_id__30_d21e2043
wirtschaftlichen	bv_doc_id__30_d21e2045
Assoziationswesens	bv_doc_id__30_d21e2047
die	bv_doc_id__30_d21e2049
Justizpflege	bv_doc_id__30_d21e2051
<g/>
;	
das	bv_doc_id__30_d21e2056
Verwaltungsstrafrecht	bv_doc_id__30_d21e2058
in	bv_doc_id__30_d21e2060
An¬	bv_doc_id__30_d21e2062
gelegenheiten	bv_doc_id__30_d21e2067
<g/>
,	
deren	bv_doc_id__30_d21e2071
Vollziehung	bv_doc_id__30_d21e2073
dem	bv_doc_id__30_d21e2075
Bunde	bv_doc_id__30_d21e2078
zusteht	bv_doc_id__30_d21e2080
<g/>
;	
die	bv_doc_id__30_d21e2084
Verwaltungsgerichtsbarkeit	bv_doc_id__30_d21e2086
<g/>
;	
das	bv_doc_id__30_d21e2091
Urheberrecht	bv_doc_id__30_d21e2093
<g/>
;	
die	bv_doc_id__30_d21e2097
Bekämpfung	bv_doc_id__30_d21e2099
des	bv_doc_id__30_d21e2101
unlauteren	bv_doc_id__30_d21e2104
Wettbewerbes	bv_doc_id__30_d21e2106
<g/>
;	
das	bv_doc_id__30_d21e2110
Patentwesen	bv_doc_id__30_d21e2112
sowie	bv_doc_id__30_d21e2114
den	bv_doc_id__30_d21e2117
Marken=	bv_doc_id__30_d21e2119
und	bv_doc_id__30_d21e2121
Musterschutz	bv_doc_id__30_d21e2123
<g/>
;	
die	bv_doc_id__30_d21e2127
Enteignung	bv_doc_id__30_d21e2130
<g/>
,	
soweit	bv_doc_id__30_d21e2134
sie	bv_doc_id__30_d21e2136
nicht	bv_doc_id__30_d21e2138
Angelegenheiten	bv_doc_id__30_d21e2140
betrifft	bv_doc_id__30_d21e2143
<g/>
,	
die	bv_doc_id__30_d21e2147
in	bv_doc_id__30_d21e2149
den	bv_doc_id__30_d21e2151
Wirkungskreis	bv_doc_id__30_d21e2153
der	bv_doc_id__30_d21e2156
Länder	bv_doc_id__30_d21e2158
fallen	bv_doc_id__30_d21e2160
<g/>
;	
die	bv_doc_id__30_d21e2164
Angelegenheiten	bv_doc_id__30_d21e2166
der	bv_doc_id__30_d21e2169
Notare	bv_doc_id__30_d21e2171
<g/>
,	
der	bv_doc_id__30_d21e2175
Rechtsanwälte	bv_doc_id__30_d21e2177
und	bv_doc_id__30_d21e2179
verwandter	bv_doc_id__30_d21e2182
Berufe	bv_doc_id__30_d21e2184
<g/>
;	
das	bv_doc_id__30_d21e2188
Ingenieur=	bv_doc_id__30_d21e2190
und	bv_doc_id__30_d21e2192
Ziviltechnikerwesen	bv_doc_id__30_d21e2195
<g/>
;	
die	bv_doc_id__30_d21e2199
Handels=	bv_doc_id__30_d21e2201
und	bv_doc_id__30_d21e2203
Gewerbekammern	bv_doc_id__30_d21e2205
<g/>
;	
7.	bv_doc_id__30_d21e2215
das	bv_doc_id__30_d21e2218
Verkehrswesen	bv_doc_id__30_d21e2220
bezüglich	bv_doc_id__30_d21e2222
der	bv_doc_id__30_d21e2224
Eisenbahnen	bv_doc_id__30_d21e2227
<g/>
,	
der	bv_doc_id__30_d21e2231
Schiffahrt	bv_doc_id__30_d21e2233
und	bv_doc_id__30_d21e2235
der	bv_doc_id__30_d21e2237
Luftschiffahrt	bv_doc_id__30_d21e2240
<g/>
;	
die	bv_doc_id__30_d21e2244
Angelegenheiten	bv_doc_id__30_d21e2246
der	bv_doc_id__30_d21e2248
