<doc id="bv_doc_id__33" attrs="word lemma type">
Bekanntlich	bv_doc_id__33_d24e235
teinerlei	bv_doc_id__33_d24e905
Zwischenzollinien	bv_doc_id__33_d24e907
errichtet	bv_doc_id__33_d24e909
werden	bv_doc_id__33_d24e911
<g/>
.	
Artikel	bv_doc_id__33_d24e916
3b	bv_doc_id__33_d24e918
<g/>
.	
Bundeshauptstadt	bv_doc_id__33_d24e922
und	bv_doc_id__33_d24e924
Sis	bv_doc_id__33_d24e927
der	bv_doc_id__33_d24e929
obersten	bv_doc_id__33_d24e931
Organe	bv_doc_id__33_d24e933
des	bv_doc_id__33_d24e935
Bundes	bv_doc_id__33_d24e937
ist	bv_doc_id__33_d24e940
Bien	bv_doc_id__33_d24e942
<g/>
.	
Artikel	bv_doc_id__33_d24e953
4.	bv_doc_id__33_d24e955
<g/>
(	
1	bv_doc_id__33_d24e964
<g/>
)	
Jedes	bv_doc_id__33_d24e969
Land	bv_doc_id__33_d24e971
hat	bv_doc_id__33_d24e973
eine	bv_doc_id__33_d24e975
Landesbürgerschaft	bv_doc_id__33_d24e978
<g/>
.	
Die	bv_doc_id__33_d24e982
Voraussetungen	bv_doc_id__33_d24e984
für	bv_doc_id__33_d24e986
Erwerb	bv_doc_id__33_d24e988
uns	bv_doc_id__33_d24e991
Verlust	bv_doc_id__33_d24e993
der	bv_doc_id__33_d24e995
Landes	bv_doc_id__33_d24e997
bürgerschaft	bv_doc_id__33_d24e999
sind	bv_doc_id__33_d24e1001
in	bv_doc_id__33_d24e1004
jedem	bv_doc_id__33_d24e1006
Lände	bv_doc_id__33_d24e1008
gleich	bv_doc_id__33_d24e1010
und	bv_doc_id__33_d24e1012
durch	bv_doc_id__33_d24e1014
Bundesgesch	bv_doc_id__33_d24e1017
geregelt	bv_doc_id__33_d24e1019
<g/>
.	
2	bv_doc_id__33_d24e1028
Grundlegende	bv_doc_id__33_d24e1031
Voraussetzung	bv_doc_id__33_d24e1033
der	bv_doc_id__33_d24e1035
Landesbürgerschaft	bv_doc_id__33_d24e1037
ist	bv_doc_id__33_d24e1040
das	bv_doc_id__33_d24e1042
Heimatrecht	bv_doc_id__33_d24e1044
in	bv_doc_id__33_d24e1046
einer	bv_doc_id__33_d24e1048
Gemeinde	bv_doc_id__33_d24e1050
des	bv_doc_id__33_d24e1053
Landes	bv_doc_id__33_d24e1055
<g/>
.	
<g/>
(	
3	bv_doc_id__33_d24e1066
<g/>
)	
Mit	bv_doc_id__33_d24e1071
dem	bv_doc_id__33_d24e1073
Erwerb	bv_doc_id__33_d24e1075
der	bv_doc_id__33_d24e1077
Landesbürgerschaft	bv_doc_id__33_d24e1080
wird	bv_doc_id__33_d24e1082
die	bv_doc_id__33_d24e1084
Bundesbürgerschaft	bv_doc_id__33_d24e1086
erworben	bv_doc_id__33_d24e1088
<g/>
.	
<g/>
(	
4	bv_doc_id__33_d24e1099
<g/>
)	
Jeder	bv_doc_id__33_d24e1104
Bundesbürger	bv_doc_id__33_d24e1106
hat	bv_doc_id__33_d24e1108
in	bv_doc_id__33_d24e1110
jedem	bv_doc_id__33_d24e1113
Lande	bv_doc_id__33_d24e1115
die	bv_doc_id__33_d24e1117
gleichen	bv_doc_id__33_d24e1119
Rechte	bv_doc_id__33_d24e1121
uns	bv_doc_id__33_d24e1123
Pflichten	bv_doc_id__33_d24e1126
wie	bv_doc_id__33_d24e1128
die	bv_doc_id__33_d24e1130
Bürger	bv_doc_id__33_d24e1132
des	bv_doc_id__33_d24e1134
Landes	bv_doc_id__33_d24e1136
selbst	bv_doc_id__33_d24e1139
<g/>
.	
Artikel	bv_doc_id__33_d24e1143
4	bv_doc_id__33_d24e1145
a	bv_doc_id__33_d24e1147
<g/>
.	
Alle	bv_doc_id__33_d24e1152
Bundesbürger	bv_doc_id__33_d24e1154
sind	bv_doc_id__33_d24e1156
vor	bv_doc_id__33_d24e1158
dem	bv_doc_id__33_d24e1160
Gesetze	bv_doc_id__33_d24e1162
gleich	bv_doc_id__33_d24e1165
<g/>
.	
Vorrechte	bv_doc_id__33_d24e1169
der	bv_doc_id__33_d24e1171
Geburt	bv_doc_id__33_d24e1173
<g/>
,	
des	bv_doc_id__33_d24e1178
Geschlechtes	bv_doc_id__33_d24e1180
<g/>
,	
des	bv_doc_id__33_d24e1184
Standes	bv_doc_id__33_d24e1186
<g/>
,	
der	bv_doc_id__33_d24e1191
Klasse	bv_doc_id__33_d24e1193
und	bv_doc_id__33_d24e1195
des	bv_doc_id__33_d24e1197
Bekenntnisses	bv_doc_id__33_d24e1199
sind	bv_doc_id__33_d24e1201
ausgeschlossen	bv_doc_id__33_d24e1204
<g/>
.	
<g/>
(	
2	bv_doc_id__33_d24e1216
<g/>
)	
Den	bv_doc_id__33_d24e1221
öffentlichen	bv_doc_id__33_d24e1223
Angestellten	bv_doc_id__33_d24e1225
und	bv_doc_id__33_d24e1227
Junktionären	bv_doc_id__33_d24e1230
<g/>
.	
einschließlich	bv_doc_id__33_d24e1234
der	bv_doc_id__33_d24e1236
Angehörigen	bv_doc_id__33_d24e1238
des	bv_doc_id__33_d24e1240
Bundesheeres	bv_doc_id__33_d24e1243
<g/>
,	
ist	bv_doc_id__33_d24e1247
die	bv_doc_id__33_d24e1249
ungeschmälerte	bv_doc_id__33_d24e1251
Ausübung	bv_doc_id__33_d24e1253
ihrer	bv_doc_id__33_d24e1256
pölitischen	bv_doc_id__33_d24e1258
Rechte	bv_doc_id__33_d24e1260
gewährleistet	bv_doc_id__33_d24e1262
<g/>
.	
Artikel	bv_doc_id__33_d24e1266
5	bv_doc_id__33_d24e1269
fällt	bv_doc_id__33_d24e1271
aus	bv_doc_id__33_d24e1273
<g/>
.)	
Artikel	bv_doc_id__33_d24e1283
6.	bv_doc_id__33_d24e1285
Die	bv_doc_id__33_d24e1290
deutsche	bv_doc_id__33_d24e1292
Sprache	bv_doc_id__33_d24e1294
ist	bv_doc_id__33_d24e1296
<g/>
,	
unbeschadet	bv_doc_id__33_d24e1301
der	bv_doc_id__33_d24e1303
den	bv_doc_id__33_d24e1305
sprächlichen	bv_doc_id__33_d24e1307
Minderheiten	bv_doc_id__33_d24e1309
gesetzlich	bv_doc_id__33_d24e1311
eingeräumten	bv_doc_id__33_d24e1314
Rechte	bv_doc_id__33_d24e1316
<g/>
,	
die	bv_doc_id__33_d24e1320
Staatssprache	bv_doc_id__33_d24e1322
der	bv_doc_id__33_d24e1324
Reyublit	bv_doc_id__33_d24e1327
<g/>
.	
Artitel	bv_doc_id__33_d24e1331
6a	bv_doc_id__33_d24e1333
<g/>
.	
Die	bv_doc_id__33_d24e1337
allgemein	bv_doc_id__33_d24e1340
anerkannten	bv_doc_id__33_d24e1342
Regeln	bv_doc_id__33_d24e1344
des	bv_doc_id__33_d24e1346
Völlerrechtes	bv_doc_id__33_d24e1348
gelten	bv_doc_id__33_d24e1350
als	bv_doc_id__33_d24e1353
Beständteile	bv_doc_id__33_d24e1355
des	bv_doc_id__33_d24e1357
Bundesrechtes	bv_doc_id__33_d24e1359
<g/>
.	
<g/>
(	
Artikel	bv_doc_id__33_d24e1366
7	bv_doc_id__33_d24e1368
und	bv_doc_id__33_d24e1370
8	bv_doc_id__33_d24e1372
fallen	bv_doc_id__33_d24e1374
aus	bv_doc_id__33_d24e1376
<g/>
.)	
Artikel	bv_doc_id__33_d24e1387
9.	bv_doc_id__33_d24e1389
Alle	bv_doc_id__33_d24e1394
Behörden	bv_doc_id__33_d24e1396
und	bv_doc_id__33_d24e1398
Ämter	bv_doc_id__33_d24e1400
im	bv_doc_id__33_d24e1402
Bundesgebiete	bv_doc_id__33_d24e1405
sind	bv_doc_id__33_d24e1407
im	bv_doc_id__33_d24e1409
Nahmen	bv_doc_id__33_d24e1411
ihres	bv_doc_id__33_d24e1413
gesehmäßigen	bv_doc_id__33_d24e1415
Wirtungstreises	bv_doc_id__33_d24e1418
zur	bv_doc_id__33_d24e1420
wechselseitigen	bv_doc_id__33_d24e1422
Hilfeleistung	bv_doc_id__33_d24e1424
verpflichtet	bv_doc_id__33_d24e1426
<g/>
.	
Artitel	bv_doc_id__33_d24e1431
10.	bv_doc_id__33_d24e1433
Bundessache	bv_doc_id__33_d24e1435
ist	bv_doc_id__33_d24e1437
die	bv_doc_id__33_d24e1439
Gesetzaebung	bv_doc_id__33_d24e1441
und	bv_doc_id__33_d24e1444
Vollziehung	bv_doc_id__33_d24e1446
in	bv_doc_id__33_d24e1448
folgenden	bv_doc_id__33_d24e1450
Angelegenheiten	bv_doc_id__33_d24e1452
<g/>
.	
Bundesverfassung	bv_doc_id__33_d24e1459
<g/>
,	
insbesondere	bv_doc_id__33_d24e1463
Wahlen	bv_doc_id__33_d24e1465
zum	bv_doc_id__33_d24e1467
Nationaträt	bv_doc_id__33_d24e1470
<g/>
,	
Vollgabstimmungen	bv_doc_id__33_d24e1474
<g/>
,	
die	bv_doc_id__33_d24e1478
sich	bv_doc_id__33_d24e1480
auf	bv_doc_id__33_d24e1483
dag	bv_doc_id__33_d24e1485
ganze	bv_doc_id__33_d24e1487
Bundesgebiet	bv_doc_id__33_d24e1489
erstreden	bv_doc_id__33_d24e1491
<g/>
;	
Verfassungsgerichts	bv_doc_id__33_d24e1496
barleit	bv_doc_id__33_d24e1498
<g/>
:	
2.	bv_doc_id__33_d24e1507
auswärtige	bv_doc_id__33_d24e1510
Angelegenheiten	bv_doc_id__33_d24e1512
mit	bv_doc_id__33_d24e1514
Einschluß	bv_doc_id__33_d24e1516
der	bv_doc_id__33_d24e1519
politischen	bv_doc_id__33_d24e1521
und	bv_doc_id__33_d24e1523
wirtschaftlichen	bv_doc_id__33_d24e1525
Vertretung	bv_doc_id__33_d24e1527
gegenüber	bv_doc_id__33_d24e1529
dem	bv_doc_id__33_d24e1532
Auglande	bv_doc_id__33_d24e1534
<g/>
,	
insbesondere	bv_doc_id__33_d24e1538
Abschluß	bv_doc_id__33_d24e1540
aller	bv_doc_id__33_d24e1542
Staatsverträge	bv_doc_id__33_d24e1545
<g/>
;	
Grenzvermartung	bv_doc_id__33_d24e1549
<g/>
:	
Regelung	bv_doc_id__33_d24e1553
des	bv_doc_id__33_d24e1555
Barenuns	bv_doc_id__33_d24e1558
Biehvertehres	bv_doc_id__33_d24e1560
mit	bv_doc_id__33_d24e1562
dem	bv_doc_id__33_d24e1564
Auslände	bv_doc_id__33_d24e1566
<g/>
;	
Zollwesen	bv_doc_id__33_d24e1571
<g/>
;	
3.	bv_doc_id__33_d24e1580
Regelung	bv_doc_id__33_d24e1583
und	bv_doc_id__33_d24e1585
Überwachung	bv_doc_id__33_d24e1587
des	bv_doc_id__33_d24e1589
Eintrittes	bv_doc_id__33_d24e1592
in	bv_doc_id__33_d24e1594
das	bv_doc_id__33_d24e1596
Bundesgebiet	bv_doc_id__33_d24e1598
und	bv_doc_id__33_d24e1600
des	bv_doc_id__33_d24e1602
Austrittes	bv_doc_id__33_d24e1605
aus	bv_doc_id__33_d24e1607
ihm	bv_doc_id__33_d24e1609
<g/>
;	
Ein-	bv_doc_id__33_d24e1613
und	bv_doc_id__33_d24e1615
Auswanderungswesen	bv_doc_id__33_d24e1618
<g/>
;	
Abschiebung	bv_doc_id__33_d24e1622
<g/>
,	
Abschaffung	bv_doc_id__33_d24e1626
<g/>
,	
Ausweisung	bv_doc_id__33_d24e1631
und	bv_doc_id__33_d24e1633
Anglieferung	bv_doc_id__33_d24e1635
aus	bv_doc_id__33_d24e1637
dem	bv_doc_id__33_d24e1639
Bundesgebiete	bv_doc_id__33_d24e1641
sowie	bv_doc_id__33_d24e1644
Durchlieferung	bv_doc_id__33_d24e1646
<g/>
:	
4.	bv_doc_id__33_d24e1656
Bundesfinanzen	bv_doc_id__33_d24e1659
<g/>
,	
insbesondere	bv_doc_id__33_d24e1663
öffentliche	bv_doc_id__33_d24e1665
Abgaben	bv_doc_id__33_d24e1668
<g/>
,	
die	bv_doc_id__33_d24e1672
ausschließlich	bv_doc_id__33_d24e1674
oder	bv_doc_id__33_d24e1676
teilweise	bv_doc_id__33_d24e1678
für	bv_doc_id__33_d24e1681
den	bv_doc_id__33_d24e1683
Bund	bv_doc_id__33_d24e1685
einzuheben	bv_doc_id__33_d24e1687
ins	bv_doc_id__33_d24e1689
<g/>
:	
Monopolwesen	bv_doc_id__33_d24e1694
<g/>
;	
Regelung	bv_doc_id__33_d24e1698
<g/>
,	
welche	bv_doc_id__33_d24e1702
Abgaben	bv_doc_id__33_d24e1704
dem	bv_doc_id__33_d24e1707
Bunde	bv_doc_id__33_d24e1709
und	bv_doc_id__33_d24e1711
den	bv_doc_id__33_d24e1713
Ländern	bv_doc_id__33_d24e1715
zustehen	bv_doc_id__33_d24e1717
<g/>
;	
Regelung	bv_doc_id__33_d24e1722
der	bv_doc_id__33_d24e1724
Anteilnahme	bv_doc_id__33_d24e1726
der	bv_doc_id__33_d24e1728
Länder	bv_doc_id__33_d24e1730
an	bv_doc_id__33_d24e1733
den	bv_doc_id__33_d24e1735
Einnahmen	bv_doc_id__33_d24e1737
des	bv_doc_id__33_d24e1739
Bundes	bv_doc_id__33_d24e1741
und	bv_doc_id__33_d24e1743
Regelung	bv_doc_id__33_d24e1746
der	bv_doc_id__33_d24e1748
Beiträge	bv_doc_id__33_d24e1750
und	bv_doc_id__33_d24e1752
Zuschüsse	bv_doc_id__33_d24e1754
aus	bv_doc_id__33_d24e1756
Bundesmitteln	bv_doc_id__33_d24e1759
zu	bv_doc_id__33_d24e1761
den	bv_doc_id__33_d24e1763
Ausgaben	bv_doc_id__33_d24e1765
der	bv_doc_id__33_d24e1767
Länder	bv_doc_id__33_d24e1769
<g/>
,	
5.	bv_doc_id__33_d24e1779
Geld	bv_doc_id__33_d24e1782
<g/>
,	
Kredit	bv_doc_id__33_d24e1786
<g/>
,	
Vörse-	bv_doc_id__33_d24e1791
und	bv_doc_id__33_d24e1793
Bantwesen	bv_doc_id__33_d24e1795
<g/>
:	
Maß	bv_doc_id__33_d24e1799
<g/>
.	
und	bv_doc_id__33_d24e1804
Gewichts	bv_doc_id__33_d24e1806
<g/>
,	
Normen-	bv_doc_id__33_d24e1810
und	bv_doc_id__33_d24e1812
Punzierungswesen	bv_doc_id__33_d24e1814
<g/>
;	
6.	bv_doc_id__33_d24e1824
Zivil-	bv_doc_id__33_d24e1827
und	bv_doc_id__33_d24e1829
Sträfrechtswesen	bv_doc_id__33_d24e1831
einschliehlich	bv_doc_id__33_d24e1833
des	bv_doc_id__33_d24e1836
wirtschaftlichen	bv_doc_id__33_d24e1838
Assoziationswesens	bv_doc_id__33_d24e1840
<g/>
;	
Justizwesens	bv_doc_id__33_d24e1844
<g/>
;	
Verwaltungestrafrecht	bv_doc_id__33_d24e1849
in	bv_doc_id__33_d24e1851
Angelegenheiten	bv_doc_id__33_d24e1853
<g/>
,	
deren	bv_doc_id__33_d24e1857
Vollziehung	bv_doc_id__33_d24e1859
dem	bv_doc_id__33_d24e1862
Bunhe	bv_doc_id__33_d24e1864
zusteht	bv_doc_id__33_d24e1866
<g/>
:	
Verwaltungsgerichtsbarkeit	bv_doc_id__33_d24e1870
<g/>
:	
heberrecht	bv_doc_id__33_d24e1875
<g/>
:	
Bressewesen	bv_doc_id__33_d24e1879
<g/>
;	
Enteignung	bv_doc_id__33_d24e1883
<g/>
,	
soweit	bv_doc_id__33_d24e1888
sie	bv_doc_id__33_d24e1890
nich	bv_doc_id__33_d24e1892
Angelgenheiten	bv_doc_id__33_d24e1894
betrifft	bv_doc_id__33_d24e1896
<g/>
,	
die	bv_doc_id__33_d24e1901
in	bv_doc_id__33_d24e1903
den	bv_doc_id__33_d24e1905
Wirkungskreis	bv_doc_id__33_d24e1907
der	bv_doc_id__33_d24e1909
Länder	bv_doc_id__33_d24e1911
fallen	bv_doc_id__33_d24e1914
<g/>
;	
Angelegenheiten	bv_doc_id__33_d24e1918
der	bv_doc_id__33_d24e1920
Notare	bv_doc_id__33_d24e1922
<g/>
,	
der	bv_doc_id__33_d24e1927
Rechtsanwälte	bv_doc_id__33_d24e1929
und	bv_doc_id__33_d24e1931
verwandter	bv_doc_id__33_d24e1933
Berüse	bv_doc_id__33_d24e1935
<g/>
.	
7.	bv_doc_id__33_d24e1944
Angelegenheiten	bv_doc_id__33_d24e1947
des	bv_doc_id__33_d24e1949
Gewerbes	bv_doc_id__33_d24e1951
und	bv_doc_id__33_d24e1953
der	bv_doc_id__33_d24e1956
Industrie	bv_doc_id__33_d24e1958
<g/>
;	
Betämpfung	bv_doc_id__33_d24e1962
des	bv_doc_id__33_d24e1964
unlauteren	bv_doc_id__33_d24e1966
Wettbewerbes	bv_doc_id__33_d24e1969
<g/>
?	
Patentwesen	bv_doc_id__33_d24e1973
sowie	bv_doc_id__33_d24e1975
Marten	bv_doc_id__33_d24e1977
und	bv_doc_id__33_d24e1979
Musterschutz	bv_doc_id__33_d24e1982
<g/>
;	
Ingenieur	bv_doc_id__33_d24e1986
<g/>
.	
und	bv_doc_id__33_d24e1990
Zwiltechniterwesen	bv_doc_id__33_d24e1992
<g/>
;	
Handels-und	bv_doc_id__33_d24e1997
Gewerbe	bv_doc_id__33_d24e1999
<g/>
.	
Kammern	bv_doc_id__33_d24e2003
<g/>
;	
8.	bv_doc_id__33_d24e2012
Verkehrswesen	bv_doc_id__33_d24e2015
bezüglich	bv_doc_id__33_d24e2017
der	bv_doc_id__33_d24e2019
Eisenbahnen	bv_doc_id__33_d24e2021
<g/>
,	
der	bv_doc_id__33_d24e2026
Schiffahrt	bv_doc_id__33_d24e2028
und	bv_doc_id__33_d24e2030
der	bv_doc_id__33_d24e2032
eufischiffohrt	bv_doc_id__33_d24e2034
<g/>
:	
Angelegenheiten	bv_doc_id__33_d24e2039
der	bv_doc_id__33_d24e2041
wegen	bv_doc_id__33_d24e2043
