<doc id="bv_doc_id__55" attrs="word lemma type">
Stenographische	bv_doc_id__55_d44e555
Gnsthaler	bv_doc_id__55_d44e1082
<g/>
,	
Statthaltereifonzipift	bv_doc_id__55_d44e1087
Dr	bv_doc_id__55_d44e1089
<g/>
.	
Sommer	bv_doc_id__55_d44e1093
<g/>
.	
Salzburg	bv_doc_id__55_d44e1097
<g/>
:	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1102
Dr	bv_doc_id__55_d44e1104
<g/>
.	
Rehrl	bv_doc_id__55_d44e1108
<g/>
(	
chr	bv_doc_id__55_d44e1113
<g/>
.	
foz	bv_doc_id__55_d44e1117
<g/>
.),	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1121
Breußler	bv_doc_id__55_d44e1123
<g/>
(	
foz	bv_doc_id__55_d44e1128
<g/>
.	
dem	bv_doc_id__55_d44e1132
<g/>
.),	
Landesrat	bv_doc_id__55_d44e1136
Chriftoph	bv_doc_id__55_d44e1139
<g/>
(	
gr	bv_doc_id__55_d44e1143
<g/>
.	
d	bv_doc_id__55_d44e1147
<g/>
.),	
Landesrat	bv_doc_id__55_d44e1152
Lackner	bv_doc_id__55_d44e1154
<g/>
(	
chr	bv_doc_id__55_d44e1158
<g/>
.	
foz	bv_doc_id__55_d44e1162
<g/>
.),	
Steiermart	bv_doc_id__55_d44e1167
<g/>
:	
Landeshauptmann	bv_doc_id__55_d44e1171
Dr	bv_doc_id__55_d44e1173
<g/>
.	
Rintelen	bv_doc_id__55_d44e1178
<g/>
(	
chr	bv_doc_id__55_d44e1182
<g/>
.	
foz	bv_doc_id__55_d44e1186
<g/>
.),	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1191
Vongratz	bv_doc_id__55_d44e1193
<g/>
(	
joz	bv_doc_id__55_d44e1197
<g/>
.	
dem	bv_doc_id__55_d44e1201
<g/>
.),	
Landesrat	bv_doc_id__55_d44e1206
Dr	bv_doc_id__55_d44e1208
<g/>
.	
Klusemann	bv_doc_id__55_d44e1212
<g/>
(	
gr	bv_doc_id__55_d44e1217
<g/>
.	
d	bv_doc_id__55_d44e1221
<g/>
.),	
Landesrat	bv_doc_id__55_d44e1225
Refel	bv_doc_id__55_d44e1227
<g/>
(	
1oz	bv_doc_id__55_d44e1232
<g/>
.	
dem	bv_doc_id__55_d44e1236
<g/>
.),	
Landtagsabgeordneter	bv_doc_id__55_d44e1240
Gaß	bv_doc_id__55_d44e1243
<g/>
(	
chr	bv_doc_id__55_d44e1247
<g/>
.	
foz	bv_doc_id__55_d44e1251
<g/>
.),	
Hofrat	bv_doc_id__55_d44e1256
Fennh	bv_doc_id__55_d44e1258
<g/>
.	
Tirol	bv_doc_id__55_d44e1262
<g/>
:	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1266
Dr	bv_doc_id__55_d44e1269
<g/>
.	
Schumacher	bv_doc_id__55_d44e1273
<g/>
,	
<g/>
(	
chr	bv_doc_id__55_d44e1279
<g/>
.	
soz	bv_doc_id__55_d44e1284
<g/>
.),	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1288
Dr	bv_doc_id__55_d44e1290
<g/>
.	
Schmidt	bv_doc_id__55_d44e1295
<g/>
(	
gr	bv_doc_id__55_d44e1299
<g/>
.	
d	bv_doc_id__55_d44e1303
<g/>
.),	
Mitglied	bv_doc_id__55_d44e1308
der	bv_doc_id__55_d44e1310
Nationalverfammluna	bv_doc_id__55_d44e1312
Abram	bv_doc_id__55_d44e1314
<g/>
(	
soz	bv_doc_id__55_d44e1318
<g/>
.	
dem	bv_doc_id__55_d44e1323
<g/>
.),	
Landesanitzdirettor	bv_doc_id__55_d44e1327
Dr	bv_doc_id__55_d44e1329
<g/>
.	
Vocfels	bv_doc_id__55_d44e1334
<g/>
.	
Vorarlberg	bv_doc_id__55_d44e1338
<g/>
:	
Landeshauptmann	bv_doc_id__55_d44e1342
Dr	bv_doc_id__55_d44e1344
<g/>
.	
Gnder	bv_doc_id__55_d44e1349
<g/>
(	
chr	bv_doc_id__55_d44e1353
<g/>
.	
foz	bv_doc_id__55_d44e1357
<g/>
.)	
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1362
Preiß	bv_doc_id__55_d44e1364
<g/>
(	
Joz	bv_doc_id__55_d44e1368
<g/>
.	
dem	bv_doc_id__55_d44e1373
<g/>
.),	
Landesrat	bv_doc_id__55_d44e1377
Natter	bv_doc_id__55_d44e1379
<g/>
(	
gr	bv_doc_id__55_d44e1383
<g/>
.	
d	bv_doc_id__55_d44e1388
<g/>
.),	
Landtagsabgeordneter	bv_doc_id__55_d44e1392
Dr	bv_doc_id__55_d44e1394
<g/>
.	
Mittelberger	bv_doc_id__55_d44e1399
<g/>
(	
chr	bv_doc_id__55_d44e1403
<g/>
.	
foz	bv_doc_id__55_d44e1407
<g/>
.),	
Landesamtsdirektor	bv_doc_id__55_d44e1412
Walderdorff	bv_doc_id__55_d44e1414
<g/>
.	
Wien	bv_doc_id__55_d44e1418
<g/>
:	
Vizebürgermeister	bv_doc_id__55_d44e1422
Emmerling	bv_doc_id__55_d44e1425
<g/>
(	
joz	bv_doc_id__55_d44e1429
<g/>
.	
dem	bv_doc_id__55_d44e1433
<g/>
.),	
Stadtrat	bv_doc_id__55_d44e1438
Dr	bv_doc_id__55_d44e1440
<g/>
.	
Speiser	bv_doc_id__55_d44e1444
<g/>
(	
soz	bv_doc_id__55_d44e1448
<g/>
.	
dem	bv_doc_id__55_d44e1453
<g/>
.)	
Gemeinderat	bv_doc_id__55_d44e1457
Dr	bv_doc_id__55_d44e1459
<g/>
.	
Danneberg	bv_doc_id__55_d44e1464
<g/>
(	
joz	bv_doc_id__55_d44e1468
<g/>
.	
dem	bv_doc_id__55_d44e1472
<g/>
.),	
Gemeinderat	bv_doc_id__55_d44e1477
Runfchat	bv_doc_id__55_d44e1479
<g/>
(	
chr	bv_doc_id__55_d44e1483
<g/>
.	
foz	bv_doc_id__55_d44e1487
<g/>
.),	
<g/>
(	
Gemeinderat	bv_doc_id__55_d44e1494
Schmitz	bv_doc_id__55_d44e1496
<g/>
(	
chr	bv_doc_id__55_d44e1500
<g/>
.	
foz	bv_doc_id__55_d44e1505
<g/>
.),	
Gemeinderat	bv_doc_id__55_d44e1509
Skäret	bv_doc_id__55_d44e1511
<g/>
(	
foz	bv_doc_id__55_d44e1516
<g/>
.	
dem	bv_doc_id__55_d44e1520
<g/>
.),	
Magistratsdirektor	bv_doc_id__55_d44e1524
Dr	bv_doc_id__55_d44e1526
<g/>
.	
Hartl	bv_doc_id__55_d44e1531
<g/>
.	
1*	bv_doc_id__55_d44e1535
217	bv_doc_id__55_d44e1537
Offizieller	bv_doc_id__55_d44e1542
Bericht	bv_doc_id__55_d44e1544
des	bv_doc_id__55_d44e1546
Pressekomitees	bv_doc_id__55_d44e1548
über	bv_doc_id__55_d44e1550
die	bv_doc_id__55_d44e1552
am	bv_doc_id__55_d44e1555
20.	bv_doc_id__55_d44e1557
april	bv_doc_id__55_d44e1559
sattgehabte	bv_doc_id__55_d44e1561
vertrauliche	bv_doc_id__55_d44e1563
Vorbesprechung	bv_doc_id__55_d44e1565
<g/>
.	
Heute	bv_doc_id__55_d44e1573
nach	bv_doc_id__55_d44e1575
6	bv_doc_id__55_d44e1577
Uhr	bv_doc_id__55_d44e1579
abends	bv_doc_id__55_d44e1581
traten	bv_doc_id__55_d44e1584
die	bv_doc_id__55_d44e1586
Delegierten	bv_doc_id__55_d44e1588
der	bv_doc_id__55_d44e1590
Länderkonferenz	bv_doc_id__55_d44e1592
zu	bv_doc_id__55_d44e1594
einer	bv_doc_id__55_d44e1597
Vorbesprechung	bv_doc_id__55_d44e1599
zuammen	bv_doc_id__55_d44e1601
<g/>
.	
Sie	bv_doc_id__55_d44e1605
wurde	bv_doc_id__55_d44e1607
im	bv_doc_id__55_d44e1610
Namen	bv_doc_id__55_d44e1612
des	bv_doc_id__55_d44e1614
Landeshäuptmannes	bv_doc_id__55_d44e1616
Häuser	bv_doc_id__55_d44e1618
<g/>
,	
der	bv_doc_id__55_d44e1623
wegen	bv_doc_id__55_d44e1625
einer	bv_doc_id__55_d44e1627
Tagung	bv_doc_id__55_d44e1629
der	bv_doc_id__55_d44e1631
Nationalversammlung	bv_doc_id__55_d44e1633
abwefend	bv_doc_id__55_d44e1636
war	bv_doc_id__55_d44e1638
<g/>
,	
vom	bv_doc_id__55_d44e1642
Landeshauptmannftellvertreter	bv_doc_id__55_d44e1644
Dr	bv_doc_id__55_d44e1646
<g/>
.	
Schlegel	bv_doc_id__55_d44e1651
auf	bv_doc_id__55_d44e1653
das	bv_doc_id__55_d44e1655
herzlichfte	bv_doc_id__55_d44e1657
begrüßzt	bv_doc_id__55_d44e1659
<g/>
.	
Redner	bv_doc_id__55_d44e1664
erklärte	bv_doc_id__55_d44e1666
<g/>
,	
Landeshauptmann	bv_doc_id__55_d44e1670
Hauser	bv_doc_id__55_d44e1672
hoffe	bv_doc_id__55_d44e1675
<g/>
,	
die	bv_doc_id__55_d44e1679
Delegierten	bv_doc_id__55_d44e1681
noch	bv_doc_id__55_d44e1683
vor	bv_doc_id__55_d44e1685
Abschluß	bv_doc_id__55_d44e1688
der	bv_doc_id__55_d44e1690
Tagung	bv_doc_id__55_d44e1692
selbst	bv_doc_id__55_d44e1694
in	bv_doc_id__55_d44e1696
Linz	bv_doc_id__55_d44e1698
begrüßen	bv_doc_id__55_d44e1701
zu	bv_doc_id__55_d44e1703
können	bv_doc_id__55_d44e1705
<g/>
.	
Nachdem	bv_doc_id__55_d44e1709
Redner	bv_doc_id__55_d44e1711
noch	bv_doc_id__55_d44e1714
der	bv_doc_id__55_d44e1716
Tägung	bv_doc_id__55_d44e1718
den	bv_doc_id__55_d44e1720
besten	bv_doc_id__55_d44e1722
Erfolg	bv_doc_id__55_d44e1724
gewünscht	bv_doc_id__55_d44e1727
hatté	bv_doc_id__55_d44e1729
<g/>
,	
lud	bv_doc_id__55_d44e1733
er	bv_doc_id__55_d44e1735
das	bv_doc_id__55_d44e1737
Salzburg	bv_doc_id__55_d44e1740
gewählte	bv_doc_id__55_d44e1742
Präsidium	bv_doc_id__55_d44e1744
ein	bv_doc_id__55_d44e1746
<g/>
,	
den	bv_doc_id__55_d44e1750
Vorsitz	bv_doc_id__55_d44e1753
zu	bv_doc_id__55_d44e1755
übernehmen	bv_doc_id__55_d44e1757
<g/>
.	
Landeshauptmann	bv_doc_id__55_d44e1761
Dr	bv_doc_id__55_d44e1763
<g/>
.	
Rintelen	bv_doc_id__55_d44e1768
übernahm	bv_doc_id__55_d44e1770
den	bv_doc_id__55_d44e1772
Vorsitz	bv_doc_id__55_d44e1774
<g/>
.	
Über	bv_doc_id__55_d44e1779
Antrag	bv_doc_id__55_d44e1781
des	bv_doc_id__55_d44e1783
Abgeordneten	bv_doc_id__55_d44e1785
Runschaf	bv_doc_id__55_d44e1787
wurde	bv_doc_id__55_d44e1789
daraufhin	bv_doc_id__55_d44e1792
das	bv_doc_id__55_d44e1794
bereits	bv_doc_id__55_d44e1796
in	bv_doc_id__55_d44e1798
Salzburg	bv_doc_id__55_d44e1800
gewählte	bv_doc_id__55_d44e1802
Präfidium	bv_doc_id__55_d44e1805
durch	bv_doc_id__55_d44e1807
Abstimmung	bv_doc_id__55_d44e1809
bestätigt	bv_doc_id__55_d44e1811
<g/>
.	
Es	bv_doc_id__55_d44e1815
erscheinen	bv_doc_id__55_d44e1818
somit	bv_doc_id__55_d44e1820
als	bv_doc_id__55_d44e1822
Vorsitzende	bv_doc_id__55_d44e1824
mit	bv_doc_id__55_d44e1826
gleichen	bv_doc_id__55_d44e1828
Rechten	bv_doc_id__55_d44e1831
gewählt	bv_doc_id__55_d44e1833
<g/>
:	
Landeshauptmann	bv_doc_id__55_d44e1837
Dr	bv_doc_id__55_d44e1839
<g/>
.	
Rintelen	bv_doc_id__55_d44e1844
<g/>
(	
Steiermarf	bv_doc_id__55_d44e1848
<g/>
)	
Landeshauptmann	bv_doc_id__55_d44e1852
Geber	bv_doc_id__55_d44e1854
<g/>
(	
Niederöfterreich	bv_doc_id__55_d44e1859
<g/>
)	
und	bv_doc_id__55_d44e1863
Landesrat	bv_doc_id__55_d44e1865
Christoph	bv_doc_id__55_d44e1867
<g/>
(	
Salzburg	bv_doc_id__55_d44e1872
<g/>
).	
Abgeordneter	bv_doc_id__55_d44e1876
Runschaf	bv_doc_id__55_d44e1878
beantragte	bv_doc_id__55_d44e1880
weiters	bv_doc_id__55_d44e1883
<g/>
,	
die	bv_doc_id__55_d44e1887
gleiche	bv_doc_id__55_d44e1889
Geschäftsordnung	bv_doc_id__55_d44e1891
wie	bv_doc_id__55_d44e1893
in	bv_doc_id__55_d44e1896
Salzburglfür	bv_doc_id__55_d44e1898
morgen	bv_doc_id__55_d44e1900
4	bv_doc_id__55_d44e1902
Uhr	bv_doc_id__55_d44e1904
nachmittags	bv_doc_id__55_d44e1906
festgesetzt	bv_doc_id__55_d44e1909
<g/>
.	
festzusetzen	bv_doc_id__55_d44e1916
<g/>
.	
Abgeordneter	bv_doc_id__55_d44e1920
Dr	bv_doc_id__55_d44e1922
<g/>
.	
Danneberg	bv_doc_id__55_d44e1927
erklärt	bv_doc_id__55_d44e1929
<g/>
.	
sich	bv_doc_id__55_d44e1933
hiemit	bv_doc_id__55_d44e1935
im	bv_doc_id__55_d44e1937
Prinzib	bv_doc_id__55_d44e1940
einverstanden	bv_doc_id__55_d44e1942
<g/>
,	
wünscht	bv_doc_id__55_d44e1946
jedoch	bv_doc_id__55_d44e1948
<g/>
,	
daß	bv_doc_id__55_d44e1953
der	bv_doc_id__55_d44e1955
Antrag	bv_doc_id__55_d44e1957
dem	bv_doc_id__55_d44e1959
Geschäftsordnungsausschuß	bv_doc_id__55_d44e1961
zugewiesen	bv_doc_id__55_d44e1963
werde	bv_doc_id__55_d44e1966
<g/>
.	
Dieser	bv_doc_id__55_d44e1970
könne	bv_doc_id__55_d44e1972
darüber	bv_doc_id__55_d44e1974
abschließend	bv_doc_id__55_d44e1976
entscheiden	bv_doc_id__55_d44e1979
<g/>
.	
Der	bv_doc_id__55_d44e1983
Antrag	bv_doc_id__55_d44e1985
Kunschak	bv_doc_id__55_d44e1987
wird	bv_doc_id__55_d44e1989
mit	bv_doc_id__55_d44e1992
der	bv_doc_id__55_d44e1994
Ergänzung	bv_doc_id__55_d44e1996
Danneberg	bv_doc_id__55_d44e1998
angenommen	bv_doc_id__55_d44e2000
<g/>
.	
über	bv_doc_id__55_d44e2005
Antrag	bv_doc_id__55_d44e2007
Kunfchaf	bv_doc_id__55_d44e2009
wird	bv_doc_id__55_d44e2011
auch	bv_doc_id__55_d44e2013
der	bv_doc_id__55_d44e2015
gleiche	bv_doc_id__55_d44e2018
Geschäftsordnungsausschuß	bv_doc_id__55_d44e2020
wie	bv_doc_id__55_d44e2022
in	bv_doc_id__55_d44e2024
Salzburg	bv_doc_id__55_d44e2026
eingesetzt	bv_doc_id__55_d44e2028
<g/>
,	
nur	bv_doc_id__55_d44e2033
tritt	bv_doc_id__55_d44e2035
an	bv_doc_id__55_d44e2037
Stelle	bv_doc_id__55_d44e2039
des	bv_doc_id__55_d44e2041
Delegierten	bv_doc_id__55_d44e2044
Dr	bv_doc_id__55_d44e2046
<g/>
.	
Pflanzl	bv_doc_id__55_d44e2050
<g/>
,	
der	bv_doc_id__55_d44e2054
in	bv_doc_id__55_d44e2057
Linz	bv_doc_id__55_d44e2059
nicht	bv_doc_id__55_d44e2061
erschienen	bv_doc_id__55_d44e2063
ist	bv_doc_id__55_d44e2065
<g/>
,	
der	bv_doc_id__55_d44e2070
von	bv_doc_id__55_d44e2072
der	bv_doc_id__55_d44e2074
Grofdeutschen	bv_doc_id__55_d44e2076
Vereinigung	bv_doc_id__55_d44e2078
nominierte	bv_doc_id__55_d44e2080
Landeshaubtmannftellvertreter	bv_doc_id__55_d44e2083
Langoth	bv_doc_id__55_d44e2085
<g/>
.	
Der	bv_doc_id__55_d44e2089
Geschäftsordnungsausschuß	bv_doc_id__55_d44e2091
hat	bv_doc_id__55_d44e2093
demnach	bv_doc_id__55_d44e2096
folgende	bv_doc_id__55_d44e2098
Mitglieder	bv_doc_id__55_d44e2100
<g/>
:	
Sozialdemotraten	bv_doc_id__55_d44e2104
<g/>
:	
Gruber	bv_doc_id__55_d44e2109
und	bv_doc_id__55_d44e2111
Dänneberg	bv_doc_id__55_d44e2113
<g/>
:	
Chriftlichsoziale	bv_doc_id__55_d44e2117
<g/>
:	
Dr	bv_doc_id__55_d44e2122
<g/>
.	
Gnder	bv_doc_id__55_d44e2126
und	bv_doc_id__55_d44e2128
Schumacher	bv_doc_id__55_d44e2130
<g/>
;	
Grofdeutsche	bv_doc_id__55_d44e2135
Vereinigung	bv_doc_id__55_d44e2137
<g/>
:	
Dr	bv_doc_id__55_d44e2141
<g/>
.	
Schmidt	bv_doc_id__55_d44e2145
und	bv_doc_id__55_d44e2148
Cangoth	bv_doc_id__55_d44e2150
<g/>
.	
Weiters	bv_doc_id__55_d44e2154
gehören	bv_doc_id__55_d44e2156
dem	bv_doc_id__55_d44e2158
Geschäftsordnungsausschusse	bv_doc_id__55_d44e2161
an	bv_doc_id__55_d44e2163
die	bv_doc_id__55_d44e2165
Vorsitzenden	bv_doc_id__55_d44e2167
der	bv_doc_id__55_d44e2169
Konferenz	bv_doc_id__55_d44e2171
sowie	bv_doc_id__55_d44e2174
Staatsjekretär	bv_doc_id__55_d44e2176
Dr	bv_doc_id__55_d44e2178
<g/>
.	
Mähr	bv_doc_id__55_d44e2182
als	bv_doc_id__55_d44e2184
Teilnehmer	bv_doc_id__55_d44e2187
<g/>
.	
In	bv_doc_id__55_d44e2191
den	bv_doc_id__55_d44e2193
Presseausschuk	bv_doc_id__55_d44e2195
werden	bv_doc_id__55_d44e2197
gewählt	bv_doc_id__55_d44e2200
<g/>
:	
Dr	bv_doc_id__55_d44e2204
<g/>
.	
Schumacher	bv_doc_id__55_d44e2208
<g/>
(	
wiedergewählt	bv_doc_id__55_d44e2213
<g/>
)	
und	bv_doc_id__55_d44e2217
Speiser	bv_doc_id__55_d44e2219
<g/>
,	
sowie	bv_doc_id__55_d44e2223
Dr	bv_doc_id__55_d44e2226
<g/>
.	
Mittermann	bv_doc_id__55_d44e2230
<g/>
(	
neu	bv_doc_id__55_d44e2234
<g/>
).	
Die	bv_doc_id__55_d44e2239
erste	bv_doc_id__55_d44e2241
Blenarsitzung	bv_doc_id__55_d44e2243
der	bv_doc_id__55_d44e2245
Konferenz	bv_doc_id__55_d44e2247
wurde	bv_doc_id__55_d44e2249
218	bv_doc_id__55_d44e2254
7	bv_doc_id__55_d44e2258
Erste	bv_doc_id__55_d44e2263
Sitzung	bv_doc_id__55_d44e2265
am	bv_doc_id__55_d44e2267
21.	bv_doc_id__55_d44e2269
2prII	bv_doc_id__55_d44e2271
1820.	bv_doc_id__55_d44e2274
Vorsitender	bv_doc_id__55_d44e2276
<g/>
:	
Der	bv_doc_id__55_d44e2280
Herr	bv_doc_id__55_d44e2282
Landeshauptmann	bv_doc_id__55_d44e2284
von	bv_doc_id__55_d44e2287
Steiermark	bv_doc_id__55_d44e2289
Dr	bv_doc_id__55_d44e2291
<g/>
.	
Rinfelen	bv_doc_id__55_d44e2295
<g/>
.	
Eröffnung	bv_doc_id__55_d44e2300
der	bv_doc_id__55_d44e2302
Sitzung	bv_doc_id__55_d44e2304
um	bv_doc_id__55_d44e2306
4	bv_doc_id__55_d44e2308
Uhr	bv_doc_id__55_d44e2310
18	bv_doc_id__55_d44e2313
Minuten	bv_doc_id__55_d44e2315
nachmittags	bv_doc_id__55_d44e2317
<g/>
.	
Herr	bv_doc_id__55_d44e2324
Landeshauptmann	bv_doc_id__55_d44e2326
Dr	bv_doc_id__55_d44e2328
<g/>
.	
Rintelen	bv_doc_id__55_d44e2332
<g/>
:	
Verehrte	bv_doc_id__55_d44e2337
Herrenl	bv_doc_id__55_d44e2339
Indem	bv_doc_id__55_d44e2341
ich	bv_doc_id__55_d44e2343
hiemit	bv_doc_id__55_d44e2345
