<doc id="bv_doc_id__36" attrs="word lemma type">
Protokoll	bv_doc_id__36_d27e271
Stagtskanzler	bv_doc_id__36_d27e600
Dr	bv_doc_id__36_d27e602
<g/>
.	
fenner	bv_doc_id__36_d27e607
und	bv_doc_id__36_d27e609
Staatsgekretär	bv_doc_id__36_d27e611
Dr	bv_doc_id__36_d27e613
<g/>
.	
Mayr	bv_doc_id__36_d27e617
verfast	bv_doc_id__36_d27e620
wurde	bv_doc_id__36_d27e622
<g/>
(	
Jenner	bv_doc_id__36_d27e626
Mayr	bv_doc_id__36_d27e628
Intwurf	bv_doc_id__36_d27e630
<g/>
):	
2.)	bv_doc_id__36_d27e635
der	bv_doc_id__36_d27e637
Entwarf	bv_doc_id__36_d27e639
<g/>
,	
der	bv_doc_id__36_d27e643
auf	bv_doc_id__36_d27e646
Grund	bv_doc_id__36_d27e648
der	bv_doc_id__36_d27e650
Einzer	bv_doc_id__36_d27e652
Verhandlungen	bv_doc_id__36_d27e654
in	bv_doc_id__36_d27e656
Forn	bv_doc_id__36_d27e659
einer	bv_doc_id__36_d27e661
Oegenüberstellung	bv_doc_id__36_d27e663
der	bv_doc_id__36_d27e665
Entwürfe	bv_doc_id__36_d27e667
des	bv_doc_id__36_d27e669
Staates	bv_doc_id__36_d27e672
sekretüre	bv_doc_id__36_d27e674
Dr	bv_doc_id__36_d27e676
<g/>
.	
Mayr	bv_doc_id__36_d27e680
und	bv_doc_id__36_d27e682
der	bv_doc_id__36_d27e685
soz	bv_doc_id__36_d27e687
<g/>
.	
-den	bv_doc_id__36_d27e691
<g/>
.	
Fartei	bv_doc_id__36_d27e695
<g/>
(	
Tr	bv_doc_id__36_d27e700
<g/>
.	
Hanneberz	bv_doc_id__36_d27e704
<g/>
)	
abgefaßt	bv_doc_id__36_d27e708
ist	bv_doc_id__36_d27e711
<g/>
;	
3.)	bv_doc_id__36_d27e715
der	bv_doc_id__36_d27e717
Intmurt	bv_doc_id__36_d27e719
der	bv_doc_id__36_d27e721
<g/>
.	
großdeutechen	bv_doc_id__36_d27e726
Vereinigung	bv_doc_id__36_d27e728
und	bv_doc_id__36_d27e730
2.)	bv_doc_id__36_d27e732
der	bv_doc_id__36_d27e734
Intwurf	bv_doc_id__36_d27e737
des	bv_doc_id__36_d27e739
Nr	bv_doc_id__36_d27e741
<g/>
.	
113pr	bv_doc_id__36_d27e745
<g/>
(	
840	bv_doc_id__36_d27e750
der	bv_doc_id__36_d27e752
Beilagen	bv_doc_id__36_d27e754
<g/>
).	
Vor	bv_doc_id__36_d27e758
Eintritt	bv_doc_id__36_d27e760
in	bv_doc_id__36_d27e763
die	bv_doc_id__36_d27e765
Debatte	bv_doc_id__36_d27e767
über	bv_doc_id__36_d27e769
diese	bv_doc_id__36_d27e771
Entwürfe	bv_doc_id__36_d27e773
wird	bv_doc_id__36_d27e776
se	bv_doc_id__36_d27e778
aber	bv_doc_id__36_d27e780
notwendig	bv_doc_id__36_d27e782
sein	bv_doc_id__36_d27e784
<g/>
,	
sich	bv_doc_id__36_d27e789
darüber	bv_doc_id__36_d27e791
klar	bv_doc_id__36_d27e793
zu	bv_doc_id__36_d27e795
werden	bv_doc_id__36_d27e797
<g/>
,	
ob	bv_doc_id__36_d27e802
nan	bv_doc_id__36_d27e804
<g/>
,	
wie	bv_doc_id__36_d27e808
es	bv_doc_id__36_d27e810
alle	bv_doc_id__36_d27e812
3	bv_doc_id__36_d27e815
fartelen	bv_doc_id__36_d27e817
vorscälsgen	bv_doc_id__36_d27e819
eine	bv_doc_id__36_d27e821
Treiteilung	bv_doc_id__36_d27e823
der	bv_doc_id__36_d27e825
Kompetenzen	bv_doc_id__36_d27e828
vornen	bv_doc_id__36_d27e830
men	bv_doc_id__36_d27e832
soll	bv_doc_id__36_d27e834
<g/>
,	
u	bv_doc_id__36_d27e838
<g/>
.	
zw	bv_doc_id__36_d27e843
<g/>
.	
folgendermaßen	bv_doc_id__36_d27e847
<g/>
:	
K	bv_doc_id__36_d27e851
<g/>
:	
Angelegenneiten	bv_doc_id__36_d27e856
<g/>
,	
in	bv_doc_id__36_d27e860
denen	bv_doc_id__36_d27e862
dis	bv_doc_id__36_d27e864
setzgebung	bv_doc_id__36_d27e867
und	bv_doc_id__36_d27e869
die	bv_doc_id__36_d27e871
Vollziehung	bv_doc_id__36_d27e873
den	bv_doc_id__36_d27e875
Bung	bv_doc_id__36_d27e877
zustehen	bv_doc_id__36_d27e880
<g/>
,	
R	bv_doc_id__36_d27e884
<g/>
:	
Angelegenheiten	bv_doc_id__36_d27e888
<g/>
,	
in	bv_doc_id__36_d27e893
denen	bv_doc_id__36_d27e895
die	bv_doc_id__36_d27e897
artzsehune	bv_doc_id__36_d27e899
den	bv_doc_id__36_d27e901
Funde	bv_doc_id__36_d27e903
und	bv_doc_id__36_d27e906
die	bv_doc_id__36_d27e908
Vollziche	bv_doc_id__36_d27e910
3	bv_doc_id__36_d27e914
den	bv_doc_id__36_d27e919
Ländern	bv_doc_id__36_d27e921
zustcht	bv_doc_id__36_d27e923
<g/>
,	
c	bv_doc_id__36_d27e927
<g/>
:	
angelegerheiten	bv_doc_id__36_d27e932
<g/>
,	
in	bv_doc_id__36_d27e936
denen	bv_doc_id__36_d27e938
dem	bv_doc_id__36_d27e940
Funde	bv_doc_id__36_d27e943
nur	bv_doc_id__36_d27e945
die	bv_doc_id__36_d27e947
grundsätzliche	bv_doc_id__36_d27e949
Gesetzgebung	bv_doc_id__36_d27e951
<g/>
,	
den	bv_doc_id__36_d27e956
Ländern	bv_doc_id__36_d27e958
aber	bv_doc_id__36_d27e960
die	bv_doc_id__36_d27e962
Erlassung	bv_doc_id__36_d27e964
der	bv_doc_id__36_d27e966
Ausführungsgesetze	bv_doc_id__36_d27e969
und	bv_doc_id__36_d27e971
die	bv_doc_id__36_d27e973
Vollzienung	bv_doc_id__36_d27e975
zustchen	bv_doc_id__36_d27e977
<g/>
.	
Nachdem	bv_doc_id__36_d27e982
der	bv_doc_id__36_d27e984
Eerichterstatter	bv_doc_id__36_d27e986
in	bv_doc_id__36_d27e988
ausfüurlicher	bv_doc_id__36_d27e990
Bärstellung	bv_doc_id__36_d27e992
die	bv_doc_id__36_d27e995
Unterschiede	bv_doc_id__36_d27e997
der	bv_doc_id__36_d27e999
Kompetenzabgrenzung	bv_doc_id__36_d27e1001
in	bv_doc_id__36_d27e1003
den	bv_doc_id__36_d27e1005
eingange	bv_doc_id__36_d27e1008
ermähnten	bv_doc_id__36_d27e1010
Ertwirfen	bv_doc_id__36_d27e1012
Punkt	bv_doc_id__36_d27e1014
für	bv_doc_id__36_d27e1016
Punkt	bv_doc_id__36_d27e1018
aufgezühlt	bv_doc_id__36_d27e1021
und	bv_doc_id__36_d27e1023
erörtert	bv_doc_id__36_d27e1025
hat	bv_doc_id__36_d27e1027
<g/>
,	
eipffehlt	bv_doc_id__36_d27e1031
er	bv_doc_id__36_d27e1034
die	bv_doc_id__36_d27e1036
Dehatte	bv_doc_id__36_d27e1038
in	bv_doc_id__36_d27e1040
der	bv_doc_id__36_d27e1042
leise	bv_doc_id__36_d27e1044
zu	bv_doc_id__36_d27e1047
führen	bv_doc_id__36_d27e1049
<g/>
,	
daß	bv_doc_id__36_d27e1053
das	bv_doc_id__36_d27e1055
Subkomitee	bv_doc_id__36_d27e1057
zuerst	bv_doc_id__36_d27e1060
über	bv_doc_id__36_d27e1062
die	bv_doc_id__36_d27e1064
allgemeine	bv_doc_id__36_d27e1066
Kompetenzaberenzung	bv_doc_id__36_d27e1068
und	bv_doc_id__36_d27e1070
dann	bv_doc_id__36_d27e1073
über	bv_doc_id__36_d27e1075
das	bv_doc_id__36_d27e1077
Recht	bv_doc_id__36_d27e1079
zur	bv_doc_id__36_d27e1081
<g/>
.	
Erlassung	bv_doc_id__36_d27e1086
von	bv_doc_id__36_d27e1088
Verordnungen	bv_doc_id__36_d27e1090
schlüssig	bv_doc_id__36_d27e1092
werde	bv_doc_id__36_d27e1094
<g/>
.	
Als	bv_doc_id__36_d27e1099
erster	bv_doc_id__36_d27e1101
ledner	bv_doc_id__36_d27e1103
der	bv_doc_id__36_d27e1105
Oeneraldebatte	bv_doc_id__36_d27e1107
<g/>
,	
die	bv_doc_id__36_d27e1112
der	bv_doc_id__36_d27e1114
Vorsitzende	bv_doc_id__36_d27e1116
daraufhin	bv_doc_id__36_d27e1118
eröffnet	bv_doc_id__36_d27e1120
<g/>
,	
erklärt	bv_doc_id__36_d27e1125
Staaterekretär	bv_doc_id__36_d27e1127
Dr	bv_doc_id__36_d27e1129
<g/>
.	
Ma	bv_doc_id__36_d27e1133
y	bv_doc_id__36_d27e1135
r	bv_doc_id__36_d27e1138
<g/>
,	
daß	bv_doc_id__36_d27e1142
sich	bv_doc_id__36_d27e1144
die	bv_doc_id__36_d27e1146
länder	bv_doc_id__36_d27e1148
nach	bv_doc_id__36_d27e1151
langnierigen	bv_doc_id__36_d27e1153
Verhandlungen	bv_doc_id__36_d27e1155
des	bv_doc_id__36_d27e1157
Tystenatik	bv_doc_id__36_d27e1159
seines	bv_doc_id__36_d27e1161
Entwurfes	bv_doc_id__36_d27e1164
<g/>
,	
wie	bv_doc_id__36_d27e1168
er	bv_doc_id__36_d27e1170
der	bv_doc_id__36_d27e1172
Linzer	bv_doc_id__36_d27e1174
lagung	bv_doc_id__36_d27e1177
vorlag	bv_doc_id__36_d27e1179
und	bv_doc_id__36_d27e1181
nach	bv_doc_id__36_d27e1183
dem	bv_doc_id__36_d27e1185
Entwurf	bv_doc_id__36_d27e1187
Dr	bv_doc_id__36_d27e1190
<g/>
.	
Dahnebergs	bv_doc_id__36_d27e1194
ergänzt	bv_doc_id__36_d27e1196
wurde	bv_doc_id__36_d27e1198
<g/>
,	
also	bv_doc_id__36_d27e1203
auch	bv_doc_id__36_d27e1205
der	bv_doc_id__36_d27e1207
Dreiteilung	bv_doc_id__36_d27e1209
der	bv_doc_id__36_d27e1211
Zompstenzen	bv_doc_id__36_d27e1213
einhellig	bv_doc_id__36_d27e1216
angeschlossen	bv_doc_id__36_d27e1218
<g/>
.	
nätten	bv_doc_id__36_d27e1222
<g/>
.	
Die	bv_doc_id__36_d27e1226
Subsumierung	bv_doc_id__36_d27e1229
der	bv_doc_id__36_d27e1231
Kompetenzen	bv_doc_id__36_d27e1233
hingegen	bv_doc_id__36_d27e1235
sei	bv_doc_id__36_d27e1237
unter	bv_doc_id__36_d27e1239
großen	bv_doc_id__36_d27e1242
Schwierigkeiten	bv_doc_id__36_d27e1244
in	bv_doc_id__36_d27e1246
der	bv_doc_id__36_d27e1248
Staatakanzlei	bv_doc_id__36_d27e1250
unter	bv_doc_id__36_d27e1252
Litwirkung	bv_doc_id__36_d27e1255
der	bv_doc_id__36_d27e1257
außgebenden	bv_doc_id__36_d27e1259
Keanten	bv_doc_id__36_d27e1261
der	bv_doc_id__36_d27e1263
Verfassungs-	bv_doc_id__36_d27e1265
und	bv_doc_id__36_d27e1268
Vermaltungsahtellung	bv_doc_id__36_d27e1270
4	bv_doc_id__36_d27e1274
erfolgt	bv_doc_id__36_d27e1279
<g/>
,	
wobel	bv_doc_id__36_d27e1283
getrachtet	bv_doc_id__36_d27e1285
wurde	bv_doc_id__36_d27e1287
<g/>
,	
under	bv_doc_id__36_d27e1292
derarzichung	bv_doc_id__36_d27e1294
zuständiger	bv_doc_id__36_d27e1296
sacnkente	bv_doc_id__36_d27e1298
ein	bv_doc_id__36_d27e1300
halsbares	bv_doc_id__36_d27e1303
Und	bv_doc_id__36_d27e1305
prahtioch	bv_doc_id__36_d27e1307
durchfüerbares	bv_doc_id__36_d27e1309
sart	bv_doc_id__36_d27e1311
zu	bv_doc_id__36_d27e1313
schaffen	bv_doc_id__36_d27e1316
<g/>
.	
debor	bv_doc_id__36_d27e1320
den	bv_doc_id__36_d27e1322
Eatrart	bv_doc_id__36_d27e1324
<g/>
,	
der	bv_doc_id__36_d27e1329
unter	bv_doc_id__36_d27e1331
den	bv_doc_id__36_d27e1333
Voreitz	bv_doc_id__36_d27e1335
des	bv_doc_id__36_d27e1337
Staatsfanzlers	bv_doc_id__36_d27e1339
<g/>
(	
Entaurf	bv_doc_id__36_d27e1344
tenner-Wayr	bv_doc_id__36_d27e1346
<g/>
)	
ausgearbeitet	bv_doc_id__36_d27e1350
wurde	bv_doc_id__36_d27e1352
<g/>
,	
wäre	bv_doc_id__36_d27e1357
zu	bv_doc_id__36_d27e1359
benerken	bv_doc_id__36_d27e1361
<g/>
,	
daß	bv_doc_id__36_d27e1365
brihenner	bv_doc_id__36_d27e1368
in	bv_doc_id__36_d27e1370
der	bv_doc_id__36_d27e1372
aurzählung	bv_doc_id__36_d27e1374
der	bv_doc_id__36_d27e1376
Kompstenzen	bv_doc_id__36_d27e1378
bereita	bv_doc_id__36_d27e1381
den	bv_doc_id__36_d27e1383
Irjedes	bv_doc_id__36_d27e1385
einzelnen	bv_doc_id__36_d27e1387
Kaggskels	bv_doc_id__36_d27e1389
ünftigen	bv_doc_id__36_d27e1391
dundesninletriumtestlegen	bv_doc_id__36_d27e1394
wollte	bv_doc_id__36_d27e1396
<g/>
,	
so	bv_doc_id__36_d27e1400
daß	bv_doc_id__36_d27e1402
Ekt	bv_doc_id__36_d27e1404
<g/>
.	
I	bv_doc_id__36_d27e1409
die	bv_doc_id__36_d27e1411
Angelegenheiten	bv_doc_id__36_d27e1413
der	bv_doc_id__36_d27e1415
Staatekanzlei	bv_doc_id__36_d27e1417
<g/>
,	
2	bv_doc_id__36_d27e1422
die	bv_doc_id__36_d27e1424
des	bv_doc_id__36_d27e1426
Staatsantes	bv_doc_id__36_d27e1428
für	bv_doc_id__36_d27e1430
leuderes	bv_doc_id__36_d27e1433
u.s..	bv_doc_id__36_d27e1435
wiedergeben	bv_doc_id__36_d27e1437
<g/>
.	
Die	bv_doc_id__36_d27e1441
Erreichung	bv_doc_id__36_d27e1443
dieses	bv_doc_id__36_d27e1446
Luaßkes	bv_doc_id__36_d27e1448
erscheint	bv_doc_id__36_d27e1450
wende	bv_doc_id__36_d27e1452
wichtle	bv_doc_id__36_d27e1454
<g/>
,	
de	bv_doc_id__36_d27e1459
in	bv_doc_id__36_d27e1461
der	bv_doc_id__36_d27e1463
Verfrosung	bv_doc_id__36_d27e1465
keine	bv_doc_id__36_d27e1467
Notwendigkeit	bv_doc_id__36_d27e1469
bestent	bv_doc_id__36_d27e1472
<g/>
/	
Gen	bv_doc_id__36_d27e1476
ir8	bv_doc_id__36_d27e1478
Kungakreis	bv_doc_id__36_d27e1480
der	bv_doc_id__36_d27e1482
Ministerien	bv_doc_id__36_d27e1485
zum	bv_doc_id__36_d27e1487
Ausdruck	bv_doc_id__36_d27e1489
doch	bv_doc_id__36_d27e1491
zu	bv_doc_id__36_d27e1493
bringen	bv_doc_id__36_d27e1495
<g/>
,	
der	bv_doc_id__36_d27e1500
Vielfachen	bv_doc_id__36_d27e1502
Lenderungen	bv_doc_id__36_d27e1504
unterliegt	bv_doc_id__36_d27e1506
<g/>
.	
Die	bv_doc_id__36_d27e1511
juristischen	bv_doc_id__36_d27e1513
Mitarbeiter	bv_doc_id__36_d27e1515
der	bv_doc_id__36_d27e1517
Staatskanzlei	bv_doc_id__36_d27e1519
haben	bv_doc_id__36_d27e1521
sich	bv_doc_id__36_d27e1524
ebenso	bv_doc_id__36_d27e1526
wie	bv_doc_id__36_d27e1528
die	bv_doc_id__36_d27e1530
Fachleute	bv_doc_id__36_d27e1532
der	bv_doc_id__36_d27e1534
Staatsänter	bv_doc_id__36_d27e1537
seiner	bv_doc_id__36_d27e1539
Anschauung	bv_doc_id__36_d27e1541
angeschlogsen	bv_doc_id__36_d27e1543
<g/>
,	
das	bv_doc_id__36_d27e1547
die	bv_doc_id__36_d27e1550
sest	bv_doc_id__36_d27e1552
stenatik	bv_doc_id__36_d27e1554
des	bv_doc_id__36_d27e1556
Einzer	bv_doc_id__36_d27e1558
und	bv_doc_id__36_d27e1560
des	bv_doc_id__36_d27e1563
Fr	bv_doc_id__36_d27e1565
<g/>
.	
tadneberg'schen	bv_doc_id__36_d27e1569
Entwurfes	bv_doc_id__36_d27e1571
richtiger	bv_doc_id__36_d27e1573
ach	bv_doc_id__36_d27e1576
<g/>
,	
als	bv_doc_id__36_d27e1580
Frage	bv_doc_id__36_d27e1582
politischer	bv_doc_id__36_d27e1584
hatur	bv_doc_id__36_d27e1586
sei	bv_doc_id__36_d27e1589
noch	bv_doc_id__36_d27e1591
zu	bv_doc_id__36_d27e1593
erwähnen	bv_doc_id__36_d27e1595
<g/>
,	
daß	bv_doc_id__36_d27e1599
mit	bv_doc_id__36_d27e1602
den	bv_doc_id__36_d27e1604
Sätz	bv_doc_id__36_d27e1606
<g/>
,,	
die	bv_doc_id__36_d27e1610
winder	bv_doc_id__36_d27e1612
übertragen	bv_doc_id__36_d27e1615
der	bv_doc_id__36_d27e1617
Bunde“	bv_doc_id__36_d27e1619
zum	bv_doc_id__36_d27e1621
Ausdruck	bv_doc_id__36_d27e1623
gebracht	bv_doc_id__36_d27e1625
werden	bv_doc_id__36_d27e1628
soll	bv_doc_id__36_d27e1630
<g/>
,	
daß	bv_doc_id__36_d27e1634
die	bv_doc_id__36_d27e1636
länder	bv_doc_id__36_d27e1638
primäre	bv_doc_id__36_d27e1641
Genalt	bv_doc_id__36_d27e1643
besitzen	bv_doc_id__36_d27e1645
<g/>
.	
Spätere	bv_doc_id__36_d27e1649
Derztungen	bv_doc_id__36_d27e1651
führen	bv_doc_id__36_d27e1654
<g/>
,	
ällerdinge	bv_doc_id__36_d27e1658
huben	bv_doc_id__36_d27e1660
noch	bv_doc_id__36_d27e1662
nicht	bv_doc_id__36_d27e1664
alle	bv_doc_id__36_d27e1667
Länder	bv_doc_id__36_d27e1669
ihre	bv_doc_id__36_d27e1671
Zustinnung	bv_doc_id__36_d27e1673
gegeben	bv_doc_id__36_d27e1675
<g/>
,	
zur	bv_doc_id__36_d27e1680
fahl	bv_doc_id__36_d27e1682
der	bv_doc_id__36_d27e1684
Torte	bv_doc_id__36_d27e1686
<g/>
:	
Hundsssache	bv_doc_id__36_d27e1690
ist	bv_doc_id__36_d27e1693
einsichtlich	bv_doc_id__36_d27e1695
besstzgebung	bv_doc_id__36_d27e1697
und	bv_doc_id__36_d27e1699
Vollziehungs..	bv_doc_id__36_d27e1701
5	bv_doc_id__36_d27e1706
Abscnliefend	bv_doc_id__36_d27e1711
regt	bv_doc_id__36_d27e1713
der	bv_doc_id__36_d27e1715
StautsseKretür	bv_doc_id__36_d27e1717
an	bv_doc_id__36_d27e1719
<g/>
,	
nicht	bv_doc_id__36_d27e1724
den	bv_doc_id__36_d27e1726
Ertnarf	bv_doc_id__36_d27e1728
dr	bv_doc_id__36_d27e1730
<g/>
.	
Nenners	bv_doc_id__36_d27e1735
als	bv_doc_id__36_d27e1737
Brundlage	bv_doc_id__36_d27e1739
der	bv_doc_id__36_d27e1741
Beratungen	bv_doc_id__36_d27e1743
zu	bv_doc_id__36_d27e1745
nehmen	bv_doc_id__36_d27e1748
<g/>
,	
da	bv_doc_id__36_d27e1752
sich	bv_doc_id__36_d27e1754
dann	bv_doc_id__36_d27e1756
die	bv_doc_id__36_d27e1758
Differenzpunkte	bv_doc_id__36_d27e1761
zuischen	bv_doc_id__36_d27e1763
den	bv_doc_id__36_d27e1765
Intwürfen	bv_doc_id__36_d27e1767
der	bv_doc_id__36_d27e1769
chrietlicnsorialgn	bv_doc_id__36_d27e1771
<g/>
,	
der	bv_doc_id__36_d27e1776
Shzial-Demokraten	bv_doc_id__36_d27e1778
und	bv_doc_id__36_d27e1780
der	bv_doc_id__36_d27e1782
crösdeutschen	bv_doc_id__36_d27e1784
Vereinigung	bv_doc_id__36_d27e1787
leichter	bv_doc_id__36_d27e1789
dervorheben	bv_doc_id__36_d27e1791
lassen	bv_doc_id__36_d27e1793
<g/>
.	
Auch	bv_doc_id__36_d27e1797
Br	bv_doc_id__36_d27e1800
<g/>
.	
Seippl	bv_doc_id__36_d27e1804
beantragt	bv_doc_id__36_d27e1806
<g/>
,	
sich	bv_doc_id__36_d27e1810
mit	bv_doc_id__36_d27e1813
der	bv_doc_id__36_d27e1815
Syetenatik	bv_doc_id__36_d27e1817
der	bv_doc_id__36_d27e1819
letzteren	bv_doc_id__36_d27e1821
Entrürfe	bv_doc_id__36_d27e1823
einverstanden	bv_doc_id__36_d27e1826
zu	bv_doc_id__36_d27e1828
erklären	bv_doc_id__36_d27e1830
<g/>
,	
worauf	bv_doc_id__36_d27e1834
der	bv_doc_id__36_d27e1836
Berichterptätter	bv_doc_id__36_d27e1839
die	bv_doc_id__36_d27e1841
notwendigkeit	bv_doc_id__36_d27e1843
einer	bv_doc_id__36_d27e1845
lahhengesetzgebung	bv_doc_id__36_d27e1847
<g/>
.	
des	bv_doc_id__36_d27e1852
Bundes	bv_doc_id__36_d27e1854
erörtert	bv_doc_id__36_d27e1856
<g/>
,	
die	bv_doc_id__36_d27e1860
gr	bv_doc_id__36_d27e1862
mit	bv_doc_id__36_d27e1865
deiZeit	bv_doc_id__36_d27e1867
spielen	bv_doc_id__36_d27e1869
aus	bv_doc_id__36_d27e1871
frühgrgrbelegt	bv_doc_id__36_d27e1873
<g/>
.	
zur	bv_doc_id__36_d27e1878
trage	bv_doc_id__36_d27e1880
def	bv_doc_id__36_d27e1882
<g/>
(	
Systenatik	bv_doc_id__36_d27e1886
verneist	bv_doc_id__36_d27e1888
Min	bv_doc_id__36_d27e1891
<g/>
.	
Rat	bv_doc_id__36_d27e1895
Dr	bv_doc_id__36_d27e1897
<g/>
.	
F	bv_doc_id__36_d27e1901
r	bv_doc_id__36_d27e1904
oghli	bv_doc_id__36_d27e1906
ch	bv_doc_id__36_d27e1908
Garauf	bv_doc_id__36_d27e1910
<g/>
,	
daß	bv_doc_id__36_d27e1914
zahlreiche	bv_doc_id__36_d27e1917
Mlaterien	bv_doc_id__36_d27e1919
in	bv_doc_id__36_d27e1921
die	bv_doc_id__36_d27e1923
Komgetenz	bv_doc_id__36_d27e1925
verschiedener	bv_doc_id__36_d27e1927
östaatsämter	bv_doc_id__36_d27e1930
<g/>
,	
gehären	bv_doc_id__36_d27e1934
<g/>
.	
und	bv_doc_id__36_d27e1938
bei	bv_doc_id__36_d27e1940
einer	bv_doc_id__36_d27e1943
Cliederung	bv_doc_id__36_d27e1945
des	bv_doc_id__36_d27e1947
Stoffes	bv_doc_id__36_d27e1949
nach	bv_doc_id__36_d27e1951
bundesministerien	bv_doc_id__36_d27e1953
