<doc id="bv_doc_id__9" attrs="word lemma type">
Zweite	bv_doc_id__9_d57e407
Friedensverträgen	bv_doc_id__9_d57e890
<g/>
-	
nur	bv_doc_id__9_d57e894
durch	bv_doc_id__9_d57e897
übereinstimmende	bv_doc_id__9_d57e899
Verfassungsgesetze	bv_doc_id__9_d57e901
des	bv_doc_id__9_d57e903
Bundes	bv_doc_id__9_d57e905
und	bv_doc_id__9_d57e907
jenes	bv_doc_id__9_d57e910
Landes	bv_doc_id__9_d57e912
erfolgen	bv_doc_id__9_d57e914
<g/>
,	
dessen	bv_doc_id__9_d57e918
Gebiet	bv_doc_id__9_d57e920
eine	bv_doc_id__9_d57e923
Änderung	bv_doc_id__9_d57e925
erfährt	bv_doc_id__9_d57e927
<g/>
.	
Artikel	bv_doc_id__9_d57e938
4.	bv_doc_id__9_d57e940
<g/>
(	
1	bv_doc_id__9_d57e949
<g/>
)	
Jeder	bv_doc_id__9_d57e954
Landesbürger	bv_doc_id__9_d57e956
ist	bv_doc_id__9_d57e958
Angehöriger	bv_doc_id__9_d57e960
des	bv_doc_id__9_d57e963
Bundes	bv_doc_id__9_d57e965
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e976
<g/>
)	
Die	bv_doc_id__9_d57e981
Landesbürgerschaft	bv_doc_id__9_d57e983
ist	bv_doc_id__9_d57e985
an	bv_doc_id__9_d57e987
die	bv_doc_id__9_d57e990
Heimatberechtigung	bv_doc_id__9_d57e992
in	bv_doc_id__9_d57e994
der	bv_doc_id__9_d57e996
Gemeinde	bv_doc_id__9_d57e998
eines	bv_doc_id__9_d57e1000
Landes	bv_doc_id__9_d57e1003
gebunden	bv_doc_id__9_d57e1005
<g/>
.	
Artikel	bv_doc_id__9_d57e1015
5.	bv_doc_id__9_d57e1017
Jeder	bv_doc_id__9_d57e1022
Bundesangehörige	bv_doc_id__9_d57e1024
hat	bv_doc_id__9_d57e1026
in	bv_doc_id__9_d57e1028
jedem	bv_doc_id__9_d57e1030
Lande	bv_doc_id__9_d57e1033
des	bv_doc_id__9_d57e1035
Bundes	bv_doc_id__9_d57e1037
die	bv_doc_id__9_d57e1039
gleichen	bv_doc_id__9_d57e1041
Rechte	bv_doc_id__9_d57e1043
und	bv_doc_id__9_d57e1046
Pflichten	bv_doc_id__9_d57e1048
wie	bv_doc_id__9_d57e1050
die	bv_doc_id__9_d57e1052
Bürger	bv_doc_id__9_d57e1054
des	bv_doc_id__9_d57e1056
Landes	bv_doc_id__9_d57e1059
selbst	bv_doc_id__9_d57e1061
<g/>
.	
Artikel	bv_doc_id__9_d57e1071
6.	bv_doc_id__9_d57e1073
Die	bv_doc_id__9_d57e1078
deutsche	bv_doc_id__9_d57e1080
Sprache	bv_doc_id__9_d57e1082
ist	bv_doc_id__9_d57e1084
<g/>
,	
unbeschadet	bv_doc_id__9_d57e1089
der	bv_doc_id__9_d57e1091
den	bv_doc_id__9_d57e1093
sprachlichen	bv_doc_id__9_d57e1095
Minderheiten	bv_doc_id__9_d57e1097
gesetzlich	bv_doc_id__9_d57e1099
eingeräumten	bv_doc_id__9_d57e1102
Rechte	bv_doc_id__9_d57e1104
<g/>
,	
die	bv_doc_id__9_d57e1108
Staatssprache	bv_doc_id__9_d57e1110
der	bv_doc_id__9_d57e1112
Republik	bv_doc_id__9_d57e1115
<g/>
.	
Artikel	bv_doc_id__9_d57e1125
7.	bv_doc_id__9_d57e1127
Die	bv_doc_id__9_d57e1132
Flagge	bv_doc_id__9_d57e1134
der	bv_doc_id__9_d57e1136
Republik	bv_doc_id__9_d57e1138
besteht	bv_doc_id__9_d57e1140
aus	bv_doc_id__9_d57e1143
drei	bv_doc_id__9_d57e1145
gleichbreiten	bv_doc_id__9_d57e1147
wagrechten	bv_doc_id__9_d57e1149
Streifen	bv_doc_id__9_d57e1151
<g/>
,	
von	bv_doc_id__9_d57e1156
denen	bv_doc_id__9_d57e1158
der	bv_doc_id__9_d57e1160
mittlere	bv_doc_id__9_d57e1162
weiß	bv_doc_id__9_d57e1164
<g/>
,	
der	bv_doc_id__9_d57e1169
obere	bv_doc_id__9_d57e1171
und	bv_doc_id__9_d57e1173
untere	bv_doc_id__9_d57e1175
rot	bv_doc_id__9_d57e1177
ist	bv_doc_id__9_d57e1179
<g/>
.	
Artikel	bv_doc_id__9_d57e1190
8.	bv_doc_id__9_d57e1192
<g/>
(	
1	bv_doc_id__9_d57e1201
<g/>
)	
Das	bv_doc_id__9_d57e1206
Staatswappen	bv_doc_id__9_d57e1208
der	bv_doc_id__9_d57e1210
Republik	bv_doc_id__9_d57e1212
stellt	bv_doc_id__9_d57e1215
einen	bv_doc_id__9_d57e1217
freischwebenden	bv_doc_id__9_d57e1219
<g/>
,	
einköpfigen	bv_doc_id__9_d57e1223
<g/>
,	
schwarzen	bv_doc_id__9_d57e1228
<g/>
,	
golden	bv_doc_id__9_d57e1232
gewaffneten	bv_doc_id__9_d57e1234
und	bv_doc_id__9_d57e1236
rot	bv_doc_id__9_d57e1238
bezungten	bv_doc_id__9_d57e1241
Adler	bv_doc_id__9_d57e1243
dar	bv_doc_id__9_d57e1245
<g/>
,	
dessen	bv_doc_id__9_d57e1249
Brust	bv_doc_id__9_d57e1251
mit	bv_doc_id__9_d57e1254
einem	bv_doc_id__9_d57e1256
roten	bv_doc_id__9_d57e1258
<g/>
,	
von	bv_doc_id__9_d57e1262
einem	bv_doc_id__9_d57e1264
silbernen	bv_doc_id__9_d57e1267
Querbalken	bv_doc_id__9_d57e1269
durchzogenen	bv_doc_id__9_d57e1271
Schildchen	bv_doc_id__9_d57e1273
belegt	bv_doc_id__9_d57e1275
ist	bv_doc_id__9_d57e1277
<g/>
.	
Der	bv_doc_id__9_d57e1282
Adler	bv_doc_id__9_d57e1284
trägt	bv_doc_id__9_d57e1286
auf	bv_doc_id__9_d57e1288
dem	bv_doc_id__9_d57e1290
Haupte	bv_doc_id__9_d57e1293
eine	bv_doc_id__9_d57e1295
goldene	bv_doc_id__9_d57e1297
Mauerkrone	bv_doc_id__9_d57e1299
mit	bv_doc_id__9_d57e1301
drei	bv_doc_id__9_d57e1303
sichtbaren	bv_doc_id__9_d57e1306
Zinnen	bv_doc_id__9_d57e1308
<g/>
,	
im	bv_doc_id__9_d57e1312
rechten	bv_doc_id__9_d57e1314
Fange	bv_doc_id__9_d57e1316
eine	bv_doc_id__9_d57e1319
goldene	bv_doc_id__9_d57e1321
Sichel	bv_doc_id__9_d57e1323
mit	bv_doc_id__9_d57e1325
einwärts	bv_doc_id__9_d57e1327
gekehrter	bv_doc_id__9_d57e1329
Schneide	bv_doc_id__9_d57e1332
<g/>
,	
im	bv_doc_id__9_d57e1336
linken	bv_doc_id__9_d57e1338
Fange	bv_doc_id__9_d57e1340
einen	bv_doc_id__9_d57e1342
goldenen	bv_doc_id__9_d57e1345
Hammer	bv_doc_id__9_d57e1347
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e1358
<g/>
)	
Das	bv_doc_id__9_d57e1363
Staatssiegel	bv_doc_id__9_d57e1365
weist	bv_doc_id__9_d57e1367
das	bv_doc_id__9_d57e1369
Staatswappen	bv_doc_id__9_d57e1372
mit	bv_doc_id__9_d57e1374
der	bv_doc_id__9_d57e1376
Umschrift	bv_doc_id__9_d57e1378
<g/>
:	
„Republik	bv_doc_id__9_d57e1382
Österreich"	bv_doc_id__9_d57e1385
auf	bv_doc_id__9_d57e1387
<g/>
.	
Artikel	bv_doc_id__9_d57e1397
9.	bv_doc_id__9_d57e1399
Alle	bv_doc_id__9_d57e1404
Behörden	bv_doc_id__9_d57e1406
und	bv_doc_id__9_d57e1408
Ämter	bv_doc_id__9_d57e1410
im	bv_doc_id__9_d57e1412
Bundesgebiete	bv_doc_id__9_d57e1415
sind	bv_doc_id__9_d57e1417
im	bv_doc_id__9_d57e1419
Rahmen	bv_doc_id__9_d57e1421
ihres	bv_doc_id__9_d57e1423
gesetzmäßigen	bv_doc_id__9_d57e1425
Wirkungskreises	bv_doc_id__9_d57e1428
zur	bv_doc_id__9_d57e1430
wechselseitigen	bv_doc_id__9_d57e1432
Hilfeleistung	bv_doc_id__9_d57e1434
verpflichtet	bv_doc_id__9_d57e1436
<g/>
.	
Artikel	bv_doc_id__9_d57e1447
10.	bv_doc_id__9_d57e1449
<g/>
(	
1	bv_doc_id__9_d57e1458
<g/>
)	
Die	bv_doc_id__9_d57e1463
Länder	bv_doc_id__9_d57e1465
übertragen	bv_doc_id__9_d57e1467
der	bv_doc_id__9_d57e1469
Gesetzgebung	bv_doc_id__9_d57e1472
und	bv_doc_id__9_d57e1474
Vollziehung	bv_doc_id__9_d57e1476
des	bv_doc_id__9_d57e1478
Bundes	bv_doc_id__9_d57e1480
<g/>
:	
1.	bv_doc_id__9_d57e1489
die	bv_doc_id__9_d57e1494
auswärtigen	bv_doc_id__9_d57e1496
Angelegenheiten	bv_doc_id__9_d57e1498
mit	bv_doc_id__9_d57e1500
Einschluß	bv_doc_id__9_d57e1502
der	bv_doc_id__9_d57e1505
politischen	bv_doc_id__9_d57e1507
und	bv_doc_id__9_d57e1509
wirtschaftlichen	bv_doc_id__9_d57e1511
Vertretung	bv_doc_id__9_d57e1513
gegenüber	bv_doc_id__9_d57e1518
dem	bv_doc_id__9_d57e1520
Auslande	bv_doc_id__9_d57e1522
<g/>
;	
die	bv_doc_id__9_d57e1526
Grenzvermarkung	bv_doc_id__9_d57e1528
<g/>
;	
die	bv_doc_id__9_d57e1533
Regelung	bv_doc_id__9_d57e1535
des	bv_doc_id__9_d57e1537
Waren-	bv_doc_id__9_d57e1539
und	bv_doc_id__9_d57e1541
Viehverkehrs	bv_doc_id__9_d57e1544
mit	bv_doc_id__9_d57e1546
dem	bv_doc_id__9_d57e1548
Auslande	bv_doc_id__9_d57e1550
<g/>
;	
das	bv_doc_id__9_d57e1554
Zollwesen	bv_doc_id__9_d57e1557
<g/>
;	
2.	bv_doc_id__9_d57e1564
die	bv_doc_id__9_d57e1569
Regelung	bv_doc_id__9_d57e1571
und	bv_doc_id__9_d57e1573
Überwachung	bv_doc_id__9_d57e1575
des	bv_doc_id__9_d57e1577
Eintrittes	bv_doc_id__9_d57e1580
in	bv_doc_id__9_d57e1582
das	bv_doc_id__9_d57e1584
Bundesgebiet	bv_doc_id__9_d57e1586
und	bv_doc_id__9_d57e1588
des	bv_doc_id__9_d57e1590
Austrittes	bv_doc_id__9_d57e1593
aus	bv_doc_id__9_d57e1595
diesem	bv_doc_id__9_d57e1597
<g/>
;	
das	bv_doc_id__9_d57e1601
Ein-	bv_doc_id__9_d57e1603
und	bv_doc_id__9_d57e1606
Auswanderungswesen	bv_doc_id__9_d57e1608
<g/>
;	
die	bv_doc_id__9_d57e1612
Abschiebung	bv_doc_id__9_d57e1614
<g/>
,	
Abschaffung	bv_doc_id__9_d57e1619
<g/>
,	
Ausweisung	bv_doc_id__9_d57e1623
und	bv_doc_id__9_d57e1625
Auslieferung	bv_doc_id__9_d57e1627
aus	bv_doc_id__9_d57e1629
dem	bv_doc_id__9_d57e1632
Bundesgebiet	bv_doc_id__9_d57e1634
sowie	bv_doc_id__9_d57e1636
die	bv_doc_id__9_d57e1638
Durchlieferung	bv_doc_id__9_d57e1640
<g/>
;	
3.	bv_doc_id__9_d57e1647
die	bv_doc_id__9_d57e1653
Wahlen	bv_doc_id__9_d57e1655
zum	bv_doc_id__9_d57e1657
Bundestag	bv_doc_id__9_d57e1659
und	bv_doc_id__9_d57e1661
die	bv_doc_id__9_d57e1664
Wahl	bv_doc_id__9_d57e1666
des	bv_doc_id__9_d57e1668
Bundespräsidenten	bv_doc_id__9_d57e1670
<g/>
,	
die	bv_doc_id__9_d57e1674
Durchführung	bv_doc_id__9_d57e1677
von	bv_doc_id__9_d57e1679
Volksabstimmungen	bv_doc_id__9_d57e1681
im	bv_doc_id__9_d57e1683
ganzen	bv_doc_id__9_d57e1685
Bundesgebiete	bv_doc_id__9_d57e1687
sowie	bv_doc_id__9_d57e1690
die	bv_doc_id__9_d57e1692
Einrichtung	bv_doc_id__9_d57e1694
und	bv_doc_id__9_d57e1696
Führung	bv_doc_id__9_d57e1698
der	bv_doc_id__9_d57e1700
Bürgerlisten	bv_doc_id__9_d57e1703
<g/>
;	
4.	bv_doc_id__9_d57e1710
die	bv_doc_id__9_d57e1715
Bundesfinanzen	bv_doc_id__9_d57e1717
<g/>
,	
insbesondere	bv_doc_id__9_d57e1721
die	bv_doc_id__9_d57e1723
öffentlichen	bv_doc_id__9_d57e1726
Abgaben	bv_doc_id__9_d57e1728
<g/>
,	
die	bv_doc_id__9_d57e1732
ausschließlich	bv_doc_id__9_d57e1734
oder	bv_doc_id__9_d57e1736
teilweise	bv_doc_id__9_d57e1739
für	bv_doc_id__9_d57e1741
den	bv_doc_id__9_d57e1743
Bund	bv_doc_id__9_d57e1745
einzuheben	bv_doc_id__9_d57e1747
sind	bv_doc_id__9_d57e1749
<g/>
;	
das	bv_doc_id__9_d57e1754
Monopolwesen	bv_doc_id__9_d57e1756
<g/>
;	
die	bv_doc_id__9_d57e1760
Regelung	bv_doc_id__9_d57e1762
<g/>
,	
welche	bv_doc_id__9_d57e1767
Abgaben	bv_doc_id__9_d57e1769
dem	bv_doc_id__9_d57e1771
Bunde	bv_doc_id__9_d57e1773
und	bv_doc_id__9_d57e1775
den	bv_doc_id__9_d57e1778
Ländern	bv_doc_id__9_d57e1780
zustehen	bv_doc_id__9_d57e1782
<g/>
;	
die	bv_doc_id__9_d57e1786
Regelung	bv_doc_id__9_d57e1788
der	bv_doc_id__9_d57e1791
Anteilnahme	bv_doc_id__9_d57e1793
der	bv_doc_id__9_d57e1795
Länder	bv_doc_id__9_d57e1797
an	bv_doc_id__9_d57e1799
den	bv_doc_id__9_d57e1801
Einnahmen	bv_doc_id__9_d57e1804
des	bv_doc_id__9_d57e1806
Bundes	bv_doc_id__9_d57e1808
und	bv_doc_id__9_d57e1810
die	bv_doc_id__9_d57e1812
Regelung	bv_doc_id__9_d57e1814
der	bv_doc_id__9_d57e1817
Beiträge	bv_doc_id__9_d57e1819
und	bv_doc_id__9_d57e1821
Zuschüsse	bv_doc_id__9_d57e1823
aus	bv_doc_id__9_d57e1825
Bundesmitteln	bv_doc_id__9_d57e1827
zu	bv_doc_id__9_d57e1830
den	bv_doc_id__9_d57e1832
Ausgaben	bv_doc_id__9_d57e1834
der	bv_doc_id__9_d57e1836
Länder	bv_doc_id__9_d57e1838
<g/>
;	
5.	bv_doc_id__9_d57e1845
das	bv_doc_id__9_d57e1850
Geld-	bv_doc_id__9_d57e1852
<g/>
,	
Kredit-	bv_doc_id__9_d57e1856
<g/>
,	
Börse-	bv_doc_id__9_d57e1861
und	bv_doc_id__9_d57e1863
Bankwesen	bv_doc_id__9_d57e1865
<g/>
;	
das	bv_doc_id__9_d57e1869
Maß-	bv_doc_id__9_d57e1871
<g/>
,	
Gewichts-	bv_doc_id__9_d57e1876
<g/>
,	
Normen-	bv_doc_id__9_d57e1880
und	bv_doc_id__9_d57e1882
Punzierungswesen	bv_doc_id__9_d57e1884
<g/>
;	
6.	bv_doc_id__9_d57e1892
das	bv_doc_id__9_d57e1898
Zivil-	bv_doc_id__9_d57e1900
und	bv_doc_id__9_d57e1902
Strafrechtswesen	bv_doc_id__9_d57e1904
einschließlich	bv_doc_id__9_d57e1906
des	bv_doc_id__9_d57e1909
wirtschaftlichen	bv_doc_id__9_d57e1911
Assoziationswesens	bv_doc_id__9_d57e1913
<g/>
;	
die	bv_doc_id__9_d57e1917
Justizpflege	bv_doc_id__9_d57e1919
<g/>
;	
das	bv_doc_id__9_d57e1924
Verwaltungsstrafrecht	bv_doc_id__9_d57e1926
in	bv_doc_id__9_d57e1928
Angelegenheiten	bv_doc_id__9_d57e1930
<g/>
,	
deren	bv_doc_id__9_d57e1935
Vollziehung	bv_doc_id__9_d57e1937
dem	bv_doc_id__9_d57e1939
Bunde	bv_doc_id__9_d57e1941
zusteht	bv_doc_id__9_d57e1943
<g/>
;	
die	bv_doc_id__9_d57e1948
Verwaltungsgerichtsbarkeit	bv_doc_id__9_d57e1950
<g/>
;	
das	bv_doc_id__9_d57e1954
Urheberrecht	bv_doc_id__9_d57e1956
<g/>
;	
die	bv_doc_id__9_d57e1961
Bekämpfung	bv_doc_id__9_d57e1963
des	bv_doc_id__9_d57e1965
unlauteren	bv_doc_id__9_d57e1967
Wettbewerbes	bv_doc_id__9_d57e1969
<g/>
;	
das	bv_doc_id__9_d57e1974
Patentwesen	bv_doc_id__9_d57e1976
sowie	bv_doc_id__9_d57e1978
den	bv_doc_id__9_d57e1980
Marken-	bv_doc_id__9_d57e1982
und	bv_doc_id__9_d57e1984
Musterschutz	bv_doc_id__9_d57e1987
<g/>
;	
die	bv_doc_id__9_d57e1991
Enteignung	bv_doc_id__9_d57e1993
<g/>
,	
soweit	bv_doc_id__9_d57e1997
sie	bv_doc_id__9_d57e2000
nicht	bv_doc_id__9_d57e2002
Angelegenheiten	bv_doc_id__9_d57e2004
betrifft	bv_doc_id__9_d57e2006
<g/>
,	
die	bv_doc_id__9_d57e2010
in	bv_doc_id__9_d57e2013
den	bv_doc_id__9_d57e2015
Wirkungskreis	bv_doc_id__9_d57e2017
der	bv_doc_id__9_d57e2019
Länder	bv_doc_id__9_d57e2021
fallen	bv_doc_id__9_d57e2023
<g/>
;	
die	bv_doc_id__9_d57e2028
Angelegenheiten	bv_doc_id__9_d57e2030
der	bv_doc_id__9_d57e2032
Notare	bv_doc_id__9_d57e2034
<g/>
,	
der	bv_doc_id__9_d57e2039
Rechtsanwälte	bv_doc_id__9_d57e2041
und	bv_doc_id__9_d57e2043
verwandter	bv_doc_id__9_d57e2045
Berufe	bv_doc_id__9_d57e2047
<g/>
;	
das	bv_doc_id__9_d57e2052
Ingenieur-	bv_doc_id__9_d57e2054
und	bv_doc_id__9_d57e2056
Ziviltechnikerwesen	bv_doc_id__9_d57e2058
<g/>
;	
die	bv_doc_id__9_d57e2062
Handels-	bv_doc_id__9_d57e2065
und	bv_doc_id__9_d57e2067
Gewerbekammern	bv_doc_id__9_d57e2069
<g/>
;	
7.	bv_doc_id__9_d57e2076
das	bv_doc_id__9_d57e2081
Verkehrswesen	bv_doc_id__9_d57e2083
bezüglich	bv_doc_id__9_d57e2085
der	bv_doc_id__9_d57e2087
Eisenbahnen	bv_doc_id__9_d57e2089
<g/>
,	
der	bv_doc_id__9_d57e2094
Schiffahrt	bv_doc_id__9_d57e2096
und	bv_doc_id__9_d57e2098
der	bv_doc_id__9_d57e2100
Luftschiffahrt	bv_doc_id__9_d57e2102
<g/>
;	
die	bv_doc_id__9_d57e2107
Angelegenheiten	bv_doc_id__9_d57e2109
der	bv_doc_id__9_d57e2111
wegen	bv_doc_id__9_d57e2113
ihrer	bv_doc_id__9_d57e2115
Bedeutung	bv_doc_id__9_d57e2118
für	bv_doc_id__9_d57e2120
den	bv_doc_id__9_d57e2122
Durchzugsverkehr	bv_doc_id__9_d57e2124
durch	bv_doc_id__9_d57e2126
Bundesgesetz	bv_doc_id__9_d57e2128
als	bv_doc_id__9_d57e2131
Bundesstraßen	bv_doc_id__9_d57e2133
erklärten	bv_doc_id__9_d57e2135
Straßenzüge	bv_doc_id__9_d57e2137
<g/>
;	
die	bv_doc_id__9_d57e2141
Strom-	bv_doc_id__9_d57e2144
und	bv_doc_id__9_d57e2146
Schiffahrtspolizei	bv_doc_id__9_d57e2148
<g/>
;	
das	bv_doc_id__9_d57e2152
Post-	bv_doc_id__9_d57e2154
<g/>
,	
Telegraphen-	bv_doc_id__9_d57e2159
und	bv_doc_id__9_d57e2161
Fernsprechwesen	bv_doc_id__9_d57e2163
<g/>
;	
8.	bv_doc_id__9_d57e2170
das	bv_doc_id__9_d57e2175
Bergwesen	bv_doc_id__9_d57e2177
<g/>
;	
die	bv_doc_id__9_d57e2181
Angelegenheiten	bv_doc_id__9_d57e2183
der	bv_doc_id__9_d57e2186
Wohlfahrtswälder	bv_doc_id__9_d57e2188
<g/>
(	
Schutz-	bv_doc_id__9_d57e2192
und	bv_doc_id__9_d57e2194
Bannwälder	bv_doc_id__9_d57e2196
<g/>
)	
sowie	bv_doc_id__9_d57e2201
das	bv_doc_id__9_d57e2203
Aufforstungswesen	bv_doc_id__9_d57e2205
<g/>
;	
die	bv_doc_id__9_d57e2209
Ausführung	bv_doc_id__9_d57e2212
der	bv_doc_id__9_d57e2214
Regulierung	bv_doc_id__9_d57e2216
und	bv_doc_id__9_d57e2218
die	bv_doc_id__9_d57e2220
Instandhaltung	bv_doc_id__9_d57e2222
der	bv_doc_id__9_d57e2225
schiffbaren	bv_doc_id__9_d57e2227
und	bv_doc_id__9_d57e2229
flößbaren	bv_doc_id__9_d57e2231
Gewässer	bv_doc_id__9_d57e2233
<g/>
,	
dann	bv_doc_id__9_d57e2238
solcher	bv_doc_id__9_d57e2240
Gewässer	bv_doc_id__9_d57e2242
<g/>
,	
welche	bv_doc_id__9_d57e2246
die	bv_doc_id__9_d57e2248
