<doc id="bv_doc_id__43" attrs="word lemma type">
Protokoll	bv_doc_id__43_d32e281
Dr	bv_doc_id__43_d32e424
<g/>
.	
Haas	bv_doc_id__43_d32e428
Kels	bv_doc_id__43_d32e430
en	bv_doc_id__43_d32e432
als	bv_doc_id__43_d32e435
Experte	bv_doc_id__43_d32e437
des	bv_doc_id__43_d32e439
Verfassuagsausschüsses	bv_doc_id__43_d32e441
<g/>
.	
2.	bv_doc_id__43_d32e448
der	bv_doc_id__43_d32e450
Versitzende	bv_doc_id__43_d32e452
leitet	bv_doc_id__43_d32e454
die	bv_doc_id__43_d32e456
Berstung	bv_doc_id__43_d32e458
über	bv_doc_id__43_d32e461
den	bv_doc_id__43_d32e463
4.Abschaitt	bv_doc_id__43_d32e465
des	bv_doc_id__43_d32e467
Linzer	bv_doc_id__43_d32e469
Entwirfes	bv_doc_id__43_d32e471
eVon	bv_doc_id__43_d32e474
der	bv_doc_id__43_d32e476
Gesetzgebung	bv_doc_id__43_d32e478
und	bv_doc_id__43_d32e480
Vollziehung	bv_doc_id__43_d32e482
der	bv_doc_id__43_d32e484
Länder	bv_doc_id__43_d32e487
ein	bv_doc_id__43_d32e489
und	bv_doc_id__43_d32e491
bemerkt	bv_doc_id__43_d32e493
zu	bv_doc_id__43_d32e495
einer	bv_doc_id__43_d32e497
Frage	bv_doc_id__43_d32e500
<g/>
,	
ob	bv_doc_id__43_d32e504
der	bv_doc_id__43_d32e506
Hchnsitz	bv_doc_id__43_d32e508
im	bv_doc_id__43_d32e510
Lande	bv_doc_id__43_d32e513
nicht	bv_doc_id__43_d32e515
als	bv_doc_id__43_d32e517
Voraussetzung	bv_doc_id__43_d32e519
für	bv_doc_id__43_d32e521
das	bv_doc_id__43_d32e523
Landtagswahlrecht	bv_doc_id__43_d32e526
angeführt	bv_doc_id__43_d32e528
werden	bv_doc_id__43_d32e530
sollte	bv_doc_id__43_d32e532
<g/>
,	
daß	bv_doc_id__43_d32e536
dies	bv_doc_id__43_d32e539
nicht	bv_doc_id__43_d32e541
nötig	bv_doc_id__43_d32e543
sei	bv_doc_id__43_d32e545
<g/>
,	
weil	bv_doc_id__43_d32e549
ja	bv_doc_id__43_d32e552
laut	bv_doc_id__43_d32e554
Art.	bv_doc_id__43_d32e556
85	bv_doc_id__43_d32e558
<g/>
,	
Abs	bv_doc_id__43_d32e562
<g/>
.	
2	bv_doc_id__43_d32e567
die	bv_doc_id__43_d32e569
Bedingungen	bv_doc_id__43_d32e571
des	bv_doc_id__43_d32e573
Mahlrechtes	bv_doc_id__43_d32e575
nicht	bv_doc_id__43_d32e578
enger	bv_doc_id__43_d32e580
gezogen	bv_doc_id__43_d32e582
werden	bv_doc_id__43_d32e584
dürfen	bv_doc_id__43_d32e586
als	bv_doc_id__43_d32e588
in	bv_doc_id__43_d32e591
der	bv_doc_id__43_d32e593
Nehlerdnung	bv_doc_id__43_d32e595
zum	bv_doc_id__43_d32e597
Astionalrat	bv_doc_id__43_d32e599
<g/>
,	
es	bv_doc_id__43_d32e604
wurden	bv_doc_id__43_d32e606
daraufhin	bv_doc_id__43_d32e608
folgende	bv_doc_id__43_d32e610
Formulierungen	bv_doc_id__43_d32e612
beschlossen	bv_doc_id__43_d32e614
<g/>
:	
"Nrt	bv_doc_id__43_d32e619
<g/>
.	
83.	bv_doc_id__43_d32e623
<g/>
(	
1	bv_doc_id__43_d32e627
<g/>
)	
Die	bv_doc_id__43_d32e632
gesetzgebende	bv_doc_id__43_d32e634
Gewalt	bv_doc_id__43_d32e636
der	bv_doc_id__43_d32e638
Länder	bv_doc_id__43_d32e640
wird	bv_doc_id__43_d32e643
durch	bv_doc_id__43_d32e645
die	bv_doc_id__43_d32e647
Landtage	bv_doc_id__43_d32e649
ausgeubt	bv_doc_id__43_d32e651
<g/>
,	
deren	bv_doc_id__43_d32e656
Mntglieder	bv_doc_id__43_d32e658
auf	bv_doc_id__43_d32e660
Grund	bv_doc_id__43_d32e662
des	bv_doc_id__43_d32e664
gleichen	bv_doc_id__43_d32e666
<g/>
,	
geheinen	bv_doc_id__43_d32e671
<g/>
,	
personlichen	bv_doc_id__43_d32e675
und	bv_doc_id__43_d32e677
unmittelberen	bv_doc_id__43_d32e679
Verhältnisuchlrechtes	bv_doc_id__43_d32e682
aller	bv_doc_id__43_d32e684
nach	bv_doc_id__43_d32e686
den	bv_doc_id__43_d32e688
Landtagswahlordnungen	bv_doc_id__43_d32e690
wahlberechtigten	bv_doc_id__43_d32e692
männlichen	bv_doc_id__43_d32e695
und	bv_doc_id__43_d32e697
neiblichen	bv_doc_id__43_d32e699
Bundesangehörigen	bv_doc_id__43_d32e701
gewählt	bv_doc_id__43_d32e703
werden	bv_doc_id__43_d32e705
<g/>
.	
<g/>
(	
2	bv_doc_id__43_d32e712
<g/>
)	
Die	bv_doc_id__43_d32e716
Landtagsnahlerdnungen	bv_doc_id__43_d32e718
dürfen	bv_doc_id__43_d32e721
die	bv_doc_id__43_d32e723
Bedingungen	bv_doc_id__43_d32e725
des	bv_doc_id__43_d32e727
aktiven	bv_doc_id__43_d32e729
und	bv_doc_id__43_d32e731
passiven	bv_doc_id__43_d32e734
Nehlrechtes	bv_doc_id__43_d32e736
nicht	bv_doc_id__43_d32e738
enger	bv_doc_id__43_d32e740
ziehen	bv_doc_id__43_d32e742
eis	bv_doc_id__43_d32e744
dies	bv_doc_id__43_d32e747
in	bv_doc_id__43_d32e749
der	bv_doc_id__43_d32e751
Wahlerdnung	bv_doc_id__43_d32e753
zum	bv_doc_id__43_d32e755
Naticnalrat	bv_doc_id__43_d32e757
der	bv_doc_id__43_d32e760
Fall	bv_doc_id__43_d32e762
ist	bv_doc_id__43_d32e764
<g/>
.	
"Art.	bv_doc_id__43_d32e768
26.	bv_doc_id__43_d32e770
<g/>
(	
1	bv_doc_id__43_d32e775
<g/>
)	
Die	bv_doc_id__43_d32e779
Uitglieder	bv_doc_id__43_d32e781
des	bv_doc_id__43_d32e783
Landtages	bv_doc_id__43_d32e786
genießen	bv_doc_id__43_d32e788
die	bv_doc_id__43_d32e790
gleiche	bv_doc_id__43_d32e792
Immunität	bv_doc_id__43_d32e794
wie	bv_doc_id__43_d32e796
die	bv_doc_id__43_d32e799
Untglieder	bv_doc_id__43_d32e801
des	bv_doc_id__43_d32e803
Neticaslrates	bv_doc_id__43_d32e805
<g/>
,	
wabei	bv_doc_id__43_d32e809
die	bv_doc_id__43_d32e812
Bestimmungen	bv_doc_id__43_d32e814
des	bv_doc_id__43_d32e816
Art.	bv_doc_id__43_d32e818
43	bv_doc_id__43_d32e820
sinngemäß	bv_doc_id__43_d32e822
Anwendung	bv_doc_id__43_d32e825
findet	bv_doc_id__43_d32e827
<g/>
.	
<g/>
(	
2	bv_doc_id__43_d32e833
<g/>
)	
Die	bv_doc_id__43_d32e838
Bestimdungen	bv_doc_id__43_d32e840
der	bv_doc_id__43_d32e842
Art.	bv_doc_id__43_d32e844
24	bv_doc_id__43_d32e846
und	bv_doc_id__43_d32e848
25	bv_doc_id__43_d32e851
gelten	bv_doc_id__43_d32e853
auch	bv_doc_id__43_d32e855
für	bv_doc_id__43_d32e857
die	bv_doc_id__43_d32e859
Sitzungen	bv_doc_id__43_d32e861
der	bv_doc_id__43_d32e864
Landtage	bv_doc_id__43_d32e866
und	bv_doc_id__43_d32e868
ihrer	bv_doc_id__43_d32e870
Ausschüsse	bv_doc_id__43_d32e872
<g/>
.	
Bei	bv_doc_id__43_d32e877
Berstung	bv_doc_id__43_d32e879
des	bv_doc_id__43_d32e881
Art.	bv_doc_id__43_d32e883
87	bv_doc_id__43_d32e885
verweist	bv_doc_id__43_d32e887
der	bv_doc_id__43_d32e890
Versitzende	bv_doc_id__43_d32e892
auf	bv_doc_id__43_d32e894
die	bv_doc_id__43_d32e896
leinungsverschiedenheiten	bv_doc_id__43_d32e898
bezüglich	bv_doc_id__43_d32e900
der	bv_doc_id__43_d32e903
Trennung	bv_doc_id__43_d32e905
der	bv_doc_id__43_d32e907
Funktionen	bv_doc_id__43_d32e909
des	bv_doc_id__43_d32e911
Versitzenden	bv_doc_id__43_d32e913
im	bv_doc_id__43_d32e916
Lendtage	bv_doc_id__43_d32e918
und	bv_doc_id__43_d32e920
des	bv_doc_id__43_d32e922
Chefs	bv_doc_id__43_d32e924
der	bv_doc_id__43_d32e926
Landesregierung	bv_doc_id__43_d32e929
<g/>
.	
Atg	bv_doc_id__43_d32e933
<g/>
.	
Dr	bv_doc_id__43_d32e937
<g/>
.	
Se	bv_doc_id__43_d32e942
ipel	bv_doc_id__43_d32e944
spricht	bv_doc_id__43_d32e946
sich	bv_doc_id__43_d32e948
für	bv_doc_id__43_d32e950
möglichste	bv_doc_id__43_d32e952
Freihert	bv_doc_id__43_d32e955
der	bv_doc_id__43_d32e957
Landesgesetzgebung	bv_doc_id__43_d32e959
aus	bv_doc_id__43_d32e961
<g/>
;	
nauentlich	bv_doc_id__43_d32e965
Oberosterreich	bv_doc_id__43_d32e968
sei	bv_doc_id__43_d32e970
gegen	bv_doc_id__43_d32e972
eine	bv_doc_id__43_d32e974
Trenaung	bv_doc_id__43_d32e976
der	bv_doc_id__43_d32e978
Punktichen	bv_doc_id__43_d32e981
<g/>
.	
Abg	bv_doc_id__43_d32e985
<g/>
.	
Leuthner	bv_doc_id__43_d32e989
möchte	bv_doc_id__43_d32e991
die	bv_doc_id__43_d32e994
lösung	bv_doc_id__43_d32e996
dieser	bv_doc_id__43_d32e998
Frage	bv_doc_id__43_d32e1000
dech	bv_doc_id__43_d32e1002
nicht	bv_doc_id__43_d32e1004
chneneiters	bv_doc_id__43_d32e1007
in	bv_doc_id__43_d32e1009
das	bv_doc_id__43_d32e1011
Belieben	bv_doc_id__43_d32e1013
der	bv_doc_id__43_d32e1015
Länder	bv_doc_id__43_d32e1017
stellen	bv_doc_id__43_d32e1020
und	bv_doc_id__43_d32e1022
Prof	bv_doc_id__43_d32e1024
<g/>
.	
Dr	bv_doc_id__43_d32e1028
<g/>
.	
Kelsen	bv_doc_id__43_d32e1033
erklärt	bv_doc_id__43_d32e1035
<g/>
,	
daß	bv_doc_id__43_d32e1039
der	bv_doc_id__43_d32e1041
Gedanke	bv_doc_id__43_d32e1043
der	bv_doc_id__43_d32e1046
Trennung	bv_doc_id__43_d32e1048
in	bv_doc_id__43_d32e1050
allen	bv_doc_id__43_d32e1052
Entwürfen	bv_doc_id__43_d32e1054
der	bv_doc_id__43_d32e1056
Staatskanzlei	bv_doc_id__43_d32e1059
bis	bv_doc_id__43_d32e1061
zur	bv_doc_id__43_d32e1063
Linzer	bv_doc_id__43_d32e1065
Konferenz	bv_doc_id__43_d32e1067
streng	bv_doc_id__43_d32e1069
durchgefuhrt	bv_doc_id__43_d32e1072
worden	bv_doc_id__43_d32e1074
sei	bv_doc_id__43_d32e1076
<g/>
,	
da	bv_doc_id__43_d32e1080
man	bv_doc_id__43_d32e1082
den	bv_doc_id__43_d32e1085
Hauptgrund	bv_doc_id__43_d32e1087
der	bv_doc_id__43_d32e1089
Unbetmässigkeit	bv_doc_id__43_d32e1091
3-	bv_doc_id__43_d32e1095
der	bv_doc_id__43_d32e1098
Landeshauptmänner	bv_doc_id__43_d32e1100
in	bv_doc_id__43_d32e1102
ihrem	bv_doc_id__43_d32e1104
Gefühl	bv_doc_id__43_d32e1106
der	bv_doc_id__43_d32e1108
Unabhängigkert	bv_doc_id__43_d32e1111
erblickt	bv_doc_id__43_d32e1113
habe	bv_doc_id__43_d32e1115
<g/>
.	
Auf	bv_doc_id__43_d32e1119
dem	bv_doc_id__43_d32e1121
Gebiete	bv_doc_id__43_d32e1124
der	bv_doc_id__43_d32e1126
Vollziehung	bv_doc_id__43_d32e1128
von	bv_doc_id__43_d32e1130
Bundesangelegenherten	bv_doc_id__43_d32e1132
müsse	bv_doc_id__43_d32e1134
der	bv_doc_id__43_d32e1137
Grundsatz	bv_doc_id__43_d32e1139
abscluter	bv_doc_id__43_d32e1141
Unterordnung	bv_doc_id__43_d32e1143
herrsclea	bv_doc_id__43_d32e1145
<g/>
.	
Stastssekretir	bv_doc_id__43_d32e1150
Dr	bv_doc_id__43_d32e1152
<g/>
.	
Ue	bv_doc_id__43_d32e1156
Ir	bv_doc_id__43_d32e1158
teilt	bv_doc_id__43_d32e1160
nit	bv_doc_id__43_d32e1163
<g/>
,	
das	bv_doc_id__43_d32e1167
die	bv_doc_id__43_d32e1169
Lddstuaff	bv_doc_id__43_d32e1171
LxxLEXXAd	bv_doc_id__43_d32e1173
nicht	bv_doc_id__43_d32e1176
der	bv_doc_id__43_d32e1178
sozialdemckratischen	bv_doc_id__43_d32e1180
Partei	bv_doc_id__43_d32e1182
angehörenden	bv_doc_id__43_d32e1184
Ländervertreter	bv_doc_id__43_d32e1186
in	bv_doc_id__43_d32e1189
Salzburg	bv_doc_id__43_d32e1191
noch	bv_doc_id__43_d32e1193
nicht	bv_doc_id__43_d32e1195
für	bv_doc_id__43_d32e1197
die	bv_doc_id__43_d32e1199
Treanung	bv_doc_id__43_d32e1202
waren	bv_doc_id__43_d32e1204
oder	bv_doc_id__43_d32e1206
die	bv_doc_id__43_d32e1208
Regelung	bv_doc_id__43_d32e1210
den	bv_doc_id__43_d32e1212
Ländern	bv_doc_id__43_d32e1215
überlessen	bv_doc_id__43_d32e1217
wellten	bv_doc_id__43_d32e1219
<g/>
,	
in	bv_doc_id__43_d32e1223
linz	bv_doc_id__43_d32e1225
sprachen	bv_doc_id__43_d32e1228
sich	bv_doc_id__43_d32e1230
dagegen	bv_doc_id__43_d32e1232
alle	bv_doc_id__43_d32e1234
für	bv_doc_id__43_d32e1236
die	bv_doc_id__43_d32e1238
ungeteilte	bv_doc_id__43_d32e1241
Punktion	bv_doc_id__43_d32e1243
aus	bv_doc_id__43_d32e1245
<g/>
,	
bescoders	bv_doc_id__43_d32e1249
da	bv_doc_id__43_d32e1251
sich	bv_doc_id__43_d32e1254
die	bv_doc_id__43_d32e1256
Teilung	bv_doc_id__43_d32e1258
in	bv_doc_id__43_d32e1260
Kärnten	bv_doc_id__43_d32e1262
nicht	bv_doc_id__43_d32e1264
bewährt	bv_doc_id__43_d32e1267
haben	bv_doc_id__43_d32e1269
soll	bv_doc_id__43_d32e1271
<g/>
.	
Der	bv_doc_id__43_d32e1275
Varsitzende	bv_doc_id__43_d32e1277
meint	bv_doc_id__43_d32e1280
<g/>
,	
da	bv_doc_id__43_d32e1284
die	bv_doc_id__43_d32e1286
Länder	bv_doc_id__43_d32e1288
den	bv_doc_id__43_d32e1290
Präsidenten	bv_doc_id__43_d32e1293
des	bv_doc_id__43_d32e1295
Landtages	bv_doc_id__43_d32e1297
als	bv_doc_id__43_d32e1299
Oberhaupt	bv_doc_id__43_d32e1301
des	bv_doc_id__43_d32e1303
Gliedstaates	bv_doc_id__43_d32e1306
auffassen	bv_doc_id__43_d32e1308
<g/>
,	
müßte	bv_doc_id__43_d32e1312
man	bv_doc_id__43_d32e1314
analog	bv_doc_id__43_d32e1316
dem	bv_doc_id__43_d32e1319
Ergument	bv_doc_id__43_d32e1321
der	bv_doc_id__43_d32e1323
Christlichsczielen	bv_doc_id__43_d32e1325
zur	bv_doc_id__43_d32e1327
Stellung	bv_doc_id__43_d32e1329
des	bv_doc_id__43_d32e1332
Bundespräsidenten	bv_doc_id__43_d32e1334
vermeiden	bv_doc_id__43_d32e1336
<g/>
,	
den	bv_doc_id__43_d32e1340
Landeshauptmann	bv_doc_id__43_d32e1342
zum	bv_doc_id__43_d32e1345
Landtagspräsidenten	bv_doc_id__43_d32e1347
zu	bv_doc_id__43_d32e1349
machen	bv_doc_id__43_d32e1351
<g/>
.	
Auch	bv_doc_id__43_d32e1355
könne	bv_doc_id__43_d32e1358
das	bv_doc_id__43_d32e1360
Oberhaupt	bv_doc_id__43_d32e1362
eines	bv_doc_id__43_d32e1364
Stastes	bv_doc_id__43_d32e1366
doch	bv_doc_id__43_d32e1368
nicht	bv_doc_id__43_d32e1371
von	bv_doc_id__43_d32e1373
der	bv_doc_id__43_d32e1375
kundesregierung	bv_doc_id__43_d32e1377
Weisungen	bv_doc_id__43_d32e1379
entgegennehmen	bv_doc_id__43_d32e1381
<g/>
,	
wie	bv_doc_id__43_d32e1386
dies	bv_doc_id__43_d32e1388
der	bv_doc_id__43_d32e1390
Chef	bv_doc_id__43_d32e1392
der	bv_doc_id__43_d32e1394
Landesregie	bv_doc_id__43_d32e1397
rung	bv_doc_id__43_d32e1399
muß	bv_doc_id__43_d32e1401
<g/>
.	
Auch	bv_doc_id__43_d32e1405
die	bv_doc_id__43_d32e1407
Länder	bv_doc_id__43_d32e1410
durften	bv_doc_id__43_d32e1412
das	bv_doc_id__43_d32e1414
Bedurfnis	bv_doc_id__43_d32e1416
nach	bv_doc_id__43_d32e1418
einer	bv_doc_id__43_d32e1420
Trennung	bv_doc_id__43_d32e1423
der	bv_doc_id__43_d32e1425
Punktica	bv_doc_id__43_d32e1427
haben	bv_doc_id__43_d32e1429
<g/>
,	
die	bv_doc_id__43_d32e1433
allein	bv_doc_id__43_d32e1436
der	bv_doc_id__43_d32e1438
Wurde	bv_doc_id__43_d32e1440
entspricht	bv_doc_id__43_d32e1442
und	bv_doc_id__43_d32e1444
die	bv_doc_id__43_d32e1446
einzig	bv_doc_id__43_d32e1449
richtige	bv_doc_id__43_d32e1451
und	bv_doc_id__43_d32e1453
zweckmässige	bv_doc_id__43_d32e1455
Konstruktion	bv_doc_id__43_d32e1457
ist	bv_doc_id__43_d32e1459
<g/>
.	
Dr	bv_doc_id__43_d32e1464
<g/>
.	
Ai	bv_doc_id__43_d32e1468
Eer	bv_doc_id__43_d32e1470
erinnert	bv_doc_id__43_d32e1472
deran	bv_doc_id__43_d32e1475
<g/>
,	
daß	bv_doc_id__43_d32e1479
in	bv_doc_id__43_d32e1481
Linz	bv_doc_id__43_d32e1483
auch	bv_doc_id__43_d32e1485
die	bv_doc_id__43_d32e1488
sozialdenokratischen	bv_doc_id__43_d32e1490
Vertreter	bv_doc_id__43_d32e1492
eine	bv_doc_id__43_d32e1494
Abänderung	bv_doc_id__43_d32e1496
<g/>
,	
wie	bv_doc_id__43_d32e1501
sie	bv_doc_id__43_d32e1503
hier	bv_doc_id__43_d32e1505
vorgeschlagen	bv_doc_id__43_d32e1507
wird	bv_doc_id__43_d32e1509
<g/>
,	
als	bv_doc_id__43_d32e1514
refermetio	bv_doc_id__43_d32e1516
in	bv_doc_id__43_d32e1518
peius	bv_doc_id__43_d32e1520
<g/>
,	
nur	bv_doc_id__43_d32e1524
unter	bv_doc_id__43_d32e1527
dringendsten	bv_doc_id__43_d32e1529
Umständen	bv_doc_id__43_d32e1531
zugeben	bv_doc_id__43_d32e1533
wellten	bv_doc_id__43_d32e1535
<g/>
.	
Jetzt	bv_doc_id__43_d32e1540
haben	bv_doc_id__43_d32e1542
die	bv_doc_id__43_d32e1544
Landeshauptmänner	bv_doc_id__43_d32e1546
jederzeit	bv_doc_id__43_d32e1548
die	bv_doc_id__43_d32e1550
Möglichkeit	bv_doc_id__43_d32e1553
auf	bv_doc_id__43_d32e1555
einheitliche	bv_doc_id__43_d32e1557
Gesetzgebuag	bv_doc_id__43_d32e1559
hinzuwirten	bv_doc_id__43_d32e1561
wie	bv_doc_id__43_d32e1563
eben	bv_doc_id__43_d32e1566
jetzt	bv_doc_id__43_d32e1568
in	bv_doc_id__43_d32e1570
Linz	bv_doc_id__43_d32e1572
bei	bv_doc_id__43_d32e1574
der	bv_doc_id__43_d32e1576
Getreidebewirtschaftung	bv_doc_id__43_d32e1579
<g/>
.	
Abg	bv_doc_id__43_d32e1583
<g/>
.	
L	bv_doc_id__43_d32e1587
eu	bv_doc_id__43_d32e1589
t	bv_doc_id__43_d32e1592
hn	bv_doc_id__43_d32e1594
er	bv_doc_id__43_d32e1596
meint	bv_doc_id__43_d32e1598
<g/>
,	
daß	bv_doc_id__43_d32e1602
dies	bv_doc_id__43_d32e1605
in	bv_doc_id__43_d32e1607
Oberosterreich	bv_doc_id__43_d32e1609
auf	bv_doc_id__43_d32e1611
personliche	bv_doc_id__43_d32e1613
Eigenschaften	bv_doc_id__43_d32e1615
des	bv_doc_id__43_d32e1618
Landeshauptmannes	bv_doc_id__43_d32e1620
zurückzufuhren	bv_doc_id__43_d32e1622
sei	bv_doc_id__43_d32e1624
<g/>
.	
Alg	bv_doc_id__43_d32e1628
<g/>
.	
Cl	bv_doc_id__43_d32e1633
es	bv_doc_id__43_d32e1635
s	bv_doc_id__43_d32e1637
in	bv_doc_id__43_d32e1639
behauptet	bv_doc_id__43_d32e1641
<g/>
,	
daß	bv_doc_id__43_d32e1646
es	bv_doc_id__43_d32e1648
sehr	bv_doc_id__43_d32e1650
schwierig	bv_doc_id__43_d32e1652
sei	bv_doc_id__43_d32e1654
den	bv_doc_id__43_d32e1657
Landeshauptmann	bv_doc_id__43_d32e1659
verantwortlich	bv_doc_id__43_d32e1661
zu	bv_doc_id__43_d32e1663
machen	bv_doc_id__43_d32e1665
<g/>
,	
weil	bv_doc_id__43_d32e1670
er	bv_doc_id__43_d32e1672
in	bv_doc_id__43_d32e1674
den	bv_doc_id__43_d32e1676
meisten	bv_doc_id__43_d32e1678
Fällen	bv_doc_id__43_d32e1680
der	bv_doc_id__43_d32e1683
fachmännischen	bv_doc_id__43_d32e1685
Bildung	bv_doc_id__43_d32e1687
ermangle	bv_doc_id__43_d32e1689
<g/>
;	
eine	bv_doc_id__43_d32e1693
solche	bv_doc_id__43_d32e1696
fachtechnische	bv_doc_id__43_d32e1698
Verbildung	bv_doc_id__43_d32e1700
müsse	bv_doc_id__43_d32e1702
<g/>
,	
alfer	bv_doc_id__43_d32e1706
gewahrt	bv_doc_id__43_d32e1709
bleiben	bv_doc_id__43_d32e1711
<g/>
.	
4	bv_doc_id__43_d32e1717
Abs	bv_doc_id__43_d32e1719
<g/>
.	
Clessia	bv_doc_id__43_d32e1724
verneist	bv_doc_id__43_d32e1726
auf	bv_doc_id__43_d32e1728
Art.	bv_doc_id__43_d32e1730
120	bv_doc_id__43_d32e1732
<g/>
(	
Antrag	bv_doc_id__43_d32e1737
kenner	bv_doc_id__43_d32e1739
Mayr	bv_doc_id__43_d32e1741
<g/>
)	
nach	bv_doc_id__43_d32e1745
dem	bv_doc_id__43_d32e1748
in	bv_doc_id__43_d32e1750
Städten	bv_doc_id__43_d32e1752
und	bv_doc_id__43_d32e1754
Märkten	bv_doc_id__43_d32e1756
dem	bv_doc_id__43_d32e1758
Bürgermeister	bv_doc_id__43_d32e1761
ein	bv_doc_id__43_d32e1763
Amtsleiter	bv_doc_id__43_d32e1765
bergegeben	bv_doc_id__43_d32e1767
ist	bv_doc_id__43_d32e1769
und	bv_doc_id__43_d32e1771
erblickt	bv_doc_id__43_d32e1774
hierin	bv_doc_id__43_d32e1776
den	bv_doc_id__43_d32e1778
Gedanken	bv_doc_id__43_d32e1780
<g/>
.	
deß	bv_doc_id__43_d32e1784
nur	bv_doc_id__43_d32e1787
ein	bv_doc_id__43_d32e1789
fachtschnisch	bv_doc_id__43_d32e1791
geschulter	bv_doc_id__43_d32e1793
Feeuter	bv_doc_id__43_d32e1795
verantwortlich	bv_doc_id__43_d32e1797
gemacht	bv_doc_id__43_d32e1800
werden	bv_doc_id__43_d32e1802
könne	bv_doc_id__43_d32e1804
<g/>
.	
Er	bv_doc_id__43_d32e1808
stellt	bv_doc_id__43_d32e1810
daher	bv_doc_id__43_d32e1813
den	bv_doc_id__43_d32e1815
Antrog	bv_doc_id__43_d32e1817
<g/>
,	
daß	bv_doc_id__43_d32e1821
dem	bv_doc_id__43_d32e1823
Landeshauptmann	bv_doc_id__43_d32e1826
ein	bv_doc_id__43_d32e1828
fachtechaisch	bv_doc_id__43_d32e1830
geschulter	bv_doc_id__43_d32e1832
Beanter	bv_doc_id__43_d32e1834
als	bv_doc_id__43_d32e1836
Lendesamtsdirekter	bv_doc_id__43_d32e1839
beigegeben	bv_doc_id__43_d32e1841
werden	bv_doc_id__43_d32e1843
soll	bv_doc_id__43_d32e1845
<g/>
.	
Prof	bv_doc_id__43_d32e1849
<g/>
.	
Dr	bv_doc_id__43_d32e1854
<g/>
.	
Kel	bv_doc_id__43_d32e1858
senn	bv_doc_id__43_d32e1860
bezeichnet	bv_doc_id__43_d32e1862
die	bv_doc_id__43_d32e1865
Treanung	bv_doc_id__43_d32e1867
der	bv_doc_id__43_d32e1869
Funktion	bv_doc_id__43_d32e1871
als	bv_doc_id__43_d32e1873
eine	bv_doc_id__43_d32e1875
der	bv_doc_id__43_d32e1878
wichtigsten	bv_doc_id__43_d32e1880
Forderungen	bv_doc_id__43_d32e1882
im	bv_doc_id__43_d32e1884
Interesse	bv_doc_id__43_d32e1886
der	bv_doc_id__43_d32e1888
Kundesverwaltung	bv_doc_id__43_d32e1891
<g/>
.	
Man	bv_doc_id__43_d32e1895
hat	bv_doc_id__43_d32e1897
nur	bv_doc_id__43_d32e1899
deshalb	bv_doc_id__43_d32e1901
einen	bv_doc_id__43_d32e1904
vem	bv_doc_id__43_d32e1906
Präsidenten	bv_doc_id__43_d32e1908
des	bv_doc_id__43_d32e1910
Nationalrates	bv_doc_id__43_d32e1912
verschiedenen	bv_doc_id__43_d32e1914
Bundespräsidenten	bv_doc_id__43_d32e1917
