<doc id="bv_doc_id__68" attrs="word lemma type">
Vorentwurf	bv_doc_id__68_d52e312
Verbande	bv_doc_id__68_d52e751
des	bv_doc_id__68_d52e753
Landes	bv_doc_id__68_d52e755
Niederösterreich	bv_doc_id__68_d52e757
ausscheidet	bv_doc_id__68_d52e760
und	bv_doc_id__68_d52e762
zu	bv_doc_id__68_d52e764
einem	bv_doc_id__68_d52e766
selbständigen	bv_doc_id__68_d52e768
Gebiet	bv_doc_id__68_d52e770
wird	bv_doc_id__68_d52e773
<g/>
,	
sobald	bv_doc_id__68_d52e777
das	bv_doc_id__68_d52e779
Heinzenland	bv_doc_id__68_d52e781
sich	bv_doc_id__68_d52e783
als	bv_doc_id__68_d52e786
selbständiges	bv_doc_id__68_d52e788
Land	bv_doc_id__68_d52e790
bildet	bv_doc_id__68_d52e792
<g/>
,	
werden	bv_doc_id__68_d52e796
Wien	bv_doc_id__68_d52e799
und	bv_doc_id__68_d52e801
Heinzenland	bv_doc_id__68_d52e803
selbstäntige	bv_doc_id__68_d52e805
und	bv_doc_id__68_d52e807
gleichberechtigte	bv_doc_id__68_d52e809
Glieder	bv_doc_id__68_d52e812
des	bv_doc_id__68_d52e814
Bundesstaates	bv_doc_id__68_d52e816
<g/>
.	
Art.	bv_doc_id__68_d52e827
3.	bv_doc_id__68_d52e829
Bundesgebiete	bv_doc_id__68_d52e836
<g/>
.	
Der	bv_doc_id__68_d52e841
Bundesstaat	bv_doc_id__68_d52e843
umfaßt	bv_doc_id__68_d52e845
das	bv_doc_id__68_d52e847
Gebiet	bv_doc_id__68_d52e850
der	bv_doc_id__68_d52e852
Länder	bv_doc_id__68_d52e854
in	bv_doc_id__68_d52e856
ihrem	bv_doc_id__68_d52e858
geschichtlich	bv_doc_id__68_d52e860
gewordenen	bv_doc_id__68_d52e863
Umfang	bv_doc_id__68_d52e865
<g/>
,	
soweit	bv_doc_id__68_d52e869
er	bv_doc_id__68_d52e871
nicht	bv_doc_id__68_d52e873
durch	bv_doc_id__68_d52e876
den	bv_doc_id__68_d52e878
Vertrag	bv_doc_id__68_d52e880
von	bv_doc_id__68_d52e882
St	bv_doc_id__68_d52e884
<g/>
.	
Germain	bv_doc_id__68_d52e889
geändert	bv_doc_id__68_d52e891
worden	bv_doc_id__68_d52e893
ist	bv_doc_id__68_d52e895
<g/>
.	
Die	bv_doc_id__68_d52e899
Aufnahme	bv_doc_id__68_d52e902
deutschen	bv_doc_id__68_d52e904
Gebietes	bv_doc_id__68_d52e906
<g/>
,	
das	bv_doc_id__68_d52e910
außerhalb	bv_doc_id__68_d52e912
der	bv_doc_id__68_d52e915
Grenzen	bv_doc_id__68_d52e917
liegt	bv_doc_id__68_d52e919
<g/>
,	
in	bv_doc_id__68_d52e923
eines	bv_doc_id__68_d52e925
der	bv_doc_id__68_d52e928
Länder	bv_doc_id__68_d52e930
erfolgt	bv_doc_id__68_d52e932
durch	bv_doc_id__68_d52e934
übereinstimmende	bv_doc_id__68_d52e936
Gesetze	bv_doc_id__68_d52e938
des	bv_doc_id__68_d52e941
Bundes	bv_doc_id__68_d52e943
und	bv_doc_id__68_d52e945
des	bv_doc_id__68_d52e947
betreffenden	bv_doc_id__68_d52e949
Landes	bv_doc_id__68_d52e951
<g/>
.	
Die	bv_doc_id__68_d52e956
Änderung	bv_doc_id__68_d52e958
der	bv_doc_id__68_d52e960
Grenzen	bv_doc_id__68_d52e962
zweier	bv_doc_id__68_d52e964
Länder	bv_doc_id__68_d52e967
<g/>
,	
die	bv_doc_id__68_d52e971
Zusammenlegung	bv_doc_id__68_d52e973
zwerer	bv_doc_id__68_d52e975
Länden	bv_doc_id__68_d52e977
erfolgt	bv_doc_id__68_d52e980
durch	bv_doc_id__68_d52e982
übereinstimmende	bv_doc_id__68_d52e984
Gesetze	bv_doc_id__68_d52e986
des	bv_doc_id__68_d52e988
Bundes	bv_doc_id__68_d52e990
und	bv_doc_id__68_d52e993
der	bv_doc_id__68_d52e995
beteiligten	bv_doc_id__68_d52e997
Länder	bv_doc_id__68_d52e999
<g/>
.	
Die	bv_doc_id__68_d52e1003
Aufnahme	bv_doc_id__68_d52e1006
neuer	bv_doc_id__68_d52e1008
Gebiete	bv_doc_id__68_d52e1010
als	bv_doc_id__68_d52e1012
Glieder	bv_doc_id__68_d52e1014
des	bv_doc_id__68_d52e1016
Bundesstaates	bv_doc_id__68_d52e1019
der	bv_doc_id__68_d52e1021
Anschluß	bv_doc_id__68_d52e1023
Österreichs	bv_doc_id__68_d52e1025
oder	bv_doc_id__68_d52e1027
einzelner	bv_doc_id__68_d52e1029
Länder	bv_doc_id__68_d52e1032
an	bv_doc_id__68_d52e1034
einen	bv_doc_id__68_d52e1036
anderen	bv_doc_id__68_d52e1038
Staat	bv_doc_id__68_d52e1040
kann	bv_doc_id__68_d52e1042
nur	bv_doc_id__68_d52e1045
durch	bv_doc_id__68_d52e1047
Änderung	bv_doc_id__68_d52e1049
der	bv_doc_id__68_d52e1051
Verfassung	bv_doc_id__68_d52e1053
erfolgen	bv_doc_id__68_d52e1055
<g/>
.	
<g/>
-	
1	bv_doc_id__68_d52e1065
<g/>
-	
Art.	bv_doc_id__68_d52e1077
4.	bv_doc_id__68_d52e1079
Staatshoheit	bv_doc_id__68_d52e1086
<g/>
.	
Die	bv_doc_id__68_d52e1091
Länder	bv_doc_id__68_d52e1093
sind	bv_doc_id__68_d52e1095
selbständig	bv_doc_id__68_d52e1097
<g/>
,	
soweit	bv_doc_id__68_d52e1102
ihre	bv_doc_id__68_d52e1104
Selbständigkeit	bv_doc_id__68_d52e1106
nicht	bv_doc_id__68_d52e1108
durch	bv_doc_id__68_d52e1110
die	bv_doc_id__68_d52e1113
Verfassung	bv_doc_id__68_d52e1115
zugunsten	bv_doc_id__68_d52e1117
des	bv_doc_id__68_d52e1119
Bundesstaates	bv_doc_id__68_d52e1121
beschränkt	bv_doc_id__68_d52e1123
ist	bv_doc_id__68_d52e1126
<g/>
.	
Den	bv_doc_id__68_d52e1130
Ländern	bv_doc_id__68_d52e1132
stehen	bv_doc_id__68_d52e1134
alle	bv_doc_id__68_d52e1136
staatlichen	bv_doc_id__68_d52e1139
Hoheitsrechte	bv_doc_id__68_d52e1141
zu	bv_doc_id__68_d52e1143
<g/>
,	
soweit	bv_doc_id__68_d52e1147
sie	bv_doc_id__68_d52e1149
nicht	bv_doc_id__68_d52e1152
durch	bv_doc_id__68_d52e1154
die	bv_doc_id__68_d52e1156
Verfassung	bv_doc_id__68_d52e1158
dem	bv_doc_id__68_d52e1160
Bund	bv_doc_id__68_d52e1162
übertragen	bv_doc_id__68_d52e1165
sind	bv_doc_id__68_d52e1167
<g/>
.	
Die	bv_doc_id__68_d52e1171
Länder	bv_doc_id__68_d52e1173
sind	bv_doc_id__68_d52e1175
untereinander	bv_doc_id__68_d52e1178
gleichberechtigt	bv_doc_id__68_d52e1180
<g/>
.	
Art.	bv_doc_id__68_d52e1190
5.	bv_doc_id__68_d52e1192
Die	bv_doc_id__68_d52e1199
Machtverteilung	bv_doc_id__68_d52e1201
zwischen	bv_doc_id__68_d52e1203
dem	bv_doc_id__68_d52e1205
Bund	bv_doc_id__68_d52e1207
und	bv_doc_id__68_d52e1210
den	bv_doc_id__68_d52e1212
Ländern	bv_doc_id__68_d52e1214
<g/>
.	
Soweit	bv_doc_id__68_d52e1219
die	bv_doc_id__68_d52e1221
Länder	bv_doc_id__68_d52e1223
durch	bv_doc_id__68_d52e1225
diese	bv_doc_id__68_d52e1228
Verfassung	bv_doc_id__68_d52e1230
ihre	bv_doc_id__68_d52e1232
Hoheitsrechte	bv_doc_id__68_d52e1234
dem	bv_doc_id__68_d52e1236
Bunde	bv_doc_id__68_d52e1238
übetragen	bv_doc_id__68_d52e1241
<g/>
,	
kommt	bv_doc_id__68_d52e1245
diesem	bv_doc_id__68_d52e1247
in	bv_doc_id__68_d52e1249
den	bv_doc_id__68_d52e1251
übertragenen	bv_doc_id__68_d52e1254
Angelegenheiten	bv_doc_id__68_d52e1256
entweder	bv_doc_id__68_d52e1258
1.	bv_doc_id__68_d52e1265
die	bv_doc_id__68_d52e1268
ausschließliche	bv_doc_id__68_d52e1270
Gesetzgebung	bv_doc_id__68_d52e1272
und	bv_doc_id__68_d52e1274
Verwaltung	bv_doc_id__68_d52e1277
zu	bv_doc_id__68_d52e1279
<g/>
(	
ausschließlicher	bv_doc_id__68_d52e1283
Wirkungskreis	bv_doc_id__68_d52e1285
<g/>
)	
oder	bv_doc_id__68_d52e1290
2.	bv_doc_id__68_d52e1297
nur	bv_doc_id__68_d52e1300
die	bv_doc_id__68_d52e1302
Gesetzgebung	bv_doc_id__68_d52e1304
und	bv_doc_id__68_d52e1306
die	bv_doc_id__68_d52e1309
Aufsicht	bv_doc_id__68_d52e1311
über	bv_doc_id__68_d52e1313
die	bv_doc_id__68_d52e1315
Verwaltung	bv_doc_id__68_d52e1317
zu	bv_doc_id__68_d52e1319
<g/>
,	
die	bv_doc_id__68_d52e1324
den	bv_doc_id__68_d52e1326
Ländern	bv_doc_id__68_d52e1328
oder	bv_doc_id__68_d52e1330
autonomen	bv_doc_id__68_d52e1332
Körperschaften	bv_doc_id__68_d52e1335
verbleibt	bv_doc_id__68_d52e1337
<g/>
(	
grundlegender	bv_doc_id__68_d52e1341
Wirkungskreis	bv_doc_id__68_d52e1343
<g/>
)	
oder	bv_doc_id__68_d52e1348
3.	bv_doc_id__68_d52e1355
nur	bv_doc_id__68_d52e1358
die	bv_doc_id__68_d52e1360
gesetzliche	bv_doc_id__68_d52e1362
Festlegung	bv_doc_id__68_d52e1364
der	bv_doc_id__68_d52e1367
Grundsätze	bv_doc_id__68_d52e1369
zu	bv_doc_id__68_d52e1371
<g/>
,	
während	bv_doc_id__68_d52e1375
den	bv_doc_id__68_d52e1377
Ländern	bv_doc_id__68_d52e1380
die	bv_doc_id__68_d52e1382
nähere	bv_doc_id__68_d52e1384
gesetzliche	bv_doc_id__68_d52e1386
Regelung	bv_doc_id__68_d52e1388
und	bv_doc_id__68_d52e1390
die	bv_doc_id__68_d52e1393
Verwaltung	bv_doc_id__68_d52e1395
obliegt	bv_doc_id__68_d52e1397
<g/>
(	
grundsätzlicher	bv_doc_id__68_d52e1401
Wirkungskreis	bv_doc_id__68_d52e1403
<g/>
).	
Soweit	bv_doc_id__68_d52e1408
verfassungsgemäß	bv_doc_id__68_d52e1410
Bundesgesetze	bv_doc_id__68_d52e1412
vorliegen	bv_doc_id__68_d52e1414
<g/>
,	
sind	bv_doc_id__68_d52e1419
sie	bv_doc_id__68_d52e1421
für	bv_doc_id__68_d52e1423
die	bv_doc_id__68_d52e1425
Länder	bv_doc_id__68_d52e1427
bindend	bv_doc_id__68_d52e1429
<g/>
.	
Soweit	bv_doc_id__68_d52e1434
eine	bv_doc_id__68_d52e1436
Übertragung	bv_doc_id__68_d52e1438
an	bv_doc_id__68_d52e1440
den	bv_doc_id__68_d52e1442
Bund	bv_doc_id__68_d52e1445
nicht	bv_doc_id__68_d52e1447
vorliegt	bv_doc_id__68_d52e1449
<g/>
,	
steht	bv_doc_id__68_d52e1453
den	bv_doc_id__68_d52e1455
Ländern	bv_doc_id__68_d52e1458
Gesetzgebung	bv_doc_id__68_d52e1460
und	bv_doc_id__68_d52e1462
Verwaltung	bv_doc_id__68_d52e1464
zu	bv_doc_id__68_d52e1466
<g/>
.	
Erläßt	bv_doc_id__68_d52e1471
der	bv_doc_id__68_d52e1473
Bund	bv_doc_id__68_d52e1475
ein	bv_doc_id__68_d52e1477
grundsätzliches	bv_doc_id__68_d52e1479
Gesetz	bv_doc_id__68_d52e1481
<g/>
(	
3	bv_doc_id__68_d52e1486
<g/>
),	
so	bv_doc_id__68_d52e1490
kann	bv_doc_id__68_d52e1492
er	bv_doc_id__68_d52e1494
eine	bv_doc_id__68_d52e1497
Frist	bv_doc_id__68_d52e1499
bestimmen	bv_doc_id__68_d52e1501
<g/>
,	
innerhalb	bv_doc_id__68_d52e1505
deren	bv_doc_id__68_d52e1507
das	bv_doc_id__68_d52e1510
Land	bv_doc_id__68_d52e1512
das	bv_doc_id__68_d52e1514
Ausführungsgesetz	bv_doc_id__68_d52e1516
zu	bv_doc_id__68_d52e1518
schaffen	bv_doc_id__68_d52e1520
hat	bv_doc_id__68_d52e1523
Bei	bv_doc_id__68_d52e1525
fruchtlosem	bv_doc_id__68_d52e1527
Ablauf	bv_doc_id__68_d52e1529
der	bv_doc_id__68_d52e1531
Frist	bv_doc_id__68_d52e1533
ist	bv_doc_id__68_d52e1536
der	bv_doc_id__68_d52e1538
Bund	bv_doc_id__68_d52e1540
berechtigt	bv_doc_id__68_d52e1542
<g/>
,	
das	bv_doc_id__68_d52e1546
Ausführungsgesetz	bv_doc_id__68_d52e1549
selbst	bv_doc_id__68_d52e1551
zu	bv_doc_id__68_d52e1553
erlassen	bv_doc_id__68_d52e1555
<g/>
.	
Macht	bv_doc_id__68_d52e1559
der	bv_doc_id__68_d52e1562
Bund	bv_doc_id__68_d52e1564
von	bv_doc_id__68_d52e1566
seinem	bv_doc_id__68_d52e1568
Gesetzgebungsrecht	bv_doc_id__68_d52e1570
in	bv_doc_id__68_d52e1572
Angelegenheiten	bv_doc_id__68_d52e1575
<g/>
,	
die	bv_doc_id__68_d52e1579
nicht	bv_doc_id__68_d52e1581
zum	bv_doc_id__68_d52e1583
ausschließlichen	bv_doc_id__68_d52e1585
Wirkungskreis	bv_doc_id__68_d52e1588
gehören	bv_doc_id__68_d52e1590
<g/>
,	
keinen	bv_doc_id__68_d52e1594
Gebrauch	bv_doc_id__68_d52e1596
<g/>
,	
so	bv_doc_id__68_d52e1601
können	bv_doc_id__68_d52e1603
die	bv_doc_id__68_d52e1605
Länder	bv_doc_id__68_d52e1607
auch	bv_doc_id__68_d52e1609
auf	bv_doc_id__68_d52e1611
diesem	bv_doc_id__68_d52e1614
Gebiete	bv_doc_id__68_d52e1616
Gesetze	bv_doc_id__68_d52e1618
erlassen	bv_doc_id__68_d52e1620
<g/>
,	
die	bv_doc_id__68_d52e1624
aber	bv_doc_id__68_d52e1627
einem	bv_doc_id__68_d52e1629
späteren	bv_doc_id__68_d52e1631
Bundesgesetz	bv_doc_id__68_d52e1633
weichen	bv_doc_id__68_d52e1635
<g/>
.	
Über	bv_doc_id__68_d52e1640
Verfassungsstreitigkeiten	bv_doc_id__68_d52e1642
zwischen	bv_doc_id__68_d52e1644
den	bv_doc_id__68_d52e1646
Ländern	bv_doc_id__68_d52e1648
oder	bv_doc_id__68_d52e1650
zwischen	bv_doc_id__68_d52e1653
dem	bv_doc_id__68_d52e1655
Bund	bv_doc_id__68_d52e1657
und	bv_doc_id__68_d52e1659
einzelnen	bv_doc_id__68_d52e1661
Ländern	bv_doc_id__68_d52e1663
entscheidet	bv_doc_id__68_d52e1666
das	bv_doc_id__68_d52e1668
Bundesverfassungsgericht	bv_doc_id__68_d52e1670
<g/>
.	
Art.	bv_doc_id__68_d52e1680
6.	bv_doc_id__68_d52e1682
Ausschließlicher	bv_doc_id__68_d52e1689
Wirkungskreis	bv_doc_id__68_d52e1691
des	bv_doc_id__68_d52e1693
Bundes	bv_doc_id__68_d52e1695
<g/>
.	
Der	bv_doc_id__68_d52e1700
Bund	bv_doc_id__68_d52e1702
hat	bv_doc_id__68_d52e1704
Gesetzgebung	bv_doc_id__68_d52e1706
und	bv_doc_id__68_d52e1709
Verwaltung	bv_doc_id__68_d52e1711
über	bv_doc_id__68_d52e1713
folgende	bv_doc_id__68_d52e1715
Angelegenheiten	bv_doc_id__68_d52e1717
<g/>
:	
1.	bv_doc_id__68_d52e1726
Die	bv_doc_id__68_d52e1729
Bundesverfassung	bv_doc_id__68_d52e1731
<g/>
,	
die	bv_doc_id__68_d52e1735
Verlautbarung	bv_doc_id__68_d52e1738
der	bv_doc_id__68_d52e1740
Bundesgesetze	bv_doc_id__68_d52e1742
<g/>
,	
die	bv_doc_id__68_d52e1746
Organisation	bv_doc_id__68_d52e1748
der	bv_doc_id__68_d52e1751
Bundesbehörden	bv_doc_id__68_d52e1753
<g/>
.	
2.	bv_doc_id__68_d52e1762
Die	bv_doc_id__68_d52e1765
Beziehungen	bv_doc_id__68_d52e1767
zum	bv_doc_id__68_d52e1769
Ausland	bv_doc_id__68_d52e1771
<g/>
,	
die	bv_doc_id__68_d52e1776
diplomatische	bv_doc_id__68_d52e1778
und	bv_doc_id__68_d52e1780
kommerzielle	bv_doc_id__68_d52e1782
Vertretung	bv_doc_id__68_d52e1784
<g/>
,	
die	bv_doc_id__68_d52e1789
Kriegserklärung	bv_doc_id__68_d52e1791
<g/>
,	
den	bv_doc_id__68_d52e1795
Friedensschluß	bv_doc_id__68_d52e1797
<g/>
,	
die	bv_doc_id__68_d52e1802
Staatsverträge	bv_doc_id__68_d52e1804
<g/>
,	
die	bv_doc_id__68_d52e1808
Handelsverträage	bv_doc_id__68_d52e1810
<g/>
,	
die	bv_doc_id__68_d52e1815
Regelung	bv_doc_id__68_d52e1817
des	bv_doc_id__68_d52e1819
Zollwesens	bv_doc_id__68_d52e1821
und	bv_doc_id__68_d52e1823
die	bv_doc_id__68_d52e1826
Regelung	bv_doc_id__68_d52e1828
des	bv_doc_id__68_d52e1830
Verkehrs	bv_doc_id__68_d52e1832
zwischen	bv_doc_id__68_d52e1834
den	bv_doc_id__68_d52e1836
einzelnen	bv_doc_id__68_d52e1839
Bundesländern	bv_doc_id__68_d52e1841
<g/>
.	
3.	bv_doc_id__68_d52e1850
Das	bv_doc_id__68_d52e1853
Bundesheer	bv_doc_id__68_d52e1855
und	bv_doc_id__68_d52e1857
die	bv_doc_id__68_d52e1859
Sicherheitswehr	bv_doc_id__68_d52e1862
in	bv_doc_id__68_d52e1864
Wien	bv_doc_id__68_d52e1866
<g/>
,	
Verkehr	bv_doc_id__68_d52e1870
mit	bv_doc_id__68_d52e1872
Schießpulver	bv_doc_id__68_d52e1875
und	bv_doc_id__68_d52e1877
Sprengstoffen	bv_doc_id__68_d52e1879
<g/>
.	
4.	bv_doc_id__68_d52e1889
Die	bv_doc_id__68_d52e1892
Erhebung	bv_doc_id__68_d52e1894
der	bv_doc_id__68_d52e1896
Anklage	bv_doc_id__68_d52e1898
gegen	bv_doc_id__68_d52e1901
den	bv_doc_id__68_d52e1903
Bundespräsidenten	bv_doc_id__68_d52e1905
den	bv_doc_id__68_d52e1907
Bundeskanzler	bv_doc_id__68_d52e1909
und	bv_doc_id__68_d52e1911
die	bv_doc_id__68_d52e1914
Mitglieder	bv_doc_id__68_d52e1916
der	bv_doc_id__68_d52e1918
Bundesregierung	bv_doc_id__68_d52e1920
wegen	bv_doc_id__68_d52e1922
Verletzung	bv_doc_id__68_d52e1924
der	bv_doc_id__68_d52e1927
Verfassung	bv_doc_id__68_d52e1929
5.	bv_doc_id__68_d52e1936
Die	bv_doc_id__68_d52e1939
Regelung	bv_doc_id__68_d52e1941
der	bv_doc_id__68_d52e1943
Ein=	bv_doc_id__68_d52e1945
und	bv_doc_id__68_d52e1948
Auswanderung	bv_doc_id__68_d52e1950
<g/>
,	
der	bv_doc_id__68_d52e1954
Auslieferung	bv_doc_id__68_d52e1956
<g/>
,	
des	bv_doc_id__68_d52e1961
Paßzwanges	bv_doc_id__68_d52e1963
<g/>
,	
der	bv_doc_id__68_d52e1967
Bevölkerungspolitik	bv_doc_id__68_d52e1969
<g/>
,	
der	bv_doc_id__68_d52e1974
Statistik	bv_doc_id__68_d52e1976
<g/>
,	
des	bv_doc_id__68_d52e1980
Gesundheits-	bv_doc_id__68_d52e1982
und	bv_doc_id__68_d52e1984
Veterinärwesens	bv_doc_id__68_d52e1987
<g/>
.	
6.	bv_doc_id__68_d52e1996
Das	bv_doc_id__68_d52e1999
Münzwesen	bv_doc_id__68_d52e2001
<g/>
,	
das	bv_doc_id__68_d52e2005
Währungsweisen	bv_doc_id__68_d52e2008
<g/>
,	
Banken	bv_doc_id__68_d52e2012
und	bv_doc_id__68_d52e2014
Börsen	bv_doc_id__68_d52e2016
mit	bv_doc_id__68_d52e2018
Ausnahme	bv_doc_id__68_d52e2021
der	bv_doc_id__68_d52e2023
Länderbanken	bv_doc_id__68_d52e2025
<g/>
,	
Agrarbanken	bv_doc_id__68_d52e2029
und	bv_doc_id__68_d52e2031
gewerblichen	bv_doc_id__68_d52e2034
Kreditanstalten	bv_doc_id__68_d52e2036
<g/>
.	
7.	bv_doc_id__68_d52e2045
Maße	bv_doc_id__68_d52e2048
und	bv_doc_id__68_d52e2050
Gewichte	bv_doc_id__68_d52e2052
<g/>
,	
Marken	bv_doc_id__68_d52e2057
<g/>
,	
Muster	bv_doc_id__68_d52e2061
<g/>
,	
Patente	bv_doc_id__68_d52e2065
<g/>
,	
Urheberrechte	bv_doc_id__68_d52e2070
<g/>
,	
Punzierungswesen	bv_doc_id__68_d52e2074
<g/>
.	
8.	bv_doc_id__68_d52e2083
Das	bv_doc_id__68_d52e2086
Bundesverkehrswesen	bv_doc_id__68_d52e2088
<g/>
:	
Post	bv_doc_id__68_d52e2092
<g/>
,	
Telegraph	bv_doc_id__68_d52e2097
<g/>
,	
Fernsprecher	bv_doc_id__68_d52e2101
<g/>
,	
