<doc id="bv_doc_id__69" attrs="word lemma type">
Deutscher	bv_doc_id__69_d53e299
ist	bv_doc_id__69_d53e452
der	bv_doc_id__69_d53e454
Zweck	bv_doc_id__69_d53e456
des	bv_doc_id__69_d53e458
Staates	bv_doc_id__69_d53e461
<g/>
.	
Art.	bv_doc_id__69_d53e471
2.	bv_doc_id__69_d53e473
Bundesstaat	bv_doc_id__69_d53e480
<g/>
.	
Österreich	bv_doc_id__69_d53e485
ist	bv_doc_id__69_d53e487
ein	bv_doc_id__69_d53e489
Bundesstaat	bv_doc_id__69_d53e492
<g/>
,	
gebildet	bv_doc_id__69_d53e496
aus	bv_doc_id__69_d53e498
den	bv_doc_id__69_d53e500
selbständigen	bv_doc_id__69_d53e502
Ländern	bv_doc_id__69_d53e505
Niederösterreich	bv_doc_id__69_d53e507
<g/>
,	
Oberösterveich	bv_doc_id__69_d53e511
<g/>
,	
Salzburg	bv_doc_id__69_d53e515
<g/>
,	
Steiermark	bv_doc_id__69_d53e520
Kärnten	bv_doc_id__69_d53e522
<g/>
,	
Tirol	bv_doc_id__69_d53e526
und	bv_doc_id__69_d53e528
Vorarlberg	bv_doc_id__69_d53e531
<g/>
.	
Sobald	bv_doc_id__69_d53e535
die	bv_doc_id__69_d53e537
Stadt	bv_doc_id__69_d53e539
Wien	bv_doc_id__69_d53e541
aus	bv_doc_id__69_d53e544
dem	bv_doc_id__69_d53e546
Verbande	bv_doc_id__69_d53e548
des	bv_doc_id__69_d53e550
Landes	bv_doc_id__69_d53e552
Niederösterreich	bv_doc_id__69_d53e554
ausscheidet	bv_doc_id__69_d53e557
und	bv_doc_id__69_d53e559
zu	bv_doc_id__69_d53e561
einem	bv_doc_id__69_d53e563
selbständigen	bv_doc_id__69_d53e565
Gebiet	bv_doc_id__69_d53e567
wird	bv_doc_id__69_d53e570
<g/>
,	
sobald	bv_doc_id__69_d53e574
das	bv_doc_id__69_d53e576
Heinzenland	bv_doc_id__69_d53e578
sich	bv_doc_id__69_d53e580
als	bv_doc_id__69_d53e583
selbständiges	bv_doc_id__69_d53e585
Land	bv_doc_id__69_d53e587
bildet	bv_doc_id__69_d53e589
<g/>
,	
werden	bv_doc_id__69_d53e593
Wien	bv_doc_id__69_d53e596
und	bv_doc_id__69_d53e598
Heinzenland	bv_doc_id__69_d53e600
selbstäntige	bv_doc_id__69_d53e602
und	bv_doc_id__69_d53e604
gleichberechtigte	bv_doc_id__69_d53e606
Glieder	bv_doc_id__69_d53e609
des	bv_doc_id__69_d53e611
Bundesstaates	bv_doc_id__69_d53e613
<g/>
.	
Art.	bv_doc_id__69_d53e623
3.	bv_doc_id__69_d53e625
Bundesgebiete	bv_doc_id__69_d53e632
<g/>
.	
Der	bv_doc_id__69_d53e640
Bundesstaat	bv_doc_id__69_d53e642
umfaßt	bv_doc_id__69_d53e644
das	bv_doc_id__69_d53e646
Gebiet	bv_doc_id__69_d53e648
der	bv_doc_id__69_d53e651
Länder	bv_doc_id__69_d53e653
in	bv_doc_id__69_d53e655
ihrem	bv_doc_id__69_d53e657
heutigen	bv_doc_id__69_d53e659
Umfang	bv_doc_id__69_d53e661
<g/>
.	
Die	bv_doc_id__69_d53e666
Aufnahme	bv_doc_id__69_d53e668
deutschen	bv_doc_id__69_d53e670
Gebietes	bv_doc_id__69_d53e672
<g/>
,	
das	bv_doc_id__69_d53e677
außerhalb	bv_doc_id__69_d53e679
der	bv_doc_id__69_d53e681
Grenzen	bv_doc_id__69_d53e683
liegt	bv_doc_id__69_d53e685
<g/>
,	
in	bv_doc_id__69_d53e690
eines	bv_doc_id__69_d53e692
der	bv_doc_id__69_d53e694
Länder	bv_doc_id__69_d53e696
erfolgt	bv_doc_id__69_d53e698
durch	bv_doc_id__69_d53e700
übereinstimmende	bv_doc_id__69_d53e703
Gesetze	bv_doc_id__69_d53e705
des	bv_doc_id__69_d53e707
Bundes	bv_doc_id__69_d53e709
und	bv_doc_id__69_d53e711
des	bv_doc_id__69_d53e713
betreffenden	bv_doc_id__69_d53e716
Landes	bv_doc_id__69_d53e718
<g/>
.	
Die	bv_doc_id__69_d53e722
Änderung	bv_doc_id__69_d53e724
de	bv_doc_id__69_d53e726
Grenzen	bv_doc_id__69_d53e729
zweier	bv_doc_id__69_d53e731
Länder	bv_doc_id__69_d53e733
<g/>
,	
die	bv_doc_id__69_d53e737
Zusammenlegung	bv_doc_id__69_d53e739
zweier	bv_doc_id__69_d53e742
Länder	bv_doc_id__69_d53e744
er	bv_doc_id__69_d53e746
folgt	bv_doc_id__69_d53e748
durch	bv_doc_id__69_d53e750
übereinstimmende	bv_doc_id__69_d53e752
Gesetze	bv_doc_id__69_d53e755
des	bv_doc_id__69_d53e757
Bundes	bv_doc_id__69_d53e759
und	bv_doc_id__69_d53e761
der	bv_doc_id__69_d53e763
beteiligten	bv_doc_id__69_d53e765
Länder	bv_doc_id__69_d53e768
<g/>
.	
Die	bv_doc_id__69_d53e772
Aufnahme	bv_doc_id__69_d53e774
neuer	bv_doc_id__69_d53e776
Länder	bv_doc_id__69_d53e778
als	bv_doc_id__69_d53e781
Glieder	bv_doc_id__69_d53e783
des	bv_doc_id__69_d53e785
Bundesstaates	bv_doc_id__69_d53e787
der	bv_doc_id__69_d53e789
Anschluß	bv_doc_id__69_d53e791
Österreichs	bv_doc_id__69_d53e794
an	bv_doc_id__69_d53e796
einen	bv_doc_id__69_d53e798
anderen	bv_doc_id__69_d53e800
Staat	bv_doc_id__69_d53e802
kann	bv_doc_id__69_d53e804
nur	bv_doc_id__69_d53e807
durch	bv_doc_id__69_d53e809
Änderung	bv_doc_id__69_d53e811
der	bv_doc_id__69_d53e813
Verfassung	bv_doc_id__69_d53e815
geschehen	bv_doc_id__69_d53e817
<g/>
.	
Art.	bv_doc_id__69_d53e829
4.	bv_doc_id__69_d53e831
Staatshoheit	bv_doc_id__69_d53e838
<g/>
.	
Die	bv_doc_id__69_d53e843
Länder	bv_doc_id__69_d53e845
sind	bv_doc_id__69_d53e847
selbständig	bv_doc_id__69_d53e849
<g/>
,	
soweit	bv_doc_id__69_d53e854
ihre	bv_doc_id__69_d53e856
Selbständigkeit	bv_doc_id__69_d53e858
nicht	bv_doc_id__69_d53e860
durch	bv_doc_id__69_d53e862
die	bv_doc_id__69_d53e865
Verfassung	bv_doc_id__69_d53e867
zugunsten	bv_doc_id__69_d53e869
des	bv_doc_id__69_d53e871
Bundesstaates	bv_doc_id__69_d53e873
beschränkt	bv_doc_id__69_d53e875
ist	bv_doc_id__69_d53e878
<g/>
.	
Den	bv_doc_id__69_d53e882
Ländern	bv_doc_id__69_d53e884
stehen	bv_doc_id__69_d53e886
alle	bv_doc_id__69_d53e888
staatlichen	bv_doc_id__69_d53e891
Hoheitsrechte	bv_doc_id__69_d53e893
zu	bv_doc_id__69_d53e895
<g/>
,	
soweit	bv_doc_id__69_d53e899
sie	bv_doc_id__69_d53e901
nicht	bv_doc_id__69_d53e904
durch	bv_doc_id__69_d53e906
die	bv_doc_id__69_d53e908
Verfassung	bv_doc_id__69_d53e910
dem	bv_doc_id__69_d53e912
Bund	bv_doc_id__69_d53e914
übertragen	bv_doc_id__69_d53e917
sind	bv_doc_id__69_d53e919
<g/>
.	
Die	bv_doc_id__69_d53e923
Länder	bv_doc_id__69_d53e925
sind	bv_doc_id__69_d53e927
untereinander	bv_doc_id__69_d53e930
gleichberechtigt	bv_doc_id__69_d53e932
<g/>
.	
Art.	bv_doc_id__69_d53e942
5.	bv_doc_id__69_d53e944
Die	bv_doc_id__69_d53e949
Machtverteilung	bv_doc_id__69_d53e951
zwischen	bv_doc_id__69_d53e953
dem	bv_doc_id__69_d53e955
Bund	bv_doc_id__69_d53e957
und	bv_doc_id__69_d53e960
den	bv_doc_id__69_d53e962
Ländern	bv_doc_id__69_d53e964
<g/>
.	
Soweit	bv_doc_id__69_d53e968
die	bv_doc_id__69_d53e970
Länder	bv_doc_id__69_d53e973
ihre	bv_doc_id__69_d53e975
Hoheitsrechte	bv_doc_id__69_d53e977
dem	bv_doc_id__69_d53e979
Bunde	bv_doc_id__69_d53e981
übertragen	bv_doc_id__69_d53e983
<g/>
,	
kommt	bv_doc_id__69_d53e988
diesem	bv_doc_id__69_d53e990
in	bv_doc_id__69_d53e992
den	bv_doc_id__69_d53e994
übertragenen	bv_doc_id__69_d53e996
Angelegenheiten	bv_doc_id__69_d53e999
entweder	bv_doc_id__69_d53e1001
1.	bv_doc_id__69_d53e1008
die	bv_doc_id__69_d53e1011
ausschließliche	bv_doc_id__69_d53e1013
Gesetzgebung	bv_doc_id__69_d53e1015
und	bv_doc_id__69_d53e1017
Verwaltung	bv_doc_id__69_d53e1020
zu	bv_doc_id__69_d53e1022
<g/>
(	
ausschließlicher	bv_doc_id__69_d53e1026
Wirkungskreis	bv_doc_id__69_d53e1028
<g/>
)	
oder	bv_doc_id__69_d53e1033
<g/>
-	
1	bv_doc_id__69_d53e1040
<g/>
-	
2.	bv_doc_id__69_d53e1046
nur	bv_doc_id__69_d53e1049
die	bv_doc_id__69_d53e1051
Gesetzgebung	bv_doc_id__69_d53e1053
und	bv_doc_id__69_d53e1055
die	bv_doc_id__69_d53e1057
Aufsicht	bv_doc_id__69_d53e1059
über	bv_doc_id__69_d53e1062
die	bv_doc_id__69_d53e1064
Verwaltung	bv_doc_id__69_d53e1066
zu	bv_doc_id__69_d53e1068
<g/>
,	
die	bv_doc_id__69_d53e1072
den	bv_doc_id__69_d53e1075
Ländern	bv_doc_id__69_d53e1077
verbleibt	bv_doc_id__69_d53e1079
<g/>
(	
grundlegender	bv_doc_id__69_d53e1083
Wirkungskreis	bv_doc_id__69_d53e1085
<g/>
)	
oder	bv_doc_id__69_d53e1090
3.	bv_doc_id__69_d53e1097
nur	bv_doc_id__69_d53e1100
die	bv_doc_id__69_d53e1102
gesetzliche	bv_doc_id__69_d53e1104
Festlegung	bv_doc_id__69_d53e1106
der	bv_doc_id__69_d53e1109
Grundsätze	bv_doc_id__69_d53e1111
zu	bv_doc_id__69_d53e1113
<g/>
,	
während	bv_doc_id__69_d53e1117
den	bv_doc_id__69_d53e1119
Ländern	bv_doc_id__69_d53e1122
die	bv_doc_id__69_d53e1124
nähere	bv_doc_id__69_d53e1126
gesetzliche	bv_doc_id__69_d53e1128
Regelung	bv_doc_id__69_d53e1130
und	bv_doc_id__69_d53e1132
die	bv_doc_id__69_d53e1135
Verwaltung	bv_doc_id__69_d53e1137
obliegt	bv_doc_id__69_d53e1139
<g/>
(	
grundsätzlicher	bv_doc_id__69_d53e1143
Wirkungskreis	bv_doc_id__69_d53e1145
<g/>
).	
Soweit	bv_doc_id__69_d53e1150
verfassungsgemäß	bv_doc_id__69_d53e1152
Bundesgesetze	bv_doc_id__69_d53e1154
vorliegen	bv_doc_id__69_d53e1156
<g/>
,	
sind	bv_doc_id__69_d53e1161
sie	bv_doc_id__69_d53e1163
für	bv_doc_id__69_d53e1165
die	bv_doc_id__69_d53e1167
Länder	bv_doc_id__69_d53e1169
bindend	bv_doc_id__69_d53e1171
<g/>
.	
Soweit	bv_doc_id__69_d53e1176
den	bv_doc_id__69_d53e1178
Ländern	bv_doc_id__69_d53e1180
die	bv_doc_id__69_d53e1182
Durchführung	bv_doc_id__69_d53e1184
der	bv_doc_id__69_d53e1187
Bundesgesetzüberlassen	bv_doc_id__69_d53e1189
ist	bv_doc_id__69_d53e1191
<g/>
,	
sind	bv_doc_id__69_d53e1195
sie	bv_doc_id__69_d53e1197
verpflichtet	bv_doc_id__69_d53e1200
<g/>
,	
sich	bv_doc_id__69_d53e1204
der	bv_doc_id__69_d53e1206
Aufsicht	bv_doc_id__69_d53e1208
des	bv_doc_id__69_d53e1210
Bundes	bv_doc_id__69_d53e1213
zu	bv_doc_id__69_d53e1215
unterwerfen	bv_doc_id__69_d53e1217
und	bv_doc_id__69_d53e1219
über	bv_doc_id__69_d53e1221
Ersuchen	bv_doc_id__69_d53e1223
des	bv_doc_id__69_d53e1226
Bundes	bv_doc_id__69_d53e1228
Mängel	bv_doc_id__69_d53e1230
zu	bv_doc_id__69_d53e1232
beseitigen	bv_doc_id__69_d53e1234
<g/>
.	
Soweit	bv_doc_id__69_d53e1239
eine	bv_doc_id__69_d53e1241
Übertragung	bv_doc_id__69_d53e1243
an	bv_doc_id__69_d53e1245
den	bv_doc_id__69_d53e1247
Bund	bv_doc_id__69_d53e1249
nicht	bv_doc_id__69_d53e1252
vorliegt	bv_doc_id__69_d53e1254
<g/>
,	
steht	bv_doc_id__69_d53e1258
den	bv_doc_id__69_d53e1260
Ländern	bv_doc_id__69_d53e1262
Gesetzgebung	bv_doc_id__69_d53e1265
und	bv_doc_id__69_d53e1267
Verwaltung	bv_doc_id__69_d53e1269
zu	bv_doc_id__69_d53e1271
<g/>
.	
Erläßt	bv_doc_id__69_d53e1275
der	bv_doc_id__69_d53e1278
Bund	bv_doc_id__69_d53e1280
ein	bv_doc_id__69_d53e1282
grundsätzliches	bv_doc_id__69_d53e1284
Gesetz	bv_doc_id__69_d53e1286
<g/>
(	
3	bv_doc_id__69_d53e1291
<g/>
),	
so	bv_doc_id__69_d53e1295
kann	bv_doc_id__69_d53e1297
er	bv_doc_id__69_d53e1299
eine	bv_doc_id__69_d53e1301
Frist	bv_doc_id__69_d53e1304
bestimmen	bv_doc_id__69_d53e1306
innerhalb	bv_doc_id__69_d53e1308
deren	bv_doc_id__69_d53e1310
das	bv_doc_id__69_d53e1312
Land	bv_doc_id__69_d53e1314
das	bv_doc_id__69_d53e1317
Ausführungsgesetz	bv_doc_id__69_d53e1319
zu	bv_doc_id__69_d53e1321
schaffen	bv_doc_id__69_d53e1323
hat	bv_doc_id__69_d53e1325
<g/>
.	
Bei	bv_doc_id__69_d53e1330
fruchtlosem	bv_doc_id__69_d53e1332
Ablauf	bv_doc_id__69_d53e1334
der	bv_doc_id__69_d53e1336
Frist	bv_doc_id__69_d53e1338
ist	bv_doc_id__69_d53e1340
der	bv_doc_id__69_d53e1343
Bund	bv_doc_id__69_d53e1345
berechtigt	bv_doc_id__69_d53e1347
<g/>
,	
das	bv_doc_id__69_d53e1351
Ausführungsgesetz	bv_doc_id__69_d53e1353
selbst	bv_doc_id__69_d53e1356
zu	bv_doc_id__69_d53e1358
erlassen	bv_doc_id__69_d53e1360
<g/>
.	
Macht	bv_doc_id__69_d53e1364
der	bv_doc_id__69_d53e1366
Bund	bv_doc_id__69_d53e1369
von	bv_doc_id__69_d53e1371
seinem	bv_doc_id__69_d53e1373
Gesetzgebungsrecht	bv_doc_id__69_d53e1375
in	bv_doc_id__69_d53e1377
Angelegenheiten	bv_doc_id__69_d53e1379
<g/>
,	
die	bv_doc_id__69_d53e1384
nicht	bv_doc_id__69_d53e1386
zum	bv_doc_id__69_d53e1388
ausschließlichen	bv_doc_id__69_d53e1390
Wirkungskreis	bv_doc_id__69_d53e1392
gehören	bv_doc_id__69_d53e1395
<g/>
,	
keinen	bv_doc_id__69_d53e1399
Gebrauch	bv_doc_id__69_d53e1401
<g/>
,	
so	bv_doc_id__69_d53e1405
können	bv_doc_id__69_d53e1408
die	bv_doc_id__69_d53e1410
Länder	bv_doc_id__69_d53e1412
auch	bv_doc_id__69_d53e1414
auf	bv_doc_id__69_d53e1416
diesem	bv_doc_id__69_d53e1418
Gebiete	bv_doc_id__69_d53e1421
Gesetze	bv_doc_id__69_d53e1423
erlassen	bv_doc_id__69_d53e1425
<g/>
,	
die	bv_doc_id__69_d53e1429
aber	bv_doc_id__69_d53e1431
einem	bv_doc_id__69_d53e1434
späteren	bv_doc_id__69_d53e1436
Bundesgesetz	bv_doc_id__69_d53e1438
weichen	bv_doc_id__69_d53e1440
<g/>
.	
Über	bv_doc_id__69_d53e1444
Verfassungsstreitigkeiten	bv_doc_id__69_d53e1447
zwischen	bv_doc_id__69_d53e1449
den	bv_doc_id__69_d53e1451
Ländern	bv_doc_id__69_d53e1453
oder	bv_doc_id__69_d53e1455
zwischen	bv_doc_id__69_d53e1457
dem	bv_doc_id__69_d53e1460
Bund	bv_doc_id__69_d53e1462
und	bv_doc_id__69_d53e1464
einzelnen	bv_doc_id__69_d53e1466
Ländern	bv_doc_id__69_d53e1468
entscheidet	bv_doc_id__69_d53e1470
das	bv_doc_id__69_d53e1473
Bundesverfassungsgericht	bv_doc_id__69_d53e1475
<g/>
.	
Art.	bv_doc_id__69_d53e1485
6.	bv_doc_id__69_d53e1487
Ausschließlicher	bv_doc_id__69_d53e1494
Wirkungskreis	bv_doc_id__69_d53e1496
des	bv_doc_id__69_d53e1498
Bundes	bv_doc_id__69_d53e1500
<g/>
.	
Der	bv_doc_id__69_d53e1505
Bund	bv_doc_id__69_d53e1507
hat	bv_doc_id__69_d53e1509
Gesetzgebung	bv_doc_id__69_d53e1511
und	bv_doc_id__69_d53e1514
Verwaltung	bv_doc_id__69_d53e1516
über	bv_doc_id__69_d53e1518
folgende	bv_doc_id__69_d53e1520
Angelegenheiten	bv_doc_id__69_d53e1522
<g/>
:	
1.	bv_doc_id__69_d53e1531
Die	bv_doc_id__69_d53e1534
Beziehungen	bv_doc_id__69_d53e1536
zum	bv_doc_id__69_d53e1538
Ausland	bv_doc_id__69_d53e1540
<g/>
,	
die	bv_doc_id__69_d53e1545
diplomatische	bv_doc_id__69_d53e1547
und	bv_doc_id__69_d53e1549
kommerzielle	bv_doc_id__69_d53e1551
Vertretung	bv_doc_id__69_d53e1553
<g/>
,	
die	bv_doc_id__69_d53e1558
Kriegserklärung	bv_doc_id__69_d53e1560
<g/>
,	
den	bv_doc_id__69_d53e1564
Friedensschluß	bv_doc_id__69_d53e1566
<g/>
,	
die	bv_doc_id__69_d53e1571
Staatsverträge	bv_doc_id__69_d53e1573
<g/>
,	
die	bv_doc_id__69_d53e1577
Handelsverträge	bv_doc_id__69_d53e1579
<g/>
,	
die	bv_doc_id__69_d53e1584
Regelung	bv_doc_id__69_d53e1586
des	bv_doc_id__69_d53e1588
Zollwesens	bv_doc_id__69_d53e1590
<g/>
.	
2.	bv_doc_id__69_d53e1599
Die	bv_doc_id__69_d53e1602
Wehrverfassung	bv_doc_id__69_d53e1604
mit	bv_doc_id__69_d53e1606
Ausnahme	bv_doc_id__69_d53e1608
des	bv_doc_id__69_d53e1611
Polizei=	bv_doc_id__69_d53e1613
und	bv_doc_id__69_d53e1615
Gendarmeriewesens	bv_doc_id__69_d53e1617
<g/>
.	
3.	bv_doc_id__69_d53e1626
Die	bv_doc_id__69_d53e1629
Erhebung	bv_doc_id__69_d53e1631
der	bv_doc_id__69_d53e1633
Anklage	bv_doc_id__69_d53e1635
gegen	bv_doc_id__69_d53e1638
den	bv_doc_id__69_d53e1640
Bundespräsidenten	bv_doc_id__69_d53e1642
den	bv_doc_id__69_d53e1644
Bundeskanzler	bv_doc_id__69_d53e1646
und	bv_doc_id__69_d53e1648
die	bv_doc_id__69_d53e1651
Mitglieder	bv_doc_id__69_d53e1653
der	bv_doc_id__69_d53e1655
Bundesregierung	bv_doc_id__69_d53e1657
wegen	bv_doc_id__69_d53e1659
Verletzung	bv_doc_id__69_d53e1661
der	bv_doc_id__69_d53e1664
Verfassung	bv_doc_id__69_d53e1666
<g/>
.	
4.	bv_doc_id__69_d53e1676
Die	bv_doc_id__69_d53e1679
Regelung	bv_doc_id__69_d53e1681
der	bv_doc_id__69_d53e1683
Ein=	bv_doc_id__69_d53e1685
und	bv_doc_id__69_d53e1688
Auswanderung	bv_doc_id__69_d53e1690
<g/>
,	
der	bv_doc_id__69_d53e1694
Auslieferung	bv_doc_id__69_d53e1696
<g/>
,	
des	bv_doc_id__69_d53e1701
Paßzwanges	bv_doc_id__69_d53e1703
<g/>
,	
der	bv_doc_id__69_d53e1707
Bevölkerungspolitik	bv_doc_id__69_d53e1709
<g/>
,	
der	bv_doc_id__69_d53e1714
Statistik	bv_doc_id__69_d53e1716
<g/>
,	
des	bv_doc_id__69_d53e1720
Gesundheits=	bv_doc_id__69_d53e1722
und	bv_doc_id__69_d53e1724
Veterinärwesens	bv_doc_id__69_d53e1727
<g/>
.	
5.	bv_doc_id__69_d53e1736
Das	bv_doc_id__69_d53e1739
Münzwesen	bv_doc_id__69_d53e1741
<g/>
,	
das	bv_doc_id__69_d53e1745
Papiergeldwesens	bv_doc_id__69_d53e1748
<g/>
,	
Banken	bv_doc_id__69_d53e1752
und	bv_doc_id__69_d53e1754
Börsen	bv_doc_id__69_d53e1756
<g/>
,	
mit	bv_doc_id__69_d53e1761
Ausnahme	bv_doc_id__69_d53e1763
der	bv_doc_id__69_d53e1765
Länderbanken	bv_doc_id__69_d53e1767
<g/>
,	
Agrarbanken	bv_doc_id__69_d53e1771
<g/>
,	
Heimstätten	bv_doc_id__69_d53e1776
banken	bv_doc_id__69_d53e1778
und	bv_doc_id__69_d53e1780
gewerblichen	bv_doc_id__69_d53e1782
Kreditanstalten	bv_doc_id__69_d53e1784
<g/>
.	
6.	bv_doc_id__69_d53e1794
Maße	bv_doc_id__69_d53e1797
und	bv_doc_id__69_d53e1799
Gewichte	bv_doc_id__69_d53e1801
<g/>
,	
Marken	bv_doc_id__69_d53e1806
<g/>
,	
Muster	bv_doc_id__69_d53e1810
<g/>
,	
Patente	bv_doc_id__69_d53e1814
<g/>
,	
Urheberrechte	bv_doc_id__69_d53e1819
<g/>
.	
7.	bv_doc_id__69_d53e1828
Das	bv_doc_id__69_d53e1831
Bundesverkehrswesen	bv_doc_id__69_d53e1833
<g/>
;	
Post	bv_doc_id__69_d53e1837
<g/>
,	
Telegraph	bv_doc_id__69_d53e1842
<g/>
,	
Fernsprecher	bv_doc_id__69_d53e1846
<g/>
,	
nenschiffahrt	bv_doc_id__69_d53e1850
<g/>
,	
Luft=	bv_doc_id__69_d53e1855
und	bv_doc_id__69_d53e1857
Kraftfahrzeuge	bv_doc_id__69_d53e1859
<g/>
,	
Bundesbahnen	bv_doc_id__69_d53e1863
<g/>
,	
Bundesstraßen	bv_doc_id__69_d53e1868
<g/>
.	
8.	bv_doc_id__69_d53e1877
Die	bv_doc_id__69_d53e1880
Energiewirtschaft	bv_doc_id__69_d53e1882
<g/>
,	
insbesondere	bv_doc_id__69_d53e1886
Elektrizität	bv_doc_id__69_d53e1889
und	bv_doc_id__69_d53e1891
Kohle	bv_doc_id__69_d53e1893
<g/>
.	
9.	bv_doc_id__69_d53e1902
Das	bv_doc_id__69_d53e1905
Volks-	bv_doc_id__69_d53e1907
<g/>
,	
Mittel-	bv_doc_id__69_d53e1911
und	bv_doc_id__69_d53e1914
Hochschulwesen	bv_doc_id__69_d53e1916
<g/>
,	
das	bv_doc_id__69_d53e1920
Fortbildungsschulwesen	bv_doc_id__69_d53e1922
<g/>
.	
10.	bv_doc_id__69_d53e1932
Das	bv_doc_id__69_d53e1935
Bundesfinanzwesen	bv_doc_id__69_d53e1937
<g/>
:	
Die	bv_doc_id__69_d53e1941
Regelung	bv_doc_id__69_d53e1944
des	bv_doc_id__69_d53e1946
Bundeshaus	bv_doc_id__69_d53e1948
haltes	bv_doc_id__69_d53e1950
<g/>
,	
der	bv_doc_id__69_d53e1954
Bundessteuern	bv_doc_id__69_d53e1957
<g/>
,	
der	bv_doc_id__69_d53e1961
Bundesschulden	bv_doc_id__69_d53e1963
<g/>
,	
des	bv_doc_id__69_d53e1967
Bundesvermögens	bv_doc_id__69_d53e1970
<g/>
,	
die	bv_doc_id__69_d53e1974
Verteilung	bv_doc_id__69_d53e1976
der	bv_doc_id__69_d53e1978
Steuerquellen	bv_doc_id__69_d53e1980
zwischen	bv_doc_id__69_d53e1983
Bund	bv_doc_id__69_d53e1985
und	bv_doc_id__69_d53e1987
Ländern	bv_doc_id__69_d53e1989
<g/>
,	
wobei	bv_doc_id__69_d53e1993
als	bv_doc_id__69_d53e1996
Grundsatz	bv_doc_id__69_d53e1998
zu	bv_doc_id__69_d53e2000
gelten	bv_doc_id__69_d53e2002
hat	bv_doc_id__69_d53e2004
<g/>
,	
daß	bv_doc_id__69_d53e2009
die	bv_doc_id__69_d53e2011
von	bv_doc_id__69_d53e2013
Grund	bv_doc_id__69_d53e2015
und	bv_doc_id__69_d53e2017
Boden	bv_doc_id__69_d53e2019
zu	bv_doc_id__69_d53e2022
entrichtenden	bv_doc_id__69_d53e2024
Steuern	bv_doc_id__69_d53e2026
<g/>
(	
Grund-	bv_doc_id__69_d53e2030
<g/>
,	
Haus=	bv_doc_id__69_d53e2035
und	bv_doc_id__69_d53e2037
Boden	bv_doc_id__69_d53e2039
wertsteuer	bv_doc_id__69_d53e2041
<g/>
)	
den	bv_doc_id__69_d53e2045
Ländern	bv_doc_id__69_d53e2048
zu	bv_doc_id__69_d53e2050
verbleiben	bv_doc_id__69_d53e2052
haben	bv_doc_id__69_d53e2054
und	bv_doc_id__69_d53e2056
daß	bv_doc_id__69_d53e2058
die	bv_doc_id__69_d53e2061
Steuer	bv_doc_id__69_d53e2063
im	bv_doc_id__69_d53e2065
Lande	bv_doc_id__69_d53e2067
der	bv_doc_id__69_d53e2069
Produktionsstätte	bv_doc_id__69_d53e2071
zu	bv_doc_id__69_d53e2074
entrichten	bv_doc_id__69_d53e2076
ist	bv_doc_id__69_d53e2078
<g/>
.	
11.	bv_doc_id__69_d53e2087
Das	bv_doc_id__69_d53e2090
bürgerliche	bv_doc_id__69_d53e2092
Recht	bv_doc_id__69_d53e2094
<g/>
,	
das	bv_doc_id__69_d53e2099
Strafrecht	bv_doc_id__69_d53e2101
<g/>
.	
das	bv_doc_id__69_d53e2105
gerichtliche	bv_doc_id__69_d53e2107
