<doc id="bv_doc_id__47" attrs="word lemma type">
Trotokol1	bv_doc_id__47_d36e255
Richtigstellung	bv_doc_id__47_d36e525
des	bv_doc_id__47_d36e527
Druckezemplares	bv_doc_id__47_d36e529
zu	bv_doc_id__47_d36e531
veranlassen	bv_doc_id__47_d36e533
<g/>
:	
wenn	bv_doc_id__47_d36e538
sich	bv_doc_id__47_d36e540
öffentliche	bv_doc_id__47_d36e542
ingestellte	bv_doc_id__47_d36e544
oder	bv_doc_id__47_d36e546
Punktimnäre	bv_doc_id__47_d36e548
un	bv_doc_id__47_d36e551
ein	bv_doc_id__47_d36e553
Handat	bv_doc_id__47_d36e555
für	bv_doc_id__47_d36e557
<g/>
.	
den	bv_doc_id__47_d36e561
Nationalrat	bv_doc_id__47_d36e564
bewerben	bv_doc_id__47_d36e566
ist	bv_doc_id__47_d36e568
ihnen	bv_doc_id__47_d36e570
die	bv_doc_id__47_d36e572
ddzu	bv_doc_id__47_d36e574
drtdrdertitdfet	bv_doc_id__47_d36e577
Zeit	bv_doc_id__47_d36e579
zu	bv_doc_id__47_d36e581
gewähren	bv_doc_id__47_d36e583
<g/>
.	
Die	bv_doc_id__47_d36e587
näheren	bv_doc_id__47_d36e590
Bestimmungen	bv_doc_id__47_d36e592
werden	bv_doc_id__47_d36e594
durch	bv_doc_id__47_d36e596
die	bv_doc_id__47_d36e598
Dienstvarschrift	bv_doc_id__47_d36e600
getroffen“	bv_doc_id__47_d36e603
<g/>
.	
In	bv_doc_id__47_d36e607
Art.	bv_doc_id__47_d36e609
12	bv_doc_id__47_d36e611
b	bv_doc_id__47_d36e613
wird	bv_doc_id__47_d36e616
die	bv_doc_id__47_d36e618
Friet	bv_doc_id__47_d36e620
für	bv_doc_id__47_d36e622
die	bv_doc_id__47_d36e624
Vorlage	bv_doc_id__47_d36e626
des	bv_doc_id__47_d36e629
Budgets	bv_doc_id__47_d36e631
mit	bv_doc_id__47_d36e633
&	bv_doc_id__47_d36e635
Wochen	bv_doc_id__47_d36e637
festgesetzt	bv_doc_id__47_d36e639
<g/>
.	
In	bv_doc_id__47_d36e644
Art.	bv_doc_id__47_d36e646
48	bv_doc_id__47_d36e648
ist	bv_doc_id__47_d36e650
im	bv_doc_id__47_d36e652
letzten	bv_doc_id__47_d36e655
Absatze	bv_doc_id__47_d36e657
nach	bv_doc_id__47_d36e659
dem	bv_doc_id__47_d36e661
Worte	bv_doc_id__47_d36e663
Bundesverdammlung	bv_doc_id__47_d36e665
einzuschalten	bv_doc_id__47_d36e668
<g/>
:	
„sowie	bv_doc_id__47_d36e672
deren	bv_doc_id__47_d36e674
Ausschüage	bv_doc_id__47_d36e676
Jodann	bv_doc_id__47_d36e678
wird	bv_doc_id__47_d36e681
Abschnitt	bv_doc_id__47_d36e683
5	bv_doc_id__47_d36e685
„von	bv_doc_id__47_d36e687
den	bv_doc_id__47_d36e689
Gemeinden“	bv_doc_id__47_d36e691
durchberaten“	bv_doc_id__47_d36e694
durchberaten	bv_doc_id__47_d36e696
<g/>
;	
die	bv_doc_id__47_d36e700
Ueberschrift	bv_doc_id__47_d36e702
wird	bv_doc_id__47_d36e704
beschlossen	bv_doc_id__47_d36e707
<g/>
,	
desgleichen	bv_doc_id__47_d36e711
Art.	bv_doc_id__47_d36e713
97	bv_doc_id__47_d36e715
a	bv_doc_id__47_d36e717
<g/>
.	
Die	bv_doc_id__47_d36e722
allgemeine	bv_doc_id__47_d36e724
stattliche	bv_doc_id__47_d36e726
Verwaltung	bv_doc_id__47_d36e728
in	bv_doc_id__47_d36e730
den	bv_doc_id__47_d36e733
Ländern	bv_doc_id__47_d36e735
wird	bv_doc_id__47_d36e737
genäee	bv_doc_id__47_d36e739
den	bv_doc_id__47_d36e741
nachfolgenden	bv_doc_id__47_d36e743
Bestimmungen	bv_doc_id__47_d36e746
nach	bv_doc_id__47_d36e748
dem	bv_doc_id__47_d36e750
Grundsatze	bv_doc_id__47_d36e752
der	bv_doc_id__47_d36e754
Selbstvermaltung	bv_doc_id__47_d36e756
eingerichtet	bv_doc_id__47_d36e759
<g/>
.	
Der	bv_doc_id__47_d36e763
Vorsitzende	bv_doc_id__47_d36e765
erklärt	bv_doc_id__47_d36e767
bei	bv_doc_id__47_d36e769
Besprechung	bv_doc_id__47_d36e772
des	bv_doc_id__47_d36e774
Entwurfes	bv_doc_id__47_d36e776
für	bv_doc_id__47_d36e778
Art.	bv_doc_id__47_d36e780
97	bv_doc_id__47_d36e782
b	bv_doc_id__47_d36e785
<g/>
,	
dass	bv_doc_id__47_d36e789
durch	bv_doc_id__47_d36e791
die	bv_doc_id__47_d36e793
Worte	bv_doc_id__47_d36e795
<g/>
:	
„als	bv_doc_id__47_d36e800
Gebietegemeinden	bv_doc_id__47_d36e802
die	bv_doc_id__47_d36e804
Bezirke	bv_doc_id__47_d36e806
<g/>
(	
Bezirksgemeinden	bv_doc_id__47_d36e811
<g/>
)	
und	bv_doc_id__47_d36e815
in	bv_doc_id__47_d36e817
den	bv_doc_id__47_d36e819
gröeseren	bv_doc_id__47_d36e821
Ländern	bv_doc_id__47_d36e824
die	bv_doc_id__47_d36e826
Kreise	bv_doc_id__47_d36e828
<g/>
(	
Kreisgemeinden	bv_doc_id__47_d36e832
<g/>
)	
“	bv_doc_id__47_d36e837
eine	bv_doc_id__47_d36e839
Legaldefinition	bv_doc_id__47_d36e841
des	bv_doc_id__47_d36e843
wortes	bv_doc_id__47_d36e845
Gebietsgemeinden	bv_doc_id__47_d36e847
gegeben	bv_doc_id__47_d36e850
sei	bv_doc_id__47_d36e852
und	bv_doc_id__47_d36e854
der	bv_doc_id__47_d36e856
Artikel	bv_doc_id__47_d36e858
lautet	bv_doc_id__47_d36e860
<g/>
:	
"Art.	bv_doc_id__47_d36e865
97	bv_doc_id__47_d36e867
b	bv_doc_id__47_d36e869
<g/>
.	
<g/>
(	
2	bv_doc_id__47_d36e876
<g/>
)	
verwaltungssprengel	bv_doc_id__47_d36e880
und	bv_doc_id__47_d36e882
Selbstverwaltungskörper	bv_doc_id__47_d36e884
<g/>
,	
in	bv_doc_id__47_d36e889
die	bv_doc_id__47_d36e891
sich	bv_doc_id__47_d36e893
die	bv_doc_id__47_d36e895
fänder	bv_doc_id__47_d36e897
gliedern	bv_doc_id__47_d36e899
<g/>
,	
sind	bv_doc_id__47_d36e904
die	bv_doc_id__47_d36e906
Gemeinden	bv_doc_id__47_d36e908
<g/>
(	
Ortegemeinden	bv_doc_id__47_d36e912
<g/>
)	
und	bv_doc_id__47_d36e917
als	bv_doc_id__47_d36e919
Gebietsgemeinden	bv_doc_id__47_d36e921
die	bv_doc_id__47_d36e923
Bezirke	bv_doc_id__47_d36e925
<g/>
(	
Bezirkegemeinden	bv_doc_id__47_d36e930
<g/>
)	
und	bv_doc_id__47_d36e934
in	bv_doc_id__47_d36e936
den	bv_doc_id__47_d36e938
gröeseren	bv_doc_id__47_d36e941
Zändern	bv_doc_id__47_d36e943
die	bv_doc_id__47_d36e945
Kreise	bv_doc_id__47_d36e947
<g/>
(	
Kreiegemeinden	bv_doc_id__47_d36e951
<g/>
).	
445	bv_doc_id__47_d36e959
3	bv_doc_id__47_d36e963
<g/>
(	
2	bv_doc_id__47_d36e967
<g/>
)	
Die	bv_doc_id__47_d36e972
Gemeinden	bv_doc_id__47_d36e974
sind	bv_doc_id__47_d36e976
den	bv_doc_id__47_d36e978
Bezirken	bv_doc_id__47_d36e980
oder	bv_doc_id__47_d36e983
Kreisen	bv_doc_id__47_d36e985
und	bv_doc_id__47_d36e987
diese	bv_doc_id__47_d36e989
den	bv_doc_id__47_d36e991
Ländern	bv_doc_id__47_d36e993
untorgeordnet	bv_doc_id__47_d36e996
<g/>
.	
Zwischen	bv_doc_id__47_d36e1000
Bezirken	bv_doc_id__47_d36e1002
und	bv_doc_id__47_d36e1004
Kreisen	bv_doc_id__47_d36e1006
findet	bv_doc_id__47_d36e1009
ein	bv_doc_id__47_d36e1011
Instanzenzug	bv_doc_id__47_d36e1013
nicht	bv_doc_id__47_d36e1015
statt	bv_doc_id__47_d36e1017
<g/>
.	
"	bv_doc_id__47_d36e1022
No	bv_doc_id__47_d36e1024
Kreise	bv_doc_id__47_d36e1026
bestehen	bv_doc_id__47_d36e1028
wäre	bv_doc_id__47_d36e1030
der	bv_doc_id__47_d36e1032
Bezirk	bv_doc_id__47_d36e1035
nur	bv_doc_id__47_d36e1037
als	bv_doc_id__47_d36e1039
Expositur	bv_doc_id__47_d36e1041
anzwsehen	bv_doc_id__47_d36e1043
<g/>
,	
doch	bv_doc_id__47_d36e1048
könne	bv_doc_id__47_d36e1050
in	bv_doc_id__47_d36e1052
einzeln	bv_doc_id__47_d36e1054
festzusetzenden	bv_doc_id__47_d36e1056
Angelegenheiten	bv_doc_id__47_d36e1058
der	bv_doc_id__47_d36e1061
Rechtszug	bv_doc_id__47_d36e1063
vom	bv_doc_id__47_d36e1065
Bezirke	bv_doc_id__47_d36e1067
direkt	bv_doc_id__47_d36e1069
an	bv_doc_id__47_d36e1071
das	bv_doc_id__47_d36e1074
Land	bv_doc_id__47_d36e1076
gehen	bv_doc_id__47_d36e1078
<g/>
.	
In	bv_doc_id__47_d36e1082
längerer	bv_doc_id__47_d36e1084
Debatte	bv_doc_id__47_d36e1087
wird	bv_doc_id__47_d36e1089
nater	bv_doc_id__47_d36e1091
Berufung	bv_doc_id__47_d36e1093
auf	bv_doc_id__47_d36e1095
den	bv_doc_id__47_d36e1097
in	bv_doc_id__47_d36e1100
der	bv_doc_id__47_d36e1102
7.	bv_doc_id__47_d36e1104
Sitzung	bv_doc_id__47_d36e1106
vom	bv_doc_id__47_d36e1108
20.	bv_doc_id__47_d36e1110
Auguet	bv_doc_id__47_d36e1113
fProthkoll	bv_doc_id__47_d36e1115
Seite	bv_doc_id__47_d36e1117
14	bv_doc_id__47_d36e1119
<g/>
)	
gefassten	bv_doc_id__47_d36e1123
prinzipiellen	bv_doc_id__47_d36e1126
Beschlune	bv_doc_id__47_d36e1128
gesprochen	bv_doc_id__47_d36e1130
inniefern	bv_doc_id__47_d36e1132
eine	bv_doc_id__47_d36e1134
Stadt	bv_doc_id__47_d36e1136
zwiechen	bv_doc_id__47_d36e1139
Kreis-	bv_doc_id__47_d36e1141
oder	bv_doc_id__47_d36e1143
Bezirksstadtgemeinde	bv_doc_id__47_d36e1145
wählen	bv_doc_id__47_d36e1147
zolle	bv_doc_id__47_d36e1149
<g/>
,	
in	bv_doc_id__47_d36e1154
welehem	bv_doc_id__47_d36e1156
Falle	bv_doc_id__47_d36e1158
ihnen	bv_doc_id__47_d36e1160
in	bv_doc_id__47_d36e1162
der	bv_doc_id__47_d36e1165
Verfassung	bv_doc_id__47_d36e1167
nur	bv_doc_id__47_d36e1169
ein	bv_doc_id__47_d36e1171
Inspruch	bv_doc_id__47_d36e1173
darauf	bv_doc_id__47_d36e1175
zuerkannt	bv_doc_id__47_d36e1178
werden	bv_doc_id__47_d36e1180
soll	bv_doc_id__47_d36e1182
<g/>
.	
Der	bv_doc_id__47_d36e1186
Unterausschues	bv_doc_id__47_d36e1188
neigt	bv_doc_id__47_d36e1191
sich	bv_doc_id__47_d36e1193
auf	bv_doc_id__47_d36e1195
folgenden	bv_doc_id__47_d36e1197
Vortlaut	bv_doc_id__47_d36e1199
<g/>
:	
