<doc id="bv_doc_id__24" attrs="word lemma type">
Bekanntlich	bv_doc_id__24_d15e246
unvermeidlich	bv_doc_id__24_d15e374
<g/>
,	
daß	bv_doc_id__24_d15e378
sich	bv_doc_id__24_d15e380
in	bv_doc_id__24_d15e382
der	bv_doc_id__24_d15e384
Tertierung	bv_doc_id__24_d15e387
gewisse	bv_doc_id__24_d15e389
Unstimmigkeiten	bv_doc_id__24_d15e391
ergeben	bv_doc_id__24_d15e393
haben	bv_doc_id__24_d15e395
<g/>
;	
diese	bv_doc_id__24_d15e400
zu	bv_doc_id__24_d15e402
korrigieren	bv_doc_id__24_d15e404
<g/>
,	
wird	bv_doc_id__24_d15e408
der	bv_doc_id__24_d15e410
Vollausschuß	bv_doc_id__24_d15e413
Gelegenheit	bv_doc_id__24_d15e415
haben	bv_doc_id__24_d15e417
<g/>
,	
der	bv_doc_id__24_d15e421
in	bv_doc_id__24_d15e423
naher	bv_doc_id__24_d15e426
Zeit	bv_doc_id__24_d15e428
zusammentreten	bv_doc_id__24_d15e430
wird	bv_doc_id__24_d15e432
<g/>
.	
Entwurf	bv_doc_id__24_d15e439
eines	bv_doc_id__24_d15e441
Gesetzes	bv_doc_id__24_d15e443
<g/>
,	
belreffend	bv_doc_id__24_d15e450
die	bv_doc_id__24_d15e452
Verfassung	bv_doc_id__24_d15e454
der	bv_doc_id__24_d15e456
Republik	bv_doc_id__24_d15e458
Osterreich	bv_doc_id__24_d15e461
<g/>
.	
Erstes	bv_doc_id__24_d15e470
Hauptstück	bv_doc_id__24_d15e472
<g/>
.	
Allgemeine	bv_doc_id__24_d15e479
Bestimmungen	bv_doc_id__24_d15e481
<g/>
.	
Artikel	bv_doc_id__24_d15e490
1.	bv_doc_id__24_d15e492
<g/>
(	
1	bv_doc_id__24_d15e501
<g/>
)	
Osterreich	bv_doc_id__24_d15e506
ist	bv_doc_id__24_d15e508
eine	bv_doc_id__24_d15e510
demokratische	bv_doc_id__24_d15e512
Republik	bv_doc_id__24_d15e515
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e526
<g/>
)	
Alle	bv_doc_id__24_d15e531
öffentlichen	bv_doc_id__24_d15e533
Gewalten	bv_doc_id__24_d15e535
werden	bv_doc_id__24_d15e537
vom	bv_doc_id__24_d15e540
Volke	bv_doc_id__24_d15e542
eingesetzt	bv_doc_id__24_d15e544
und	bv_doc_id__24_d15e546
in	bv_doc_id__24_d15e548
seinem	bv_doc_id__24_d15e550
Namen	bv_doc_id__24_d15e553
auegeübt	bv_doc_id__24_d15e555
<g/>
.	
Artikel	bv_doc_id__24_d15e565
2.	bv_doc_id__24_d15e567
<g/>
(	
1	bv_doc_id__24_d15e576
<g/>
)	
Osterreich	bv_doc_id__24_d15e581
ist	bv_doc_id__24_d15e583
ein	bv_doc_id__24_d15e585
Bundesstaat	bv_doc_id__24_d15e587
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e599
<g/>
)	
Der	bv_doc_id__24_d15e604
Bundesstaat	bv_doc_id__24_d15e606
wird	bv_doc_id__24_d15e608
gebildet	bv_doc_id__24_d15e610
aus	bv_doc_id__24_d15e613
den	bv_doc_id__24_d15e615
selbständigen	bv_doc_id__24_d15e617
Ländern	bv_doc_id__24_d15e619
<g/>
:	
Kärnten	bv_doc_id__24_d15e623
<g/>
,	
Niederösterreich	bv_doc_id__24_d15e628
<g/>
,	
Oberösterreich	bv_doc_id__24_d15e632
<g/>
,	
Satzburg	bv_doc_id__24_d15e636
<g/>
,	
Steiermart	bv_doc_id__24_d15e641
<g/>
,	
Tirol	bv_doc_id__24_d15e645
<g/>
,	
Vorarlberg	bv_doc_id__24_d15e649
und	bv_doc_id__24_d15e652
Wien	bv_doc_id__24_d15e654
<g/>
.	
<g/>
(	
3	bv_doc_id__24_d15e665
<g/>
)	
Das	bv_doc_id__24_d15e670
Burgenland	bv_doc_id__24_d15e672
wird	bv_doc_id__24_d15e674
als	bv_doc_id__24_d15e676
selbständiges	bv_doc_id__24_d15e679
und	bv_doc_id__24_d15e681
gleichberechtigtes	bv_doc_id__24_d15e683
Land	bv_doc_id__24_d15e685
in	bv_doc_id__24_d15e687
den	bv_doc_id__24_d15e689
Bund	bv_doc_id__24_d15e692
aufgenommen	bv_doc_id__24_d15e694
<g/>
,	
sobald	bv_doc_id__24_d15e698
es	bv_doc_id__24_d15e700
seinen	bv_doc_id__24_d15e702
Willen	bv_doc_id__24_d15e705
dazu	bv_doc_id__24_d15e707
ausgebrückt	bv_doc_id__24_d15e709
hat	bv_doc_id__24_d15e711
<g/>
.	
Artikel	bv_doc_id__24_d15e721
3.	bv_doc_id__24_d15e723
<g/>
(	
1	bv_doc_id__24_d15e732
<g/>
)	
Das	bv_doc_id__24_d15e737
Bundesgebiet	bv_doc_id__24_d15e739
umfaßt	bv_doc_id__24_d15e741
die	bv_doc_id__24_d15e743
Gebiete	bv_doc_id__24_d15e746
der	bv_doc_id__24_d15e748
Bundesländer	bv_doc_id__24_d15e750
<g/>
.	
Es	bv_doc_id__24_d15e754
steht	bv_doc_id__24_d15e756
unter	bv_doc_id__24_d15e759
dem	bv_doc_id__24_d15e761
Schutze	bv_doc_id__24_d15e763
des	bv_doc_id__24_d15e765
Bundes	bv_doc_id__24_d15e767
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e778
<g/>
)	
Eine	bv_doc_id__24_d15e783
Änderung	bv_doc_id__24_d15e785
des	bv_doc_id__24_d15e787
Bundesgebietes	bv_doc_id__24_d15e789
<g/>
,	
die	bv_doc_id__24_d15e794
zugleich	bv_doc_id__24_d15e796
Änderung	bv_doc_id__24_d15e798
eines	bv_doc_id__24_d15e800
Landesgebietes	bv_doc_id__24_d15e802
ist	bv_doc_id__24_d15e805
<g/>
,	
ebenso	bv_doc_id__24_d15e809
die	bv_doc_id__24_d15e811
Änderung	bv_doc_id__24_d15e813
einer	bv_doc_id__24_d15e815
Landesgrenze	bv_doc_id__24_d15e818
innerhalb	bv_doc_id__24_d15e820
des	bv_doc_id__24_d15e822
Bundesgebietes	bv_doc_id__24_d15e824
kann	bv_doc_id__24_d15e826
<g/>
-	
abgesehen	bv_doc_id__24_d15e831
von	bv_doc_id__24_d15e833
Friedensverträgen	bv_doc_id__24_d15e835
<g/>
-	
nur	bv_doc_id__24_d15e839
durch	bv_doc_id__24_d15e841
übereinstimmende	bv_doc_id__24_d15e844
Verfassungsgesetze	bv_doc_id__24_d15e846
des	bv_doc_id__24_d15e848
Bundes	bv_doc_id__24_d15e850
und	bv_doc_id__24_d15e852
jenes	bv_doc_id__24_d15e854
Landes	bv_doc_id__24_d15e857
erfolgen	bv_doc_id__24_d15e859
<g/>
,	
dessen	bv_doc_id__24_d15e863
Gebiet	bv_doc_id__24_d15e865
eine	bv_doc_id__24_d15e867
Änderung	bv_doc_id__24_d15e870
erfährt	bv_doc_id__24_d15e872
<g/>
.	
Artitel	bv_doc_id__24_d15e883
3	bv_doc_id__24_d15e885
a	bv_doc_id__24_d15e887
<g/>
.	
<g/>
(	
1	bv_doc_id__24_d15e898
<g/>
)	
Das	bv_doc_id__24_d15e903
Bundesgebiet	bv_doc_id__24_d15e905
bildet	bv_doc_id__24_d15e907
ein	bv_doc_id__24_d15e909
einheitliches	bv_doc_id__24_d15e912
Wahrungs-	bv_doc_id__24_d15e914
<g/>
,	
Wirtschafts-	bv_doc_id__24_d15e918
und	bv_doc_id__24_d15e920
Zollgebiet	bv_doc_id__24_d15e922
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e934
<g/>
)	
Innerhalb	bv_doc_id__24_d15e939
der	bv_doc_id__24_d15e941
Grenzen	bv_doc_id__24_d15e943
des	bv_doc_id__24_d15e945
Bundes	bv_doc_id__24_d15e948
dürfen	bv_doc_id__24_d15e950
keinerlei	bv_doc_id__24_d15e952
Zwischenzollinien	bv_doc_id__24_d15e954
errichtet	bv_doc_id__24_d15e956
werden	bv_doc_id__24_d15e958
<g/>
.	
Artikel	bv_doc_id__24_d15e969
3b	bv_doc_id__24_d15e971
<g/>
.	
Bundeshauptstadt	bv_doc_id__24_d15e978
und	bv_doc_id__24_d15e980
Sitz	bv_doc_id__24_d15e982
der	bv_doc_id__24_d15e984
obersten	bv_doc_id__24_d15e986
Organe	bv_doc_id__24_d15e989
des	bv_doc_id__24_d15e991
Bundes	bv_doc_id__24_d15e993
ist	bv_doc_id__24_d15e995
Wien	bv_doc_id__24_d15e997
<g/>
.	
Artikel	bv_doc_id__24_d15e1007
4.	bv_doc_id__24_d15e1009
<g/>
(	
1	bv_doc_id__24_d15e1018
<g/>
)	
Für	bv_doc_id__24_d15e1023
jedes	bv_doc_id__24_d15e1025
Land	bv_doc_id__24_d15e1027
besteht	bv_doc_id__24_d15e1029
eine	bv_doc_id__24_d15e1032
Landesbürgerschaft	bv_doc_id__24_d15e1034
<g/>
.	
Die	bv_doc_id__24_d15e1038
Voraussetzungen	bv_doc_id__24_d15e1040
für	bv_doc_id__24_d15e1042
Erwerb	bv_doc_id__24_d15e1045
und	bv_doc_id__24_d15e1047
Verlust	bv_doc_id__24_d15e1049
der	bv_doc_id__24_d15e1051
Landesbürgerschaft	bv_doc_id__24_d15e1053
sind	bv_doc_id__24_d15e1055
in	bv_doc_id__24_d15e1058
jedem	bv_doc_id__24_d15e1060
Lande	bv_doc_id__24_d15e1062
gleich	bv_doc_id__24_d15e1064
und	bv_doc_id__24_d15e1066
durch	bv_doc_id__24_d15e1068
Bundesgesetz	bv_doc_id__24_d15e1071
geregelt	bv_doc_id__24_d15e1073
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e1084
<g/>
)	
Grundlegende	bv_doc_id__24_d15e1089
Voraussetung	bv_doc_id__24_d15e1091
der	bv_doc_id__24_d15e1093
Landesbürgerschaft	bv_doc_id__24_d15e1095
ist	bv_doc_id__24_d15e1098
das	bv_doc_id__24_d15e1100
Heimatrecht	bv_doc_id__24_d15e1102
in	bv_doc_id__24_d15e1104
einer	bv_doc_id__24_d15e1106
Gemeinde	bv_doc_id__24_d15e1108
des	bv_doc_id__24_d15e1111
Landes	bv_doc_id__24_d15e1113
<g/>
.	
<g/>
(	
3	bv_doc_id__24_d15e1124
<g/>
)	
Mit	bv_doc_id__24_d15e1129
der	bv_doc_id__24_d15e1131
Landesbürgerschaft	bv_doc_id__24_d15e1133
wird	bv_doc_id__24_d15e1135
die	bv_doc_id__24_d15e1138
Bundesbürgerschaft	bv_doc_id__24_d15e1140
erworben	bv_doc_id__24_d15e1142
<g/>
.	
<g/>
(	
4	bv_doc_id__24_d15e1153
<g/>
)	
Jeder	bv_doc_id__24_d15e1158
Bundesbürger	bv_doc_id__24_d15e1160
hat	bv_doc_id__24_d15e1162
in	bv_doc_id__24_d15e1164
jedem	bv_doc_id__24_d15e1167
Lande	bv_doc_id__24_d15e1169
die	bv_doc_id__24_d15e1171
gleichen	bv_doc_id__24_d15e1173
Rechte	bv_doc_id__24_d15e1175
und	bv_doc_id__24_d15e1177
Pflichten	bv_doc_id__24_d15e1180
wie	bv_doc_id__24_d15e1182
die	bv_doc_id__24_d15e1184
Bürger	bv_doc_id__24_d15e1186
des	bv_doc_id__24_d15e1188
Landes	bv_doc_id__24_d15e1190
selbst	bv_doc_id__24_d15e1193
<g/>
.	
Artikel	bv_doc_id__24_d15e1203
4	bv_doc_id__24_d15e1205
a	bv_doc_id__24_d15e1207
<g/>
.	
<g/>
(	
1	bv_doc_id__24_d15e1218
<g/>
)	
Alle	bv_doc_id__24_d15e1223
Bundesbürger	bv_doc_id__24_d15e1225
sind	bv_doc_id__24_d15e1227
vor	bv_doc_id__24_d15e1229
dem	bv_doc_id__24_d15e1232
Gesetze	bv_doc_id__24_d15e1234
gleich	bv_doc_id__24_d15e1236
<g/>
.	
Vorrechte	bv_doc_id__24_d15e1240
der	bv_doc_id__24_d15e1242
Geburt	bv_doc_id__24_d15e1245
<g/>
,	
des	bv_doc_id__24_d15e1249
Geschlechtes	bv_doc_id__24_d15e1251
<g/>
,	
des	bv_doc_id__24_d15e1255
Standes	bv_doc_id__24_d15e1258
<g/>
,	
der	bv_doc_id__24_d15e1262
Klasse	bv_doc_id__24_d15e1264
und	bv_doc_id__24_d15e1266
des	bv_doc_id__24_d15e1268
Bekenntnisses	bv_doc_id__24_d15e1271
sind	bv_doc_id__24_d15e1273
ausgeschlossen	bv_doc_id__24_d15e1275
<g/>
.	
<g/>
(	
2	bv_doc_id__24_d15e1286
<g/>
)	
Den	bv_doc_id__24_d15e1291
öffentlichen	bv_doc_id__24_d15e1293
Angestellten	bv_doc_id__24_d15e1295
und	bv_doc_id__24_d15e1297
Funktionären	bv_doc_id__24_d15e1300
<g/>
,	
einschließlich	bv_doc_id__24_d15e1304
der	bv_doc_id__24_d15e1306
Angehörigen	bv_doc_id__24_d15e1308
des	bv_doc_id__24_d15e1310
Bundesheeres	bv_doc_id__24_d15e1313
<g/>
,	
ist	bv_doc_id__24_d15e1317
die	bv_doc_id__24_d15e1319
ungeschmälerte	bv_doc_id__24_d15e1321
Ausübung	bv_doc_id__24_d15e1323
ihrer	bv_doc_id__24_d15e1326
politischen	bv_doc_id__24_d15e1328
Rechte	bv_doc_id__24_d15e1330
gewährleistet	bv_doc_id__24_d15e1332
<g/>
.	
<g/>
(	
Artikel	bv_doc_id__24_d15e1344
5	bv_doc_id__24_d15e1346
fällt	bv_doc_id__24_d15e1348
aus	bv_doc_id__24_d15e1350
<g/>
.)	
Artikel	bv_doc_id__24_d15e1361
6.	bv_doc_id__24_d15e1363
Die	bv_doc_id__24_d15e1368
deutsche	bv_doc_id__24_d15e1370
Sprache	bv_doc_id__24_d15e1372
ist	bv_doc_id__24_d15e1374
<g/>
,	
unbeschadet	bv_doc_id__24_d15e1379
der	bv_doc_id__24_d15e1381
den	bv_doc_id__24_d15e1383
sprächlichen	bv_doc_id__24_d15e1385
Minderheiten	bv_doc_id__24_d15e1387
gesezlich	bv_doc_id__24_d15e1389
eingeräumten	bv_doc_id__24_d15e1392
Rechte	bv_doc_id__24_d15e1394
<g/>
,	
die	bv_doc_id__24_d15e1398
Staatssprache	bv_doc_id__24_d15e1400
der	bv_doc_id__24_d15e1402
Republik	bv_doc_id__24_d15e1405
<g/>
.	
Artikel	bv_doc_id__24_d15e1416
6a	bv_doc_id__24_d15e1418
<g/>
.	
Die	bv_doc_id__24_d15e1425
allgemein	bv_doc_id__24_d15e1427
anerkannten	bv_doc_id__24_d15e1429
Regeln	bv_doc_id__24_d15e1431
des	bv_doc_id__24_d15e1433
Völlerrechtes	bv_doc_id__24_d15e1436
gelten	bv_doc_id__24_d15e1438
als	bv_doc_id__24_d15e1440
Bestandteile	bv_doc_id__24_d15e1442
des	bv_doc_id__24_d15e1444
Bundesrechtes	bv_doc_id__24_d15e1446
<g/>
.	
<g/>
(	
Artitel	bv_doc_id__24_d15e1459
7	bv_doc_id__24_d15e1461
<g/>
,	
8	bv_doc_id__24_d15e1465
und	bv_doc_id__24_d15e1468
9	bv_doc_id__24_d15e1470
fallen	bv_doc_id__24_d15e1472
aus	bv_doc_id__24_d15e1474
<g/>
.)	
Artitel	bv_doc_id__24_d15e1484
10.	bv_doc_id__24_d15e1486
Bundessache	bv_doc_id__24_d15e1491
ist	bv_doc_id__24_d15e1493
die	bv_doc_id__24_d15e1495
Gesetzgebung	bv_doc_id__24_d15e1497
und	bv_doc_id__24_d15e1499
Vollziehung	bv_doc_id__24_d15e1502
in	bv_doc_id__24_d15e1504
folgenden	bv_doc_id__24_d15e1506
Angelegenheiten	bv_doc_id__24_d15e1508
<g/>
:	
1.	bv_doc_id__24_d15e1516
Bundesverfassung	bv_doc_id__24_d15e1521
<g/>
,	
insbesondere	bv_doc_id__24_d15e1525
Wahlen	bv_doc_id__24_d15e1527
zum	bv_doc_id__24_d15e1529
Nationalrat	bv_doc_id__24_d15e1532
<g/>
,	
Volksabstimmungen	bv_doc_id__24_d15e1536
<g/>
,	
die	bv_doc_id__24_d15e1540
sich	bv_doc_id__24_d15e1542
auf	bv_doc_id__24_d15e1545
das	bv_doc_id__24_d15e1547
ganze	bv_doc_id__24_d15e1549
Bundesgebiet	bv_doc_id__24_d15e1551
erstrecken	bv_doc_id__24_d15e1553
<g/>
;	
Verfassungsgerichtsbarkeit	bv_doc_id__24_d15e1558
<g/>
:	
2.	bv_doc_id__24_d15e1565
auswärtige	bv_doc_id__24_d15e1570
Angelegenheiten	bv_doc_id__24_d15e1572
mit	bv_doc_id__24_d15e1574
Einschluß	bv_doc_id__24_d15e1576
der	bv_doc_id__24_d15e1578
politischen	bv_doc_id__24_d15e1581
und	bv_doc_id__24_d15e1583
wirtschaftlichen	bv_doc_id__24_d15e1585
Vertretung	bv_doc_id__24_d15e1587
gegenüber	bv_doc_id__24_d15e1589
dem	bv_doc_id__24_d15e1591
Auslande	bv_doc_id__24_d15e1594
<g/>
,	
insbesondere	bv_doc_id__24_d15e1598
Abschluß	bv_doc_id__24_d15e1600
aller	bv_doc_id__24_d15e1602
Staatsverträge	bv_doc_id__24_d15e1604
<g/>
;	
Grenzverwaltung	bv_doc_id__24_d15e1609
<g/>
;	
Regelung	bv_doc_id__24_d15e1613
des	bv_doc_id__24_d15e1615
Waren-	bv_doc_id__24_d15e1617
und	bv_doc_id__24_d15e1620
Viehverkehres	bv_doc_id__24_d15e1622
mit	bv_doc_id__24_d15e1624
dem	bv_doc_id__24_d15e1626
Auslande	bv_doc_id__24_d15e1628
<g/>
;	
Zollwesen	bv_doc_id__24_d15e1633
<g/>
;	
3.	bv_doc_id__24_d15e1640
Regelung	bv_doc_id__24_d15e1646
und	bv_doc_id__24_d15e1648
Überwachung	bv_doc_id__24_d15e1650
des	bv_doc_id__24_d15e1652
Eintrittes	bv_doc_id__24_d15e1654
in	bv_doc_id__24_d15e1657
das	bv_doc_id__24_d15e1659
Bundesgebiet	bv_doc_id__24_d15e1661
und	bv_doc_id__24_d15e1663
des	bv_doc_id__24_d15e1665
Austritts	bv_doc_id__24_d15e1667
aus	bv_doc_id__24_d15e1670
ihm	bv_doc_id__24_d15e1672
<g/>
;	
Einuns	bv_doc_id__24_d15e1676
Auswanderungswesen	bv_doc_id__24_d15e1678
<g/>
;	
Abschiebung	bv_doc_id__24_d15e1683
<g/>
,	
Abschäffung	bv_doc_id__24_d15e1687
<g/>
,	
Ausweisung	bv_doc_id__24_d15e1691
und	bv_doc_id__24_d15e1693
Auslieferung	bv_doc_id__24_d15e1696
aus	bv_doc_id__24_d15e1698
dem	bv_doc_id__24_d15e1700
Bundesgebiete	bv_doc_id__24_d15e1702
sowie	bv_doc_id__24_d15e1704
Durchlieferung	bv_doc_id__24_d15e1706
<g/>
;	
4.	bv_doc_id__24_d15e1714
Bundesfinanzen	bv_doc_id__24_d15e1719
<g/>
,	
insbesondere	bv_doc_id__24_d15e1723
öffentliche	bv_doc_id__24_d15e1725
Abgaben	bv_doc_id__24_d15e1727
<g/>
,	
die	bv_doc_id__24_d15e1732
ausschließlich	bv_doc_id__24_d15e1734
oder	bv_doc_id__24_d15e1736
teilweise	bv_doc_id__24_d15e1738
für	bv_doc_id__24_d15e1740
den	bv_doc_id__24_d15e1743
Bund	bv_doc_id__24_d15e1745
einzuheben	bv_doc_id__24_d15e1747
sind	bv_doc_id__24_d15e1749
<g/>
:	
Monopolwesen	bv_doc_id__24_d15e1753
<g/>
;	
Regelung	bv_doc_id__24_d15e1758
<g/>
,	
welche	bv_doc_id__24_d15e1762
Abgaben	bv_doc_id__24_d15e1764
dem	bv_doc_id__24_d15e1766
Bunde	bv_doc_id__24_d15e1769
und	bv_doc_id__24_d15e1771
den	bv_doc_id__24_d15e1773
Ländern	bv_doc_id__24_d15e1775
zustehen	bv_doc_id__24_d15e1777
<g/>
;	
Regelung	bv_doc_id__24_d15e1782
der	bv_doc_id__24_d15e1784
Anteilnahme	bv_doc_id__24_d15e1786
der	bv_doc_id__24_d15e1788
Länder	bv_doc_id__24_d15e1790
an	bv_doc_id__24_d15e1792
den	bv_doc_id__24_d15e1795
Einnahmen	bv_doc_id__24_d15e1797
des	bv_doc_id__24_d15e1799
Bundes	bv_doc_id__24_d15e1801
und	bv_doc_id__24_d15e1803
Regelung	bv_doc_id__24_d15e1805
der	bv_doc_id__24_d15e1808
Beiträge	bv_doc_id__24_d15e1810
und	bv_doc_id__24_d15e1812
Zuschüsse	bv_doc_id__24_d15e1814
aus	bv_doc_id__24_d15e1816
Bundesmitteln	bv_doc_id__24_d15e1818
zu	bv_doc_id__24_d15e1821
den	bv_doc_id__24_d15e1823
Ausgaben	bv_doc_id__24_d15e1825
der	bv_doc_id__24_d15e1827
Länder	bv_doc_id__24_d15e1829
<g/>
;	
5.	bv_doc_id__24_d15e1836
Geld-	bv_doc_id__24_d15e1841
<g/>
,	
Kredit-	bv_doc_id__24_d15e1845
<g/>
,	
Börse-	bv_doc_id__24_d15e1849
und	bv_doc_id__24_d15e1852
Bankwesen	bv_doc_id__24_d15e1854
<g/>
;	
Maß-	bv_doc_id__24_d15e1858
und	bv_doc_id__24_d15e1860
Gewichts	bv_doc_id__24_d15e1862
<g/>
,	
Normen-	bv_doc_id__24_d15e1867
und	bv_doc_id__24_d15e1869
Punzierungswesen	bv_doc_id__24_d15e1871
<g/>
;	
﻿6.	bv_doc_id__24_d15e1878
Zivil-	bv_doc_id__24_d15e1884
und	bv_doc_id__24_d15e1886
Strafrechtswesen	bv_doc_id__24_d15e1888
einschließlich	bv_doc_id__24_d15e1890
des	bv_doc_id__24_d15e1892
wirtschaftlichen	bv_doc_id__24_d15e1895
Assoziationswesens	bv_doc_id__24_d15e1897
<g/>
;	
Justizwesen	bv_doc_id__24_d15e1901
<g/>
;	
Verwaltungestrafrecht	bv_doc_id__24_d15e1905
in	bv_doc_id__24_d15e1908
Angelegenheiten	bv_doc_id__24_d15e1910
<g/>
,	
deren	bv_doc_id__24_d15e1914
Vollziehung	bv_doc_id__24_d15e1916
dem	bv_doc_id__24_d15e1918
Bunde	bv_doc_id__24_d15e1921
zusteht	bv_doc_id__24_d15e1923
<g/>
;	
Verwaltungsgerichtsbarkeit	bv_doc_id__24_d15e1927
<g/>
;	
Urheberrecht	bv_doc_id__24_d15e1931
<g/>
;	
Pressewesen	bv_doc_id__24_d15e1936
<g/>
;	
enteignung	bv_doc_id__24_d15e1940
<g/>
,	
sowie	bv_doc_id__24_d15e1944
sie	bv_doc_id__24_d15e1947
nicht	bv_doc_id__24_d15e1949
Angelegenheiten	bv_doc_id__24_d15e1951
betrifft	bv_doc_id__24_d15e1953
<g/>
,	
die	bv_doc_id__24_d15e1957
in	bv_doc_id__24_d15e1960
den	bv_doc_id__24_d15e1962
Wirkungskreis	bv_doc_id__24_d15e1964
der	bv_doc_id__24_d15e1966
Länder	bv_doc_id__24_d15e1968
fallen	bv_doc_id__24_d15e1970
<g/>
.	
Angelegenheiten	bv_doc_id__24_d15e1975
der	bv_doc_id__24_d15e1977
NOtare	bv_doc_id__24_d15e1979
<g/>
,	
der	bv_doc_id__24_d15e1983
Rechtsanwälte	bv_doc_id__24_d15e1986
und	bv_doc_id__24_d15e1988
verwandter	bv_doc_id__24_d15e1990
Berufe	bv_doc_id__24_d15e1992
<g/>
;	
7.	bv_doc_id__24_d15e1999
Angelegenheiten	bv_doc_id__24_d15e2004
des	bv_doc_id__24_d15e2006
Erwerbes	bv_doc_id__24_d15e2008
und	bv_doc_id__24_d15e2010
der	bv_doc_id__24_d15e2012
Industrie	bv_doc_id__24_d15e2015
<g/>
;	
Bekämpfung	bv_doc_id__24_d15e2019
des	bv_doc_id__24_d15e2021
unlauteren	bv_doc_id__24_d15e2023
Wettbewerbes	bv_doc_id__24_d15e2025
<g/>
;	
Patentwesen	bv_doc_id__24_d15e2030
sowie	bv_doc_id__24_d15e2032
Marken	bv_doc_id__24_d15e2034
und	bv_doc_id__24_d15e2036
Musterschutz	bv_doc_id__24_d15e2038
<g/>
;	
Ingenieur	bv_doc_id__24_d15e2043
und	bv_doc_id__24_d15e2045
Ziviltechnikerwesen	bv_doc_id__24_d15e2047
<g/>
;	
Handels-	bv_doc_id__24_d15e2051
und	bv_doc_id__24_d15e2054
Gewerbekammern	bv_doc_id__24_d15e2056
<g/>
;	
8.	bv_doc_id__24_d15e2063
Verkehrswesen	bv_doc_id__24_d15e2068
bezüglich	bv_doc_id__24_d15e2070
der	bv_doc_id__24_d15e2072
Eisenbahnen	bv_doc_id__24_d15e2074
<g/>
,	
der	bv_doc_id__24_d15e2079
Schiffahrt	bv_doc_id__24_d15e2081
und	bv_doc_id__24_d15e2083
der	bv_doc_id__24_d15e2085
Luftschiffahrt	bv_doc_id__24_d15e2087
<g/>
;	
Angelegenheiten	bv_doc_id__24_d15e2092
der	bv_doc_id__24_d15e2094
wegen	bv_doc_id__24_d15e2096
ihrer	bv_doc_id__24_d15e2098
Bedeutung	bv_doc_id__24_d15e2100
für	bv_doc_id__24_d15e2102
den	bv_doc_id__24_d15e2105
Durchzugsverkehr	bv_doc_id__24_d15e2107
durch	bv_doc_id__24_d15e2109
Bundesgebiet	bv_doc_id__24_d15e2111
als	bv_doc_id__24_d15e2113
Bundesstrafen	bv_doc_id__24_d15e2115
erklärten	bv_doc_id__24_d15e2118
Straßenzüge	bv_doc_id__24_d15e2120
<g/>
,	
Strom	bv_doc_id__24_d15e2124
und	bv_doc_id__24_d15e2126
Schiffahrtspolizei	bv_doc_id__24_d15e2128
<g/>
;	
Post-	bv_doc_id__24_d15e2133
