<doc id="bv_doc_id__52" attrs="word lemma type">
4277	bv_doc_id__52_d41e261
Julius	bv_doc_id__52_d41e407
Tandier	bv_doc_id__52_d41e409
Von	bv_doc_id__52_d41e411
der	bv_doc_id__52_d41e413
Staatskanzlei	bv_doc_id__52_d41e415
<g/>
:	
Min	bv_doc_id__52_d41e420
<g/>
.	
Rat	bv_doc_id__52_d41e424
Dr	bv_doc_id__52_d41e426
<g/>
.	
Georg	bv_doc_id__52_d41e430
Fr	bv_doc_id__52_d41e433
oehlich	bv_doc_id__52_d41e435
Sekt	bv_doc_id__52_d41e437
<g/>
.	
Rat	bv_doc_id__52_d41e441
Dr	bv_doc_id__52_d41e443
<g/>
.	
Egbert	bv_doc_id__52_d41e448
Mannlicher	bv_doc_id__52_d41e450
Min-Vizesekretär	bv_doc_id__52_d41e452
Dr	bv_doc_id__52_d41e454
<g/>
.	
AdolI	bv_doc_id__52_d41e459
Merkl	bv_doc_id__52_d41e461
als	bv_doc_id__52_d41e463
Schrittfünrer	bv_doc_id__52_d41e465
Win	bv_doc_id__52_d41e467
<g/>
.	
Fizesekretär	bv_doc_id__52_d41e472
Dr	bv_doc_id__52_d41e474
<g/>
.	
Kurt	bv_doc_id__52_d41e478
Frieberger	bv_doc_id__52_d41e480
Vom	bv_doc_id__52_d41e482
Staatsamt	bv_doc_id__52_d41e485
für	bv_doc_id__52_d41e487
Handel	bv_doc_id__52_d41e489
und	bv_doc_id__52_d41e491
Gewerbs	bv_doc_id__52_d41e493
<g/>
,	
Induatrie	bv_doc_id__52_d41e498
und	bv_doc_id__52_d41e500
Bauten	bv_doc_id__52_d41e502
<g/>
:	
Min	bv_doc_id__52_d41e506
<g/>
.	
Rat	bv_doc_id__52_d41e511
Ingenieur	bv_doc_id__52_d41e513
Emil	bv_doc_id__52_d41e515
Gaertner	bv_doc_id__52_d41e517
Professor	bv_doc_id__52_d41e519
Dr	bv_doc_id__52_d41e521
<g/>
.	
Hans	bv_doc_id__52_d41e526
Kelsen	bv_doc_id__52_d41e528
als	bv_doc_id__52_d41e530
Pxperte	bv_doc_id__52_d41e532
des	bv_doc_id__52_d41e534
Verfassungsausschlesss	bv_doc_id__52_d41e537
<g/>
.	
-000--14	bv_doc_id__52_d41e541
2	bv_doc_id__52_d41e545
Der	bv_doc_id__52_d41e550
Jozsitzende	bv_doc_id__52_d41e552
erlangt	bv_doc_id__52_d41e554
die	bv_doc_id__52_d41e556
Zustimmung	bv_doc_id__52_d41e558
des	bv_doc_id__52_d41e561
Unterausschungea	bv_doc_id__52_d41e563
<g/>
,	
ver	bv_doc_id__52_d41e567
Eintritt	bv_doc_id__52_d41e569
in	bv_doc_id__52_d41e571
die	bv_doc_id__52_d41e574
technische	bv_doc_id__52_d41e576
Earung	bv_doc_id__52_d41e578
der	bv_doc_id__52_d41e580
Gesantentwurfes	bv_doc_id__52_d41e582
eine	bv_doc_id__52_d41e584
Bezeinigung	bv_doc_id__52_d41e587
der	bv_doc_id__52_d41e589
Kompetenzfrage	bv_doc_id__52_d41e591
bezüglich	bv_doc_id__52_d41e593
der	bv_doc_id__52_d41e595
Volksgesundheit	bv_doc_id__52_d41e597
und	bv_doc_id__52_d41e600
des	bv_doc_id__52_d41e602
Flektrizitktowesene	bv_doc_id__52_d41e604
zu	bv_doc_id__52_d41e606
versuchen	bv_doc_id__52_d41e608
und	bv_doc_id__52_d41e610
erteilt	bv_doc_id__52_d41e613
zuerst	bv_doc_id__52_d41e615
dem	bv_doc_id__52_d41e617
Unterstaatesskretär	bv_doc_id__52_d41e619
Prof	bv_doc_id__52_d41e621
<g/>
.	
Dr	bv_doc_id__52_d41e626
<g/>
.	
Zandler	bv_doc_id__52_d41e630
das	bv_doc_id__52_d41e632
Wort	bv_doc_id__52_d41e634
<g/>
.	
Nach	bv_doc_id__52_d41e639
seinem	bv_doc_id__52_d41e641
Verschlag	bv_doc_id__52_d41e643
<g/>
,	
den	bv_doc_id__52_d41e647
er	bv_doc_id__52_d41e649
ausführlich	bv_doc_id__52_d41e652
begrundet	bv_doc_id__52_d41e654
<g/>
,	
hätte	bv_doc_id__52_d41e658
Art.10,	bv_doc_id__52_d41e660
Ekt	bv_doc_id__52_d41e662
<g/>
.	
22	bv_doc_id__52_d41e667
zu	bv_doc_id__52_d41e669
lauten	bv_doc_id__52_d41e671
<g/>
:	
Gesundheits-	bv_doc_id__52_d41e675
und	bv_doc_id__52_d41e678
Vaterinärwegen	bv_doc_id__52_d41e680
<g/>
,	
jedoch	bv_doc_id__52_d41e684
mit	bv_doc_id__52_d41e686
Ausnahme	bv_doc_id__52_d41e688
der	bv_doc_id__52_d41e691
Heil-	bv_doc_id__52_d41e693
und	bv_doc_id__52_d41e695
Pflegennstalten	bv_doc_id__52_d41e697
und	bv_doc_id__52_d41e699
Amhulatorien	bv_doc_id__52_d41e701
<g/>
,	
des	bv_doc_id__52_d41e706
Kurorte-	bv_doc_id__52_d41e708
<g/>
,	
Leichen-	bv_doc_id__52_d41e712
und	bv_doc_id__52_d41e714
Bestattungewesene	bv_doc_id__52_d41e717
sowie	bv_doc_id__52_d41e719
des	bv_doc_id__52_d41e721
Gemeindesanitätedienstes	bv_doc_id__52_d41e723
und	bv_doc_id__52_d41e725
Rettungewesens	bv_doc_id__52_d41e727
<g/>
,	
unbeschadet	bv_doc_id__52_d41e732
des	bv_doc_id__52_d41e734
dem	bv_doc_id__52_d41e736
Bunde	bv_doc_id__52_d41e738
in	bv_doc_id__52_d41e740
sanitärer	bv_doc_id__52_d41e743
Einnicht	bv_doc_id__52_d41e745
zustehenden	bv_doc_id__52_d41e747
Reantee	bv_doc_id__52_d41e749
der	bv_doc_id__52_d41e751
Aufeicht	bv_doc_id__52_d41e753
über	bv_doc_id__52_d41e756
die	bv_doc_id__52_d41e758
Heil-	bv_doc_id__52_d41e760
und	bv_doc_id__52_d41e762
Pflegsanstalten	bv_doc_id__52_d41e764
<g/>
,	
Ambulatorien	bv_doc_id__52_d41e769
und	bv_doc_id__52_d41e771
Kurorte	bv_doc_id__52_d41e773
<g/>
;	
Dahrungemittelken	bv_doc_id__52_d41e777
trelle	bv_doc_id__52_d41e779
<g/>
.	
Das	bv_doc_id__52_d41e784
die	bv_doc_id__52_d41e786
Berälkerungspolltik	bv_doc_id__52_d41e788
anlangt	bv_doc_id__52_d41e790
<g/>
,	
halt	bv_doc_id__52_d41e795
er	bv_doc_id__52_d41e797
en	bv_doc_id__52_d41e799
für	bv_doc_id__52_d41e801
uewögliekein	bv_doc_id__52_d41e803
den	bv_doc_id__52_d41e805
Fandern	bv_doc_id__52_d41e808
zu	bv_doc_id__52_d41e810
überlaeen	bv_doc_id__52_d41e812
<g/>
,	
wenn	bv_doc_id__52_d41e816
man	bv_doc_id__52_d41e818
darunter	bv_doc_id__52_d41e821
die	bv_doc_id__52_d41e823
staxtliche	bv_doc_id__52_d41e825
Bewirtschaftung	bv_doc_id__52_d41e827
des	bv_doc_id__52_d41e829
orgenischen	bv_doc_id__52_d41e831
Kapltale	bv_doc_id__52_d41e834
versteht	bv_doc_id__52_d41e836
<g/>
.	
Iat	bv_doc_id__52_d41e840
aber	bv_doc_id__52_d41e842
aarunter	bv_doc_id__52_d41e844
nur	bv_doc_id__52_d41e847
Rygiene	bv_doc_id__52_d41e849
gemeint	bv_doc_id__52_d41e851
<g/>
,	
so	bv_doc_id__52_d41e855
ist	bv_doc_id__52_d41e857
der	bv_doc_id__52_d41e860
Kurdruck	bv_doc_id__52_d41e862
unrlchtig	bv_doc_id__52_d41e864
gewäalt	bv_doc_id__52_d41e866
<g/>
.	
Der	bv_doc_id__52_d41e870
Vorgitzende	bv_doc_id__52_d41e873
bevorzugt	bv_doc_id__52_d41e875
gegenüber	bv_doc_id__52_d41e877
dem	bv_doc_id__52_d41e879
Vorachlag	bv_doc_id__52_d41e881
des	bv_doc_id__52_d41e883
Vorredners	bv_doc_id__52_d41e886
einen	bv_doc_id__52_d41e888
Vorschlag	bv_doc_id__52_d41e890
der	bv_doc_id__52_d41e892
Stastekanzlei	bv_doc_id__52_d41e894
und	bv_doc_id__52_d41e896
erwähnt	bv_doc_id__52_d41e899
<g/>
,	
daß	bv_doc_id__52_d41e903
eine	bv_doc_id__52_d41e905
Vereinbarung	bv_doc_id__52_d41e907
der	bv_doc_id__52_d41e909
Fartelfdem	bv_doc_id__52_d41e912
Bunde	bv_doc_id__52_d41e914
die	bv_doc_id__52_d41e916
sanitäre	bv_doc_id__52_d41e918
Oberanfeicht	bv_doc_id__52_d41e920
über	bv_doc_id__52_d41e922
Hell-	bv_doc_id__52_d41e925
und	bv_doc_id__52_d41e927
Pflegeenstalten	bv_doc_id__52_d41e929
stz	bv_doc_id__52_d41e931
<g/>
.	
zugestanden	bv_doc_id__52_d41e935
<g/>
,	
die	bv_doc_id__52_d41e940
Bkonomiach	bv_doc_id__52_d41e942
adminietrative	bv_doc_id__52_d41e944
Leitung	bv_doc_id__52_d41e946
jedoch	bv_doc_id__52_d41e948
der	bv_doc_id__52_d41e951
Kompstenz	bv_doc_id__52_d41e953
der	bv_doc_id__52_d41e955
Länder	bv_doc_id__52_d41e957
vorbehalten	bv_doc_id__52_d41e959
babrPref	bv_doc_id__52_d41e961
<g/>
.	
Dr	bv_doc_id__52_d41e966
<g/>
.	
Beipel	bv_doc_id__52_d41e970
sicht	bv_doc_id__52_d41e972
keine	bv_doc_id__52_d41e974
Veranlassung	bv_doc_id__52_d41e977
<g/>
,	
jetzt	bv_doc_id__52_d41e981
noch	bv_doc_id__52_d41e983
Aenderungen	bv_doc_id__52_d41e985
voraunahmen	bv_doc_id__52_d41e987
<g/>
.	
Auf	bv_doc_id__52_d41e992
Vorschlag	bv_doc_id__52_d41e994
des	bv_doc_id__52_d41e996
Voreitzenden	bv_doc_id__52_d41e998
wird	bv_doc_id__52_d41e1000
der	bv_doc_id__52_d41e1003
Vorschlag	bv_doc_id__52_d41e1005
der	bv_doc_id__52_d41e1007
Stextakanzlei	bv_doc_id__52_d41e1009
mit	bv_doc_id__52_d41e1011
einer	bv_doc_id__52_d41e1013
Umezellung	bv_doc_id__52_d41e1016
im	bv_doc_id__52_d41e1018
folgenden	bv_doc_id__52_d41e1020
Nortiante	bv_doc_id__52_d41e1022
angekommen	bv_doc_id__52_d41e1024
<g/>
:	
Frt	bv_doc_id__52_d41e1029
<g/>
.	
10	bv_doc_id__52_d41e1033
<g/>
,	
Pkt	bv_doc_id__52_d41e1037
<g/>
.	
1z	bv_doc_id__52_d41e1042
<g/>
;	
Kraahrungewesen	bv_doc_id__52_d41e1046
einschließlich	bv_doc_id__52_d41e1048
der	bv_doc_id__52_d41e1050
Rahrungsmitteikontrolle	bv_doc_id__52_d41e1052
<g/>
;	
Ggrundheitswegen	bv_doc_id__52_d41e1057
mit	bv_doc_id__52_d41e1059
Ausnahme	bv_doc_id__52_d41e1061
des	bv_doc_id__52_d41e1063
Leichen-	bv_doc_id__52_d41e1065
und	bv_doc_id__52_d41e1068
Bestaltungswosens	bv_doc_id__52_d41e1070
sowie	bv_doc_id__52_d41e1072
des	bv_doc_id__52_d41e1074
Gemeindesanitätsdiensteg	bv_doc_id__52_d41e1076
und	bv_doc_id__52_d41e1078
Hazungewesene	bv_doc_id__52_d41e1081
<g/>
;	
hinsichtlich	bv_doc_id__52_d41e1085
der	bv_doc_id__52_d41e1087
Heil-	bv_doc_id__52_d41e1089
und	bv_doc_id__52_d41e1091
Eflegeangtalten	bv_doc_id__52_d41e1094
<g/>
,	
Ampule	bv_doc_id__52_d41e1098
tprien	bv_doc_id__52_d41e1100
und	bv_doc_id__52_d41e1102
der	bv_doc_id__52_d41e1104
Kurertewegeng	bv_doc_id__52_d41e1107
jedoch	bv_doc_id__52_d41e1109
nur	bv_doc_id__52_d41e1111
die	bv_doc_id__52_d41e1113
ganitäre	bv_doc_id__52_d41e1115
Aufzicht	bv_doc_id__52_d41e1117
<g/>
.	
von	bv_doc_id__52_d41e1122
einer	bv_doc_id__52_d41e1124
ausdrücklichen	bv_doc_id__52_d41e1126
Brhnung	bv_doc_id__52_d41e1128
der	bv_doc_id__52_d41e1130
Kadizinalstatistik	bv_doc_id__52_d41e1133
3	bv_doc_id__52_d41e1137
wird	bv_doc_id__52_d41e1142
abgesehen	bv_doc_id__52_d41e1144
<g/>
,	
da	bv_doc_id__52_d41e1148
zahlrgiche	bv_doc_id__52_d41e1150
Stnatsämter	bv_doc_id__52_d41e1153
gewisse	bv_doc_id__52_d41e1155
Zueize	bv_doc_id__52_d41e1157
der	bv_doc_id__52_d41e1159
Statistik	bv_doc_id__52_d41e1161
aufgenemmen	bv_doc_id__52_d41e1163
wünschen	bv_doc_id__52_d41e1166
<g/>
,	
die	bv_doc_id__52_d41e1170
wen	bv_doc_id__52_d41e1172
aber	bv_doc_id__52_d41e1174
in	bv_doc_id__52_d41e1176
Art.10,	bv_doc_id__52_d41e1179
Prt	bv_doc_id__52_d41e1181
<g/>
.	
13	bv_doc_id__52_d41e1185
1r	bv_doc_id__52_d41e1187
der	bv_doc_id__52_d41e1189
Formel	bv_doc_id__52_d41e1192
<g/>
:	
Volkszählangenssen	bv_doc_id__52_d41e1196
<g/>
,	
soale	bv_doc_id__52_d41e1200
sonstiga	bv_doc_id__52_d41e1202
Statistik	bv_doc_id__52_d41e1205
se	bv_doc_id__52_d41e1207
weit	bv_doc_id__52_d41e1209
als	bv_doc_id__52_d41e1211
nicht	bv_doc_id__52_d41e1213
nur	bv_doc_id__52_d41e1215
den	bv_doc_id__52_d41e1218
Iuterongen	bv_doc_id__52_d41e1220
eines	bv_doc_id__52_d41e1222
einzelnen	bv_doc_id__52_d41e1224
landes	bv_doc_id__52_d41e1226
dientg	bv_doc_id__52_d41e1228
ausammengefaßt	bv_doc_id__52_d41e1231
hat	bv_doc_id__52_d41e1233
werde	bv_doc_id__52_d41e1235
die	bv_doc_id__52_d41e1237
Wedtzinalstatietik	bv_doc_id__52_d41e1239
aufgenammen	bv_doc_id__52_d41e1241
<g/>
,	
so	bv_doc_id__52_d41e1246
müste	bv_doc_id__52_d41e1248
auch	bv_doc_id__52_d41e1250
sins	bv_doc_id__52_d41e1252
große	bv_doc_id__52_d41e1254
Zahl	bv_doc_id__52_d41e1257
anderer	bv_doc_id__52_d41e1259
Statistiken	bv_doc_id__52_d41e1261
in	bv_doc_id__52_d41e1263
der	bv_doc_id__52_d41e1265
Verfassung	bv_doc_id__52_d41e1267
aufgezänlt	bv_doc_id__52_d41e1270
werden	bv_doc_id__52_d41e1272
<g/>
.	
Nach	bv_doc_id__52_d41e1276
Brukhnung	bv_doc_id__52_d41e1278
der	bv_doc_id__52_d41e1280
Varhanälungen	bv_doc_id__52_d41e1283
des	bv_doc_id__52_d41e1285
Landeshauptmannetellvartreters	bv_doc_id__52_d41e1287
von	bv_doc_id__52_d41e1289
Stelermark	bv_doc_id__52_d41e1291
Dr	bv_doc_id__52_d41e1293
<g/>
.	
AhEr	bv_doc_id__52_d41e1298
und	bv_doc_id__52_d41e1300
sofnes	bv_doc_id__52_d41e1302
Zanttätsreferenten	bv_doc_id__52_d41e1304
mit	bv_doc_id__52_d41e1306
Unterstaatsxekretär	bv_doc_id__52_d41e1309
Dr	bv_doc_id__52_d41e1311
Tandier	bv_doc_id__52_d41e1313
stallen	bv_doc_id__52_d41e1315
PräEIRent	bv_doc_id__52_d41e1317
Seltz	bv_doc_id__52_d41e1319
und	bv_doc_id__52_d41e1322
Praf	bv_doc_id__52_d41e1324
<g/>
.	
Dr	bv_doc_id__52_d41e1328
<g/>
.	
Soipe1	bv_doc_id__52_d41e1332
übereinstimmend	bv_doc_id__52_d41e1335
fest	bv_doc_id__52_d41e1337
<g/>
,	
daß	bv_doc_id__52_d41e1341
bezüglich	bv_doc_id__52_d41e1343
der	bv_doc_id__52_d41e1345
Faspung	bv_doc_id__52_d41e1348
des	bv_doc_id__52_d41e1350
Art.1l,	bv_doc_id__52_d41e1352
Pkt7	bv_doc_id__52_d41e1354
keine	bv_doc_id__52_d41e1356
Parteivereaäbarungen	bv_doc_id__52_d41e1358
vorliegen	bv_doc_id__52_d41e1361
<g/>
.	
Der	bv_doc_id__52_d41e1365
Punkt	bv_doc_id__52_d41e1367
erhalt	bv_doc_id__52_d41e1369
aaf	bv_doc_id__52_d41e1371
Beschluß	bv_doc_id__52_d41e1374
des	bv_doc_id__52_d41e1376
Unterausschusses	bv_doc_id__52_d41e1378
folgende	bv_doc_id__52_d41e1380
Fasrung	bv_doc_id__52_d41e1382
<g/>
:	
Artikal	bv_doc_id__52_d41e1387
11	bv_doc_id__52_d41e1389
<g/>
,	
Puakt	bv_doc_id__52_d41e1393
V	bv_doc_id__52_d41e1395
<g/>
.	
VolkswehBunge-	bv_doc_id__52_d41e1400
und	bv_doc_id__52_d41e1402
Volkapflegestättenwasen	bv_doc_id__52_d41e1404
<g/>
,	
Mntterschafts-	bv_doc_id__52_d41e1408
<g/>
,	
3unglinge-	bv_doc_id__52_d41e1413
und	bv_doc_id__52_d41e1415
Jugendfürsorge	bv_doc_id__52_d41e1417
<g/>
,	
Heil-	bv_doc_id__52_d41e1421
und	bv_doc_id__52_d41e1423
Pfiegsenstalten	bv_doc_id__52_d41e1426
<g/>
,	
Ambulaterien	bv_doc_id__52_d41e1430
<g/>
,	
Zurerteresen	bv_doc_id__52_d41e1434
<g/>
,	
Lelchen-	bv_doc_id__52_d41e1439
und	bv_doc_id__52_d41e1441
Bestattungeresen	bv_doc_id__52_d41e1443
<g/>
,	
Heilquellen“	bv_doc_id__52_d41e1447
Der	bv_doc_id__52_d41e1449
Voreitzende	bv_doc_id__52_d41e1452
ertellt	bv_doc_id__52_d41e1454
hierauf	bv_doc_id__52_d41e1456
dem	bv_doc_id__52_d41e1458
Unterstantesskretär	bv_doc_id__52_d41e1460
iöekel	bv_doc_id__52_d41e1462
das	bv_doc_id__52_d41e1465
Wort	bv_doc_id__52_d41e1467
zur	bv_doc_id__52_d41e1469
Eretattung	bv_doc_id__52_d41e1471
eines	bv_doc_id__52_d41e1473
Vorgenlagen	bv_doc_id__52_d41e1475
für	bv_doc_id__52_d41e1478
die	bv_doc_id__52_d41e1480
Formulierung	bv_doc_id__52_d41e1482
des	bv_doc_id__52_d41e1484
Punktas	bv_doc_id__52_d41e1486
13	bv_doc_id__52_d41e1488
des	bv_doc_id__52_d41e1491
Artikels	bv_doc_id__52_d41e1493
10.	bv_doc_id__52_d41e1495
Das	bv_doc_id__52_d41e1497
Unterrichtsamt	bv_doc_id__52_d41e1499
beantragt	bv_doc_id__52_d41e1501
folgendes	bv_doc_id__52_d41e1504
im	bv_doc_id__52_d41e1506
Art.	bv_doc_id__52_d41e1508
10	bv_doc_id__52_d41e1510
aufzunehmen	bv_doc_id__52_d41e1512
<g/>
:	
schulaufsicht	bv_doc_id__52_d41e1517
und	bv_doc_id__52_d41e1519
Schulverwaltung	bv_doc_id__52_d41e1521
<g/>
.	
Gedantes	bv_doc_id__52_d41e1525
Hoskachulwesen	bv_doc_id__52_d41e1527
<g/>
;	
Lehrerbildung	bv_doc_id__52_d41e1532
<g/>
;	
Staatserziehungennstalten	bv_doc_id__52_d41e1536
<g/>
;	
Anstalten	bv_doc_id__52_d41e1540
für	bv_doc_id__52_d41e1543
Borgenkinder	bv_doc_id__52_d41e1545
<g/>
;	
pädagegisch-didaktische	bv_doc_id__52_d41e1549
Eihrichtung	bv_doc_id__52_d41e1551
sowie	bv_doc_id__52_d41e1553
Errichtung	bv_doc_id__52_d41e1556
und	bv_doc_id__52_d41e1558
Erhaltung	bv_doc_id__52_d41e1560
von	bv_doc_id__52_d41e1562
öffentlichen	bv_doc_id__52_d41e1564
mittleren	bv_doc_id__52_d41e1566
und	bv_doc_id__52_d41e1569
niederen	bv_doc_id__52_d41e1571
Lehranshalten	bv_doc_id__52_d41e1573
<g/>
.	
Einrichtung	bv_doc_id__52_d41e1577
dar	bv_doc_id__52_d41e1579
mit“	bv_doc_id__52_d41e1582
<g/>
.	
leren	bv_doc_id__52_d41e1586
und	bv_doc_id__52_d41e1588
niederen	bv_doc_id__52_d41e1590
Schulen	bv_doc_id__52_d41e1592
<g/>
,	
insbesondere	bv_doc_id__52_d41e1597
Fantsetzung	bv_doc_id__52_d41e1599
der	bv_doc_id__52_d41e1601
Lehrzleie	bv_doc_id__52_d41e1603
und	bv_doc_id__52_d41e1605
Lährpläne	bv_doc_id__52_d41e1608
<g/>
;	
Schulpflicht	bv_doc_id__52_d41e1612
<g/>
;	
Bestimmungen	bv_doc_id__52_d41e1616
über	bv_doc_id__52_d41e1618
Lehrbücher	bv_doc_id__52_d41e1621
und	bv_doc_id__52_d41e1623
Lehrmittel	bv_doc_id__52_d41e1625
<g/>
.	
Die	bv_doc_id__52_d41e1629
Zuständigkeit	bv_doc_id__52_d41e1631
der	bv_doc_id__52_d41e1634
Länder	bv_doc_id__52_d41e1636
für	bv_doc_id__52_d41e1638
die	bv_doc_id__52_d41e1640
Gesetzgebung	bv_doc_id__52_d41e1642
auf	bv_doc_id__52_d41e1644
dem	bv_doc_id__52_d41e1647
sonstigen	bv_doc_id__52_d41e1649
pädagogisch-didaktischen	bv_doc_id__52_d41e1651
Geblete	bv_doc_id__52_d41e1653
wird	bv_doc_id__52_d41e1655
durch	bv_doc_id__52_d41e1657
BundesVerfassungsgesetze	bv_doc_id__52_d41e1660
geregelt	bv_doc_id__52_d41e1662
<g/>
.	
Diehetrecht	bv_doc_id__52_d41e1666
der	bv_doc_id__52_d41e1668
Lahrer	bv_doc_id__52_d41e1670
<g/>
,	
einschließlich	bv_doc_id__52_d41e1675
des	bv_doc_id__52_d41e1677
Besoldungswesent	bv_doc_id__52_d41e1679
und	bv_doc_id__52_d41e1681
des	bv_doc_id__52_d41e1683
Dlexinlinarrechtes	bv_doc_id__52_d41e1686
<g/>
.	
Privatschulwesen	bv_doc_id__52_d41e1690
<g/>
.	
Volksbildung	bv_doc_id__52_d41e1694
<g/>
.	
Die	bv_doc_id__52_d41e1699
Zusammensetzung	bv_doc_id__52_d41e1701
den	bv_doc_id__52_d41e1703
Schalvermaltungsbe1.	bv_doc_id__52_d41e1705
106	bv_doc_id__52_d41e1707
4	bv_doc_id__52_d41e1712
hörden	bv_doc_id__52_d41e1714
und	bv_doc_id__52_d41e1716
die	bv_doc_id__52_d41e1718
Dienstheheit	bv_doc_id__52_d41e1720
über	bv_doc_id__52_d41e1722
die	bv_doc_id__52_d41e1725
Lehrerschaft	bv_doc_id__52_d41e1727
an	bv_doc_id__52_d41e1729
niederen	bv_doc_id__52_d41e1731
Lehrestalten	bv_doc_id__52_d41e1733
wird	bv_doc_id__52_d41e1735
durch	bv_doc_id__52_d41e1738
besondere	bv_doc_id__52_d41e1740
Bundes-Verfasbungsgesetze	bv_doc_id__52_d41e1742
beakimmt	bv_doc_id__52_d41e1744
<g/>
.	
Ergänzend	bv_doc_id__52_d41e1748
bemerkt	bv_doc_id__52_d41e1751
der	bv_doc_id__52_d41e1753
Veraifgende	bv_doc_id__52_d41e1755
<g/>
,	
daß	bv_doc_id__52_d41e1759
ein	bv_doc_id__52_d41e1761
Hinvernehmen	bv_doc_id__52_d41e1764
der	bv_doc_id__52_d41e1766
Parteienmur	bv_doc_id__52_d41e1768
Matgestellt	bv_doc_id__52_d41e1770
ist	bv_doc_id__52_d41e1772
über	bv_doc_id__52_d41e1774
die	bv_doc_id__52_d41e1777
Punkte	bv_doc_id__52_d41e1779
<g/>
:	
Gesamten	bv_doc_id__52_d41e1783
Hochschulwegen	bv_doc_id__52_d41e1785
<g/>
,	
Lehrerbildung	bv_doc_id__52_d41e1790
<g/>
,	
Staatkerzlehungsenstalten	bv_doc_id__52_d41e1794
und	bv_doc_id__52_d41e1796
Angkalten	bv_doc_id__52_d41e1798
für	bv_doc_id__52_d41e1800
Bergenkinder	bv_doc_id__52_d41e1803
<g/>
.	
Der	bv_doc_id__52_d41e1807
sonstige	bv_doc_id__52_d41e1809
Inhalt	bv_doc_id__52_d41e1811
des	bv_doc_id__52_d41e1813
Vorgeklagen	bv_doc_id__52_d41e1816
weicht	bv_doc_id__52_d41e1818
nach	bv_doc_id__52_d41e1820
Erklärung	bv_doc_id__52_d41e1822
Prof	bv_doc_id__52_d41e1824
<g/>
.	
Dr	bv_doc_id__52_d41e1829
<g/>
.	
Deipele	bv_doc_id__52_d41e1833
von	bv_doc_id__52_d41e1835
den	bv_doc_id__52_d41e1837
Vereinbarungen	bv_doc_id__52_d41e1839
ab	bv_doc_id__52_d41e1842
<g/>
.	
Staatssekretär	bv_doc_id__52_d41e1846
Prof	bv_doc_id__52_d41e1848
<g/>
.	
Dr	bv_doc_id__52_d41e1852
<g/>
.	
Ma	bv_doc_id__52_d41e1857
yr	bv_doc_id__52_d41e1859
stellt	bv_doc_id__52_d41e1861
ausdrücklich	bv_doc_id__52_d41e1863
fgat	bv_doc_id__52_d41e1865
<g/>
,	
daß	bv_doc_id__52_d41e1870
der	bv_doc_id__52_d41e1872
vom	bv_doc_id__52_d41e1874
Unterstaatasekretär	bv_doc_id__52_d41e1876
Oldekel	bv_doc_id__52_d41e1878
verlegene	bv_doc_id__52_d41e1881
Entwarf	bv_doc_id__52_d41e1883
nicht	bv_doc_id__52_d41e1885
von	bv_doc_id__52_d41e1887
der	bv_doc_id__52_d41e1889
