<doc id="bv_doc_id__21" attrs="word lemma type">
Fassung	bv_doc_id__21_d12e331
durch	bv_doc_id__21_d12e764
übereinstimmende	bv_doc_id__21_d12e767
Verfassungsgesetze	bv_doc_id__21_d12e769
des	bv_doc_id__21_d12e771
Bundes	bv_doc_id__21_d12e773
und	bv_doc_id__21_d12e775
jenes	bv_doc_id__21_d12e777
Landes	bv_doc_id__21_d12e780
erfolgen	bv_doc_id__21_d12e782
<g/>
,	
dessen	bv_doc_id__21_d12e786
Gebiet	bv_doc_id__21_d12e788
eine	bv_doc_id__21_d12e790
Änderung	bv_doc_id__21_d12e793
erfährt	bv_doc_id__21_d12e795
<g/>
.	
<g/>
(	
3	bv_doc_id__21_d12e806
<g/>
)	
Ein	bv_doc_id__21_d12e811
selbständiges	bv_doc_id__21_d12e813
Land	bv_doc_id__21_d12e815
Wien	bv_doc_id__21_d12e817
kann	bv_doc_id__21_d12e820
gebildet	bv_doc_id__21_d12e822
werden	bv_doc_id__21_d12e824
durch	bv_doc_id__21_d12e826
Beschluß	bv_doc_id__21_d12e828
des	bv_doc_id__21_d12e830
Wiener	bv_doc_id__21_d12e833
Gemeinderates	bv_doc_id__21_d12e835
und	bv_doc_id__21_d12e837
Neuer	bv_doc_id__21_d12e839
ein	bv_doc_id__21_d12e841
mit	bv_doc_id__21_d12e843
ihm	bv_doc_id__21_d12e846
übereinstimmendes	bv_doc_id__21_d12e848
Gesetz	bv_doc_id__21_d12e850
des	bv_doc_id__21_d12e852
Landes	bv_doc_id__21_d12e854
Niederösterreich	bv_doc_id__21_d12e856
<g/>
.	
Artikel	bv_doc_id__21_d12e861
3	bv_doc_id__21_d12e863
a	bv_doc_id__21_d12e865
<g/>
.	
<g/>
(	
1	bv_doc_id__21_d12e876
<g/>
)	
Das	bv_doc_id__21_d12e881
Bundesgebiet	bv_doc_id__21_d12e883
bildet	bv_doc_id__21_d12e885
ein	bv_doc_id__21_d12e887
einheitliches	bv_doc_id__21_d12e890
Währungs-	bv_doc_id__21_d12e892
<g/>
,	
Wirtschafts=	bv_doc_id__21_d12e896
und	bv_doc_id__21_d12e898
Zollgebiet	bv_doc_id__21_d12e900
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e913
<g/>
)	
Innerhalb	bv_doc_id__21_d12e918
der	bv_doc_id__21_d12e920
Grenzen	bv_doc_id__21_d12e922
des	bv_doc_id__21_d12e924
Bundes	bv_doc_id__21_d12e927
dürfen	bv_doc_id__21_d12e929
keinerlei	bv_doc_id__21_d12e931
Zwischenzollinien	bv_doc_id__21_d12e933
oder	bv_doc_id__21_d12e935
sonstige	bv_doc_id__21_d12e937
Verkehrsbeschränkungen	bv_doc_id__21_d12e940
errichtet	bv_doc_id__21_d12e942
werden	bv_doc_id__21_d12e944
<g/>
.	
Artikel	bv_doc_id__21_d12e948
3	bv_doc_id__21_d12e950
b	bv_doc_id__21_d12e953
<g/>
.	
Bundeshauptstadt	bv_doc_id__21_d12e957
und	bv_doc_id__21_d12e959
Sitz	bv_doc_id__21_d12e961
der	bv_doc_id__21_d12e963
obersten	bv_doc_id__21_d12e966
Organe	bv_doc_id__21_d12e968
des	bv_doc_id__21_d12e970
Bundes	bv_doc_id__21_d12e972
ist	bv_doc_id__21_d12e974
Wien	bv_doc_id__21_d12e976
<g/>
.	
Artikel	bv_doc_id__21_d12e988
4.	bv_doc_id__21_d12e990
<g/>
(	
1	bv_doc_id__21_d12e999
<g/>
)	
Für	bv_doc_id__21_d12e1004
jedes	bv_doc_id__21_d12e1006
Land	bv_doc_id__21_d12e1008
besteht	bv_doc_id__21_d12e1010
eine	bv_doc_id__21_d12e1013
Landesbürgerschaft	bv_doc_id__21_d12e1015
<g/>
.	
Die	bv_doc_id__21_d12e1019
Voraussetzungen	bv_doc_id__21_d12e1021
für	bv_doc_id__21_d12e1023
Erwerb	bv_doc_id__21_d12e1026
und	bv_doc_id__21_d12e1028
Verlust	bv_doc_id__21_d12e1030
der	bv_doc_id__21_d12e1032
jedem	bv_doc_id__21_d12e1034
Lande	bv_doc_id__21_d12e1036
gleich	bv_doc_id__21_d12e1039
und	bv_doc_id__21_d12e1041
Landesbürgerschaft	bv_doc_id__21_d12e1043
sind	bv_doc_id__21_d12e1045
in	bv_doc_id__21_d12e1047
durch	bv_doc_id__21_d12e1049
Bundesgesetz	bv_doc_id__21_d12e1052
geregelt	bv_doc_id__21_d12e1054
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e1065
<g/>
)	
Grundlegende	bv_doc_id__21_d12e1070
Voraussetzung	bv_doc_id__21_d12e1072
der	bv_doc_id__21_d12e1074
Landesbürgerschaft	bv_doc_id__21_d12e1076
ist	bv_doc_id__21_d12e1079
das	bv_doc_id__21_d12e1081
Heimatrecht	bv_doc_id__21_d12e1083
in	bv_doc_id__21_d12e1085
einer	bv_doc_id__21_d12e1087
Gemeinde	bv_doc_id__21_d12e1089
des	bv_doc_id__21_d12e1092
Landes	bv_doc_id__21_d12e1094
<g/>
.	
<g/>
(	
3	bv_doc_id__21_d12e1105
<g/>
)	
Mit	bv_doc_id__21_d12e1110
der	bv_doc_id__21_d12e1112
Landesbürgerschaft	bv_doc_id__21_d12e1114
wird	bv_doc_id__21_d12e1116
die	bv_doc_id__21_d12e1119
Bundesbürgerschaft	bv_doc_id__21_d12e1121
erworben	bv_doc_id__21_d12e1123
<g/>
.	
<g/>
(	
4	bv_doc_id__21_d12e1134
<g/>
)	
Jeder	bv_doc_id__21_d12e1139
Bundesbürger	bv_doc_id__21_d12e1141
hat	bv_doc_id__21_d12e1143
in	bv_doc_id__21_d12e1145
jedem	bv_doc_id__21_d12e1148
Lande	bv_doc_id__21_d12e1150
die	bv_doc_id__21_d12e1152
gleichen	bv_doc_id__21_d12e1154
Rechte	bv_doc_id__21_d12e1156
und	bv_doc_id__21_d12e1158
Pflichten	bv_doc_id__21_d12e1161
wie	bv_doc_id__21_d12e1163
die	bv_doc_id__21_d12e1165
Bürger	bv_doc_id__21_d12e1167
des	bv_doc_id__21_d12e1169
Landes	bv_doc_id__21_d12e1171
selbst	bv_doc_id__21_d12e1174
<g/>
.	
Artikel	bv_doc_id__21_d12e1178
4	bv_doc_id__21_d12e1180
a	bv_doc_id__21_d12e1182
<g/>
.	
Alle	bv_doc_id__21_d12e1187
Bundesbürger	bv_doc_id__21_d12e1189
sind	bv_doc_id__21_d12e1191
vor	bv_doc_id__21_d12e1193
dem	bv_doc_id__21_d12e1195
Gesetze	bv_doc_id__21_d12e1197
gleich	bv_doc_id__21_d12e1200
<g/>
.	
Vorrechte	bv_doc_id__21_d12e1204
der	bv_doc_id__21_d12e1206
Geburt	bv_doc_id__21_d12e1208
<g/>
,	
des	bv_doc_id__21_d12e1213
Geschlechtes	bv_doc_id__21_d12e1215
<g/>
,	
des	bv_doc_id__21_d12e1219
1	bv_doc_id__21_d12e1249
173	bv_doc_id__21_d12e1254
Standes	bv_doc_id__21_d12e1258
<g/>
,	
der	bv_doc_id__21_d12e1262
Klasse	bv_doc_id__21_d12e1265
und	bv_doc_id__21_d12e1267
des	bv_doc_id__21_d12e1269
Bekenntnisses	bv_doc_id__21_d12e1271
sind	bv_doc_id__21_d12e1273
ausgeschlossen	bv_doc_id__21_d12e1275
<g/>
.	
<g/>
(	
2	bv_doc_id__21_d12e1287
<g/>
)	
Den	bv_doc_id__21_d12e1292
öffentlichen	bv_doc_id__21_d12e1294
Angestellten	bv_doc_id__21_d12e1296
und	bv_doc_id__21_d12e1298
Funktionären	bv_doc_id__21_d12e1301
<g/>
,	
einschließlich	bv_doc_id__21_d12e1305
der	bv_doc_id__21_d12e1307
Angehörigen	bv_doc_id__21_d12e1309
des	bv_doc_id__21_d12e1311
Bundesheeres	bv_doc_id__21_d12e1314
<g/>
,	
die	bv_doc_id__21_d12e1318
ungeschmälerte	bv_doc_id__21_d12e1320
Ausübung	bv_doc_id__21_d12e1322
ihrer	bv_doc_id__21_d12e1324
politischen	bv_doc_id__21_d12e1327
Rechte	bv_doc_id__21_d12e1329
gewährleistet	bv_doc_id__21_d12e1331
<g/>
.	
<g/>
(	
Artikel	bv_doc_id__21_d12e1343
5	bv_doc_id__21_d12e1345
fällt	bv_doc_id__21_d12e1347
aus	bv_doc_id__21_d12e1349
<g/>
.)	
Artikel	bv_doc_id__21_d12e1360
6.	bv_doc_id__21_d12e1362
Die	bv_doc_id__21_d12e1367
deutsche	bv_doc_id__21_d12e1369
Sprache	bv_doc_id__21_d12e1371
ist	bv_doc_id__21_d12e1373
<g/>
,	
unbeschadet	bv_doc_id__21_d12e1378
der	bv_doc_id__21_d12e1380
den	bv_doc_id__21_d12e1382
sprachlichen	bv_doc_id__21_d12e1384
Minderheiten	bv_doc_id__21_d12e1386
gesetzlich	bv_doc_id__21_d12e1388
eingeräumten	bv_doc_id__21_d12e1391
Rechte	bv_doc_id__21_d12e1393
<g/>
,	
die	bv_doc_id__21_d12e1397
Staatssprache	bv_doc_id__21_d12e1399
der	bv_doc_id__21_d12e1401
Republik	bv_doc_id__21_d12e1404
<g/>
.	
Artikel	bv_doc_id__21_d12e1408
6	bv_doc_id__21_d12e1410
a	bv_doc_id__21_d12e1412
<g/>
.	
Die	bv_doc_id__21_d12e1417
allgemein	bv_doc_id__21_d12e1419
anerkannten	bv_doc_id__21_d12e1421
Regeln	bv_doc_id__21_d12e1423
des	bv_doc_id__21_d12e1425
Völkerrechtes	bv_doc_id__21_d12e1427
gelten	bv_doc_id__21_d12e1430
als	bv_doc_id__21_d12e1432
Bestandteile	bv_doc_id__21_d12e1434
des	bv_doc_id__21_d12e1436
Bundesrechtes	bv_doc_id__21_d12e1438
<g/>
.	
<g/>
(	
Artikel	bv_doc_id__21_d12e1450
7	bv_doc_id__21_d12e1452
<g/>
,	
8	bv_doc_id__21_d12e1456
und	bv_doc_id__21_d12e1459
9	bv_doc_id__21_d12e1461
fallen	bv_doc_id__21_d12e1463
aus	bv_doc_id__21_d12e1465
<g/>
.)	
Artikel	bv_doc_id__21_d12e1475
10.	bv_doc_id__21_d12e1477
Bundessache	bv_doc_id__21_d12e1482
ist	bv_doc_id__21_d12e1484
die	bv_doc_id__21_d12e1486
Gesetzgebung	bv_doc_id__21_d12e1488
und	bv_doc_id__21_d12e1490
die	bv_doc_id__21_d12e1493
Vollziehung	bv_doc_id__21_d12e1495
in	bv_doc_id__21_d12e1497
folgenden	bv_doc_id__21_d12e1499
Angelegenheiten	bv_doc_id__21_d12e1501
<g/>
:	
Bundesverfassung	bv_doc_id__21_d12e1506
<g/>
,	
insbesondere	bv_doc_id__21_d12e1510
Wahlen	bv_doc_id__21_d12e1512
zum	bv_doc_id__21_d12e1514
Nationalrat	bv_doc_id__21_d12e1516
<g/>
,	
Volksabstimmungen	bv_doc_id__21_d12e1521
<g/>
,	
die	bv_doc_id__21_d12e1525
sich	bv_doc_id__21_d12e1527
auf	bv_doc_id__21_d12e1529
das	bv_doc_id__21_d12e1532
ganze	bv_doc_id__21_d12e1534
Bundesgebiet	bv_doc_id__21_d12e1536
erstrecken	bv_doc_id__21_d12e1538
<g/>
;	
Verfassungsgerichts	bv_doc_id__21_d12e1542
barkeit	bv_doc_id__21_d12e1545
<g/>
;	
2.	bv_doc_id__21_d12e1554
auswärtige	bv_doc_id__21_d12e1557
Angelegenheiten	bv_doc_id__21_d12e1559
mit	bv_doc_id__21_d12e1561
Einschluß	bv_doc_id__21_d12e1563
der	bv_doc_id__21_d12e1566
politischen	bv_doc_id__21_d12e1568
und	bv_doc_id__21_d12e1570
wirtschaftlichen	bv_doc_id__21_d12e1572
Vertretung	bv_doc_id__21_d12e1574
gegenüber	bv_doc_id__21_d12e1576
dem	bv_doc_id__21_d12e1579
Auslande	bv_doc_id__21_d12e1581
<g/>
,	
insbesondere	bv_doc_id__21_d12e1585
Abschluß	bv_doc_id__21_d12e1587
aller	bv_doc_id__21_d12e1589
Staatsverträge	bv_doc_id__21_d12e1592
<g/>
;	
Grenzvermarkung	bv_doc_id__21_d12e1596
<g/>
;	
Regelung	bv_doc_id__21_d12e1600
des	bv_doc_id__21_d12e1602
Waren-	bv_doc_id__21_d12e1605
und	bv_doc_id__21_d12e1607
Viehverkehres	bv_doc_id__21_d12e1609
mit	bv_doc_id__21_d12e1611
dem	bv_doc_id__21_d12e1613
Auslande	bv_doc_id__21_d12e1615
<g/>
;	
Zollwesen	bv_doc_id__21_d12e1620
2	bv_doc_id__21_d12e1627
a	bv_doc_id__21_d12e1630
<g/>
.	
Staatsbürgerschaft	bv_doc_id__21_d12e1634
und	bv_doc_id__21_d12e1636
Heimatrecht	bv_doc_id__21_d12e1639
<g/>
;	
Personenstandsangelegenheiten	bv_doc_id__21_d12e1643
einschließlich	bv_doc_id__21_d12e1645
des	bv_doc_id__21_d12e1647
Matrikenwesens	bv_doc_id__21_d12e1649
und	bv_doc_id__21_d12e1652
der	bv_doc_id__21_d12e1654
Namensänderung	bv_doc_id__21_d12e1656
<g/>
;	
Paßwesen	bv_doc_id__21_d12e1660
3.	bv_doc_id__21_d12e1667
Regelung	bv_doc_id__21_d12e1670
und	bv_doc_id__21_d12e1672
Überwachung	bv_doc_id__21_d12e1674
des	bv_doc_id__21_d12e1676
Eintrittes	bv_doc_id__21_d12e1679
in	bv_doc_id__21_d12e1681
das	bv_doc_id__21_d12e1683
Bundesgebiet	bv_doc_id__21_d12e1685
und	bv_doc_id__21_d12e1687
des	bv_doc_id__21_d12e1689
Au	bv_doc_id__21_d12e1692
trittes	bv_doc_id__21_d12e1694
aus	bv_doc_id__21_d12e1696
ihm	bv_doc_id__21_d12e1698
<g/>
;	
Ein	bv_doc_id__21_d12e1702
und	bv_doc_id__21_d12e1705
Auswanderungswesen	bv_doc_id__21_d12e1707
<g/>
;	
Abschiebung	bv_doc_id__21_d12e1711
<g/>
,	
Abschaffung	bv_doc_id__21_d12e1715
<g/>
,	
Ausweisung	bv_doc_id__21_d12e1720
und	bv_doc_id__21_d12e1722
Auslieferung	bv_doc_id__21_d12e1724
aus	bv_doc_id__21_d12e1726
dem	bv_doc_id__21_d12e1728
Bundesgebiete	bv_doc_id__21_d12e1731
sowie	bv_doc_id__21_d12e1733
Durchlieferung	bv_doc_id__21_d12e1735
4.	bv_doc_id__21_d12e1743
Bundessinanzen	bv_doc_id__21_d12e1746
<g/>
,	
insbesondere	bv_doc_id__21_d12e1750
öffentliche	bv_doc_id__21_d12e1752
Abgaben	bv_doc_id__21_d12e1755
die	bv_doc_id__21_d12e1757
ausschließlich	bv_doc_id__21_d12e1759
oder	bv_doc_id__21_d12e1761
teilweise	bv_doc_id__21_d12e1763
für	bv_doc_id__21_d12e1765
den	bv_doc_id__21_d12e1768
Bund	bv_doc_id__21_d12e1770
einzuheben	bv_doc_id__21_d12e1772
sind	bv_doc_id__21_d12e1774
<g/>
;	
Monopolwesen	bv_doc_id__21_d12e1778
Maß	bv_doc_id__21_d12e1781
5.	bv_doc_id__21_d12e1788
Geld=	bv_doc_id__21_d12e1791
<g/>
,	
Kredit=	bv_doc_id__21_d12e1795
<g/>
,	
Börse=	bv_doc_id__21_d12e1800
und	bv_doc_id__21_d12e1802
Bankwesen	bv_doc_id__21_d12e1804
und	bv_doc_id__21_d12e1806
Gewichts-	bv_doc_id__21_d12e1808
<g/>
,	
Normen=	bv_doc_id__21_d12e1813
und	bv_doc_id__21_d12e1815
Punzierungswesen	bv_doc_id__21_d12e1817
6.	bv_doc_id__21_d12e1824
Zivil-	bv_doc_id__21_d12e1827
und	bv_doc_id__21_d12e1829
Strafrechtswesen	bv_doc_id__21_d12e1831
einschließlich	bv_doc_id__21_d12e1833
Verwirtschaftlichen	bv_doc_id__21_d12e1836
Assoziationswesens	bv_doc_id__21_d12e1838
<g/>
;	
Justizwesen	bv_doc_id__21_d12e1842
waltungsstrafrecht	bv_doc_id__21_d12e1844
in	bv_doc_id__21_d12e1846
Angelegenheiten	bv_doc_id__21_d12e1849
<g/>
,	
deren	bv_doc_id__21_d12e1853
Vollziehung	bv_doc_id__21_d12e1855
dem	bv_doc_id__21_d12e1857
Bunde	bv_doc_id__21_d12e1859
zusteht	bv_doc_id__21_d12e1862
<g/>
;	
Verwaltungsgerichtsbarkeit	bv_doc_id__21_d12e1866
<g/>
;	
Urheberrecht	bv_doc_id__21_d12e1870
<g/>
;	
Pressewesen	bv_doc_id__21_d12e1875
<g/>
;	
Enteignung	bv_doc_id__21_d12e1879
<g/>
,	
soweit	bv_doc_id__21_d12e1883
sie	bv_doc_id__21_d12e1885
nicht	bv_doc_id__21_d12e1888
Angelegenheiten	bv_doc_id__21_d12e1890
betrifft	bv_doc_id__21_d12e1892
<g/>
,	
die	bv_doc_id__21_d12e1896
in	bv_doc_id__21_d12e1898
den	bv_doc_id__21_d12e1901
Wirkungskreis	bv_doc_id__21_d12e1903
der	bv_doc_id__21_d12e1905
Länder	bv_doc_id__21_d12e1907
fallen	bv_doc_id__21_d12e1909
Angelegenheiten	bv_doc_id__21_d12e1911
der	bv_doc_id__21_d12e1914
Notare	bv_doc_id__21_d12e1916
<g/>
,	
der	bv_doc_id__21_d12e1920
Rechtsanwälte	bv_doc_id__21_d12e1922
und	bv_doc_id__21_d12e1924
verwandter	bv_doc_id__21_d12e1927
Berufe	bv_doc_id__21_d12e1929
6	bv_doc_id__21_d12e1936
a	bv_doc_id__21_d12e1939
<g/>
.	
Vereins=	bv_doc_id__21_d12e1943
und	bv_doc_id__21_d12e1945
Versammlungsrecht	bv_doc_id__21_d12e1948
<g/>
;	
7.	bv_doc_id__21_d12e1957
Angelegenheiten	bv_doc_id__21_d12e1960
des	bv_doc_id__21_d12e1962
Gewerbes	bv_doc_id__21_d12e1964
und	bv_doc_id__21_d12e1966
der	bv_doc_id__21_d12e1969
Industrie	bv_doc_id__21_d12e1971
Bekämpfung	bv_doc_id__21_d12e1973
des	bv_doc_id__21_d12e1975
unlauteren	bv_doc_id__21_d12e1977
Wettbewerbes	bv_doc_id__21_d12e1979
<g/>
;	
PatentIngenieur=	bv_doc_id__21_d12e1984
wesen	bv_doc_id__21_d12e1986
sowie	bv_doc_id__21_d12e1988
Marken-	bv_doc_id__21_d12e1990
und	bv_doc_id__21_d12e1992
Musterschutz	bv_doc_id__21_d12e1995
und	bv_doc_id__21_d12e1997
Ziviltechnikerwesen	bv_doc_id__21_d12e1999
<g/>
;	
Handels=	bv_doc_id__21_d12e2003
und	bv_doc_id__21_d12e2005
Gewerbekammern	bv_doc_id__21_d12e2008
8.	bv_doc_id__21_d12e2015
Verkehrswesen	bv_doc_id__21_d12e2018
bezüglich	bv_doc_id__21_d12e2020
der	bv_doc_id__21_d12e2022
Eisenbahnen	bv_doc_id__21_d12e2024
<g/>
,	
der	bv_doc_id__21_d12e2029
Schiffahrt	bv_doc_id__21_d12e2031
und	bv_doc_id__21_d12e2033
der	bv_doc_id__21_d12e2035
Luftschifffahrt	bv_doc_id__21_d12e2037
<g/>
;	
Angelegenheiten	bv_doc_id__21_d12e2042
der	bv_doc_id__21_d12e2044
wegen	bv_doc_id__21_d12e2046
ihrer	bv_doc_id__21_d12e2048
Bedeutung	bv_doc_id__21_d12e2050
für	bv_doc_id__21_d12e2053
den	bv_doc_id__21_d12e2055
Durchzugsverkehr	bv_doc_id__21_d12e2057
durch	bv_doc_id__21_d12e2059
Bundesgesetz	bv_doc_id__21_d12e2061
als	bv_doc_id__21_d12e2063
Bundesstraßen	bv_doc_id__21_d12e2066
erklärten	bv_doc_id__21_d12e2068
Straßenzüge	bv_doc_id__21_d12e2070
<g/>
;	
Strom-	bv_doc_id__21_d12e2074
und	bv_doc_id__21_d12e2076
Schiffahrtspolizei	bv_doc_id__21_d12e2079
<g/>
;	
Post-	bv_doc_id__21_d12e2083
<g/>
,	
Telegraphen-	bv_doc_id__21_d12e2087
und	bv_doc_id__21_d12e2089
Fernsprechwesen	bv_doc_id__21_d12e2092
9.	bv_doc_id__21_d12e2100
Bergwesen	bv_doc_id__21_d12e2103
<g/>
;	
Ausführung	bv_doc_id__21_d12e2107
der	bv_doc_id__21_d12e2109
Regulierung	bv_doc_id__21_d12e2112
und	bv_doc_id__21_d12e2114
Instandhaltung	bv_doc_id__21_d12e2116
der	bv_doc_id__21_d12e2118
schiffbaren	bv_doc_id__21_d12e2120
und	bv_doc_id__21_d12e2122
flößbaren	bv_doc_id__21_d12e2125
Gewässer	bv_doc_id__21_d12e2127
<g/>
,	
dann	bv_doc_id__21_d12e2131
solcher	bv_doc_id__21_d12e2133
Gewässer	bv_doc_id__21_d12e2135
<g/>
,	
welche	bv_doc_id__21_d12e2140
die	bv_doc_id__21_d12e2142
Grenze	bv_doc_id__21_d12e2144
gegen	bv_doc_id__21_d12e2146
das	bv_doc_id__21_d12e2148
Ausland	bv_doc_id__21_d12e2151
oder	bv_doc_id__21_d12e2153
zwischen	bv_doc_id__21_d12e2155
Ländern	bv_doc_id__21_d12e2157
bilden	bv_doc_id__21_d12e2159
oder	bv_doc_id__21_d12e2161
die	bv_doc_id__21_d12e2164
zwei	bv_doc_id__21_d12e2166
oder	bv_doc_id__21_d12e2168
mehrere	bv_doc_id__21_d12e2170
Länder	bv_doc_id__21_d12e2172
durchfließen	bv_doc_id__21_d12e2174
<g/>
;	
Bau	bv_doc_id__21_d12e2179
derjenigen	bv_doc_id__21_d12e2181
Wasserstraßen	bv_doc_id__21_d12e2183
<g/>
,	
die	bv_doc_id__21_d12e2187
das	bv_doc_id__21_d12e2190
Inland	bv_doc_id__21_d12e2192
mit	bv_doc_id__21_d12e2194
dem	bv_doc_id__21_d12e2196
Ausland	bv_doc_id__21_d12e2198
oder	bv_doc_id__21_d12e2200
die	bv_doc_id__21_d12e2203
mehrere	bv_doc_id__21_d12e2205
Länder	bv_doc_id__21_d12e2207
verbinden	bv_doc_id__21_d12e2209
<g/>
;	
Dampfkessel=	bv_doc_id__21_d12e2213
und	bv_doc_id__21_d12e2216
Kraftmaschinenwesen	bv_doc_id__21_d12e2218
<g/>
