<doc id="bv_doc_id__12" attrs="word lemma type">
991	bv_doc_id__12_d4e409
4.	bv_doc_id__12_d4e913
<g/>
(	
1	bv_doc_id__12_d4e922
<g/>
)	
Das	bv_doc_id__12_d4e927
Bundesgebiet	bv_doc_id__12_d4e929
bildet	bv_doc_id__12_d4e931
ein	bv_doc_id__12_d4e933
einheitliches	bv_doc_id__12_d4e936
Währungs-	bv_doc_id__12_d4e938
<g/>
,	
Wirtschafts-	bv_doc_id__12_d4e942
und	bv_doc_id__12_d4e944
Zollgebiet	bv_doc_id__12_d4e946
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e958
<g/>
)	
Innerhalb	bv_doc_id__12_d4e963
des	bv_doc_id__12_d4e965
Bundes	bv_doc_id__12_d4e967
dürfen	bv_doc_id__12_d4e969
Zwischenzolllinien	bv_doc_id__12_d4e972
oder	bv_doc_id__12_d4e974
sonstige	bv_doc_id__12_d4e976
Verkehrsbeschränkungen	bv_doc_id__12_d4e978
nicht	bv_doc_id__12_d4e980
errichtet	bv_doc_id__12_d4e982
werden	bv_doc_id__12_d4e985
<g/>
.	
Artikel	bv_doc_id__12_d4e995
5.	bv_doc_id__12_d4e997
Bundeshauptstadt	bv_doc_id__12_d4e1002
und	bv_doc_id__12_d4e1004
Sitz	bv_doc_id__12_d4e1006
der	bv_doc_id__12_d4e1008
obersten	bv_doc_id__12_d4e1010
Organe	bv_doc_id__12_d4e1013
des	bv_doc_id__12_d4e1015
Bundes	bv_doc_id__12_d4e1017
ist	bv_doc_id__12_d4e1019
Wien	bv_doc_id__12_d4e1021
<g/>
.	
Artikel	bv_doc_id__12_d4e1031
6.	bv_doc_id__12_d4e1033
<g/>
(	
1	bv_doc_id__12_d4e1042
<g/>
)	
Für	bv_doc_id__12_d4e1047
jedes	bv_doc_id__12_d4e1049
Land	bv_doc_id__12_d4e1051
besteht	bv_doc_id__12_d4e1053
eine	bv_doc_id__12_d4e1056
Landesbürgerschaft	bv_doc_id__12_d4e1058
<g/>
.	
Voraussetzungen	bv_doc_id__12_d4e1062
der	bv_doc_id__12_d4e1064
Landesbürgerschaft	bv_doc_id__12_d4e1066
ist	bv_doc_id__12_d4e1069
das	bv_doc_id__12_d4e1071
Heimatrecht	bv_doc_id__12_d4e1073
in	bv_doc_id__12_d4e1075
einer	bv_doc_id__12_d4e1077
Gemeinde	bv_doc_id__12_d4e1079
des	bv_doc_id__12_d4e1082
Landes	bv_doc_id__12_d4e1084
<g/>
.	
Die	bv_doc_id__12_d4e1088
Bedingungen	bv_doc_id__12_d4e1090
für	bv_doc_id__12_d4e1092
Erwerb	bv_doc_id__12_d4e1095
und	bv_doc_id__12_d4e1097
Verlust	bv_doc_id__12_d4e1099
der	bv_doc_id__12_d4e1101
Landesbürgerschaft	bv_doc_id__12_d4e1103
sind	bv_doc_id__12_d4e1105
in	bv_doc_id__12_d4e1108
jedem	bv_doc_id__12_d4e1110
Lande	bv_doc_id__12_d4e1112
gleich	bv_doc_id__12_d4e1114
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e1125
<g/>
)	
Mit	bv_doc_id__12_d4e1130
der	bv_doc_id__12_d4e1132
Landesbürgerschaft	bv_doc_id__12_d4e1134
wird	bv_doc_id__12_d4e1136
die	bv_doc_id__12_d4e1139
Bundesbürgerschaft	bv_doc_id__12_d4e1141
erworben	bv_doc_id__12_d4e1143
<g/>
.	
<g/>
(	
3	bv_doc_id__12_d4e1154
<g/>
)	
Jeder	bv_doc_id__12_d4e1159
Bundesbürger	bv_doc_id__12_d4e1161
hat	bv_doc_id__12_d4e1163
in	bv_doc_id__12_d4e1165
jedem	bv_doc_id__12_d4e1168
Lande	bv_doc_id__12_d4e1170
die	bv_doc_id__12_d4e1172
gleichen	bv_doc_id__12_d4e1174
Rechte	bv_doc_id__12_d4e1176
und	bv_doc_id__12_d4e1178
Pflichten	bv_doc_id__12_d4e1181
wie	bv_doc_id__12_d4e1183
die	bv_doc_id__12_d4e1185
Bürger	bv_doc_id__12_d4e1187
des	bv_doc_id__12_d4e1189
Landes	bv_doc_id__12_d4e1191
selbst	bv_doc_id__12_d4e1194
<g/>
.	
Artikel	bv_doc_id__12_d4e1204
7.	bv_doc_id__12_d4e1206
<g/>
(	
1	bv_doc_id__12_d4e1215
<g/>
)	
Alle	bv_doc_id__12_d4e1220
Bundesbürger	bv_doc_id__12_d4e1222
sind	bv_doc_id__12_d4e1224
vor	bv_doc_id__12_d4e1226
dem	bv_doc_id__12_d4e1229
Gesetze	bv_doc_id__12_d4e1231
gleich	bv_doc_id__12_d4e1233
<g/>
.	
Vorrechte	bv_doc_id__12_d4e1237
der	bv_doc_id__12_d4e1239
Geburt	bv_doc_id__12_d4e1242
<g/>
,	
des	bv_doc_id__12_d4e1246
Geschlechtes	bv_doc_id__12_d4e1248
<g/>
,	
des	bv_doc_id__12_d4e1252
Standes	bv_doc_id__12_d4e1255
<g/>
,	
der	bv_doc_id__12_d4e1259
Klasse	bv_doc_id__12_d4e1261
und	bv_doc_id__12_d4e1263
des	bv_doc_id__12_d4e1265
Bekenntnisses	bv_doc_id__12_d4e1268
sind	bv_doc_id__12_d4e1270
ausgeschlossen	bv_doc_id__12_d4e1272
<g/>
.	
<g/>
(	
2	bv_doc_id__12_d4e1283
<g/>
)	
Den	bv_doc_id__12_d4e1288
öffentlichen	bv_doc_id__12_d4e1290
Angestellten	bv_doc_id__12_d4e1292
einschließlich	bv_doc_id__12_d4e1294
der	bv_doc_id__12_d4e1297
Angehörigen	bv_doc_id__12_d4e1299
des	bv_doc_id__12_d4e1301
Bundesheeres	bv_doc_id__12_d4e1303
ist	bv_doc_id__12_d4e1305
die	bv_doc_id__12_d4e1307
ungeschmälerte	bv_doc_id__12_d4e1310
Ausübung	bv_doc_id__12_d4e1312
ihrer	bv_doc_id__12_d4e1314
politischen	bv_doc_id__12_d4e1316
Rechte	bv_doc_id__12_d4e1318
gewährleistet	bv_doc_id__12_d4e1320
<g/>
.	
Artikel	bv_doc_id__12_d4e1331
8.	bv_doc_id__12_d4e1333
Die	bv_doc_id__12_d4e1338
deutsche	bv_doc_id__12_d4e1340
Sprache	bv_doc_id__12_d4e1342
ist	bv_doc_id__12_d4e1344
<g/>
,	
unbeschadet	bv_doc_id__12_d4e1349
der	bv_doc_id__12_d4e1351
den	bv_doc_id__12_d4e1353
sprachlichen	bv_doc_id__12_d4e1355
Minderheiten	bv_doc_id__12_d4e1357
bundesgesetzlich	bv_doc_id__12_d4e1359
eingeräumten	bv_doc_id__12_d4e1362
Rechte	bv_doc_id__12_d4e1364
<g/>
,	
die	bv_doc_id__12_d4e1368
Staatssprache	bv_doc_id__12_d4e1370
der	bv_doc_id__12_d4e1372
Republik	bv_doc_id__12_d4e1375
<g/>
.	
Artikel	bv_doc_id__12_d4e1385
9.	bv_doc_id__12_d4e1387
Die	bv_doc_id__12_d4e1392
allgemein	bv_doc_id__12_d4e1394
anerkannten	bv_doc_id__12_d4e1396
Regeln	bv_doc_id__12_d4e1398
des	bv_doc_id__12_d4e1400
Völkerrechtes	bv_doc_id__12_d4e1403
gelten	bv_doc_id__12_d4e1405
als	bv_doc_id__12_d4e1407
Bestandteile	bv_doc_id__12_d4e1409
des	bv_doc_id__12_d4e1411
Bundesrechts	bv_doc_id__12_d4e1413
<g/>
.	
Artikel	bv_doc_id__12_d4e1425
10.	bv_doc_id__12_d4e1427
Bundessache	bv_doc_id__12_d4e1432
ist	bv_doc_id__12_d4e1434
die	bv_doc_id__12_d4e1436
Gesetzgebung	bv_doc_id__12_d4e1438
und	bv_doc_id__12_d4e1440
die	bv_doc_id__12_d4e1443
Vollziehung	bv_doc_id__12_d4e1445
in	bv_doc_id__12_d4e1447
folgenden	bv_doc_id__12_d4e1449
Angelegenheiten	bv_doc_id__12_d4e1451
<g/>
:	
1.	bv_doc_id__12_d4e1460
Bundesverfassung	bv_doc_id__12_d4e1465
<g/>
,	
insbesondere	bv_doc_id__12_d4e1469
Wahlen	bv_doc_id__12_d4e1471
zum	bv_doc_id__12_d4e1473
Nationalrat	bv_doc_id__12_d4e1476
<g/>
,	
Volksabstimmungen	bv_doc_id__12_d4e1480
auf	bv_doc_id__12_d4e1482
Grund	bv_doc_id__12_d4e1484
der	bv_doc_id__12_d4e1486
Bundesverfassung	bv_doc_id__12_d4e1489
<g/>
;	
Verfassungsgerichtsbarkeit	bv_doc_id__12_d4e1493
<g/>
;	
2.	bv_doc_id__12_d4e1502
äußere	bv_doc_id__12_d4e1507
Angelegenheiten	bv_doc_id__12_d4e1509
mit	bv_doc_id__12_d4e1511
Einschluß	bv_doc_id__12_d4e1513
der	bv_doc_id__12_d4e1515
politischen	bv_doc_id__12_d4e1518
und	bv_doc_id__12_d4e1520
wirtschaftlichen	bv_doc_id__12_d4e1522
Vertretung	bv_doc_id__12_d4e1524
gegenüber	bv_doc_id__12_d4e1526
dem	bv_doc_id__12_d4e1528
Auslande	bv_doc_id__12_d4e1531
<g/>
,	
insbesondere	bv_doc_id__12_d4e1535
Abschluß	bv_doc_id__12_d4e1537
aller	bv_doc_id__12_d4e1539
Staatsverträge	bv_doc_id__12_d4e1541
<g/>
;	
Grenzvermarkung	bv_doc_id__12_d4e1546
<g/>
;	
Waren-	bv_doc_id__12_d4e1550
und	bv_doc_id__12_d4e1552
Viehverkehr	bv_doc_id__12_d4e1554
mit	bv_doc_id__12_d4e1557
dem	bv_doc_id__12_d4e1559
Auslande	bv_doc_id__12_d4e1561
<g/>
;	
Zollwesen	bv_doc_id__12_d4e1565
<g/>
;	
3.	bv_doc_id__12_d4e1573
Regelung	bv_doc_id__12_d4e1578
und	bv_doc_id__12_d4e1580
Überwachung	bv_doc_id__12_d4e1582
des	bv_doc_id__12_d4e1584
Eintrittes	bv_doc_id__12_d4e1586
in	bv_doc_id__12_d4e1589
das	bv_doc_id__12_d4e1591
Bundesgebiet	bv_doc_id__12_d4e1593
und	bv_doc_id__12_d4e1595
des	bv_doc_id__12_d4e1597
Austrittes	bv_doc_id__12_d4e1599
aus	bv_doc_id__12_d4e1602
ihm	bv_doc_id__12_d4e1604
<g/>
;	
Ein-	bv_doc_id__12_d4e1608
und	bv_doc_id__12_d4e1610
Auswanderungswesen	bv_doc_id__12_d4e1612
<g/>
;	
Paßwesen	bv_doc_id__12_d4e1617
<g/>
;	
Abschiebung	bv_doc_id__12_d4e1621
<g/>
,	
Abschaffung	bv_doc_id__12_d4e1625
<g/>
,	
Ausweisung	bv_doc_id__12_d4e1630
und	bv_doc_id__12_d4e1632
Auslieferung	bv_doc_id__12_d4e1634
aus	bv_doc_id__12_d4e1636
dem	bv_doc_id__12_d4e1638
Bundesgebiete	bv_doc_id__12_d4e1641
sowie	bv_doc_id__12_d4e1643
Durchlieferung	bv_doc_id__12_d4e1645
<g/>
;	
4.	bv_doc_id__12_d4e1652
Bundesfinanzen	bv_doc_id__12_d4e1657
<g/>
,	
insbesondere	bv_doc_id__12_d4e1661
öffentliche	bv_doc_id__12_d4e1663
Abgaben	bv_doc_id__12_d4e1665
<g/>
,	
die	bv_doc_id__12_d4e1670
ausschließlich	bv_doc_id__12_d4e1672
oder	bv_doc_id__12_d4e1674
teilweise	bv_doc_id__12_d4e1676
für	bv_doc_id__12_d4e1678
den	bv_doc_id__12_d4e1681
Bund	bv_doc_id__12_d4e1683
einzuheben	bv_doc_id__12_d4e1685
sind	bv_doc_id__12_d4e1687
<g/>
;	
Monopolwesen	bv_doc_id__12_d4e1691
<g/>
;	
5.	bv_doc_id__12_d4e1699
Geld-	bv_doc_id__12_d4e1704
<g/>
,	
Kredit-	bv_doc_id__12_d4e1708
<g/>
,	
Börse-	bv_doc_id__12_d4e1712
und	bv_doc_id__12_d4e1715
Bankwesen	bv_doc_id__12_d4e1717
<g/>
;	
Maß-	bv_doc_id__12_d4e1721
und	bv_doc_id__12_d4e1723
Gewichts-	bv_doc_id__12_d4e1725
<g/>
,	
Normen-	bv_doc_id__12_d4e1730
und	bv_doc_id__12_d4e1732
Punzierungswesen	bv_doc_id__12_d4e1734
<g/>
;	
6.	bv_doc_id__12_d4e1742
Zivilrechtswesen	bv_doc_id__12_d4e1747
einschließlich	bv_doc_id__12_d4e1749
des	bv_doc_id__12_d4e1751
wirtschaftlichen	bv_doc_id__12_d4e1753
Assoziationswesens	bv_doc_id__12_d4e1755
<g/>
;	
Strafrechtswesen	bv_doc_id__12_d4e1760
mit	bv_doc_id__12_d4e1762
Ausschluß	bv_doc_id__12_d4e1764
des	bv_doc_id__12_d4e1766
Verwaltungsstrafrechtes	bv_doc_id__12_d4e1768
und	bv_doc_id__12_d4e1771
Verwaltungsstrafverfahrens	bv_doc_id__12_d4e1773
in	bv_doc_id__12_d4e1775
Angelegenheiten	bv_doc_id__12_d4e1777
<g/>
,	
die	bv_doc_id__12_d4e1781
in	bv_doc_id__12_d4e1784
den	bv_doc_id__12_d4e1786
selbständigen	bv_doc_id__12_d4e1788
Wirkungsbereich	bv_doc_id__12_d4e1790
der	bv_doc_id__12_d4e1792
Länder	bv_doc_id__12_d4e1794
fallen	bv_doc_id__12_d4e1797
<g/>
;	
Justizpflege	bv_doc_id__12_d4e1801
<g/>
;	
Verwaltungsgerichtsbarkeit	bv_doc_id__12_d4e1805
<g/>
;	
Urheberrecht	bv_doc_id__12_d4e1810
<g/>
;	
Pressewesen	bv_doc_id__12_d4e1814
<g/>
;	
Enteignung	bv_doc_id__12_d4e1818
<g/>
,	
soweit	bv_doc_id__12_d4e1823
sie	bv_doc_id__12_d4e1825
nicht	bv_doc_id__12_d4e1827
Angelegenheiten	bv_doc_id__12_d4e1829
betrifft	bv_doc_id__12_d4e1831
<g/>
,	
die	bv_doc_id__12_d4e1836
in	bv_doc_id__12_d4e1838
den	bv_doc_id__12_d4e1840
selbständigen	bv_doc_id__12_d4e1842
Wirkungsbereich	bv_doc_id__12_d4e1844
der	bv_doc_id__12_d4e1846
Länder	bv_doc_id__12_d4e1849
fallen	bv_doc_id__12_d4e1851
<g/>
;	
Angelegenheiten	bv_doc_id__12_d4e1855
der	bv_doc_id__12_d4e1857
Notare	bv_doc_id__12_d4e1859
<g/>
,	
der	bv_doc_id__12_d4e1864
Rechtsanwälte	bv_doc_id__12_d4e1866
und	bv_doc_id__12_d4e1868
verwandter	bv_doc_id__12_d4e1870
Berufe	bv_doc_id__12_d4e1872
<g/>
;	
7.	bv_doc_id__12_d4e1880
Vereins-	bv_doc_id__12_d4e1885
und	bv_doc_id__12_d4e1887
Versammlungsrecht	bv_doc_id__12_d4e1889
<g/>
;	
8.	bv_doc_id__12_d4e1896
Angelegenheiten	bv_doc_id__12_d4e1901
des	bv_doc_id__12_d4e1903
Gewerbes	bv_doc_id__12_d4e1905
und	bv_doc_id__12_d4e1907
der	bv_doc_id__12_d4e1909
Industrie	bv_doc_id__12_d4e1912
<g/>
;	
Bekämpfung	bv_doc_id__12_d4e1916
des	bv_doc_id__12_d4e1918
unlauteren	bv_doc_id__12_d4e1920
Wettbewerbes	bv_doc_id__12_d4e1922
<g/>
;	
Patentwesen	bv_doc_id__12_d4e1927
sowie	bv_doc_id__12_d4e1929
Schutz	bv_doc_id__12_d4e1931
von	bv_doc_id__12_d4e1933
Mustern	bv_doc_id__12_d4e1935
<g/>
,	
Marken	bv_doc_id__12_d4e1940
und	bv_doc_id__12_d4e1942
anderen	bv_doc_id__12_d4e1944
Warenbezeichnungen	bv_doc_id__12_d4e1946
<g/>
;	
Angelegenheiten	bv_doc_id__12_d4e1951
der	bv_doc_id__12_d4e1953
Patentanwälte	bv_doc_id__12_d4e1955
<g/>
;	
Ingenieur-	bv_doc_id__12_d4e1959
und	bv_doc_id__12_d4e1961
Ziviltechnikerwesen	bv_doc_id__12_d4e1964
<g/>
;	
Kammern	bv_doc_id__12_d4e1968
für	bv_doc_id__12_d4e1970
Handel	bv_doc_id__12_d4e1972
<g/>
,	
Gewerbe	bv_doc_id__12_d4e1977
und	bv_doc_id__12_d4e1979
Industrie	bv_doc_id__12_d4e1981
<g/>
;	
9.	bv_doc_id__12_d4e1989
Verkehrswesen	bv_doc_id__12_d4e1994
bezüglich	bv_doc_id__12_d4e1996
der	bv_doc_id__12_d4e1998
Eisenbahnen	bv_doc_id__12_d4e2000
<g/>
,	
der	bv_doc_id__12_d4e2005
Schiffahrt	bv_doc_id__12_d4e2007
und	bv_doc_id__12_d4e2009
der	bv_doc_id__12_d4e2011
Luftfahrt	bv_doc_id__12_d4e2013
<g/>
;	
Angelegenheiten	bv_doc_id__12_d4e2018
der	bv_doc_id__12_d4e2020
wegen	bv_doc_id__12_d4e2022
ihrer	bv_doc_id__12_d4e2024
Bedeutung	bv_doc_id__12_d4e2026
für	bv_doc_id__12_d4e2028
den	bv_doc_id__12_d4e2031
Durchzugsverkehr	bv_doc_id__12_d4e2033
durch	bv_doc_id__12_d4e2035
Bundesgesetz	bv_doc_id__12_d4e2037
als	bv_doc_id__12_d4e2039
Bundesstraßen	bv_doc_id__12_d4e2041
erklärten	bv_doc_id__12_d4e2044
Straßenzüge	bv_doc_id__12_d4e2046
<g/>
;	
Strom-	bv_doc_id__12_d4e2050
und	bv_doc_id__12_d4e2052
Schiffahrtspolizei	bv_doc_id__12_d4e2054
<g/>
;	
Post-	bv_doc_id__12_d4e2059
<g/>
,	
Telegraphen-	bv_doc_id__12_d4e2063
und	bv_doc_id__12_d4e2065
Fernsprechwesen	bv_doc_id__12_d4e2067
<g/>
;	
10.	bv_doc_id__12_d4e2075
Bergwesen	bv_doc_id__12_d4e2080
<g/>
;	
Regulierung	bv_doc_id__12_d4e2084
und	bv_doc_id__12_d4e2086
Instandhaltung	bv_doc_id__12_d4e2088
der	bv_doc_id__12_d4e2091
schiffbaren	bv_doc_id__12_d4e2093
und	bv_doc_id__12_d4e2095
flößbaren	bv_doc_id__12_d4e2097
Gewässer	bv_doc_id__12_d4e2099
<g/>
,	
dann	bv_doc_id__12_d4e2104
solcher	bv_doc_id__12_d4e2106
Gewässer	bv_doc_id__12_d4e2108
<g/>
,	
welche	bv_doc_id__12_d4e2112
die	bv_doc_id__12_d4e2114
Grenze	bv_doc_id__12_d4e2117
gegen	bv_doc_id__12_d4e2119
das	bv_doc_id__12_d4e2121
Ausland	bv_doc_id__12_d4e2123
oder	bv_doc_id__12_d4e2125
zwischen	bv_doc_id__12_d4e2127
Ländern	bv_doc_id__12_d4e2130
bilden	bv_doc_id__12_d4e2132
oder	bv_doc_id__12_d4e2134
die	bv_doc_id__12_d4e2136
zwei	bv_doc_id__12_d4e2138
oder	bv_doc_id__12_d4e2140
mehrere	bv_doc_id__12_d4e2143
Länder	bv_doc_id__12_d4e2145
durchfließen	bv_doc_id__12_d4e2147
<g/>
;	
Bau	bv_doc_id__12_d4e2151
und	bv_doc_id__12_d4e2153
Instandhaltung	bv_doc_id__12_d4e2156
derjenigen	bv_doc_id__12_d4e2158
Wasserstraßen	bv_doc_id__12_d4e2160
<g/>
,	
die	bv_doc_id__12_d4e2164
das	bv_doc_id__12_d4e2166
Inland	bv_doc_id__12_d4e2169
mit	bv_doc_id__12_d4e2171
dem	bv_doc_id__12_d4e2173
Ausland	bv_doc_id__12_d4e2175
oder	bv_doc_id__12_d4e2177
mehrere	bv_doc_id__12_d4e2179
Länder	bv_doc_id__12_d4e2182
verbinden	bv_doc_id__12_d4e2184
<g/>
;	
allgemeine	bv_doc_id__12_d4e2188
technische	bv_doc_id__12_d4e2190
Maßnahmen	bv_doc_id__12_d4e2192
für	bv_doc_id__12_d4e2195
die	bv_doc_id__12_d4e2197
zweckmäßige	bv_doc_id__12_d4e2199
Nutzbarmachung	bv_doc_id__12_d4e2201
der	bv_doc_id__12_d4e2203
Wasserkräfte	bv_doc_id__12_d4e2205
ausschließlich	bv_doc_id__12_d4e2208
der	bv_doc_id__12_d4e2210
landwirtschaftlichen	bv_doc_id__12_d4e2212
und	bv_doc_id__12_d4e2214
kleingewerblichen	bv_doc_id__12_d4e2216
Triebwerke	bv_doc_id__12_d4e2218
<g/>
;	
Normalisierung	bv_doc_id__12_d4e2223
und	bv_doc_id__12_d4e2225
Typisierung	bv_doc_id__12_d4e2227
elektrischer	bv_doc_id__12_d4e2229
Anlagen	bv_doc_id__12_d4e2231
und	bv_doc_id__12_d4e2234
Einrichtungen	bv_doc_id__12_d4e2236
<g/>
,	
Sicherheitsmaßnahmen	bv_doc_id__12_d4e2240
auf	bv_doc_id__12_d4e2242
diesem	bv_doc_id__12_d4e2244
Gebiete	bv_doc_id__12_d4e2247
<g/>
;	
Starkstromwegerecht	bv_doc_id__12_d4e2251
<g/>
,	
soweit	bv_doc_id__12_d4e2255
sich	bv_doc_id__12_d4e2257
die	bv_doc_id__12_d4e2260
Leitungsanlage	bv_doc_id__12_d4e2262
auf	bv_doc_id__12_d4e2264
zwei	bv_doc_id__12_d4e2266
oder	bv_doc_id__12_d4e2268
mehrere	bv_doc_id__12_d4e2270
Länder	bv_doc_id__12_d4e2273
erstreckt	bv_doc_id__12_d4e2275
<g/>
;	
Dampfkessel-	bv_doc_id__12_d4e2279
