<doc id="bv_doc_id__1" attrs="word lemma type">
Entwurf	bv_doc_id__1_d1e468
des	bv_doc_id__1_d1e694
Bundes	bv_doc_id__1_d1e696
und	bv_doc_id__1_d1e698
desjenigen	bv_doc_id__1_d1e701
Landes	bv_doc_id__1_d1e703
erfolgen	bv_doc_id__1_d1e705
<g/>
,	
dessen	bv_doc_id__1_d1e709
Gebiet	bv_doc_id__1_d1e711
eine	bv_doc_id__1_d1e714
Veränderung	bv_doc_id__1_d1e716
erfährt	bv_doc_id__1_d1e718
<g/>
.	
Art.	bv_doc_id__1_d1e729
IV	bv_doc_id__1_d1e731
<g/>
.	
Jeder	bv_doc_id__1_d1e738
Landesbürger	bv_doc_id__1_d1e740
ist	bv_doc_id__1_d1e742
Bürger	bv_doc_id__1_d1e744
des	bv_doc_id__1_d1e746
Bundes	bv_doc_id__1_d1e749
<g/>
.	
Die	bv_doc_id__1_d1e756
Landesbürgerschaft	bv_doc_id__1_d1e758
ist	bv_doc_id__1_d1e760
an	bv_doc_id__1_d1e762
die	bv_doc_id__1_d1e764
Heimatsberechtigung	bv_doc_id__1_d1e767
in	bv_doc_id__1_d1e769
der	bv_doc_id__1_d1e771
Gemeinde	bv_doc_id__1_d1e773
eines	bv_doc_id__1_d1e775
souveränen	bv_doc_id__1_d1e777
Landes	bv_doc_id__1_d1e780
gebunden	bv_doc_id__1_d1e782
<g/>
.	
Der	bv_doc_id__1_d1e789
Erwerb	bv_doc_id__1_d1e791
und	bv_doc_id__1_d1e793
Verlust	bv_doc_id__1_d1e795
der	bv_doc_id__1_d1e797
Bundesbürgerschaft	bv_doc_id__1_d1e800
wird	bv_doc_id__1_d1e802
durch	bv_doc_id__1_d1e804
ein	bv_doc_id__1_d1e806
Bundesgesetz	bv_doc_id__1_d1e808
geregelt	bv_doc_id__1_d1e810
<g/>
.	
Art.	bv_doc_id__1_d1e823
V	bv_doc_id__1_d1e825
<g/>
.	
Die	bv_doc_id__1_d1e832
souveränen	bv_doc_id__1_d1e834
Länder	bv_doc_id__1_d1e836
Niederösterreich	bv_doc_id__1_d1e838
etz	bv_doc_id__1_d1e840
<g/>
.	
übertragen	bv_doc_id__1_d1e845
dem	bv_doc_id__1_d1e847
Bunde	bv_doc_id__1_d1e849
ihre	bv_doc_id__1_d1e851
Staatsgewalt	bv_doc_id__1_d1e853
in	bv_doc_id__1_d1e856
den	bv_doc_id__1_d1e858
folgenden	bv_doc_id__1_d1e860
Angelegenheiten	bv_doc_id__1_d1e862
<g/>
:	
1.)	bv_doc_id__1_d1e870
die	bv_doc_id__1_d1e875
auswärtigen	bv_doc_id__1_d1e877
Angelegenheiten	bv_doc_id__1_d1e879
<g/>
,	
2.)	bv_doc_id__1_d1e886
das	bv_doc_id__1_d1e891
Militärwesen	bv_doc_id__1_d1e893
<g/>
,	
3.)	bv_doc_id__1_d1e900
die	bv_doc_id__1_d1e906
Sicherheitspolizei	bv_doc_id__1_d1e908
in	bv_doc_id__1_d1e910
Gemeinden	bv_doc_id__1_d1e912
bis	bv_doc_id__1_d1e914
zu....Einwohnern;	bv_doc_id__1_d1e917
die	bv_doc_id__1_d1e919
Fremdenpolizei	bv_doc_id__1_d1e921
und	bv_doc_id__1_d1e923
das	bv_doc_id__1_d1e925
Paßwesen	bv_doc_id__1_d1e927
<g/>
,	
4.)	bv_doc_id__1_d1e935
die	bv_doc_id__1_d1e940
Bundesfinanzen	bv_doc_id__1_d1e942
<g/>
,	
das	bv_doc_id__1_d1e946
Monopolwesen	bv_doc_id__1_d1e948
und	bv_doc_id__1_d1e951
die	bv_doc_id__1_d1e953
Verwaltung	bv_doc_id__1_d1e955
der	bv_doc_id__1_d1e957
Bundesbetriebe	bv_doc_id__1_d1e959
<g/>
,	
5.)	bv_doc_id__1_d1e966
das	bv_doc_id__1_d1e971
Zollwesen	bv_doc_id__1_d1e973
<g/>
,	
Geld-	bv_doc_id__1_d1e977
und	bv_doc_id__1_d1e979
Bankwesen	bv_doc_id__1_d1e982
<g/>
;	
Handel	bv_doc_id__1_d1e986
<g/>
,	
Gewerbe	bv_doc_id__1_d1e990
<g/>
,	
Industrie	bv_doc_id__1_d1e995
und	bv_doc_id__1_d1e997
Verkehr	bv_doc_id__1_d1e999
<g/>
,	
Bergwesen	bv_doc_id__1_d1e1003
<g/>
,	
6.)	bv_doc_id__1_d1e1010
Maß-	bv_doc_id__1_d1e1016
und	bv_doc_id__1_d1e1018
Gewichtwesen	bv_doc_id__1_d1e1020
<g/>
,	
Punzierungswesen	bv_doc_id__1_d1e1024
<g/>
,	
7.)	bv_doc_id__1_d1e1032
Zivil-	bv_doc_id__1_d1e1037
und	bv_doc_id__1_d1e1039
Strafjustiz	bv_doc_id__1_d1e1041
<g/>
,	
8.)	bv_doc_id__1_d1e1048
Kultus-	bv_doc_id__1_d1e1053
und	bv_doc_id__1_d1e1055
Hochschulwesen	bv_doc_id__1_d1e1057
<g/>
,	
9.)	bv_doc_id__1_d1e1064
Volksgesundheit	bv_doc_id__1_d1e1070
und	bv_doc_id__1_d1e1072
soziale	bv_doc_id__1_d1e1074
Fürsorge	bv_doc_id__1_d1e1076
<g/>
.	
In	bv_doc_id__1_d1e1083
diesen	bv_doc_id__1_d1e1085
Angelegenheiten	bv_doc_id__1_d1e1087
steht	bv_doc_id__1_d1e1089
dem	bv_doc_id__1_d1e1091
Bunde	bv_doc_id__1_d1e1093
die	bv_doc_id__1_d1e1096
Gesetzgebung	bv_doc_id__1_d1e1098
und	bv_doc_id__1_d1e1100
Vollziehung	bv_doc_id__1_d1e1102
zu	bv_doc_id__1_d1e1104
<g/>
.	
Art.	bv_doc_id__1_d1e1114
VI	bv_doc_id__1_d1e1116
<g/>
.	
Der	bv_doc_id__1_d1e1123
Gesetzgebung	bv_doc_id__1_d1e1125
des	bv_doc_id__1_d1e1127
Bundes	bv_doc_id__1_d1e1129
ist	bv_doc_id__1_d1e1131
übertragen	bv_doc_id__1_d1e1134
<g/>
:	
1.)	bv_doc_id__1_d1e1142
die	bv_doc_id__1_d1e1147
Aenderung	bv_doc_id__1_d1e1149
der	bv_doc_id__1_d1e1151
Bundesverfassung	bv_doc_id__1_d1e1153
insbesondere	bv_doc_id__1_d1e1155
auch	bv_doc_id__1_d1e1158
hinsichtlich	bv_doc_id__1_d1e1160
des	bv_doc_id__1_d1e1162
Verhältnisses	bv_doc_id__1_d1e1164
der	bv_doc_id__1_d1e1166
souveränen	bv_doc_id__1_d1e1168
Länder	bv_doc_id__1_d1e1171
zum	bv_doc_id__1_d1e1173
Bunde	bv_doc_id__1_d1e1175
<g/>
,	
2.)	bv_doc_id__1_d1e1182
die	bv_doc_id__1_d1e1187
Bestimmung	bv_doc_id__1_d1e1189
der	bv_doc_id__1_d1e1191
Art	bv_doc_id__1_d1e1193
und	bv_doc_id__1_d1e1195
des	bv_doc_id__1_d1e1198
Umfanges	bv_doc_id__1_d1e1200
des	bv_doc_id__1_d1e1202
den	bv_doc_id__1_d1e1204
Ländern	bv_doc_id__1_d1e1206
zustehenden	bv_doc_id__1_d1e1208
Rechtes	bv_doc_id__1_d1e1211
<g/>
,	
öffentliche	bv_doc_id__1_d1e1215
Abgaben	bv_doc_id__1_d1e1217
auszuschreihen	bv_doc_id__1_d1e1219
und	bv_doc_id__1_d1e1221
einzuheben	bv_doc_id__1_d1e1224
<g/>
,	
3.)	bv_doc_id__1_d1e1234
die	bv_doc_id__1_d1e1239
Regelung	bv_doc_id__1_d1e1241
des	bv_doc_id__1_d1e1243
Staatsbürger-	bv_doc_id__1_d1e1245
und	bv_doc_id__1_d1e1247
Heimatsrechtes	bv_doc_id__1_d1e1250
<g/>
,	
4.)	bv_doc_id__1_d1e1257
die	bv_doc_id__1_d1e1262
Regelung	bv_doc_id__1_d1e1264
des	bv_doc_id__1_d1e1266
Bevölkerungswesens	bv_doc_id__1_d1e1268
<g/>
,	
5.)	bv_doc_id__1_d1e1275
die	bv_doc_id__1_d1e1280
Regelung	bv_doc_id__1_d1e1282
des	bv_doc_id__1_d1e1284
Administrativverfahrens	bv_doc_id__1_d1e1286
und	bv_doc_id__1_d1e1288
die	bv_doc_id__1_d1e1291
Festsetzung	bv_doc_id__1_d1e1293
der	bv_doc_id__1_d1e1295
allgemeinen	bv_doc_id__1_d1e1297
Grundsätze	bv_doc_id__1_d1e1299
des	bv_doc_id__1_d1e1301
Verwaltungsstrafrechtes	bv_doc_id__1_d1e1304
<g/>
,	
6.)	bv_doc_id__1_d1e1312
die	bv_doc_id__1_d1e1317
Feststellung	bv_doc_id__1_d1e1319
der	bv_doc_id__1_d1e1321
Grundsätze	bv_doc_id__1_d1e1323
des	bv_doc_id__1_d1e1325
Wasser-	bv_doc_id__1_d1e1328
und	bv_doc_id__1_d1e1330
Elektrizitätsrechtes	bv_doc_id__1_d1e1332
<g/>
.	
Art.	bv_doc_id__1_d1e1344
VII	bv_doc_id__1_d1e1346
<g/>
.	
Soferne	bv_doc_id__1_d1e1353
eine	bv_doc_id__1_d1e1355
Angelegenheit	bv_doc_id__1_d1e1357
nicht	bv_doc_id__1_d1e1359
ausdrücklich	bv_doc_id__1_d1e1361
durch	bv_doc_id__1_d1e1364
die	bv_doc_id__1_d1e1366
Bundesverfassung	bv_doc_id__1_d1e1368
der	bv_doc_id__1_d1e1370
Gesetzgebung	bv_doc_id__1_d1e1372
oder	bv_doc_id__1_d1e1374
auch	bv_doc_id__1_d1e1377
der	bv_doc_id__1_d1e1379
Vollziehung	bv_doc_id__1_d1e1381
des	bv_doc_id__1_d1e1383
Bundes	bv_doc_id__1_d1e1385
übertragen	bv_doc_id__1_d1e1387
ist	bv_doc_id__1_d1e1390
<g/>
,	
verbleibt	bv_doc_id__1_d1e1394
sie	bv_doc_id__1_d1e1396
im	bv_doc_id__1_d1e1398
Geltungsbereiche	bv_doc_id__1_d1e1400
der	bv_doc_id__1_d1e1403
souveränen	bv_doc_id__1_d1e1405
Länder	bv_doc_id__1_d1e1407
<g/>
.	
Zweiter	bv_doc_id__1_d1e1418
Abschnitt	bv_doc_id__1_d1e1420
<g/>
.	
Von	bv_doc_id__1_d1e1427
der	bv_doc_id__1_d1e1429
Gesetzgebung	bv_doc_id__1_d1e1431
des	bv_doc_id__1_d1e1433
Bundes	bv_doc_id__1_d1e1435
<g/>
.	
Art.	bv_doc_id__1_d1e1445
VIII	bv_doc_id__1_d1e1447
<g/>
.	
Die	bv_doc_id__1_d1e1454
vom	bv_doc_id__1_d1e1456
ganzen	bv_doc_id__1_d1e1458
Bundesvolke	bv_doc_id__1_d1e1460
Deutschösterreichs	bv_doc_id__1_d1e1462
gewählte	bv_doc_id__1_d1e1465
Bundesversammlung	bv_doc_id__1_d1e1467
bildet	bv_doc_id__1_d1e1469
zusammen	bv_doc_id__1_d1e1471
mit	bv_doc_id__1_d1e1473
dem	bv_doc_id__1_d1e1475
von	bv_doc_id__1_d1e1478
den	bv_doc_id__1_d1e1480
Landesversammlungen	bv_doc_id__1_d1e1482
gewählten	bv_doc_id__1_d1e1484
Bundesrate	bv_doc_id__1_d1e1486
das	bv_doc_id__1_d1e1488
höchste	bv_doc_id__1_d1e1491
Organ	bv_doc_id__1_d1e1493
des	bv_doc_id__1_d1e1495
Bundes	bv_doc_id__1_d1e1497
<g/>
.	
Art.	bv_doc_id__1_d1e1509
IX	bv_doc_id__1_d1e1511
<g/>
.	
Der	bv_doc_id__1_d1e1518
Sitz	bv_doc_id__1_d1e1520
der	bv_doc_id__1_d1e1522
Bundesversammlung	bv_doc_id__1_d1e1524
sowie	bv_doc_id__1_d1e1526
des	bv_doc_id__1_d1e1529
Bundesrates	bv_doc_id__1_d1e1531
ist	bv_doc_id__1_d1e1533
die	bv_doc_id__1_d1e1535
Bundeshauptstadt	bv_doc_id__1_d1e1537
Wien	bv_doc_id__1_d1e1539
<g/>
.	
Art.	bv_doc_id__1_d1e1550
X	bv_doc_id__1_d1e1552
<g/>
.	
Der	bv_doc_id__1_d1e1559
Bundesversammlung	bv_doc_id__1_d1e1561
obliegt	bv_doc_id__1_d1e1563
im	bv_doc_id__1_d1e1565
Zusammenwirken	bv_doc_id__1_d1e1567
mit	bv_doc_id__1_d1e1570
dem	bv_doc_id__1_d1e1572
Bundesrate	bv_doc_id__1_d1e1574
die	bv_doc_id__1_d1e1576
Gesetzgebung	bv_doc_id__1_d1e1578
des	bv_doc_id__1_d1e1580
Bundes	bv_doc_id__1_d1e1583
<g/>
.	
Die	bv_doc_id__1_d1e1590
Bundesversammlung	bv_doc_id__1_d1e1592
allein	bv_doc_id__1_d1e1594
hat	bv_doc_id__1_d1e1596
das	bv_doc_id__1_d1e1598
Recht	bv_doc_id__1_d1e1601
Krieg	bv_doc_id__1_d1e1603
zu	bv_doc_id__1_d1e1605
erklären	bv_doc_id__1_d1e1607
und	bv_doc_id__1_d1e1609
Friedensverträge	bv_doc_id__1_d1e1611
zu	bv_doc_id__1_d1e1614
genehmigen	bv_doc_id__1_d1e1616
<g/>
.	
Ein	bv_doc_id__1_d1e1620
solcher	bv_doc_id__1_d1e1622
Beschluß	bv_doc_id__1_d1e1624
bedarf	bv_doc_id__1_d1e1627
auch	bv_doc_id__1_d1e1629
der	bv_doc_id__1_d1e1631
Genehmigung	bv_doc_id__1_d1e1633
des	bv_doc_id__1_d1e1635
Bundesrates	bv_doc_id__1_d1e1637
<g/>
.	
Staatsverträge	bv_doc_id__1_d1e1645
bedürfen	bv_doc_id__1_d1e1647
zu	bv_doc_id__1_d1e1649
ihrer	bv_doc_id__1_d1e1651
Gültigkeit	bv_doc_id__1_d1e1653
der	bv_doc_id__1_d1e1656
Genehmigung	bv_doc_id__1_d1e1658
durch	bv_doc_id__1_d1e1660
die	bv_doc_id__1_d1e1662
Bundesversammlung	bv_doc_id__1_d1e1664
und	bv_doc_id__1_d1e1666
den	bv_doc_id__1_d1e1669
Bundesrat	bv_doc_id__1_d1e1671
<g/>
.	
Nur	bv_doc_id__1_d1e1678
Verwaltungsverträge	bv_doc_id__1_d1e1680
geringerer	bv_doc_id__1_d1e1682
Bedeutung	bv_doc_id__1_d1e1684
<g/>
(	
Regierungsübereinkommen	bv_doc_id__1_d1e1689
<g/>
)	
hat	bv_doc_id__1_d1e1693
lediglich	bv_doc_id__1_d1e1695
die	bv_doc_id__1_d1e1697
Bundesregierung	bv_doc_id__1_d1e1699
zu	bv_doc_id__1_d1e1702
genehmigen	bv_doc_id__1_d1e1704
<g/>
.	
Art.	bv_doc_id__1_d1e1715
XI	bv_doc_id__1_d1e1717
<g/>
.	
Der	bv_doc_id__1_d1e1724
Bundesversammlung	bv_doc_id__1_d1e1726
obliegt	bv_doc_id__1_d1e1728
die	bv_doc_id__1_d1e1730
jährliche	bv_doc_id__1_d1e1732
Bewilligung	bv_doc_id__1_d1e1735
des	bv_doc_id__1_d1e1737
Bundesbudgets	bv_doc_id__1_d1e1739
<g/>
,	
die	bv_doc_id__1_d1e1743
Aufnahme	bv_doc_id__1_d1e1745
und	bv_doc_id__1_d1e1748
Konvertierung	bv_doc_id__1_d1e1750
von	bv_doc_id__1_d1e1752
Bundesanleihen	bv_doc_id__1_d1e1754
und	bv_doc_id__1_d1e1756
die	bv_doc_id__1_d1e1758
Erteilung	bv_doc_id__1_d1e1761
des	bv_doc_id__1_d1e1763
Absolutoriums	bv_doc_id__1_d1e1765
an	bv_doc_id__1_d1e1767
die	bv_doc_id__1_d1e1769
Bundesregierung	bv_doc_id__1_d1e1771
auf	bv_doc_id__1_d1e1774
Grund	bv_doc_id__1_d1e1776
des	bv_doc_id__1_d1e1778
geprüften	bv_doc_id__1_d1e1780
und	bv_doc_id__1_d1e1782
gebilligten	bv_doc_id__1_d1e1784
Bundesrechnungsabschlusses	bv_doc_id__1_d1e1787
(Art.	bv_doc_id__1_d1e1789
XCIX	bv_doc_id__1_d1e1791
<g/>
).	
Diese	bv_doc_id__1_d1e1798
Beschlüsse	bv_doc_id__1_d1e1800
bedürfen	bv_doc_id__1_d1e1802
der	bv_doc_id__1_d1e1804
Genehmigung	bv_doc_id__1_d1e1806
des	bv_doc_id__1_d1e1809
Bundesrates	bv_doc_id__1_d1e1811
<g/>
.	
Art.	bv_doc_id__1_d1e1821
XII	bv_doc_id__1_d1e1823
<g/>
.	
Zur	bv_doc_id__1_d1e1830
Bundesversammlung	bv_doc_id__1_d1e1832
werden	bv_doc_id__1_d1e1834
in	bv_doc_id__1_d1e1836
dem	bv_doc_id__1_d1e1838
gesamten	bv_doc_id__1_d1e1845
Bundesgebiet...	bv_doc_id__1_d1e1847
Abgeordnete	bv_doc_id__1_d1e1849
auf	bv_doc_id__1_d1e1851
Grund	bv_doc_id__1_d1e1853
des	bv_doc_id__1_d1e1856
gleichen	bv_doc_id__1_d1e1858
<g/>
,	
direkten	bv_doc_id__1_d1e1862
persönlichen	bv_doc_id__1_d1e1864
und	bv_doc_id__1_d1e1866
geheimen	bv_doc_id__1_d1e1869
Wahlrechtes	bv_doc_id__1_d1e1871
aller	bv_doc_id__1_d1e1873
Bundesbürger	bv_doc_id__1_d1e1875
ohne	bv_doc_id__1_d1e1877
Unterschied	bv_doc_id__1_d1e1879
des	bv_doc_id__1_d1e1882
Geschlechtes	bv_doc_id__1_d1e1884
<g/>
,	
die	bv_doc_id__1_d1e1888
am	bv_doc_id__1_d1e1890
1.	bv_doc_id__1_d1e1892
Jänner	bv_doc_id__1_d1e1895
d	bv_doc_id__1_d1e1897
<g/>
.	
J	bv_doc_id__1_d1e1901
<g/>
.,	
in	bv_doc_id__1_d1e1905
welchem	bv_doc_id__1_d1e1908
die	bv_doc_id__1_d1e1910
Wahl	bv_doc_id__1_d1e1912
stattfindet	bv_doc_id__1_d1e1914
das	bv_doc_id__1_d1e1916
20.	bv_doc_id__1_d1e1918
Lebensjahr	bv_doc_id__1_d1e1921
überschritten	bv_doc_id__1_d1e1923
haben	bv_doc_id__1_d1e1925
<g/>
,	
nach	bv_doc_id__1_d1e1929
dem	bv_doc_id__1_d1e1931
System	bv_doc_id__1_d1e1934
der	bv_doc_id__1_d1e1936
Verhältniswahl	bv_doc_id__1_d1e1938
gewählt	bv_doc_id__1_d1e1940
<g/>
.	
Wählbar	bv_doc_id__1_d1e1947
ist	bv_doc_id__1_d1e1949
ohne	bv_doc_id__1_d1e1951
Unterschied	bv_doc_id__1_d1e1953
des	bv_doc_id__1_d1e1955
Geschlechtes	bv_doc_id__1_d1e1958
jeder	bv_doc_id__1_d1e1960
wahlberechtigte	bv_doc_id__1_d1e1962
Bundesbürger	bv_doc_id__1_d1e1964
<g/>
,	
der	bv_doc_id__1_d1e1968
vor	bv_doc_id__1_d1e1971
dem	bv_doc_id__1_d1e1973
1.	bv_doc_id__1_d1e1975
Jänner	bv_doc_id__1_d1e1977
des	bv_doc_id__1_d1e1979
Jahres	bv_doc_id__1_d1e1981
<g/>
,	
in	bv_doc_id__1_d1e1986
welchem	bv_doc_id__1_d1e1988
die	bv_doc_id__1_d1e1990
Wahl	bv_doc_id__1_d1e1992
zur	bv_doc_id__1_d1e1994
Bundesversammlung	bv_doc_id__1_d1e1997
stattfindet	bv_doc_id__1_d1e1999
<g/>
,	
das	bv_doc_id__1_d1e2003
29.	bv_doc_id__1_d1e2005
LebensJahr	bv_doc_id__1_d1e2007
überschritten	bv_doc_id__1_d1e2010
hat	bv_doc_id__1_d1e2012
<g/>
.	
Vom	bv_doc_id__1_d1e2020
Wahlrecht	bv_doc_id__1_d1e2022
und	bv_doc_id__1_d1e2024
der	bv_doc_id__1_d1e2026
Wählbarkeit	bv_doc_id__1_d1e2028
sind	bv_doc_id__1_d1e2031
ausgeschlossen:.......	bv_doc_id__1_d1e2033
Die	bv_doc_id__1_d1e2038
Wahlordnung	bv_doc_id__1_d1e2040
für	bv_doc_id__1_d1e2042
die	bv_doc_id__1_d1e2044
Wahl	bv_doc_id__1_d1e2046
zur	bv_doc_id__1_d1e2049
Bundesversammlung	bv_doc_id__1_d1e2051
wird	bv_doc_id__1_d1e2053
in	bv_doc_id__1_d1e2055
einem	bv_doc_id__1_d1e2057
besonderen	bv_doc_id__1_d1e2059
Gesetze	bv_doc_id__1_d1e2062
erlassen	bv_doc_id__1_d1e2064
<g/>
.	
Sie	bv_doc_id__1_d1e2068
bildet	bv_doc_id__1_d1e2070
einen	bv_doc_id__1_d1e2072
Bestandteil	bv_doc_id__1_d1e2075
der	bv_doc_id__1_d1e2077
Bundesverfassung	bv_doc_id__1_d1e2079
<g/>
.	
Art.	bv_doc_id__1_d1e2089
XIII	bv_doc_id__1_d1e2091
<g/>
.	
Die	bv_doc_id__1_d1e2098
Legislaturperiode	bv_doc_id__1_d1e2100
der	bv_doc_id__1_d1e2102
Bundesversammlung	bv_doc_id__1_d1e2104
beträgt...	bv_doc_id__1_d1e2106
Jahre	bv_doc_id__1_d1e2109
vom	bv_doc_id__1_d1e2111
Tage	bv_doc_id__1_d1e2113
ihrer	bv_doc_id__1_d1e2115
ersten	bv_doc_id__1_d1e2117
Einberufung	bv_doc_id__1_d1e2119
an	bv_doc_id__1_d1e2122
gerechnet	bv_doc_id__1_d1e2124
<g/>
.	
Die	bv_doc_id__1_d1e2131
Bundesversammlung	bv_doc_id__1_d1e2133
ist	bv_doc_id__1_d1e2135
alljährlich	bv_doc_id__1_d1e2137
vom	bv_doc_id__1_d1e2139
Bundespräsidenten	bv_doc_id__1_d1e2142
u	bv_doc_id__1_d1e2144
<g/>
.	
zw	bv_doc_id__1_d1e2148
<g/>
.	
im	bv_doc_id__1_d1e2152
........einzuberufen.	bv_doc_id__1_d1e2155
Eine	bv_doc_id__1_d1e2160
Sitzungsperiode	bv_doc_id__1_d1e2162
der	bv_doc_id__1_d1e2164
Bundesversammlung	bv_doc_id__1_d1e2166
darf	bv_doc_id__1_d1e2168
nicht	bv_doc_id__1_d1e2171
länger	bv_doc_id__1_d1e2173
als	bv_doc_id__1_d1e2175
ein	bv_doc_id__1_d1e2177
Jahr	bv_doc_id__1_d1e2179
betragen	bv_doc_id__1_d1e2181
<g/>
.	
Art.	bv_doc_id__1_d1e2192
XIV	bv_doc_id__1_d1e2194
<g/>
.	
Während	bv_doc_id__1_d1e2201
der	bv_doc_id__1_d1e2203
Sitzungsperiode	bv_doc_id__1_d1e2205
kann	bv_doc_id__1_d1e2207
die	bv_doc_id__1_d1e2209
Bundesversammlung	bv_doc_id__1_d1e2212
durch	bv_doc_id__1_d1e2214
einen	bv_doc_id__1_d1e2216
Be-	bv_doc_id__1_d1e2218
schluß	bv_doc_id__1_d1e2225
des	bv_doc_id__1_d1e2227
Hauses	bv_doc_id__1_d1e2229
oder	bv_doc_id__1_d1e2231
über	bv_doc_id__1_d1e2233
Vorschlag	bv_doc_id__1_d1e2236
der	bv_doc_id__1_d1e2238
Bundesregierung	bv_doc_id__1_d1e2240
durch	bv_doc_id__1_d1e2242
den	bv_doc_id__1_d1e2244
Bundespräsidenten	bv_doc_id__1_d1e2246
vertagt	bv_doc_id__1_d1e2249
werden	bv_doc_id__1_d1e2251
<g/>
.	
Die	bv_doc_id__1_d1e2258
Vertagung	bv_doc_id__1_d1e2260
ist	bv_doc_id__1_d1e2262
aufzuheben	bv_doc_id__1_d1e2264
<g/>
,	
wenn	bv_doc_id__1_d1e2269
wenigstens	bv_doc_id__1_d1e2271
50	bv_doc_id__1_d1e2273
Mitglieder	bv_doc_id__1_d1e2275
der	bv_doc_id__1_d1e2277
Bundesversammlung	bv_doc_id__1_d1e2279
einen	bv_doc_id__1_d1e2282
schriftlichen	bv_doc_id__1_d1e2284
Antrag	bv_doc_id__1_d1e2286
beim	bv_doc_id__1_d1e2288
Präsidenten	bv_doc_id__1_d1e2290
der	bv_doc_id__1_d1e2292
Bundesversammlung	bv_doc_id__1_d1e2295
gestellt	bv_doc_id__1_d1e2297
haben	bv_doc_id__1_d1e2299
<g/>
.	
Der	bv_doc_id__1_d1e2303
Präsident	bv_doc_id__1_d1e2305
der	bv_doc_id__1_d1e2308
Bundesversammlung	bv_doc_id__1_d1e2310
hat	bv_doc_id__1_d1e2312
von	bv_doc_id__1_d1e2314
dem	bv_doc_id__1_d1e2316
erfolgten	bv_doc_id__1_d1e2318
Antrag	bv_doc_id__1_d1e2321
den	bv_doc_id__1_d1e2323
Bundespräsidenten	bv_doc_id__1_d1e2325
im	bv_doc_id__1_d1e2327
Wege	bv_doc_id__1_d1e2329
der	bv_doc_id__1_d1e2331
Bundesregierung	bv_doc_id__1_d1e2334
zu	bv_doc_id__1_d1e2336
verständigen	bv_doc_id__1_d1e2338
<g/>
.	
Art.	bv_doc_id__1_d1e2348
XV	bv_doc_id__1_d1e2350
<g/>
.	
Ueber	bv_doc_id__1_d1e2357
Antrag	bv_doc_id__1_d1e2359
der	bv_doc_id__1_d1e2361
