<doc id="bv_doc_id__4" attrs="word lemma type">
Erster	bv_doc_id__4_d29e427
Kultus	bv_doc_id__4_d29e1029
<g/>
-	
und	bv_doc_id__4_d29e1033
Hochschulwesen	bv_doc_id__4_d29e1035
<g/>
,	
9./	bv_doc_id__4_d29e1042
Volksgesundheit	bv_doc_id__4_d29e1047
und	bv_doc_id__4_d29e1049
soziale	bv_doc_id__4_d29e1051
Für	bv_doc_id__4_d29e1053
sorge	bv_doc_id__4_d29e1055
<g/>
.	
In	bv_doc_id__4_d29e1060
diesen	bv_doc_id__4_d29e1062
Angelegenheiten	bv_doc_id__4_d29e1064
steht	bv_doc_id__4_d29e1066
dem	bv_doc_id__4_d29e1068
Bunde	bv_doc_id__4_d29e1071
die	bv_doc_id__4_d29e1073
Gesetzgebung	bv_doc_id__4_d29e1075
und	bv_doc_id__4_d29e1077
Vollziehung	bv_doc_id__4_d29e1079
zu	bv_doc_id__4_d29e1081
<g/>
.	
Art.	bv_doc_id__4_d29e1094
VI	bv_doc_id__4_d29e1096
<g/>
.	
Der	bv_doc_id__4_d29e1103
Gesetzgebung	bv_doc_id__4_d29e1105
des	bv_doc_id__4_d29e1107
Bundes	bv_doc_id__4_d29e1109
ist	bv_doc_id__4_d29e1111
übertragen	bv_doc_id__4_d29e1114
<g/>
:	
1./	bv_doc_id__4_d29e1122
die	bv_doc_id__4_d29e1127
Aenderung	bv_doc_id__4_d29e1129
der	bv_doc_id__4_d29e1131
Bundesverfassung	bv_doc_id__4_d29e1133
insbesondere	bv_doc_id__4_d29e1135
auch	bv_doc_id__4_d29e1138
hinsichtlich	bv_doc_id__4_d29e1140
des	bv_doc_id__4_d29e1142
Verhältnisses	bv_doc_id__4_d29e1144
der	bv_doc_id__4_d29e1146
souveränen	bv_doc_id__4_d29e1148
Länder	bv_doc_id__4_d29e1151
zum	bv_doc_id__4_d29e1153
Bunde	bv_doc_id__4_d29e1155
<g/>
,	
2./	bv_doc_id__4_d29e1162
die	bv_doc_id__4_d29e1167
Bestimmung	bv_doc_id__4_d29e1169
der	bv_doc_id__4_d29e1171
Art	bv_doc_id__4_d29e1173
und	bv_doc_id__4_d29e1175
des	bv_doc_id__4_d29e1178
Umfanges	bv_doc_id__4_d29e1180
des	bv_doc_id__4_d29e1182
den	bv_doc_id__4_d29e1184
Ländern	bv_doc_id__4_d29e1186
zustehenden	bv_doc_id__4_d29e1188
Rechtes	bv_doc_id__4_d29e1191
<g/>
,	
öffentliche	bv_doc_id__4_d29e1195
Abgaben	bv_doc_id__4_d29e1197
auszuschreiben	bv_doc_id__4_d29e1199
und	bv_doc_id__4_d29e1201
einzuheben	bv_doc_id__4_d29e1204
<g/>
,	
3./	bv_doc_id__4_d29e1211
die	bv_doc_id__4_d29e1217
Regelung	bv_doc_id__4_d29e1219
des	bv_doc_id__4_d29e1221
Staatsbürger	bv_doc_id__4_d29e1223
<g/>
-	
und	bv_doc_id__4_d29e1228
Heimatsrechtes	bv_doc_id__4_d29e1230
<g/>
,	
4./	bv_doc_id__4_d29e1237
die	bv_doc_id__4_d29e1242
Regelung	bv_doc_id__4_d29e1244
des	bv_doc_id__4_d29e1246
Bevölkerungswesens	bv_doc_id__4_d29e1248
<g/>
,	
5./	bv_doc_id__4_d29e1255
die	bv_doc_id__4_d29e1260
Regelung	bv_doc_id__4_d29e1262
des	bv_doc_id__4_d29e1264
Administrativverfahrens	bv_doc_id__4_d29e1266
und	bv_doc_id__4_d29e1268
die	bv_doc_id__4_d29e1271
Festsetzung	bv_doc_id__4_d29e1273
der	bv_doc_id__4_d29e1275
allgemeinen	bv_doc_id__4_d29e1277
Grundsätze	bv_doc_id__4_d29e1279
des	bv_doc_id__4_d29e1281
Verwaltungsstrafverfahrens	bv_doc_id__4_d29e1284
<g/>
,	
6./	bv_doc_id__4_d29e1294
die	bv_doc_id__4_d29e1299
Feststellung	bv_doc_id__4_d29e1301
der	bv_doc_id__4_d29e1303
Grundsätze	bv_doc_id__4_d29e1305
des	bv_doc_id__4_d29e1307
Wasser	bv_doc_id__4_d29e1310
<g/>
-	
und	bv_doc_id__4_d29e1314
Elektrizitätsrechtes	bv_doc_id__4_d29e1316
<g/>
.	
Art.	bv_doc_id__4_d29e1328
VII	bv_doc_id__4_d29e1330
<g/>
.	
Soferne	bv_doc_id__4_d29e1337
eine	bv_doc_id__4_d29e1339
Angelegenheit	bv_doc_id__4_d29e1341
nicht	bv_doc_id__4_d29e1343
ausdrücklich	bv_doc_id__4_d29e1345
durch	bv_doc_id__4_d29e1348
die	bv_doc_id__4_d29e1350
Bundesverfassung	bv_doc_id__4_d29e1352
der	bv_doc_id__4_d29e1354
Gesetzgebung	bv_doc_id__4_d29e1356
oder	bv_doc_id__4_d29e1358
auch	bv_doc_id__4_d29e1361
der	bv_doc_id__4_d29e1363
Vollziehung	bv_doc_id__4_d29e1365
des	bv_doc_id__4_d29e1367
Bundes	bv_doc_id__4_d29e1369
übertragen	bv_doc_id__4_d29e1371
ist	bv_doc_id__4_d29e1374
<g/>
,	
verbleibt	bv_doc_id__4_d29e1378
sie	bv_doc_id__4_d29e1380
im	bv_doc_id__4_d29e1382
Geltungsbereiche	bv_doc_id__4_d29e1384
der	bv_doc_id__4_d29e1387
souveränen	bv_doc_id__4_d29e1389
Länder	bv_doc_id__4_d29e1391
<g/>
.	
Zweiter	bv_doc_id__4_d29e1402
Abschnitt	bv_doc_id__4_d29e1404
<g/>
.	
Von	bv_doc_id__4_d29e1411
der	bv_doc_id__4_d29e1413
Gesetzgebung	bv_doc_id__4_d29e1415
des	bv_doc_id__4_d29e1417
Bundes	bv_doc_id__4_d29e1419
<g/>
.	
Art.	bv_doc_id__4_d29e1429
VIII	bv_doc_id__4_d29e1431
<g/>
.	
Die	bv_doc_id__4_d29e1438
vom	bv_doc_id__4_d29e1440
ganzen	bv_doc_id__4_d29e1442
Bundesvolke	bv_doc_id__4_d29e1444
Deutschösterreichs	bv_doc_id__4_d29e1446
gewählte	bv_doc_id__4_d29e1449
Bundesversammlung	bv_doc_id__4_d29e1451
bildet	bv_doc_id__4_d29e1453
zusammen	bv_doc_id__4_d29e1455
mit	bv_doc_id__4_d29e1457
dem	bv_doc_id__4_d29e1459
von	bv_doc_id__4_d29e1462
den	bv_doc_id__4_d29e1464
Landesversammlungen	bv_doc_id__4_d29e1466
gewählten	bv_doc_id__4_d29e1468
Bundesrate	bv_doc_id__4_d29e1470
das	bv_doc_id__4_d29e1472
höchste	bv_doc_id__4_d29e1475
Organ	bv_doc_id__4_d29e1477
des	bv_doc_id__4_d29e1479
Bundes	bv_doc_id__4_d29e1481
<g/>
.	
Art.	bv_doc_id__4_d29e1491
IX	bv_doc_id__4_d29e1493
<g/>
.	
Der	bv_doc_id__4_d29e1500
Sitz	bv_doc_id__4_d29e1502
der	bv_doc_id__4_d29e1504
Bundesversammlung	bv_doc_id__4_d29e1506
sowie	bv_doc_id__4_d29e1508
des	bv_doc_id__4_d29e1511
Bundesrates	bv_doc_id__4_d29e1513
ist	bv_doc_id__4_d29e1515
die	bv_doc_id__4_d29e1517
Bundeshauptstadt	bv_doc_id__4_d29e1519
Wien	bv_doc_id__4_d29e1521
<g/>
.	
Art.	bv_doc_id__4_d29e1532
X	bv_doc_id__4_d29e1534
<g/>
.	
Der	bv_doc_id__4_d29e1541
Bundesversammlung	bv_doc_id__4_d29e1543
obliegt	bv_doc_id__4_d29e1545
im	bv_doc_id__4_d29e1547
Zusammenwirken	bv_doc_id__4_d29e1549
mit	bv_doc_id__4_d29e1552
dem	bv_doc_id__4_d29e1554
Bundesrate	bv_doc_id__4_d29e1556
die	bv_doc_id__4_d29e1558
Gesetzgebung	bv_doc_id__4_d29e1560
des	bv_doc_id__4_d29e1562
Bundes	bv_doc_id__4_d29e1565
<g/>
.	
Die	bv_doc_id__4_d29e1572
Bundesversammlung	bv_doc_id__4_d29e1574
allein	bv_doc_id__4_d29e1576
hat	bv_doc_id__4_d29e1578
das	bv_doc_id__4_d29e1580
Recht	bv_doc_id__4_d29e1583
Krieg	bv_doc_id__4_d29e1585
zu	bv_doc_id__4_d29e1587
erklären	bv_doc_id__4_d29e1589
und	bv_doc_id__4_d29e1591
Friedensverträge	bv_doc_id__4_d29e1593
zu	bv_doc_id__4_d29e1596
genehmigen	bv_doc_id__4_d29e1598
<g/>
.	
Ein	bv_doc_id__4_d29e1602
solcher	bv_doc_id__4_d29e1604
Beschluss	bv_doc_id__4_d29e1606
bedarf	bv_doc_id__4_d29e1609
auch	bv_doc_id__4_d29e1611
der	bv_doc_id__4_d29e1613
Genehmigung	bv_doc_id__4_d29e1615
des	bv_doc_id__4_d29e1617
Bundesrates	bv_doc_id__4_d29e1619
<g/>
.	
Staatsverträge	bv_doc_id__4_d29e1627
bedürfen	bv_doc_id__4_d29e1629
zu	bv_doc_id__4_d29e1631
ihrer	bv_doc_id__4_d29e1633
Gültigkeit	bv_doc_id__4_d29e1635
der	bv_doc_id__4_d29e1638
Genehmigung	bv_doc_id__4_d29e1640
durch	bv_doc_id__4_d29e1642
die	bv_doc_id__4_d29e1644
Bundesversammlung	bv_doc_id__4_d29e1646
und	bv_doc_id__4_d29e1648
den	bv_doc_id__4_d29e1651
Bundesrat	bv_doc_id__4_d29e1653
<g/>
.	
Nur	bv_doc_id__4_d29e1660
Verwaltungsverträge	bv_doc_id__4_d29e1662
geringerer	bv_doc_id__4_d29e1664
Be-	bv_doc_id__4_d29e1666
deutung	bv_doc_id__4_d29e1671
<g/>
/	
Regierungsübereinkommen	bv_doc_id__4_d29e1675
<g/>
/	
hat	bv_doc_id__4_d29e1679
lediglich	bv_doc_id__4_d29e1681
die	bv_doc_id__4_d29e1684
Bundesregierung	bv_doc_id__4_d29e1686
zu	bv_doc_id__4_d29e1688
genehmigen	bv_doc_id__4_d29e1690
<g/>
.	
Art.	bv_doc_id__4_d29e1701
XI	bv_doc_id__4_d29e1703
<g/>
.	
Der	bv_doc_id__4_d29e1710
Bundesversammlung	bv_doc_id__4_d29e1712
obliegt	bv_doc_id__4_d29e1714
die	bv_doc_id__4_d29e1716
jährliche	bv_doc_id__4_d29e1718
Bewilligung	bv_doc_id__4_d29e1721
des	bv_doc_id__4_d29e1723
Bundesbudgets	bv_doc_id__4_d29e1725
<g/>
,	
die	bv_doc_id__4_d29e1729
Aufnahme	bv_doc_id__4_d29e1731
und	bv_doc_id__4_d29e1734
Konvertierung	bv_doc_id__4_d29e1736
von	bv_doc_id__4_d29e1738
Bundesanleihen	bv_doc_id__4_d29e1740
und	bv_doc_id__4_d29e1742
die	bv_doc_id__4_d29e1744
Erteilung	bv_doc_id__4_d29e1747
des	bv_doc_id__4_d29e1749
Absolutoriums	bv_doc_id__4_d29e1751
an	bv_doc_id__4_d29e1753
die	bv_doc_id__4_d29e1755
Bundesregierung	bv_doc_id__4_d29e1757
auf	bv_doc_id__4_d29e1760
Grund	bv_doc_id__4_d29e1762
des	bv_doc_id__4_d29e1764
geprüften	bv_doc_id__4_d29e1766
und	bv_doc_id__4_d29e1768
gebilligten	bv_doc_id__4_d29e1770
Bundesrechnungsabschlusses	bv_doc_id__4_d29e1773
<g/>
/	
Art.	bv_doc_id__4_d29e1777
XCIX	bv_doc_id__4_d29e1779
<g/>
/.	
Diese	bv_doc_id__4_d29e1786
Beschlüsse	bv_doc_id__4_d29e1788
bedürfen	bv_doc_id__4_d29e1790
der	bv_doc_id__4_d29e1792
Genehmigung	bv_doc_id__4_d29e1794
des	bv_doc_id__4_d29e1797
Bundesrates	bv_doc_id__4_d29e1799
<g/>
.	
Art.	bv_doc_id__4_d29e1809
XII	bv_doc_id__4_d29e1811
<g/>
.	
Zur	bv_doc_id__4_d29e1818
Bundesversammlung	bv_doc_id__4_d29e1820
werden	bv_doc_id__4_d29e1822
in	bv_doc_id__4_d29e1824
dem	bv_doc_id__4_d29e1826
gesamten	bv_doc_id__4_d29e1829
Bundesgebiet	bv_doc_id__4_d29e1831
<g/>
.	
<g/>
.	
<g/>
.	
Abgeordnete	bv_doc_id__4_d29e1839
auf	bv_doc_id__4_d29e1842
Grund	bv_doc_id__4_d29e1844
des	bv_doc_id__4_d29e1846
gleichen	bv_doc_id__4_d29e1848
<g/>
,	
direkten	bv_doc_id__4_d29e1852
persönlichen	bv_doc_id__4_d29e1855
und	bv_doc_id__4_d29e1857
geheimen	bv_doc_id__4_d29e1859
Wahlrechtes	bv_doc_id__4_d29e1861
aller	bv_doc_id__4_d29e1863
Bundesbürger	bv_doc_id__4_d29e1865
ohne	bv_doc_id__4_d29e1868
Unterschied	bv_doc_id__4_d29e1870
des	bv_doc_id__4_d29e1872
Geschlechtes	bv_doc_id__4_d29e1874
<g/>
,	
die	bv_doc_id__4_d29e1878
am	bv_doc_id__4_d29e1881
1.	bv_doc_id__4_d29e1883
Jänner	bv_doc_id__4_d29e1885
d	bv_doc_id__4_d29e1887
<g/>
.	
J	bv_doc_id__4_d29e1891
<g/>
.,	
in	bv_doc_id__4_d29e1896
welchem	bv_doc_id__4_d29e1898
die	bv_doc_id__4_d29e1900
Wahl	bv_doc_id__4_d29e1902
statt	bv_doc_id__4_d29e1904
findet	bv_doc_id__4_d29e1907
das	bv_doc_id__4_d29e1909
20.	bv_doc_id__4_d29e1911
Lebensjahr	bv_doc_id__4_d29e1913
überschritten	bv_doc_id__4_d29e1915
haben	bv_doc_id__4_d29e1917
<g/>
,	
nach	bv_doc_id__4_d29e1922
dem	bv_doc_id__4_d29e1924
System	bv_doc_id__4_d29e1926
der	bv_doc_id__4_d29e1928
Verhältniswahl	bv_doc_id__4_d29e1930
gewählt	bv_doc_id__4_d29e1933
<g/>
.	
Wählbar	bv_doc_id__4_d29e1940
ist	bv_doc_id__4_d29e1942
ohne	bv_doc_id__4_d29e1944
Unterschied	bv_doc_id__4_d29e1946
des	bv_doc_id__4_d29e1948
Geschlechtes	bv_doc_id__4_d29e1951
jeder	bv_doc_id__4_d29e1953
wahlberechtigte	bv_doc_id__4_d29e1955
Bundesbürger	bv_doc_id__4_d29e1957
<g/>
,	
der	bv_doc_id__4_d29e1961
vor	bv_doc_id__4_d29e1964
dem	bv_doc_id__4_d29e1966
1.	bv_doc_id__4_d29e1968
Jänner	bv_doc_id__4_d29e1970
des	bv_doc_id__4_d29e1972
Jahres	bv_doc_id__4_d29e1974
<g/>
,	
in	bv_doc_id__4_d29e1979
welchem	bv_doc_id__4_d29e1981
die	bv_doc_id__4_d29e1983
Wahl	bv_doc_id__4_d29e1985
zur	bv_doc_id__4_d29e1987
Bundesversammlung	bv_doc_id__4_d29e1990
stattfindet	bv_doc_id__4_d29e1992
<g/>
,	
das	bv_doc_id__4_d29e1996
29.	bv_doc_id__4_d29e1998
Lebensjahr	bv_doc_id__4_d29e2000
überschritten	bv_doc_id__4_d29e2003
hat	bv_doc_id__4_d29e2005
<g/>
.	
Vom	bv_doc_id__4_d29e2012
Wahlrecht	bv_doc_id__4_d29e2014
und	bv_doc_id__4_d29e2016
der	bv_doc_id__4_d29e2018
Wählbarkeit	bv_doc_id__4_d29e2020
sind	bv_doc_id__4_d29e2023
ausgeschlossen	bv_doc_id__4_d29e2025
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Die	bv_doc_id__4_d29e2043
Wahlordnung	bv_doc_id__4_d29e2045
für	bv_doc_id__4_d29e2047
die	bv_doc_id__4_d29e2049
Wahl	bv_doc_id__4_d29e2051
zur	bv_doc_id__4_d29e2054
Bundesversammlung	bv_doc_id__4_d29e2056
wird	bv_doc_id__4_d29e2058
in	bv_doc_id__4_d29e2060
einem	bv_doc_id__4_d29e2062
besonderen	bv_doc_id__4_d29e2064
Gesetze	bv_doc_id__4_d29e2067
erlassen	bv_doc_id__4_d29e2069
<g/>
.	
Sie	bv_doc_id__4_d29e2073
bildet	bv_doc_id__4_d29e2075
einen	bv_doc_id__4_d29e2077
Bestandteil	bv_doc_id__4_d29e2080
der	bv_doc_id__4_d29e2082
Bundesverfassung	bv_doc_id__4_d29e2084
<g/>
.	
Art.	bv_doc_id__4_d29e2096
XIII	bv_doc_id__4_d29e2098
<g/>
.	
Die	bv_doc_id__4_d29e2105
Legislaturperiode	bv_doc_id__4_d29e2107
der	bv_doc_id__4_d29e2109
Bundesversammlung	bv_doc_id__4_d29e2111
beträgt	bv_doc_id__4_d29e2113
<g/>
.	
<g/>
.	
<g/>
.	
Jahre	bv_doc_id__4_d29e2122
vom	bv_doc_id__4_d29e2124
Tage	bv_doc_id__4_d29e2126
ihrer	bv_doc_id__4_d29e2129
ersten	bv_doc_id__4_d29e2131
Einberufung	bv_doc_id__4_d29e2133
an	bv_doc_id__4_d29e2135
gerechnet	bv_doc_id__4_d29e2137
<g/>
.	
Die	bv_doc_id__4_d29e2144
Bundesversammlung	bv_doc_id__4_d29e2146
ist	bv_doc_id__4_d29e2148
alljährlich	bv_doc_id__4_d29e2150
vom	bv_doc_id__4_d29e2152
Bundespräsidenten	bv_doc_id__4_d29e2155
u	bv_doc_id__4_d29e2157
<g/>
.	
zw	bv_doc_id__4_d29e2161
<g/>
.	
im	bv_doc_id__4_d29e2165
<g/>
.	
<g/>
.	
<g/>
.	
einzuberufen	bv_doc_id__4_d29e2174
<g/>
.	
Eine	bv_doc_id__4_d29e2181
Sitzungsperiode	bv_doc_id__4_d29e2183
der	bv_doc_id__4_d29e2185
Bundesversammlung	bv_doc_id__4_d29e2187
darf	bv_doc_id__4_d29e2189
nicht	bv_doc_id__4_d29e2192
länger	bv_doc_id__4_d29e2194
als	bv_doc_id__4_d29e2196
ein	bv_doc_id__4_d29e2198
Jahr	bv_doc_id__4_d29e2200
betragen	bv_doc_id__4_d29e2202
<g/>
.	
Art.	bv_doc_id__4_d29e2213
XIV	bv_doc_id__4_d29e2215
<g/>
.	
Während	bv_doc_id__4_d29e2222
der	bv_doc_id__4_d29e2224
Sitzungsperiode	bv_doc_id__4_d29e2226
kann	bv_doc_id__4_d29e2228
die	bv_doc_id__4_d29e2230
Bundesversammlung	bv_doc_id__4_d29e2233
durch	bv_doc_id__4_d29e2235
einen	bv_doc_id__4_d29e2237
Beschluss	bv_doc_id__4_d29e2239
des	bv_doc_id__4_d29e2241
Hauses	bv_doc_id__4_d29e2243
oder	bv_doc_id__4_d29e2246
über	bv_doc_id__4_d29e2248
Vorschlag	bv_doc_id__4_d29e2250
der	bv_doc_id__4_d29e2252
Bundesregierung	bv_doc_id__4_d29e2254
durch	bv_doc_id__4_d29e2256
den	bv_doc_id__4_d29e2259
Bundespräsidenten	bv_doc_id__4_d29e2261
vertagt	bv_doc_id__4_d29e2263
werden	bv_doc_id__4_d29e2265
<g/>
.	
Die	bv_doc_id__4_d29e2272
Vertagung	bv_doc_id__4_d29e2274
ist	bv_doc_id__4_d29e2276
aufzuheben	bv_doc_id__4_d29e2278
<g/>
,	
wenn	bv_doc_id__4_d29e2283
wenigstens	bv_doc_id__4_d29e2285
50	bv_doc_id__4_d29e2287
Mitglieder	bv_doc_id__4_d29e2289
der	bv_doc_id__4_d29e2291
Bundesversammlung	bv_doc_id__4_d29e2293
einen	bv_doc_id__4_d29e2296
schriftlichen	bv_doc_id__4_d29e2298
Antrag	bv_doc_id__4_d29e2300
beim	bv_doc_id__4_d29e2302
Präsidenten	bv_doc_id__4_d29e2304
der	bv_doc_id__4_d29e2306
Bundesversammlung	bv_doc_id__4_d29e2309
gestellt	bv_doc_id__4_d29e2311
haben	bv_doc_id__4_d29e2313
<g/>
.	
Der	bv_doc_id__4_d29e2317
Präsident	bv_doc_id__4_d29e2319
der	bv_doc_id__4_d29e2322
Bundesversammlung	bv_doc_id__4_d29e2324
hat	bv_doc_id__4_d29e2326
von	bv_doc_id__4_d29e2328
dem	bv_doc_id__4_d29e2330
erfolgten	bv_doc_id__4_d29e2332
Antrag	bv_doc_id__4_d29e2335
den	bv_doc_id__4_d29e2337
Bundespräsidenten	bv_doc_id__4_d29e2339
im	bv_doc_id__4_d29e2341
